ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
505,Maharashtra,1962,113,1,KARMALA,GEN,PANDURANG MAHADEO JAGTAP,M,,GEN,IND,15543
506,Maharashtra,1962,113,2,KARMALA,GEN,NAMADEORAO MAHADEORAO JAGTAP,M,,GEN,INC,14300
507,Maharashtra,1962,113,3,KARMALA,GEN,SAMPATRAO MARUTI PATIL,M,,,PWP,11296
508,Maharashtra,1962,113,4,KARMALA,GEN,AMBADAS ANANT WAJALE,M,,,IND,1023
2160,Maharashtra,1967,212,1,KARMALA,SC,K. G. KAMBLE,M,,,INC,20542
2161,Maharashtra,1967,212,2,KARMALA,SC,R. S. RANSHRUNGARE,M,,,RPI,13259
2162,Maharashtra,1967,212,3,KARMALA,SC,P. G. CHINDE,M,,,IND,665
2163,Maharashtra,1967,212,4,KARMALA,SC,K. B. RANDIVE,M,,,SWA,663
2164,Maharashtra,1967,212,5,KARMALA,SC,S. T. BAGADE,M,,,IND,266
3382,Maharashtra,1972,212,1,KARMALA,SC,TAYAPPA HARI SONAVANE,M,,,INC,22454
3383,Maharashtra,1972,212,2,KARMALA,SC,KAMBLE RAMCHANDRA MARUTI,M,,,RPK,7767
3384,Maharashtra,1972,212,3,KARMALA,SC,KAMBLE BASU BHIKAJI,M,,,IND,683
3385,Maharashtra,1972,212,4,KARMALA,SC,JADHAV KERU RAMACHANDRA,M,,,IND,613
5047,Maharashtra,1978,226,1,KARMALA,GEN,NAMADEORAO MAHADEORAO JAGTAP,M,,GEN,INC,31589
5048,Maharashtra,1978,226,2,KARMALA,GEN,DEVI GIRDHADAS VITHALDAS,M,,,JNP,27101
5049,Maharashtra,1978,226,3,KARMALA,GEN,RANDIVE DADASAHEB SHRIDHAR,M,,,PWP,1563
5050,Maharashtra,1978,226,4,KARMALA,GEN,RAUT UDHAVRAO ABAJI,M,,,INC,458
5051,Maharashtra,1978,226,5,KARMALA,GEN,CHINDE PANDURANG GOVIND,M,,,IND,110
6643,Maharashtra,1980,226,1,KARMALA,GEN,JAGATAP N. M.,M,,,INC(U),20006
6644,Maharashtra,1980,226,2,KARMALA,GEN,ZANPURE P. V.,M,,,IND,14157
6645,Maharashtra,1980,226,3,KARMALA,GEN,DEVI G. V.,M,,,IND,12952
6646,Maharashtra,1980,226,4,KARMALA,GEN,DOSHI R. B.,M,,,INC,9340
6647,Maharashtra,1980,226,5,KARMALA,GEN,SHINDE D. D.,M,,,IND,654
8779,Maharashtra,1985,226,1,KARMALA,GEN,PATIL RAOSAHEB BHAGWANRAO,M,,,IND,34511
8780,Maharashtra,1985,226,2,KARMALA,GEN,NAMADEORAO MAHADEORAO JAGTAP,M,,GEN,INC,23956
8781,Maharashtra,1985,226,3,KARMALA,GEN,KUMAR SAPTARSHI,M,,,JNP,3027
8782,Maharashtra,1985,226,4,KARMALA,GEN,AJINATH SHRIKRISHAN KALEKAR,M,,,IND,2203
8783,Maharashtra,1985,226,5,KARMALA,GEN,BABURAO GANPATRAO BHOSALE,M,,,IND,147
12356,Maharashtra,1990,226,1,KARMALA,GEN,JAGTAP JAYVANTRAO NAMDEORAO,M,29,GEN,IND,35762
12357,Maharashtra,1990,226,2,KARMALA,GEN,PATIL RAOSAHEB BHAGWANRAO,M,,,INC,20670
12358,Maharashtra,1990,226,3,KARMALA,GEN,ZANPURE PADMAKAR VISHWANATH,M,,,SHS,14251
12359,Maharashtra,1990,226,4,KARMALA,GEN,PATIL RAMRAO SAHEBRAO,M,,,JD,9803
12360,Maharashtra,1990,226,5,KARMALA,GEN,DESHPANDE PANDURANG YESHWANT,M,,,IND,271
12361,Maharashtra,1990,226,6,KARMALA,GEN,PAWAR LAXMAN SHANKARRAO,M,,,IND,240
12362,Maharashtra,1990,226,7,KARMALA,GEN,BERE RAJENDRA BHIKAJI,M,,,IND,122
12363,Maharashtra,1990,226,8,KARMALA,GEN,HOLE BAPUSAHEB THAKAJI,M,,,IND,52
16880,Maharashtra,1995,226,1,KARMALA,GEN,BAGAL DIGAMBAR MURLIDHAR,M,40,GEN,IND,45423
16881,Maharashtra,1995,226,2,KARMALA,GEN,JAGTAP JAYVANTRAO NAMDEORAO,M,34,GEN,INC,41485
16882,Maharashtra,1995,226,3,KARMALA,GEN,MANGALE SHIVAJI EKNATH,M,,,SHS,15826
16883,Maharashtra,1995,226,4,KARMALA,GEN,BHOSALE BABURAO GANAPAT,M,,,HJP,733
16884,Maharashtra,1995,226,5,KARMALA,GEN,DHAKE NAMDEO HIRMAN,M,,,DDP,589
19295,Maharashtra,1999,226,1,KARMALA,GEN,BEGAL DIGAMBARRAO MURLIDHAR,M,,,IND,43787
19296,Maharashtra,1999,226,2,KARMALA,GEN,JAGTAP JAYVANTRAO NAMDEORAO,M,39,GEN,INC,43106
19297,Maharashtra,1999,226,3,KARMALA,GEN,PATIL NARAYAN GOVINDRAO,M,33,GEN,NCP,12507
21898,Maharashtra,2004,226,1,KARMALA,GEN,JAGTAP JAYVANTRAO NAMDEORAO,M,44,GEN,SHS,62692
21899,Maharashtra,2004,226,3,KARMALA,GEN,SHINDE ADV.SAVITA BALKRISHNA,F,29,GEN,SP,2279
21900,Maharashtra,2004,226,4,KARMALA,GEN,SHINDE AJINATH RAGHUNATH,M,31,GEN,RSNP,1713
21901,Maharashtra,2004,226,2,KARMALA,GEN,BAGAL DIGAMBAR MURLIDHAR,M,49,GEN,NCP,59052
21902,Maharashtra,2004,226,5,KARMALA,GEN,KADAM RAJENDRA BHIMA,M,36,GEN,BSP,1615
25495,Maharashtra,2009,244,1,KARMALA,GEN,BAGAL SHAMAL DIGAMBAR,F,45,GEN,NCP,70943
25496,Maharashtra,2009,244,2,KARMALA,GEN,NARAYAN (AABA) PATIL,M,43,GEN,JSS,43126
25497,Maharashtra,2009,244,3,KARMALA,GEN,JAGTAP JAYVANTRAO NAMDEORAO,M,50,GEN,SP,25491
25498,Maharashtra,2009,244,4,KARMALA,GEN,PATIL SURYAKANT,M,44,GEN,SHS,13815
25499,Maharashtra,2009,244,5,KARMALA,GEN,LALASAHEB AJINATH,M,41,SC,IND,2578
25500,Maharashtra,2009,244,6,KARMALA,GEN,HA.BHA.PA.KHATMODE,M,52,GEN,IND,2525
25501,Maharashtra,2009,244,7,KARMALA,GEN,JAGTAP CHINTAMANI (DADA),M,33,GEN,MNS,2088
25502,Maharashtra,2009,244,8,KARMALA,GEN,KADAM RAJABHAU BHIMRAO,M,40,SC,BSP,1734
25503,Maharashtra,2009,244,9,KARMALA,GEN,SHAIKH SHAHAJAHAN,M,38,GEN,IND,1356
25504,Maharashtra,2009,244,10,KARMALA,GEN,MEERATAI SUDAM SHINDE,F,44,GEN,IND,1110
25505,Maharashtra,2009,244,11,KARMALA,GEN,THOSAR SHAHAJI,M,45,SC,BBM,856
