ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
817,Maharashtra,1962,183,1,KATOL,GEN,SHANKARRAO DAULATRAO GEDAM,M,,,INC,25511
818,Maharashtra,1962,183,2,KATOL,GEN,JIWANLAL SAWANGIDAS CHANDAK,M,,,IND,25101
819,Maharashtra,1962,183,3,KATOL,GEN,SHIWAJI WARLUJI BHAGAT,M,,,IND,1704
820,Maharashtra,1962,183,4,KATOL,GEN,MURLIDHAR BAWAKO PATOLE,M,,,IND,1301
821,Maharashtra,1962,183,5,KATOL,GEN,SUKHADEO DAMODAR RAMTEKE,M,,,IND,307
1794,Maharashtra,1967,128,1,KATOL,GEN,J. S. CHANDAK,M,,,IND,33661
1795,Maharashtra,1967,128,2,KATOL,GEN,S. D. GEDAM,M,,,INC,27284
1796,Maharashtra,1967,128,3,KATOL,GEN,V. A. PUNJE,M,,,CPI,1103
1797,Maharashtra,1967,128,4,KATOL,GEN,R. P. GOSWAMI,M,,,IND,748
1798,Maharashtra,1967,128,5,KATOL,GEN,M. B. PATOLE,M,,,IND,337
2997,Maharashtra,1972,128,1,KATOL,GEN,GEUAM S. DAULATRAO,M,,,INC,35663
2998,Maharashtra,1972,128,2,KATOL,GEN,MOTILRAM GULABRAOJI PAWADE,M,,,IND,27338
2999,Maharashtra,1972,128,3,KATOL,GEN,NAMDEO ATMARAM MENGHAL,M,,,IND,1770
3000,Maharashtra,1972,128,4,KATOL,GEN,SHANKARRAO SHIORAM KENE,M,,,BJS,694
3001,Maharashtra,1972,128,5,KATOL,GEN,PARASHRAM AMRUTWAHANE,M,,,RPI,662
3002,Maharashtra,1972,128,6,KATOL,GEN,MURLIDHAR BAWAJI PATOLE,M,,,IND,147
4476,Maharashtra,1978,139,1,KATOL,GEN,MANKAR MUKUNDRAO GOVINDRAO,M,,,INC,36800
4477,Maharashtra,1978,139,2,KATOL,GEN,PAWADE MOTIRAM GULABRAO,M,,,JNP,22207
4478,Maharashtra,1978,139,3,KATOL,GEN,GEDAM SHANKARRAO DAULATRAO,M,,,INC,6608
4479,Maharashtra,1978,139,4,KATOL,GEN,VIRENDRA KASHIRAO DESHMUKH,M,,,PWP,4660
4480,Maharashtra,1978,139,5,KATOL,GEN,PATOLE MUROLIHDAR BAWAJI,M,,,IND,1150
4481,Maharashtra,1978,139,6,KATOL,GEN,INGALE VELKANTHRAO GANPATRAO,M,,,IND,525
6186,Maharashtra,1980,139,1,KATOL,GEN,SHRIKANT RAMCHANDRA JICHKAR,M,,,INC,26564
6187,Maharashtra,1980,139,2,KATOL,GEN,KORDE GANGADHAR KOTHIRAMJI,M,,,BJP,12889
6188,Maharashtra,1980,139,3,KATOL,GEN,KALMEGH VASANTRAO GULABRAO,M,,,INC(U),9479
6189,Maharashtra,1980,139,4,KATOL,GEN,VIRENDRA KASHIRAO DESHMUKH,M,,,PWP,4617
6190,Maharashtra,1980,139,5,KATOL,GEN,CHAVAN SHANKAR MAHADEORAO,M,,,RPK,4298
6191,Maharashtra,1980,139,6,KATOL,GEN,CHAUKE BABURAO MAROTRAO,M,,,IND,604
8136,Maharashtra,1985,139,1,KATOL,GEN,SHINDE SUNIL ALIAS SHIVAJI SHAMRAOJI,M,,,ICS,38596
8137,Maharashtra,1985,139,2,KATOL,GEN,SHRIKANT RAMCHANDRA JICHKAR,M,,,INC,30246
8138,Maharashtra,1985,139,3,KATOL,GEN,SOMKUWAR DAJIBA LALJI,M,,,IND,3112
8139,Maharashtra,1985,139,4,KATOL,GEN,KODAPE NATTHU RAMAJI,M,,,IND,1626
8140,Maharashtra,1985,139,5,KATOL,GEN,CHAVAN MAHADEORAO,M,,,RPI,1170
8141,Maharashtra,1985,139,6,KATOL,GEN,KALE MUKUND MAHADEO,M,,,IND,241
8142,Maharashtra,1985,139,7,KATOL,GEN,INGOLE NILKANTHRAO MAROTRAO,M,,,IND,166
8143,Maharashtra,1985,139,8,KATOL,GEN,ARMARKAR PURUSHOTTAM PUNDALIK,M,,,IND,83
10973,Maharashtra,1990,139,1,KATOL,GEN,SHINDE SUNIL SHAMRAOJI,M,,,INC,37597
10974,Maharashtra,1990,139,2,KATOL,GEN,NEOLE RAM MANNALAL,M,,,JD,25327
10975,Maharashtra,1990,139,3,KATOL,GEN,KORDE GANGADHAR KOTHIRAM,M,,,BJP,16791
10976,Maharashtra,1990,139,4,KATOL,GEN,RAJENDRA HANUMANTRAO DESHMUKH,M,,,IND,2948
10977,Maharashtra,1990,139,5,KATOL,GEN,BHALAVI PANDURANG BUDDHAJI,M,,,IND,1246
10978,Maharashtra,1990,139,6,KATOL,GEN,BHAJAN NATTHUDEO MADHODEO,M,,,ICS(SCS),1160
10979,Maharashtra,1990,139,7,KATOL,GEN,CHANDRASHEKHAR LAXMANRAO (DADA) KOLHE,M,,,IND,924
10980,Maharashtra,1990,139,8,KATOL,GEN,SARODE VASANTRAO DAULATRAO,M,,,BSP,728
10981,Maharashtra,1990,139,9,KATOL,GEN,PRAKASH VISHWANATH GAJBE,M,,,RPK,603
10982,Maharashtra,1990,139,10,KATOL,GEN,BARTOKAR PRENA PRATAPRA,F,,,IND,542
10983,Maharashtra,1990,139,11,KATOL,GEN,PRAKASH TUKARAM WANKHEDE,M,,,IND,480
10984,Maharashtra,1990,139,12,KATOL,GEN,TAKAM MINAKSHI RAMCHANDRA,F,,,IND,406
10985,Maharashtra,1990,139,13,KATOL,GEN,KODAPE NATTU RAMAJI,M,,,IND,296
10986,Maharashtra,1990,139,14,KATOL,GEN,KANTHIRAM MOTIRAM WANJARI,M,,,IND,273
10987,Maharashtra,1990,139,15,KATOL,GEN,RAVINDRA DAMODHARRAO YENURKAR,M,,,IND,125
10988,Maharashtra,1990,139,16,KATOL,GEN,PRAKASH MAHADEORAO PATURKAR,M,,,IND,103
10989,Maharashtra,1990,139,17,KATOL,GEN,SURESHBABU BALKRUSHNA MESHRAM,M,,,IND,87
10990,Maharashtra,1990,139,18,KATOL,GEN,WADIWA UKANDRAO JANGLU,M,,,IND,75
10991,Maharashtra,1990,139,19,KATOL,GEN,SK. ABDUL LUKMAN HAIDARBHAI,M,,,IND,39
10992,Maharashtra,1990,139,20,KATOL,GEN,SUDHAKAR MOTIRAM KADU,M,,,IND,29
10993,Maharashtra,1990,139,21,KATOL,GEN,BALPANDE JAGANNATHH JANLUJI,M,,,IND,25
15284,Maharashtra,1995,139,1,KATOL,GEN,ANIL DESHMUKH,M,45,GEN,IND,29807
15285,Maharashtra,1995,139,2,KATOL,GEN,VIRENDRA KASHIRAO DESHMUKH,M,,,PWP,25784
15286,Maharashtra,1995,139,3,KATOL,GEN,SHINDE SUNIL SHAMRAO,M,,,INC,20057
15287,Maharashtra,1995,139,4,KATOL,GEN,KALMEGH DIPTI DILIP,F,,,IND,14545
15288,Maharashtra,1995,139,5,KATOL,GEN,NEOLE RAM MANNALAL,M,,,IND,9508
15289,Maharashtra,1995,139,6,KATOL,GEN,BAROKAR PRERANATAI PRATAPRAO,F,,,BJP,7659
15290,Maharashtra,1995,139,7,KATOL,GEN,DESHMUKH PRAMOD ANANDRAO,M,,,BSP,4151
15291,Maharashtra,1995,139,8,KATOL,GEN,MANKAR MADHUKAR NATTHUJI,M,,,CPI,2304
15292,Maharashtra,1995,139,9,KATOL,GEN,NOROLIYA DEOKISAN CHAMPATRAO,M,,,IND,787
15293,Maharashtra,1995,139,10,KATOL,GEN,BAGADE PUNDLIK TULSHIRAM,M,,,SP,568
15294,Maharashtra,1995,139,11,KATOL,GEN,WADIVE UKANDRAO JANGLUJI,M,,,IND,519
15295,Maharashtra,1995,139,12,KATOL,GEN,DHAPODKAR MOHAN KRUSHNAJI,M,,,IND,517
15296,Maharashtra,1995,139,13,KATOL,GEN,DUPARE SIDDARTHA DOMAJI,M,,,IND,446
15297,Maharashtra,1995,139,14,KATOL,GEN,WAHANE SUMITRA HARISHCHANDRA,F,,,IND,236
15298,Maharashtra,1995,139,15,KATOL,GEN,SIRSAM SHANKAR SITRU,M,,,IND,211
15299,Maharashtra,1995,139,16,KATOL,GEN,WANKHEDE SITARAM JYOTIRAM,M,,,IND,187
15300,Maharashtra,1995,139,17,KATOL,GEN,PANCHABHAI BHAU RAMRAO,M,,,IND,152
15301,Maharashtra,1995,139,18,KATOL,GEN,SHERKAR NETAJI SHANKAR,M,,,IND,112
18609,Maharashtra,1999,139,1,KATOL,GEN,ANIL DESHMUKH,M,49,GEN,NCP,42509
