ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
725,Maharashtra,1962,164,1,KHAMGAON,GEN,GOVINDDAS FATANLAL BHATIYA,M,,,INC,33288
726,Maharashtra,1962,164,2,KHAMGAON,GEN,TUKARAM GANPAT KHUMKAR,M,,,IND,21319
727,Maharashtra,1962,164,3,KHAMGAON,GEN,BHASKARRAO SANGRAO DESHMUKH,M,,,JS,2014
728,Maharashtra,1962,164,4,KHAMGAON,GEN,KRISHNARAO GANPATRAO DESHMUKH,M,,,IND,1370
729,Maharashtra,1962,164,5,KHAMGAON,GEN,VITHALRAO AMRUTA WANKHADE,M,,,IND,1047
730,Maharashtra,1962,164,6,KHAMGAON,GEN,PURUSHOTTAM SHIORAM SHEKDAR,M,,,HMS,563
1621,Maharashtra,1967,99,1,KHAMGAON,GEN,G. R. BHATIYA,M,,,INC,36885
1622,Maharashtra,1967,99,2,KHAMGAON,GEN,T. G. KHUMKAR,M,,,RPI,15486
1623,Maharashtra,1967,99,3,KHAMGAON,GEN,N. N. BHISE,M,,,BJS,4473
1624,Maharashtra,1967,99,4,KHAMGAON,GEN,N. L. GAWAI,M,,,IND,566
1625,Maharashtra,1967,99,5,KHAMGAON,GEN,L. C. JADHAV,M,,,IND,537
1626,Maharashtra,1967,99,6,KHAMGAON,GEN,T. S. SAWDEKAR,M,,,IND,412
1627,Maharashtra,1967,99,7,KHAMGAON,GEN,A. MAHEBOOBKHAN,M,,,IND,210
2830,Maharashtra,1972,99,1,KHAMGAON,GEN,GAWANDE MANIKRAO PRALHAD,M,,,INC,44478
2831,Maharashtra,1972,99,2,KHAMGAON,GEN,NARAAN NATHU BHISE,M,,,BJS,10296
2832,Maharashtra,1972,99,3,KHAMGAON,GEN,S. JASWANT SINGH KESAR SINGH,M,,,FBL,2927
2833,Maharashtra,1972,99,4,KHAMGAON,GEN,GANPATRAO GAIKWAD,M,,,IND,443
4211,Maharashtra,1978,107,1,KHAMGAON,GEN,PHUNDKAR PANDURANG PUNDLIK,M,,,JNP,25831
4212,Maharashtra,1978,107,2,KHAMGAON,GEN,GAWANDE MANIKRAO PRALHAD,M,,,INC,18494
4213,Maharashtra,1978,107,3,KHAMGAON,GEN,GUPTA PUSHAKARMAL HOLKARMAN,M,,,FBL,13564
4214,Maharashtra,1978,107,4,KHAMGAON,GEN,SHELKE SHIRAM NAMDEORAO,M,,,PWP,10059
4215,Maharashtra,1978,107,5,KHAMGAON,GEN,BARKATSHAH TUKDUSHAH,M,,,IND,7868
4216,Maharashtra,1978,107,6,KHAMGAON,GEN,PUROHIT GOVINDRAM GAURIDATTA,M,,,CPI,1454
4217,Maharashtra,1978,107,7,KHAMGAON,GEN,SHEKDAR PURUSHOTTAM SHIVRAM,M,,,HMS,1277
4218,Maharashtra,1978,107,8,KHAMGAON,GEN,GAIKWAD GANPATRAO GANGADHAR,M,,,IND,793
4219,Maharashtra,1978,107,9,KHAMGAON,GEN,HELODE VITHALRAO SITARAM,M,,,IND,731
5996,Maharashtra,1980,107,1,KHAMGAON,GEN,PUNDKAR PANDURANG PUNDLIK,M,,,BJP,30003
5997,Maharashtra,1980,107,2,KHAMGAON,GEN,MD. MUBINUR RAHMAN MD. ISMAIL,M,,,INC,26714
5998,Maharashtra,1980,107,3,KHAMGAON,GEN,KANKALE PURUSHOTTAM RAMKRISHNA,M,,,INC(U),6725
5999,Maharashtra,1980,107,4,KHAMGAON,GEN,GUPTA PUSHKARMAL HOLARMAL,M,,,IND,2044
6000,Maharashtra,1980,107,5,KHAMGAON,GEN,KHATRI LAXMANLAL RAMLALJI,M,,,IND,392
6001,Maharashtra,1980,107,6,KHAMGAON,GEN,TRYAMBAK DNYANDEO KANKAL,M,,,IND,376
7838,Maharashtra,1985,107,1,KHAMGAON,GEN,GAWANDE MANIKRAO PRALHADRAO,M,,,INC,37261
7839,Maharashtra,1985,107,2,KHAMGAON,GEN,FUNDKAR PANDURANG PUNDLIK,M,,,BJP,31153
7840,Maharashtra,1985,107,3,KHAMGAON,GEN,DILSHADSHAH BISMILLAHSHAH,M,,,IND,9612
7841,Maharashtra,1985,107,4,KHAMGAON,GEN,WANKHADE DAYARAM NARAYAN,M,,,IND,5317
7842,Maharashtra,1985,107,5,KHAMGAON,GEN,KHATRI LAXMAN RAMLAL,M,,,IND,603
7843,Maharashtra,1985,107,6,KHAMGAON,GEN,MISHRA GOPINATH TIRATHRAJ,M,,,IND,578
7844,Maharashtra,1985,107,7,KHAMGAON,GEN,BHOJNE PRAKASH PUNDLIK,M,,,IND,418
7845,Maharashtra,1985,107,8,KHAMGAON,GEN,GHODKE GANGADHAR BHIMASHANKAR,M,,,IND,330
7846,Maharashtra,1985,107,9,KHAMGAON,GEN,KASAMKHAN HAJI AZIZKHAN,M,,,IND,293
7847,Maharashtra,1985,107,9,KHAMGAON,GEN,AGRAWAL KISHORDAS DAYALDAS,M,,,IND,293
