ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
2219,Maharashtra,1967,227,1,KHED ALANDI,GEN,S. M. SATIKAR,M,,,INC,30486
2220,Maharashtra,1967,227,2,KHED ALANDI,GEN,D. B. ALIAS MAMA,M,,,PSP,7946
2221,Maharashtra,1967,227,3,KHED ALANDI,GEN,D. R. MEDGE,M,,,BJS,5821
2222,Maharashtra,1967,227,4,KHED ALANDI,GEN,V. R. WAFGAONKAR,M,,,SSP,3979
2223,Maharashtra,1967,227,5,KHED ALANDI,GEN,S. T. OVHAL,M,,,IND,2162
3431,Maharashtra,1972,227,1,KHED ALANDI,GEN,SAHEBRAO B. PATIL,M,,,INC,31874
3432,Maharashtra,1972,227,2,KHED ALANDI,GEN,SHIVALE MANIKRAO UDHAVRAO,M,,,IND,27866
5124,Maharashtra,1978,242,1,KHED-ALANDI,GEN,KANDGE RAM JANARDAN,M,,,INC,23646
5125,Maharashtra,1978,242,2,KHED-ALANDI,GEN,BACHCHE NAMDEV KRISHNA,M,,,JNP,14393
5126,Maharashtra,1978,242,3,KHED-ALANDI,GEN,SHINDE DATTATRAY BHIKOBA,M,,,IND,12057
5127,Maharashtra,1978,242,4,KHED-ALANDI,GEN,NARAYANRAO BABURAO PAWAR,M,31,GEN,IND,8607
5128,Maharashtra,1978,242,5,KHED-ALANDI,GEN,BHOSLE LAXMAN DHARMAJI,M,,,IND,3011
5129,Maharashtra,1978,242,6,KHED-ALANDI,GEN,MALI MAHADEV BABURAO,M,,,INC,2793
5130,Maharashtra,1978,242,7,KHED-ALANDI,GEN,DAUNKAR VITTHALRAO KERUJI,M,,,IND,2641
6722,Maharashtra,1980,242,1,KHED-ALANDI,GEN,KANDGE RAM JANARDAN,M,,,INC(U),18964
6723,Maharashtra,1980,242,2,KHED-ALANDI,GEN,SORATE RAJARAM GAJANAN,M,,,INC,13340
6724,Maharashtra,1980,242,3,KHED-ALANDI,GEN,NAMDEORAO KRISHNAJI BACCJE,M,,,JNP,4871
6725,Maharashtra,1980,242,4,KHED-ALANDI,GEN,DADASAHEB PATHAK,M,,,IND,4223
6726,Maharashtra,1980,242,5,KHED-ALANDI,GEN,GOTARNE BABAN MAHADEO,M,,,IND,819
8894,Maharashtra,1985,242,1,KHED-ALANDI,GEN,NARAYANRAO BABURAO PAWAR,M,38,GEN,ICS,48758
8895,Maharashtra,1985,242,2,KHED-ALANDI,GEN,GHUMATKAR SHANTARAM NATHUJI,M,,,INC,28326
8896,Maharashtra,1985,242,3,KHED-ALANDI,GEN,DAVARE BABAN DHARMAJI,M,,,IND,1217
8897,Maharashtra,1985,242,4,KHED-ALANDI,GEN,BHALERAO NAMDEO SAGAJI,M,,,IND,905
8898,Maharashtra,1985,242,5,KHED-ALANDI,GEN,TUKARAM GENU SHINDE,M,,,IND,633
8899,Maharashtra,1985,242,6,KHED-ALANDI,GEN,DAUNDKAR VITHALRAO KERUJI,M,,,IND,440
12524,Maharashtra,1990,242,1,KHED-ALANDI,GEN,NARAYANRAO BABURAO PAWAR,M,43,GEN,INC,57072
12525,Maharashtra,1990,242,2,KHED-ALANDI,GEN,TAKALKAR PRATAP GENBHAU,M,,,JD,27830
12526,Maharashtra,1990,242,3,KHED-ALANDI,GEN,CHAVAN SURESH DHONDIBA,M,,,SHS,14645
12527,Maharashtra,1990,242,4,KHED-ALANDI,GEN,GARUD NANASAHEB BHIKOBA,M,,,ICS(SCS),793
12528,Maharashtra,1990,242,5,KHED-ALANDI,GEN,JAMBHALE VILAS GANPAT,M,,,IND,369
