ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
24249,Maharashtra,2009,147,1,KOPRI-PACHPAKHADI,GEN,EKNATH SAMBHAJI SHINDE,M,45,GEN,SHS,73502
24250,Maharashtra,2009,147,2,KOPRI-PACHPAKHADI,GEN,SHINDE MANOJ TUKARAM,M,41,GEN,INC,40726
24251,Maharashtra,2009,147,3,KOPRI-PACHPAKHADI,GEN,GAWAND RAJAN SHANTARAM,M,59,GEN,MNS,35914
24252,Maharashtra,2009,147,4,KOPRI-PACHPAKHADI,GEN,YADAV RAMNAYAN,M,55,GEN,SP,3991
24253,Maharashtra,2009,147,5,KOPRI-PACHPAKHADI,GEN,KAMBLE VILAS CHANDU,M,38,GEN,BSP,1864
24254,Maharashtra,2009,147,6,KOPRI-PACHPAKHADI,GEN,SHINDE EKNATH SAHDEV,M,41,GEN,IND,830
24255,Maharashtra,2009,147,7,KOPRI-PACHPAKHADI,GEN,RAJESH THAKUR,M,39,GEN,IND,685
24256,Maharashtra,2009,147,8,KOPRI-PACHPAKHADI,GEN,RAMANE KISHOR AMRUT,M,33,GEN,IND,619
24257,Maharashtra,2009,147,9,KOPRI-PACHPAKHADI,GEN,SHAH ASLAM MUSTAPHA,M,34,GEN,IND,612
24258,Maharashtra,2009,147,10,KOPRI-PACHPAKHADI,GEN,GOPINATH SAKHARAM,M,45,GEN,BBM,577
24259,Maharashtra,2009,147,11,KOPRI-PACHPAKHADI,GEN,BENZAMIN SUDHNYAN,M,36,GEN,IND,503
24260,Maharashtra,2009,147,12,KOPRI-PACHPAKHADI,GEN,SAYYAD SEYAD ALI HAIDAR,M,29,GEN,IND,396
24261,Maharashtra,2009,147,13,KOPRI-PACHPAKHADI,GEN,"""CHANAKYA"" MAHESH RATHI",M,49,GEN,RVNP,381
24262,Maharashtra,2009,147,14,KOPRI-PACHPAKHADI,GEN,SHAIKH RAIS EBARAT ALI,M,27,GEN,IND,354
24263,Maharashtra,2009,147,15,KOPRI-PACHPAKHADI,GEN,KHAN AZIZ NABIRAHEM,M,32,GEN,PECP,302
24264,Maharashtra,2009,147,16,KOPRI-PACHPAKHADI,GEN,ANJANIKUMAR NAYAN,M,42,GEN,IND,201
24265,Maharashtra,2009,147,17,KOPRI-PACHPAKHADI,GEN,PRAMOD PRALHAD INGALE,M,44,GEN,IND,153
24266,Maharashtra,2009,147,18,KOPRI-PACHPAKHADI,GEN,BUDHA RAJARAM MESHRAM,M,59,GEN,IND,151
24267,Maharashtra,2009,147,19,KOPRI-PACHPAKHADI,GEN,SHAIKH MAHMMAD HANIF,M,56,GEN,IND,149
24268,Maharashtra,2009,147,20,KOPRI-PACHPAKHADI,GEN,NIRMALKUMAR,M,45,GEN,IND,127
24269,Maharashtra,2014,147,1,KOPRI-PACHPAKHADI,GEN,EKNATH SAMBHAJI SHINDE,M,50,GEN,SHS,100316
24270,Maharashtra,2014,147,2,KOPRI-PACHPAKHADI,GEN,ADV.SANDEEP LELE,M,41,GEN,BJP,48447
24271,Maharashtra,2014,147,3,KOPRI-PACHPAKHADI,GEN,MOHAN PARASNATH GOSWAMI,M,49,GEN,INC,17873
24272,Maharashtra,2014,147,4,KOPRI-PACHPAKHADI,GEN,SEJAL SANJAY KADAM,F,42,GEN,MNS,8578
24273,Maharashtra,2014,147,5,KOPRI-PACHPAKHADI,GEN,BIPIN KAMALU MAHALE,M,50,GEN,NCP,3710
24274,Maharashtra,2014,147,6,KOPRI-PACHPAKHADI,GEN,None of the Above,,,,OTA,2565
24275,Maharashtra,2014,147,7,KOPRI-PACHPAKHADI,GEN,GAJARE RAJHANS MANIK,M,38,SC,BSP,1861
24276,Maharashtra,2014,147,8,KOPRI-PACHPAKHADI,GEN,MOHAMMAD SALIM MOHARALI CHOUDHARI,M,30,GEN,IND,395
24277,Maharashtra,2014,147,9,KOPRI-PACHPAKHADI,GEN,ASHA KISAN SHARNAGAT,F,44,SC,RBS,305
24278,Maharashtra,2014,147,10,KOPRI-PACHPAKHADI,GEN,SANTOSH ANANDRAO JADHAV,M,42,GEN,IND,231
24279,Maharashtra,2014,147,11,KOPRI-PACHPAKHADI,GEN,GUPTA RAKESH HRISHIKANT,M,27,GEN,IND,218
24280,Maharashtra,2014,147,12,KOPRI-PACHPAKHADI,GEN,SUNIL SHANKAR BAGUL,M,43,SC,RPI,99
