ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
440,Maharashtra,1962,99,1,KOREGAON,GEN,TUSHAR PANDURANG PAWAR,M,,,INC,20609
441,Maharashtra,1962,99,2,KOREGAON,GEN,VITHAL PANDURANG BHOSALE,M,,,IND,8107
442,Maharashtra,1962,99,3,KOREGAON,GEN,KAKOJI KRISHANA KADAM,M,,,CPI,6235
443,Maharashtra,1962,99,4,KOREGAON,GEN,PILAJRAO DHONDIRAM DHUMAL,M,,,IND,1864
444,Maharashtra,1962,99,5,KOREGAON,GEN,PANDURANG KONDIBA BORATE,M,,,PSP,1637
445,Maharashtra,1962,99,6,KOREGAON,GEN,DINKARRAI DAGDOBA DESHMUKH,M,,,IND,733
446,Maharashtra,1962,99,7,KOREGAON,GEN,MUGUTRAO GANPATI SHINDE,M,,,IND,522
447,Maharashtra,1962,99,8,KOREGAON,GEN,BHAGWAN BAYAJI CHAVAN,M,,,IND,417
448,Maharashtra,1962,99,9,KOREGAON,GEN,RAMRAO SUBHANRAO BARGE,M,,,IND,347
2307,Maharashtra,1967,245,1,KOREGAON,GEN,A. N. PHALKE,M,,,INC,37547
2308,Maharashtra,1967,245,2,KOREGAON,GEN,P. N. DESHPANDE,M,,,SSP,10476
3509,Maharashtra,1972,245,1,KOREGAON,GEN,DATTAJIRAO B. BARGE,M,,,IND,39225
3510,Maharashtra,1972,245,2,KOREGAON,GEN,PHALKE VASANTRAO JYOTIRAO,M,,,INC,19322
5247,Maharashtra,1978,261,1,KOREGAON,GEN,JAGTAP SHANKARRAO CHIMAJI,M,,,INC,30765
5248,Maharashtra,1978,261,2,KOREGAON,GEN,PANDURANG NILKANTHRAO ALIAS BABASAHEB MANE,M,,,IND,24745
5249,Maharashtra,1978,261,3,KOREGAON,GEN,BHANDARI SHANTILAL RAJARAM,M,,,JNP,9075
5250,Maharashtra,1978,261,4,KOREGAON,GEN,GURAO BABURAO NARAYAN,M,,,IND,2656
5251,Maharashtra,1978,261,5,KOREGAON,GEN,JANARDAN DHONDIRAJ PURANIK,M,,,IND,2300
5252,Maharashtra,1978,261,6,KOREGAON,GEN,TALEKAR VITHALRAO SHIVRAM,M,,,IND,993
6828,Maharashtra,1980,261,1,KOREGAON,GEN,JAGATAP SHANKARAO CHIMAJI,M,,,INC(U),34829
6829,Maharashtra,1980,261,2,KOREGAON,GEN,BARGE DATTAJIRAO BHAUSAHEB,M,,,INC,23227
6830,Maharashtra,1980,261,3,KOREGAON,GEN,MANE GULABRAO RAMCHANDRA,M,,,IND,3446
6831,Maharashtra,1980,261,4,KOREGAON,GEN,MORE JAIKUMAR JAGANNATH,M,,,IND,1304
6832,Maharashtra,1980,261,5,KOREGAON,GEN,BARGE SHANKARRAO HARIBA,M,,,IND,493
9044,Maharashtra,1985,261,1,KOREGAON,GEN,JAGTAP SHANKARRAO CHIMAJI,M,,,INC,48049
9045,Maharashtra,1985,261,2,KOREGAON,GEN,PHALKE SHIVAJI GOVINDRAO,M,,,ICS,33165
9046,Maharashtra,1985,261,3,KOREGAON,GEN,MANE BALKRISHNA RAMCHANDRA,M,,,IND,654
12731,Maharashtra,1990,261,1,KOREGAON,GEN,JAGTAP SHANKARRAO CHIMAJI,M,,,INC,56247
12732,Maharashtra,1990,261,2,KOREGAON,GEN,DR SHALINITAI PATIL,F,55,GEN,JD,44688
12733,Maharashtra,1990,261,3,KOREGAON,GEN,NANASAHEB BHOSALE,M,,,SHS,3398
12734,Maharashtra,1990,261,4,KOREGAON,GEN,VARMA SIYARAM RAMCHANDAR,M,,,DDP,208
12735,Maharashtra,1990,261,5,KOREGAON,GEN,BARGE DATTATRAYA NIWRUTTI,M,,,IND,146
12736,Maharashtra,1990,261,6,KOREGAON,GEN,ARUN BAGADE,M,,,IND,73
12737,Maharashtra,1990,261,7,KOREGAON,GEN,SHINDE EKNATH KHASHABA,M,,,IND,59
17390,Maharashtra,1995,261,1,KOREGAON,GEN,JAGTAP SHANKARRAO CHIMAJI,M,,,INC,59793
17391,Maharashtra,1995,261,2,KOREGAON,GEN,DR SHALINITAI PATIL,F,60,GEN,IND,53807
17392,Maharashtra,1995,261,3,KOREGAON,GEN,PANDIT SHRIKANT DATTATRAYA,M,,,SHS,4744
17393,Maharashtra,1995,261,4,KOREGAON,GEN,SONAWANE VINAYAK KEDARI,M,,,IND,891
17394,Maharashtra,1995,261,5,KOREGAON,GEN,CHAVAN SHIVAJI DINKAR,M,,,SJP(M),232
17395,Maharashtra,1995,261,6,KOREGAON,GEN,HIREMATH CHANBASAYYA MURGAYYA,M,,,DDP,92
19538,Maharashtra,1999,261,1,KOREGAON,GEN,DR SHALINITAI PATIL,F,65,GEN,NCP,61692
19539,Maharashtra,1999,261,2,KOREGAON,GEN,JAGTAP SHANKARRAO CHIMAJI,M,,,INC,36069
19540,Maharashtra,1999,261,3,KOREGAON,GEN,BARGE DATTAJIRAO NIVRATTI,M,,,SHS,6726
19541,Maharashtra,1999,261,4,KOREGAON,GEN,JADHAV SATISH SHASHIKANT,M,,,ABHS,350
22176,Maharashtra,2004,261,4,KOREGAON,GEN,AJIT ANANDRAO MANE,M,48,GEN,SHS,2708
22177,Maharashtra,2004,261,5,KOREGAON,GEN,MANE RAMESH DAGDU (APPASAHEB),M,37,GEN,IND,2068
22178,Maharashtra,2004,261,8,KOREGAON,GEN,SHRI BHAUSAHEB GANGARAM WAGH,M,46,GEN,RSPS,847
22179,Maharashtra,2004,261,6,KOREGAON,GEN,ADV. SURESH KAMALAKAR MANE,M,50,SC,BSP,1785
22180,Maharashtra,2004,261,1,KOREGAON,GEN,DR SHALINITAI PATIL,F,71,GEN,NCP,61326
22181,Maharashtra,2004,261,3,KOREGAON,GEN,SHRI.PATIL BHIMRAO PARASHARAM,M,42,GEN,IND,23636
22182,Maharashtra,2004,261,2,KOREGAON,GEN,MAHADIK SHIVAJIRAO ANANDRAO,M,46,GEN,IND,26322
22183,Maharashtra,2004,261,7,KOREGAON,GEN,KHANDAIT CHANDRAKANT TATU,M,35,SC,IND,880
25633,Maharashtra,2009,257,1,KOREGAON,GEN,SHINDE SHASHIKANT JAYWANTRAO,M,45,GEN,NCP,80373
25634,Maharashtra,2009,257,2,KOREGAON,GEN,DR SHALINITAI PATIL,F,76,GEN,IND,48620
25635,Maharashtra,2009,257,3,KOREGAON,GEN,SANTOSH LAXMAN JADHAV,M,38,GEN,SHS,16621
25636,Maharashtra,2009,257,4,KOREGAON,GEN,BHOSALE YASHAWANT,M,46,GEN,IND,10701
25637,Maharashtra,2009,257,5,KOREGAON,GEN,MORE MAHENDRA BHIVA,M,32,GEN,BSP,1514
25638,Maharashtra,2009,257,6,KOREGAON,GEN,SURESH BABURAO VEER,M,62,GEN,IND,1215
25639,Maharashtra,2009,257,7,KOREGAON,GEN,RAMESH PANDURANG,M,57,GEN,IND,1193
25640,Maharashtra,2009,257,8,KOREGAON,GEN,BAGAL SADASHIV SAHEBRAO,M,43,GEN,RWS,495
25641,Maharashtra,2009,257,9,KOREGAON,GEN,DATTAJIRAO NIVRUTI BARGE,M,46,GEN,IND,471
25642,Maharashtra,2009,257,10,KOREGAON,GEN,AAVADE BICHUKALE,F,29,GEN,IND,370
25643,Maharashtra,2009,257,11,KOREGAON,GEN,RAMESH DAGADU MANE,M,41,GEN,IND,313
25644,Maharashtra,2014,257,1,KOREGAON,GEN,SHINDE SHASHIKANT JAYWANTRAO,M,50,GEN,NCP,95213
25645,Maharashtra,2014,257,2,KOREGAON,GEN,KANASE VIJAYRAO BABURAO,M,63,GEN,INC,47966
25646,Maharashtra,2014,257,3,KOREGAON,GEN,CHAWARE HANMANT BABA,M,47,GEN,SHS,15862
25647,Maharashtra,2014,257,4,KOREGAON,GEN,BHAGAT SANJAY BABASO,M,41,GEN,SWP,13126
25648,Maharashtra,2014,257,5,KOREGAON,GEN,None of the Above,,,,NOTA,1991
25649,Maharashtra,2014,257,6,KOREGAON,GEN,YURAJ RAMCHANDRA PAWAR,M,31,GEN,MNS,1766
25650,Maharashtra,2014,257,7,KOREGAON,GEN,SHIVAJI LAXMAN SHIRTODE,M,49,GEN,IND,1492
25651,Maharashtra,2014,257,8,KOREGAON,GEN,MORE VISHWANATH BABURAO,M,42,SC,BSP,884
25652,Maharashtra,2014,257,9,KOREGAON,GEN,RAMESH DAGDU MANE,M,48,GEN,BMUP,386
