ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
96,Maharashtra,1962,22,1,KURLA,GEN,ANJANABAI NARHAR MAGAR,F,,,INC,34153
97,Maharashtra,1962,22,2,KURLA,GEN,MANOHARLAL MANGALSAIN MARWAH,M,,,REP,24656
98,Maharashtra,1962,22,3,KURLA,GEN,BHALCHANDRA ANAJI SAWANT,M,,,IND,6149
99,Maharashtra,1962,22,4,KURLA,GEN,VAJIDAYARKHAN HADIYARKHAN KHAN,M,,,IND,5386
100,Maharashtra,1962,22,5,KURLA,GEN,GOVINDRAO BABURAO PAWAR,M,,,IND,3253
101,Maharashtra,1962,22,6,KURLA,GEN,RAMJI SHIVNARAYAN,M,,,IND,1198
1341,Maharashtra,1967,39,1,KURLA,GEN,T. R. NARAVANE,M,,,INC,18301
1342,Maharashtra,1967,39,2,KURLA,GEN,K. R. GANGURDE,M,,,RPI,12184
1343,Maharashtra,1967,39,3,KURLA,GEN,M. S. KHANOLKAR,M,,,IND,9449
1344,Maharashtra,1967,39,4,KURLA,GEN,D. B. SURVE,M,,,BJS,8399
1345,Maharashtra,1967,39,5,KURLA,GEN,B. A. BUCHAYYA,M,,,IND,4539
1346,Maharashtra,1967,39,6,KURLA,GEN,N. P. NIKUMBH,M,,,IND,3812
1347,Maharashtra,1967,39,7,KURLA,GEN,M. S. BRIGHT MAHIND,M,,,IND,2322
1348,Maharashtra,1967,39,8,KURLA,GEN,R. S. KURMI,M,,,IND,792
1349,Maharashtra,1967,39,9,KURLA,GEN,R. D. SURVE,M,,,SWA,620
2558,Maharashtra,1972,39,1,KURLA,GEN,PRABHAKAR KASHINATH KUNTE,M,,,INC,51220
2559,Maharashtra,1972,39,2,KURLA,GEN,LEELADHAR BALAJI DAKE,M,,,SHS,11842
2560,Maharashtra,1972,39,3,KURLA,GEN,GANGURDE KRISHNARAO RAGHO,M,,,RPI,11523
2561,Maharashtra,1972,39,4,KURLA,GEN,SOHANSINGH KOHALI,M,,,SOP,11424
2562,Maharashtra,1972,39,5,KURLA,GEN,MADHAV GIRJAJI MORE,M,,,IND,876
2563,Maharashtra,1972,39,6,KURLA,GEN,BIJAYNATH SHESHMANI DUBE,M,,,IND,192
3870,Maharashtra,1978,49,1,KURLA,GEN,KHAN SHAMSUL HAQ,M,,,JNP,33800
3871,Maharashtra,1978,49,2,KURLA,GEN,DATTA SAMAAT,M,,,INC,23617
3872,Maharashtra,1978,49,3,KURLA,GEN,JOSHI SUDHIR,M,,,SHS,19379
3873,Maharashtra,1978,49,4,KURLA,GEN,K.A. SHERKHAN,M,,,INC,14624
3874,Maharashtra,1978,49,5,KURLA,GEN,KIRAT KUDEV VITHAL SHANKAR,M,,,IND,1484
3875,Maharashtra,1978,49,6,KURLA,GEN,S.J.GUPTA,M,,,IND,206
3876,Maharashtra,1978,49,7,KURLA,GEN,SARDAR KHAN,M,,,IND,151
5677,Maharashtra,1980,49,1,KURLA,GEN,DATTA SAMANT,M,,,IND,29410
5678,Maharashtra,1980,49,2,KURLA,GEN,CELINE D. SILVA,F,,,INC,22383
5679,Maharashtra,1980,49,3,KURLA,GEN,SHAMSUL HAQ KHAN,M,,,BJP,9518
5680,Maharashtra,1980,49,4,KURLA,GEN,A. C. NARAYAN,M,,,JNP,4722
5681,Maharashtra,1980,49,5,KURLA,GEN,SHESHRAO DONGRE,M,,,RPI,2760
5682,Maharashtra,1980,49,6,KURLA,GEN,R. G. YADAV,M,,,IND,167
5683,Maharashtra,1980,49,7,KURLA,GEN,H. R. ANSARI,M,,,JNP(SR),127
5684,Maharashtra,1980,49,8,KURLA,GEN,GURUBUX SINGH SUDAN,M,,,IND,58
7348,Maharashtra,1985,49,1,KURLA,GEN,D'SILVA SELIN,F,,,INC,41472
7349,Maharashtra,1985,49,2,KURLA,GEN,CHAVAN SHANTARAM SITARAM,M,,,IND,18222
7350,Maharashtra,1985,49,3,KURLA,GEN,SHIWAJI NALAWADE,M,,,ICS,14136
7351,Maharashtra,1985,49,4,KURLA,GEN,BALIRAM SAVANT,M,,,IND,11937
7352,Maharashtra,1985,49,5,KURLA,GEN,ABDUL BARI FAROOQUI,M,,,IND,9513
7353,Maharashtra,1985,49,6,KURLA,GEN,ABUL WAFA LADDAN,M,,,IND,5834
7354,Maharashtra,1985,49,7,KURLA,GEN,KHAN SUBHAN BHARTI,M,,,LKD,1834
7355,Maharashtra,1985,49,8,KURLA,GEN,PUSHPA MEHTA,F,,,IND,1172
7356,Maharashtra,1985,49,9,KURLA,GEN,GULABRAO LONDHI,M,,,RPI,791
7357,Maharashtra,1985,49,10,KURLA,GEN,BHARAT PAL,M,,,IND,555
7358,Maharashtra,1985,49,11,KURLA,GEN,CHHADWA RAMNIK BHIMSHI,M,,,IND,312
7359,Maharashtra,1985,49,12,KURLA,GEN,VASANTRAO UNDE,M,,,IND,278
7360,Maharashtra,1985,49,13,KURLA,GEN,DUBE MANIKLAL RAJBAHADUR,M,,,IND,227
7361,Maharashtra,1985,49,14,KURLA,GEN,MOHABIYA GULABCHAND,M,,,IND,93
9624,Maharashtra,1990,49,1,KURLA,GEN,MAYEKAR RAMAKANT SHANKAR,M,,,SHS,64794
9625,Maharashtra,1990,49,2,KURLA,GEN,D'SILVA CELINE A.,F,,,INC,59543
9626,Maharashtra,1990,49,3,KURLA,GEN,CHITTARANJAN SHARMA,M,,,JD,32248
9627,Maharashtra,1990,49,4,KURLA,GEN,SHERKHAN K. A.,M,,,IND,1404
9628,Maharashtra,1990,49,5,KURLA,GEN,JOSE NILACKAL,M,,,IND,443
9629,Maharashtra,1990,49,6,KURLA,GEN,SAYYED MAZHARUDDIN,M,,,BRP,418
9630,Maharashtra,1990,49,7,KURLA,GEN,ANISH NAQVI,M,,,IND,366
9631,Maharashtra,1990,49,8,KURLA,GEN,SINGH LOKNATH A.,M,,,DDP,360
