ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
509,Maharashtra,1962,114,1,MADHA,SC,KASHINATH BABU ASWARE,M,,,INC,16659
510,Maharashtra,1962,114,2,MADHA,SC,KERU APPA LANKESHWAR,M,,,REP,8078
511,Maharashtra,1962,114,3,MADHA,SC,DIGAMBAR APPA GAIKWAD,M,,,IND,806
2149,Maharashtra,1967,208,1,MADHA,GEN,S. M. PATIL,M,,,PWP,28948
2150,Maharashtra,1967,208,2,MADHA,GEN,K. K. PARABAT,M,,,INC,22634
2151,Maharashtra,1967,208,3,MADHA,GEN,V. D. KULKARNI,M,,,BJS,3058
3367,Maharashtra,1972,208,1,MADHA,GEN,VITHALRAO SHINDE,M,,,INC,29233
3368,Maharashtra,1972,208,2,MADHA,GEN,PATIL SAMPATRAO MARUTI,M,,,PWP,16434
3369,Maharashtra,1972,208,3,MADHA,GEN,SATHE DHANAJI GANAPATRAO,M,,,IND,12049
3370,Maharashtra,1972,208,4,MADHA,GEN,KULKARNI VISHNU DAMODAR,M,,,BJS,1907
3371,Maharashtra,1972,208,5,MADHA,GEN,LANKESHWAR APAJI,M,,,RPI,833
3372,Maharashtra,1972,208,6,MADHA,GEN,SHAHA ANIL PREMCHAND,M,,,IND,528
5027,Maharashtra,1978,222,1,MADHA,GEN,PARBAT KRISHNARAO KONDIBA,M,,,IND,25076
5028,Maharashtra,1978,222,2,MADHA,GEN,PATIL SAMPATRAO MARUTI,M,,,PWP,22308
5029,Maharashtra,1978,222,3,MADHA,GEN,PATIL PANDURANG VITHALRAO,M,,,INC,17987
5030,Maharashtra,1978,222,4,MADHA,GEN,KAMBLE BHIMA GUJARAPPA,M,,,IND,996
5031,Maharashtra,1978,222,5,MADHA,GEN,PAWAR DATTATRAYA ADILAPPA,M,,,IND,697
5032,Maharashtra,1978,222,6,MADHA,GEN,JAGADALE AMBADAS EKNATH,M,,,IND,318
6629,Maharashtra,1980,222,1,MADHA,GEN,SATHE DHANAJI GANPATRAO,M,,,INC,29698
6630,Maharashtra,1980,222,2,MADHA,GEN,SHAHA KUNTAL MOTICHANDRA,M,,,IND,18707
6631,Maharashtra,1980,222,3,MADHA,GEN,PATIL SAMPATRAO MARUTI,M,,,PWP,18139
6632,Maharashtra,1980,222,4,MADHA,GEN,PARABAT KRISHNARAO KONDIBA,M,,,INC(U),967
8762,Maharashtra,1985,222,1,MADHA,GEN,PATIL PANDURANG GANPAT,M,,,IND,38760
8763,Maharashtra,1985,222,2,MADHA,GEN,MASKE PRAKASH TUKARAM,M,,,INC,29890
8764,Maharashtra,1985,222,3,MADHA,GEN,PATIL SAMPATRAO MARUTI,M,,,PWP,15704
8765,Maharashtra,1985,222,4,MADHA,GEN,RAJU BHAGAWAN SHRIRAME,M,,,IND,316
12328,Maharashtra,1990,222,1,MADHA,GEN,PATIL PANDURANG GANAPAT,M,,,INC,33510
12329,Maharashtra,1990,222,2,MADHA,GEN,SATHE DHANAJI GANAPATRAO,M,,,IND,22525
12330,Maharashtra,1990,222,3,MADHA,GEN,BHAI S. M. PATIL,M,,,PWP,16692
12331,Maharashtra,1990,222,4,MADHA,GEN,GORE PRAKASH RAMCHANDRA,M,,,SHS,16574
12332,Maharashtra,1990,222,5,MADHA,GEN,KUNTAL SHAH,M,,,JD,10954
12333,Maharashtra,1990,222,6,MADHA,GEN,KUMBHAR VISHNU KRISHNA,M,,,BSP,494
12334,Maharashtra,1990,222,7,MADHA,GEN,GOSAVI VISHNU BABURAO,M,,,IND,463
12335,Maharashtra,1990,222,8,MADHA,GEN,PATIL SANTOSH KISAN,M,,,DDP,366
16850,Maharashtra,1995,222,1,MADHA,GEN,SHINDE BABANRAO VITHALRAO,M,,,IND,48896
16851,Maharashtra,1995,222,2,MADHA,GEN,PATIL PANDURANG GANAPAT,M,,,INC,28586
16852,Maharashtra,1995,222,3,MADHA,GEN,SATHE DHANAJI GANPATRAO,M,,,IND,18792
16853,Maharashtra,1995,222,4,MADHA,GEN,GORE PRAKASH RAMCHANDRA,M,,,SHS,18125
16854,Maharashtra,1995,222,5,MADHA,GEN,S.M. PATIL,M,,,PWP,7925
16855,Maharashtra,1995,222,6,MADHA,GEN,MASKE PRAKASH TUKARAM,M,,,BSP,5808
16856,Maharashtra,1995,222,7,MADHA,GEN,KECHE BABAN GAHININATH,M,,,IND,2161
16857,Maharashtra,1995,222,8,MADHA,GEN,OSTWAL RAMLAL NAMCHAND,M,,,IND,188
19278,Maharashtra,1999,222,1,MADHA,GEN,SHINDE BABANRAO VITTHALRAO,M,,,NCP,59997
19279,Maharashtra,1999,222,2,MADHA,GEN,DIKOLE DHANANJAY MAHADEO,M,,,SHS,24408
19280,Maharashtra,1999,222,3,MADHA,GEN,SATHE DHANAJI GANPATRAO,M,,,INC,21542
19281,Maharashtra,1999,222,4,MADHA,GEN,BHAGAT SURYAKANT RAMCHANDRA,M,,,ABHS,3577
19282,Maharashtra,1999,222,5,MADHA,GEN,SOU. SHINDE MEERA SUDAM,F,,,IND,827
21871,Maharashtra,2004,222,3,MADHA,GEN,PATIL SHIVAJI BALBHIM,M,33,GEN,PWPI,3296
21872,Maharashtra,2004,222,1,MADHA,GEN,SHINDE BABANRAO VITHALRAO,M,52,GEN,NCP,92851
21873,Maharashtra,2004,222,2,MADHA,GEN,SAWANT SHIVAJI JAYAWANT,M,44,GEN,SHS,50106
21874,Maharashtra,2004,222,6,MADHA,GEN,MULANI SHAHAJAHAN PAIGAMBAR,M,33,GEN,IND,1370
21875,Maharashtra,2004,222,4,MADHA,GEN,GORE PRAKASH RAMCHANDRA,M,42,GEN,RSPS,2561
21876,Maharashtra,2004,222,5,MADHA,GEN,DEVKATE DEEPAK BHANUDAS,M,25,GEN,BSP,1697
25507,Maharashtra,2009,245,1,MADHA,GEN,SHINDE BABANRAO,M,59,GEN,NCP,110224
25508,Maharashtra,2009,245,2,MADHA,GEN,SAWANT SHIVAJI JAYWANT,M,50,GEN,IND,47055
25509,Maharashtra,2009,245,3,MADHA,GEN,PATIL ANIL SAMPATRAO,M,40,GEN,SHS,12962
25510,Maharashtra,2009,245,4,MADHA,GEN,SHAHAJAN PAIGAMBAR,M,38,GEN,IND,3147
25511,Maharashtra,2009,245,5,MADHA,GEN,UDAYSINGH YUVRAJ,M,38,GEN,BSP,2908
25512,Maharashtra,2009,245,6,MADHA,GEN,KECHE BABAN GAHININATH,M,65,GEN,RSPS,2777
25513,Maharashtra,2009,245,7,MADHA,GEN,ZENDE BABURAO,M,53,GEN,IND,861
25514,Maharashtra,2014,245,1,MADHA,GEN,SHINDE BABANRAO VITTHALRAO,M,63,GEN,NCP,97803
25515,Maharashtra,2014,245,2,MADHA,GEN,KALE KALYAN VASANTRAO,M,41,GEN,INC,62025
25516,Maharashtra,2014,245,3,MADHA,GEN,SAWANT SHIVAJI JAYWANT,M,54,GEN,SHS,40616
25517,Maharashtra,2014,245,4,MADHA,GEN,SATHE GANPATRAO DHANAJIRAO,M,39,GEN,IND,14149
25518,Maharashtra,2014,245,5,MADHA,GEN,PRAKSHALE SHRIKRISHANA DNYANDEV,M,32,GEN,BSP,2169
25519,Maharashtra,2014,245,6,MADHA,GEN,HAKEPATIL SANJAY VASANT,M,42,GEN,IND,1520
25520,Maharashtra,2014,245,7,MADHA,GEN,None of the Above,,,GEN,NOTA,1459
25521,Maharashtra,2014,245,8,MADHA,GEN,BOBADE BHARAT KISAN,M,35,GEN,BVA,976
25522,Maharashtra,2014,245,9,MADHA,GEN,RANJIT KALIDAS CHAVAN,M,28,GEN,HIPPA,829
25523,Maharashtra,2014,245,10,MADHA,GEN,MOHAN PANDHARINATH GAIKWAD,M,50,GEN,IND,513
25524,Maharashtra,2014,245,11,MADHA,GEN,DHAVALE MOHAN BHAJANDAS,M,43,GEN,IND,486
25525,Maharashtra,2014,245,12,MADHA,GEN,GANESH NAVANATH SARADE,M,27,GEN,IND,288
25526,Maharashtra,2014,245,13,MADHA,GEN,KALSAIT DADASO BABAN,M,27,GEN,IND,195
25527,Maharashtra,2014,245,14,MADHA,GEN,KADAM RANJEETSINH SHIVAJIRAO,M,43,GEN,IND,189
