ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
192,Maharashtra,1962,43,1,MAHAD,GEN,SAKHARAM VITHOBA SALUNKE,M,,,PSP,12664
193,Maharashtra,1962,43,1,MAHAD,GEN,SHANKAR BABAJI SAWANT,M,,,INC,12664
194,Maharashtra,1962,43,3,MAHAD,GEN,BALARAM GOVIND MORE,M,,,IND,5608
195,Maharashtra,1962,43,4,MAHAD,GEN,RAGHUNATH BABAJI MORE,M,,,REP,2050
196,Maharashtra,1962,43,5,MAHAD,GEN,LAXMAN BABU MALUSARE,M,,,JS,1027
1215,Maharashtra,1967,14,1,MAHAD,GEN,S. B. SAWANT,M,,,INC,23221
1216,Maharashtra,1967,14,2,MAHAD,GEN,K. R. PAWAR,M,,,PSP,21672
1217,Maharashtra,1967,14,3,MAHAD,GEN,R. B. MORE,M,,,RPI,2079
1218,Maharashtra,1967,14,4,MAHAD,GEN,D. B. PARTE,M,,,BJS,1728
1219,Maharashtra,1967,14,5,MAHAD,GEN,K. S. SALVE,M,,,IND,1370
2450,Maharashtra,1972,14,1,MAHAD,GEN,DIGAMBAR VINAYAK,M,,,SOP,27737
2451,Maharashtra,1972,14,2,MAHAD,GEN,KAMAL VICHARE,M,,,INC,22401
3647,Maharashtra,1978,12,1,MAHAD,GEN,PUROHIT NANA ALIAS DIGAMBAR VINAYAK,M,,,JNP,37413
3648,Maharashtra,1978,12,2,MAHAD,GEN,SHANKAR BABAJI ALIAS DADASAHEB SAWANT,M,,,INC,22046
3649,Maharashtra,1978,12,3,MAHAD,GEN,GHATGE PANDURANG GANGARAM,M,,,IND,2867
5465,Maharashtra,1980,12,1,MAHAD,GEN,CHANDRAKANT KHANDERAO DESHMUKH,M,,,INC,22879
5466,Maharashtra,1980,12,2,MAHAD,GEN,KISHOR PAWAR,M,,,JNP,14035
5467,Maharashtra,1980,12,3,MAHAD,GEN,SHANTARAM SHIVARAM PHILSE,M,,,IND,11658
5468,Maharashtra,1980,12,4,MAHAD,GEN,ARUN YESHWANT DESHMUKH,M,,,INC(U),5742
5469,Maharashtra,1980,12,5,MAHAD,GEN,MADHUKAR GANGARAM GAIKWAD,M,,,IND,3116
7026,Maharashtra,1985,12,1,MAHAD,GEN,SHANTARAM PHILSE,M,,,JNP,32040
7027,Maharashtra,1985,12,2,MAHAD,GEN,SUDHAKAR SHANKAR SAWANT,M,,,INC,31391
7028,Maharashtra,1985,12,3,MAHAD,GEN,ARUN DESHMUKH,M,,,IND,3788
7029,Maharashtra,1985,12,4,MAHAD,GEN,MADHUKAR GANGARAM GAIKWAD,M,,,IND,2645
7030,Maharashtra,1985,12,5,MAHAD,GEN,SHETH SHYAMSUNDAR TIKAM,M,,,IND,1247
7031,Maharashtra,1985,12,6,MAHAD,GEN,YADAV SIRJAN NAMKUBER,M,,,IND,921
9244,Maharashtra,1990,12,1,MAHAD,GEN,PRABHAKAR MORE,M,46,GEN,SHS,32220
9245,Maharashtra,1990,12,2,MAHAD,GEN,SUDHAKAR SAWANT,M,,,INC,29110
9246,Maharashtra,1990,12,3,MAHAD,GEN,PHILSE SHANTARAM SHIVARAM,M,,,JD,24937
9247,Maharashtra,1990,12,4,MAHAD,GEN,DESAI RATANRAO KAHSINATHRAO,M,,,IND,799
9248,Maharashtra,1990,12,5,MAHAD,GEN,GANESH BHAU BHALEKAR,M,,,IND,403
13034,Maharashtra,1995,12,1,MAHAD,GEN,PRABHAKAR MORE,M,51,GEN,SHS,41705
13035,Maharashtra,1995,12,2,MAHAD,GEN,ARUN DESHMUKH,M,,,INC,21123
13036,Maharashtra,1995,12,3,MAHAD,GEN,ADV. SUDHAKAR ALIAS ANNA SAWANT,M,,,IND,19094
13037,Maharashtra,1995,12,4,MAHAD,GEN,BABAJI PAWAR,M,,,PWP,8483
13038,Maharashtra,1995,12,5,MAHAD,GEN,BHOSALE BABURAO LAXUMANRAO,M,,,IND,4090
13039,Maharashtra,1995,12,6,MAHAD,GEN,LALE SUBHASH PARSHURAM,M,,,IND,1751
13040,Maharashtra,1995,12,7,MAHAD,GEN,DR. BELOSE RAJARAM GOVIND,M,,,JD,1291
13041,Maharashtra,1995,12,8,MAHAD,GEN,GHOLE ADIL GYASUDDIN,M,,,SJP(M),1280
13042,Maharashtra,1995,12,9,MAHAD,GEN,DESHPANDE ASHOK PANDURANG,M,,,IND,1240
13043,Maharashtra,1995,12,10,MAHAD,GEN,DABHEKAR HARIBHAU BABU,M,,,IND,665
13044,Maharashtra,1995,12,11,MAHAD,GEN,SHETH SUPRIYA SURESH,F,,,IND,431
17730,Maharashtra,1999,12,1,MAHAD,GEN,PRABHAKAR MORE,M,55,GEN,SHS,46212
17731,Maharashtra,1999,12,2,MAHAD,GEN,MANIK MOTIRAM JAGTAP,M,33,GEN,NCP,42965
17732,Maharashtra,1999,12,3,MAHAD,GEN,JADHAV SURESH DHONDIRAM,M,,,INC,4142
17733,Maharashtra,1999,12,4,MAHAD,GEN,GHOLE ADIL GYASUDDIN,M,,,SJP(M),398
17734,Maharashtra,1999,12,5,MAHAD,GEN,LALE SUBHASH PARSHURAM.,M,,,IND,145
19745,Maharashtra,2004,12,5,MAHAD,GEN,DESHMUKH PRAKASH KRUSHNARAO,M,39,GEN,BSP,1644
19746,Maharashtra,2004,12,3,MAHAD,GEN,KUNDAN KERU HATE,M,45,GEN,IND,2517
19747,Maharashtra,2004,12,2,MAHAD,GEN,PRABHAKAR MORE,M,60,GEN,SHS,53193
19748,Maharashtra,2004,12,7,MAHAD,GEN,AMOL ALIAS AVIKUMAR,M,35,GEN,IND,538
19749,Maharashtra,2004,12,6,MAHAD,GEN,KASARE SANTOSH BALARAM,M,32,GEN,PRBP,1555
19750,Maharashtra,2004,12,4,MAHAD,GEN,CHALKE SOPAN NAMDEO,M,55,GEN,PWPI,2478
19751,Maharashtra,2004,12,1,MAHAD,GEN,MANIK MOTIRAM JAGTAP,M,38,GEN,NCP,56972
24806,Maharashtra,2009,194,1,MAHAD,GEN,GOGAWALE BHARAT MARUTI,M,46,GEN,SHS,85650
24807,Maharashtra,2009,194,2,MAHAD,GEN,MANIK MOTIRAM JAGTAP,M,44,GEN,NCP,71600
24808,Maharashtra,2009,194,3,MAHAD,GEN,JADHAV KISHOR NARAYAN,M,41,GEN,MNS,2540
24809,Maharashtra,2009,194,4,MAHAD,GEN,SONDKAR RAJENDRA,M,42,SC,IND,2314
24810,Maharashtra,2009,194,5,MAHAD,GEN,MANGESH SUDAM TAMBE,M,36,SC,IND,1334
24811,Maharashtra,2009,194,6,MAHAD,GEN,MADHUKAR GANGARAM,M,58,SC,BSP,1332
24812,Maharashtra,2009,194,7,MAHAD,GEN,TADPHALE SHEKHAR,M,59,GEN,IND,405
24813,Maharashtra,2009,194,8,MAHAD,GEN,KUNDAN KERU HATE,M,50,SC,BBM,404
24814,Maharashtra,2009,194,9,MAHAD,GEN,PRABHAKAR MORE,M,46,GEN,IND,380
24815,Maharashtra,2014,194,1,MAHAD,GEN,GOGAWALE BHARAT MARUTI,M,51,GEN,SHS,94408
24816,Maharashtra,2014,194,2,MAHAD,GEN,MANIK MOTIRAM JAGTAP,M,47,GEN,INC,73152
24817,Maharashtra,2014,194,3,MAHAD,GEN,AMBONKAR UDAY ANANT,M,46,GEN,NCP,3258
24818,Maharashtra,2014,194,4,MAHAD,GEN,SUDHIR PARSHURAM MAHADIK,M,46,GEN,BJP,3066
24819,Maharashtra,2014,194,5,MAHAD,GEN,SURENDRA KASHIRAM CHAVAN,M,39,GEN,MNS,2538
24820,Maharashtra,2014,194,6,MAHAD,GEN,PRANAY BALIRAM SAWANT,M,43,GEN,BSP,1307
24821,Maharashtra,2014,194,7,MAHAD,GEN,None of the Above,,,,NOTA,1292
24822,Maharashtra,2014,194,8,MAHAD,GEN,ADV.MANGESH MADHUKAR HUMANE,M,39,GEN,BMUP,1073
24823,Maharashtra,2014,194,9,MAHAD,GEN,LAXMAN TUKARAM  NIMBALKAR,M,50,GEN,IND,1018
