ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
712,Maharashtra,1962,162,1,MALKAPUR,GEN,BHIKU PHAKIM PATIL,M,,,INC,22808
713,Maharashtra,1962,162,2,MALKAPUR,GEN,WAMAN TUKARAM NAPHADE,M,,,JS,15281
714,Maharashtra,1962,162,3,MALKAPUR,GEN,K. KH. SALAHODIN,M,,,IND,6215
715,Maharashtra,1962,162,4,MALKAPUR,GEN,SHALIGRAM SHIORAM SHIRAL,M,,,PWP,6055
716,Maharashtra,1962,162,5,MALKAPUR,GEN,SUGDEO VISHNU KHARATE,M,,,IND,1030
717,Maharashtra,1962,162,6,MALKAPUR,GEN,TUKARAM SUDAMA INGLE,M,,,IND,630
1595,Maharashtra,1967,94,1,MALKAPUR,GEN,A. S. DESHMUKH,M,,,INC,26733
1596,Maharashtra,1967,94,2,MALKAPUR,GEN,A. A. WANKHADE,M,,,BJS,22402
1597,Maharashtra,1967,94,3,MALKAPUR,GEN,S. K. KALASKAR,M,,,RPI,7985
1598,Maharashtra,1967,94,4,MALKAPUR,GEN,B. S. PATIL,M,,,SWA,662
1599,Maharashtra,1967,94,5,MALKAPUR,GEN,K. K. S. K. K. KUBRODDIN,M,,,PSP,420
1600,Maharashtra,1967,94,6,MALKAPUR,GEN,A. P. WANKHADE,M,,,IND,417
1601,Maharashtra,1967,94,7,MALKAPUR,GEN,A. V. TAYADE,M,,,IND,340
1602,Maharashtra,1967,94,8,MALKAPUR,GEN,B. S. WANKHADE,M,,,IND,234
2807,Maharashtra,1972,94,1,MALKAPUR,GEN,ARJUN AWADHUT WANKHADE,M,,,BJS,29812
2808,Maharashtra,1972,94,2,MALKAPUR,GEN,J. RAO M. RAO JADHAV,M,,,INC,28635
2809,Maharashtra,1972,94,3,MALKAPUR,GEN,SALAMKHAN DAUDKHAN,M,,,IND,1732
2810,Maharashtra,1972,94,4,MALKAPUR,GEN,RAMCHANDRA SAMPAT BORDE,M,,,IND,968
4186,Maharashtra,1978,102,1,MALKAPUR,GEN,WANKHADE ARJUN AWDHUT,M,,,JNP,34663
4187,Maharashtra,1978,102,2,MALKAPUR,GEN,MUNDHALA VINAYKUMAR PREMRATAN,M,,,INC,29406
4188,Maharashtra,1978,102,3,MALKAPUR,GEN,PATIL RAMESH BHAGWAN,M,,,INC,11369
5963,Maharashtra,1980,102,1,MALKAPUR,GEN,SANCHETI KISANLAL NATHMAL,M,,,BJP,23581
5964,Maharashtra,1980,102,2,MALKAPUR,GEN,MUNDHADA VINAYKUMAR PREMRATAN,M,,,INC,19674
5965,Maharashtra,1980,102,3,MALKAPUR,GEN,DESHMUKH ABARAO SUPRAO,M,,,INC(U),19099
5966,Maharashtra,1980,102,4,MALKAPUR,GEN,WAGH BHASKAR SOMAJI,M,,,RPI,2103
5967,Maharashtra,1980,102,5,MALKAPUR,GEN,BATHE BHANUDAS RAMCHANDRA,M,,,IND,1127
5968,Maharashtra,1980,102,6,MALKAPUR,GEN,INGALE DAGDU SHAMRAO,M,,,IND,738
5969,Maharashtra,1980,102,7,MALKAPUR,GEN,ABDUL MAJEED ABDUL QADDER,M,,,IND,573
5970,Maharashtra,1980,102,8,MALKAPUR,GEN,GAWANDE JANKIRAM ABHIMAN,M,,,IND,312
5971,Maharashtra,1980,102,9,MALKAPUR,GEN,NIKAM DEOCHAND RAMCHANDRA,M,,,IND,225
5972,Maharashtra,1980,102,10,MALKAPUR,GEN,SWALE BALIRAM MAROTI,M,,,RPK,214
5973,Maharashtra,1980,102,11,MALKAPUR,GEN,KSHIRSAGAR EKNATH DAMU,M,,,IND,100
7795,Maharashtra,1985,102,1,MALKAPUR,GEN,VASANTRAO RAMDAS SHINDE,M,,,INC,33042
7796,Maharashtra,1985,102,2,MALKAPUR,GEN,WANKHEDE ARJUNRAO AWADHUT,M,,,BJP,31356
7797,Maharashtra,1985,102,3,MALKAPUR,GEN,WAKODE TULSHIRAM SOMAJI,M,,,IND,7064
7798,Maharashtra,1985,102,4,MALKAPUR,GEN,MORE MURLIDHAR MAHADU,M,,,IND,1077
7799,Maharashtra,1985,102,5,MALKAPUR,GEN,SHINDE SURYABHAN MAROTI,M,,,RPI,1011
7800,Maharashtra,1985,102,6,MALKAPUR,GEN,TAPRE BHAURAO NAMDEO,M,,,IND,313
7801,Maharashtra,1985,102,7,MALKAPUR,GEN,RAJESH MUKUNDRAO INGLE,M,,,IND,197
7802,Maharashtra,1985,102,8,MALKAPUR,GEN,KSHIRSAGAR EKNATH DAMU,M,,,IND,92
7803,Maharashtra,1985,102,9,MALKAPUR,GEN,SAWALE SADASHIV GUNAJI,M,,,IND,77
7804,Maharashtra,1985,102,10,MALKAPUR,GEN,UTTAMRAO SHANKARRAO MORE,M,,,IND,62
10194,Maharashtra,1990,102,1,MALKAPUR,GEN,TANGADE DAYARAM SUGDEO,M,,,BJP,33578
10195,Maharashtra,1990,102,2,MALKAPUR,GEN,KOLTE DINKAR YADAO,M,,,INC,30578
10196,Maharashtra,1990,102,3,MALKAPUR,GEN,SHARMA DAMODHAR NATHMAL,M,,,JD,10532
10197,Maharashtra,1990,102,4,MALKAPUR,GEN,LAHULKAR VASANTRAO NARAYAN,M,,,ICS(SCS),9293
10198,Maharashtra,1990,102,5,MALKAPUR,GEN,PATIL GANESHARAO BABARAO,M,,,MMS,8642
10199,Maharashtra,1990,102,6,MALKAPUR,GEN,CHOPADE NARAYAN SURYABHAN,M,,,IND,954
10200,Maharashtra,1990,102,7,MALKAPUR,GEN,NARWADE BUDHAJI SURYABHAN,M,,,IND,560
10201,Maharashtra,1990,102,8,MALKAPUR,GEN,DANGE NARAYAN SHANKAR,M,,,IND,351
10202,Maharashtra,1990,102,9,MALKAPUR,GEN,INGLE LAXMAN BANDU,M,,,DDP,312
10203,Maharashtra,1990,102,10,MALKAPUR,GEN,KHARATE DAYARAM SHANKAR,M,,,IND,279
10204,Maharashtra,1990,102,11,MALKAPUR,GEN,MUKUND BASANTRAO WAMANRAO,M,,,IND,185
10205,Maharashtra,1990,102,12,MALKAPUR,GEN,AFSARKHA SHABSAKHA,M,,,IND,182
10206,Maharashtra,1990,102,13,MALKAPUR,GEN,SHARMA SAHADEO CHIRANJILAL,M,,,IND,160
10207,Maharashtra,1990,102,14,MALKAPUR,GEN,JADHAO SHANTARAM EKNATH,M,,,IND,145
10208,Maharashtra,1990,102,15,MALKAPUR,GEN,WAKODE KISAN GUNAJI,M,,,IND,122
10209,Maharashtra,1990,102,16,MALKAPUR,GEN,KSHIRSAGAR EKNATH DAMU,M,,,HJP,73
10210,Maharashtra,1990,102,17,MALKAPUR,GEN,SAWALE SADASHIO GUNAJI,M,,,IND,42
14283,Maharashtra,1995,102,1,MALKAPUR,GEN,CHAINSUKH MADANLAL SANCHETI,M,42,GEN,IND,39492
14284,Maharashtra,1995,102,2,MALKAPUR,GEN,MORE SAHEBRAO SADASHIV,M,,,JD,26472
14285,Maharashtra,1995,102,3,MALKAPUR,GEN,FUNDKAR TOTARAM SITARAM,M,,,INC,16361
14286,Maharashtra,1995,102,4,MALKAPUR,GEN,TANGDE DAYARAM SUGDEO,M,,,BJP,14816
14287,Maharashtra,1995,102,5,MALKAPUR,GEN,TAYADE VASANT MANOHAR,M,,,BBMS,11122
14288,Maharashtra,1995,102,6,MALKAPUR,GEN,NAFDE AVINASH WAMANRAO,M,,,IND,10814
14289,Maharashtra,1995,102,7,MALKAPUR,GEN,CHAUDHARI REKHA PRADIPKUMAR,F,,,DDP,902
14290,Maharashtra,1995,102,8,MALKAPUR,GEN,JADHAO RAJENDRASING JULALSING,M,,,IND,397
14291,Maharashtra,1995,102,9,MALKAPUR,GEN,JADHAO DASHARATH RAJARAM,M,,,IND,356
14292,Maharashtra,1995,102,10,MALKAPUR,GEN,PARASHAR PRAKASH ANANTPRASAD,M,,,IND,290
14293,Maharashtra,1995,102,11,MALKAPUR,GEN,K.M. KADARI,M,,,IND,266
14294,Maharashtra,1995,102,12,MALKAPUR,GEN,MUKUND BASANTRAO WAMANRAO,M,,,IND,211
14295,Maharashtra,1995,102,13,MALKAPUR,GEN,MANDWALE RAMKRUSHNA GANPAT,M,,,IND,179
14296,Maharashtra,1995,102,14,MALKAPUR,GEN,CHOPDE SUMANBAI LAXAMANRAO,F,,,IND,152
14297,Maharashtra,1995,102,15,MALKAPUR,GEN,LONKAR RAMDHAN GANU,M,,,IND,111
14298,Maharashtra,1995,102,16,MALKAPUR,GEN,PROF. AJAY RAMKRISHNA DHUNDALE,M,,,IND,92
18323,Maharashtra,1999,102,1,MALKAPUR,GEN,CHAINSUKH MADANLAL SANCHETI,M,46,GEN,BJP,47192
18324,Maharashtra,1999,102,2,MALKAPUR,GEN,JAMADAR RASHIDKHAN YUSUFKHAN,M,,,INC,30346
18325,Maharashtra,1999,102,3,MALKAPUR,GEN,DR. ARVIND KOLTE,M,42,GEN,IND,16157
18326,Maharashtra,1999,102,4,MALKAPUR,GEN,MORE SAHEBRAO SADASHIV,M,,,NCP,16069
18327,Maharashtra,1999,102,5,MALKAPUR,GEN,ZAMBRE RAMBHAU TRYAMBAK,M,,,IND,2367
20514,Maharashtra,2004,102,2,MALKAPUR,GEN,DR. ARVIND KOLTE,M,47,GEN,INC,45898
20515,Maharashtra,2004,102,6,MALKAPUR,GEN,GAVANDE DILIP RAJARAM,M,39,GEN,BBM,2646
20516,Maharashtra,2004,102,4,MALKAPUR,GEN,VINAYKUMAR PREMRATAN,M,54,GEN,BSP,4459
