ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
3381,Maharashtra,1972,211,1,MALSHIRAS,GEN,DESHMUKH C. ABASAHEB,M,,,INC,
5043,Maharashtra,1978,225,1,MALSHIRAS,GEN,PATI SHAMRAO BHIMRAO,M,,,JNP,48473
5044,Maharashtra,1978,225,2,MALSHIRAS,GEN,MOHITE PATIL SHANKARRAO NARAYANRAO,M,,,INC,37025
5045,Maharashtra,1978,225,3,MALSHIRAS,GEN,SALVE SUBHANA CHILU,M,,,IND,505
5046,Maharashtra,1978,225,4,MALSHIRAS,GEN,PATIL DHARMRAJ MANIKRAO,M,,,IND,480
6639,Maharashtra,1980,225,1,MALSHIRAS,GEN,MOHITE PATIL VIJAYSINHA SHANKARRAO,M,37,GEN,IND,64086
6640,Maharashtra,1980,225,2,MALSHIRAS,GEN,PATIL SHIVAJIRAO BHAVANRAO,M,,,JNP,25655
6641,Maharashtra,1980,225,3,MALSHIRAS,GEN,PATIL SHAMRAO BHIMRAO,M,,,IND,540
6642,Maharashtra,1980,225,4,MALSHIRAS,GEN,SALAVE SUBHANA CHILU,M,,,IND,423
8774,Maharashtra,1985,225,1,MALSHIRAS,GEN,MOHITE PATIL VIJAYSINHA SHANKARRAO,M,42,GEN,INC,89397
8775,Maharashtra,1985,225,2,MALSHIRAS,GEN,TATE SUBHASH MAHADEO,M,,,ICS,16635
8776,Maharashtra,1985,225,3,MALSHIRAS,GEN,BHAGWAT KERU GAIKWAD,M,,,IND,577
8777,Maharashtra,1985,225,4,MALSHIRAS,GEN,MANE DESHMUKH HANSAJIROA HANAMANTRAO,M,,,IND,516
8778,Maharashtra,1985,225,5,MALSHIRAS,GEN,SALVE SUBHANRAO CHILU,M,,,IND,131
12351,Maharashtra,1990,225,1,MALSHIRAS,GEN,MOHITE PATIL VIJAYSINHA SHANKARRAO,M,47,GEN,INC,84747
12352,Maharashtra,1990,225,2,MALSHIRAS,GEN,PATIL SUBHASH BALASAHEB,M,,,BJP,44445
12353,Maharashtra,1990,225,3,MALSHIRAS,GEN,PATIL PITAMBAR TANAKU,M,,,DDP,1086
12354,Maharashtra,1990,225,4,MALSHIRAS,GEN,PATIL DHARAMRAJ MANIKRAO,M,,,JD,427
12355,Maharashtra,1990,225,5,MALSHIRAS,GEN,SALVE SUBHANRAO CHILU,M,,,IND,228
16875,Maharashtra,1995,225,1,MALSHIRAS,GEN,MOHITE PATIL VIJAYSINHA SHANKARRAO,M,52,GEN,INC,84709
16876,Maharashtra,1995,225,2,MALSHIRAS,GEN,PATIL SUBHASH BALASAHEB,M,,,BJP,65247
16877,Maharashtra,1995,225,3,MALSHIRAS,GEN,PATIL SHAMRAO BHIMRAO,M,,,IND,2768
16878,Maharashtra,1995,225,4,MALSHIRAS,GEN,PATIL RAVINDRA GAMBHIR,M,,,DDP,1037
16879,Maharashtra,1995,225,5,MALSHIRAS,GEN,PRABHAKAR BANDAPPA SHETE,M,,,IND,541
19291,Maharashtra,1999,225,1,MALSHIRAS,GEN,MOHITE PATIL VIJAYSINHA SHANKARRAO,M,56,GEN,NCP,76576
19292,Maharashtra,1999,225,2,MALSHIRAS,GEN,PATIL SUBHASH BALASAHEB,M,,,BJP,56692
19293,Maharashtra,1999,225,3,MALSHIRAS,GEN,PATIL PRAKASH SHAMRAO,M,,,INC,5064
19294,Maharashtra,1999,225,4,MALSHIRAS,GEN,VASTAD BHUSARE NIVRUTI BHAGWAT,M,,,IND,3082
21894,Maharashtra,2004,225,3,MALSHIRAS,GEN,MOTE AJITKUMAR (KAKA) SHIVAJI,M,30,GEN,BJP,24013
21895,Maharashtra,2004,225,2,MALSHIRAS,GEN,DESHMUKH RAMDAS ABASAHEB,M,32,GEN,BSP,27831
21896,Maharashtra,2004,225,4,MALSHIRAS,GEN,RUPNAVAR ANNASAHEB BALWANT,M,38,GEN,RSPS,5165
