ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
455,Maharashtra,1962,102,1,MAN,SC,LAXMAN BABAJI BHINGARDEVE,M,,,INC,24624
456,Maharashtra,1962,102,2,MAN,SC,KHANDERAO SAKHARAM SAVANT,M,,,REP,4061
457,Maharashtra,1962,102,3,MAN,SC,GUNDOPANT BALAJI MANE,M,,,IND,1891
458,Maharashtra,1962,102,4,MAN,SC,KOYANA KRISHNA KHADE,F,,,IND,942
2300,Maharashtra,1967,243,1,MAN,SC,P. T. SONAWANE,M,,,INC,26554
2301,Maharashtra,1967,243,2,MAN,SC,G. B. MANE,M,,,RPI,13741
2302,Maharashtra,1967,243,3,MAN,SC,V. H. SHINDE,M,,,IND,3934
2303,Maharashtra,1967,243,4,MAN,SC,N. B. MANE,M,,,IND,3237
3500,Maharashtra,1972,243,1,MAN,SC,PRABHAWATI G SHINDE,M,,,INC,30271
3501,Maharashtra,1972,243,2,MAN,SC,BHOSALE BAPURAO SHIWARAM,M,,,IND,5528
3502,Maharashtra,1972,243,3,MAN,SC,KHARAT DINKAR TATYA,M,,,RPI,3397
3503,Maharashtra,1972,243,4,MAN,SC,POL SARJERAO NANASAHEB,M,,,BJS,1597
3504,Maharashtra,1972,243,5,MAN,SC,GANPATRAO M. AHIWALE,M,,,RPK,952
3505,Maharashtra,1972,243,6,MAN,SC,SHANKUNTALA J. INGALE,M,,,IND,381
5234,Maharashtra,1978,259,1,MAN,SC,SONAVANE VISHNU TATOBA,M,,,INC,31541
5235,Maharashtra,1978,259,2,MAN,SC,LAVANGARE NITIN JAGANNATH,M,,,JNP,19622
5236,Maharashtra,1978,259,3,MAN,SC,BHINGERDEVE JIJABA TUKARAM,M,,,INC,5811
5237,Maharashtra,1978,259,4,MAN,SC,BHOSALE BAPURAO SHIVRAM,M,,,IND,3096
5238,Maharashtra,1978,259,5,MAN,SC,DUPATE RAGHUNATHRAO BALAVANT,M,,,IND,1197
5239,Maharashtra,1978,259,6,MAN,SC,SHINDE SHANKARRAO DADU,M,,,IND,1028
6816,Maharashtra,1980,259,1,MAN,SC,SONAVANE VISHNU TATOBA,M,,,INC(U),32307
6817,Maharashtra,1980,259,2,MAN,SC,MANE GUNDOPANT BALAJI,M,,,INC,28101
6818,Maharashtra,1980,259,3,MAN,SC,LAWANGARE NITIN JAGNNATH,M,,,JNP,1096
6819,Maharashtra,1980,259,4,MAN,SC,BHOSALE BAPURAO SHIVARAM,M,,,BJP,956
6820,Maharashtra,1980,259,5,MAN,SC,GAIKWAD NIVARUTI BALVANT,M,,,IND,850
6821,Maharashtra,1980,259,6,MAN,SC,JAWALE BALASAHEB TATYABA,M,,,RPI,801
6822,Maharashtra,1980,259,7,MAN,SC,DUPATE RAGHUNATH BALVANT,M,,,IND,484
6823,Maharashtra,1980,259,8,MAN,SC,PALANGE DAMODAR PANDURANT,M,,,IND,292
6824,Maharashtra,1980,259,9,MAN,SC,SONAWANE UTTAM KASHINATH,M,,,IND,250
9033,Maharashtra,1985,259,1,MAN,SC,SONAWANE VISHNU TATOBA,M,,,ICS,41092
9034,Maharashtra,1985,259,2,MAN,SC,MANE GUNDOPANT BALAJI,M,,,INC,32513
9035,Maharashtra,1985,259,3,MAN,SC,MANE POPATRAO GULABRAO,M,,,IND,1248
9036,Maharashtra,1985,259,4,MAN,SC,BHOSALE BAPURAO SHIVRAM,M,,,IND,405
9037,Maharashtra,1985,259,5,MAN,SC,LONDHE JANARADHAN SHANKAR,M,,,IND,358
9038,Maharashtra,1985,259,6,MAN,SC,PALANGE VASANTRAO PANDURANG,M,,,IND,242
12711,Maharashtra,1990,259,1,MAN,SC,WAGHMARE DHONDIRAM GANAPATI,M,,,IND,38490
12712,Maharashtra,1990,259,2,MAN,SC,SONAWANE VISHNU TATOBA,M,,,IND,36036
12713,Maharashtra,1990,259,3,MAN,SC,SONAWANE HARIDAS KRISHNA,M,,,SHS,9424
12714,Maharashtra,1990,259,4,MAN,SC,TUPE DILIP RAMCHANDRA,M,,,JD,7405
12715,Maharashtra,1990,259,5,MAN,SC,MANE AJITKUMAR ANANDRAO,M,,,IND,3455
12716,Maharashtra,1990,259,6,MAN,SC,MHASKE KAMAL TUKARAM,F,,,IND,1533
12717,Maharashtra,1990,259,7,MAN,SC,SARATAPA MAHADEO SOPAN,M,,,IND,1054
12718,Maharashtra,1990,259,8,MAN,SC,AWALE NAMDEO DADU,M,,,IND,488
12719,Maharashtra,1990,259,9,MAN,SC,BAILE ASHOK MARUTI,M,,,IND,320
12720,Maharashtra,1990,259,10,MAN,SC,GHODAKE PRALHAD MADHABRAO,M,,,IND,267
12721,Maharashtra,1990,259,11,MAN,SC,SHINDE VISHWANATH HARIBHAU,M,,,IND,216
12722,Maharashtra,1990,259,12,MAN,SC,SHINDE BHAGYAWAN KRISHNAJI,M,,,IND,121
17366,Maharashtra,1995,259,1,MAN,SC,WAGHMARE DHONDIRAM GANAPATI,M,,,IND,66765
17367,Maharashtra,1995,259,2,MAN,SC,SONAVANE V.T.,M,,,INC,42844
17368,Maharashtra,1995,259,3,MAN,SC,KHADE J.G.,M,,,SHS,6189
17369,Maharashtra,1995,259,4,MAN,SC,SAWANT N.B.,F,,,BSP,3566
17370,Maharashtra,1995,259,5,MAN,SC,ADHAV C.B.,M,,,IND,1656
17371,Maharashtra,1995,259,6,MAN,SC,KENGAR P.C.,M,,,IND,896
17372,Maharashtra,1995,259,7,MAN,SC,AWAGHADE T.K.,M,,,IND,747
17373,Maharashtra,1995,259,8,MAN,SC,LOKHANDE D.E.,M,,,IND,593
17374,Maharashtra,1995,259,9,MAN,SC,KAMBALE A.P.,M,,,IND,530
17375,Maharashtra,1995,259,10,MAN,SC,GHODAKE P.M.,M,,,IND,324
17376,Maharashtra,1995,259,11,MAN,SC,BHOSALE A.J.,M,,,JD,244
17377,Maharashtra,1995,259,12,MAN,SC,BHONDAVE J.S.,M,,,IND,220
17378,Maharashtra,1995,259,13,MAN,SC,BAGAV U.M.,M,,,IND,201
17379,Maharashtra,1995,259,14,MAN,SC,SALAVI C.N.,M,,,IND,163
19524,Maharashtra,1999,259,1,MAN,SC,TUPE TUKARAM NAMDEO,M,,,NCP,45993
19525,Maharashtra,1999,259,2,MAN,SC,WAGHMARE DHONDIRAM GANAPATI,M,,,INC,34876
19526,Maharashtra,1999,259,3,MAN,SC,TUPE DILIP RAMCHANDRA,M,,,SHS,25902
19527,Maharashtra,1999,259,4,MAN,SC,BAPURAO NABAJI KAMBALE,M,,,ABHS,1054
19528,Maharashtra,1999,259,5,MAN,SC,SHIVAJI PUNAJI TUPE,M,,,IND,905
19529,Maharashtra,1999,259,6,MAN,SC,DR RAJKUMAR HARI POL,M,,,IND,437
19530,Maharashtra,1999,259,7,MAN,SC,ANIL SAMBHAJI SHINDE,M,,,IND,255
19531,Maharashtra,1999,259,8,MAN,SC,ROHIDAS SAKHARAM PAWAR,M,,,IND,162
19532,Maharashtra,1999,259,9,MAN,SC,SONAWANE TAYAPPA SAMBHAJI,M,,,IND,133
22159,Maharashtra,2004,259,9,MAN,SC,LONDHE JANARDAN SHANKAR,M,48,SC,IND,1550
22160,Maharashtra,2004,259,1,MAN,SC,AWAGHADE SAMPATRAO GANAPAT,M,50,SC,NCP,58398
22161,Maharashtra,2004,259,6,MAN,SC,SHINDE SHANKARRAO DADU,M,60,SC,IND,2316
22162,Maharashtra,2004,259,7,MAN,SC,AWALE NAMDEO DADU,M,52,SC,IND,2111
22163,Maharashtra,2004,259,3,MAN,SC,TUPE DILIP RAMCHANDRA,M,41,SC,RSPS,23416
22164,Maharashtra,2004,259,5,MAN,SC,SHILWANT RHUSHIKESH,M,30,SC,BSP,3149
22165,Maharashtra,2004,259,8,MAN,SC,UMAPE TUKARAM BHANUDAS,M,25,SC,IND,1657
22166,Maharashtra,2004,259,2,MAN,SC,MANE BABURAO JOTIRAM,M,30,SC,SHS,39095
22167,Maharashtra,2004,259,4,MAN,SC,TUPE TUKARAM NAMDEO,M,46,SC,IND,12021
25644,Maharashtra,2009,258,1,MAN,GEN,JAYKUMAR BHAGWANRAO GORE,M,35,GEN,IND,60703
25645,Maharashtra,2009,258,2,MAN,GEN,SADASHIVA AABAJI POL,M,67,GEN,NCP,56605
25646,Maharashtra,2009,258,3,MAN,GEN,DR.YELGAONKAR DILIP,M,55,GEN,BJP,41585
25647,Maharashtra,2009,258,4,MAN,GEN,GUDAGE SURENDRA,M,38,GEN,RSPS,18870
25648,Maharashtra,2009,258,5,MAN,GEN,SURESH DADU SHINDE,M,45,GEN,IND,2461
25649,Maharashtra,2009,258,6,MAN,GEN,SANGITA PANDURANG,F,30,GEN,IND,2066
25650,Maharashtra,2009,258,7,MAN,GEN,SABLE KAUSHALYA,F,33,GEN,BSP,1123
25651,Maharashtra,2009,258,8,MAN,GEN,GHUTUKADE DILIP SHRIPATI,M,45,GEN,IND,1082
25652,Maharashtra,2009,258,9,MAN,GEN,DINESH GAJANAN KASHID,M,29,GEN,IND,886
