ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
273,Maharashtra,1962,57,1,MAVAL,GEN,NAMDEO SADASHIV MOHOL,M,,,INC,26247
274,Maharashtra,1962,57,2,MAVAL,GEN,BHEGADE NATHUBHAU BABURAO,M,,,JS,13862
275,Maharashtra,1962,57,3,MAVAL,GEN,SUBHAN JAYARANI VAIDYA,M,,,CPI,3564
276,Maharashtra,1962,57,4,MAVAL,GEN,MORESHWAR GOPAL BAWARE,M,,,PSP,2555
2224,Maharashtra,1967,228,1,MAVAL,GEN,R. S. SATKAR,M,,,INC,19525
2225,Maharashtra,1967,228,2,MAVAL,GEN,BHEGADE KRISHNARAO DHONDIBA,M,,,BJS,19066
2226,Maharashtra,1967,228,3,MAVAL,GEN,D. L. GAIKWAD,M,,,RPI,3239
2227,Maharashtra,1967,228,4,MAVAL,GEN,G. R. TKALE,M,,,PSP,2207
2228,Maharashtra,1967,228,5,MAVAL,GEN,Y. S. GAIKWAD,M,,,IND,1168
2229,Maharashtra,1967,228,6,MAVAL,GEN,S. V. KARVE,M,,,SWA,353
3433,Maharashtra,1972,228,1,MAVAL,GEN,BHEGADE KRISHNARAO DHONDIBA,M,,,BJS,27730
3434,Maharashtra,1972,228,2,MAVAL,GEN,SATKAR RAGHUNATH SHANKAR,M,,,INC,24094
3435,Maharashtra,1972,228,3,MAVAL,GEN,GAIKWAD T. GANPAT,M,,,RPK,2496
3436,Maharashtra,1972,228,4,MAVAL,GEN,SHAIKH ISMAIL IBRAHIM,M,,,RPI,1799
5131,Maharashtra,1978,243,1,MAVAL,GEN,BHEGADE KRISHNARAO DHONDIBA,M,,,INC,38514
5132,Maharashtra,1978,243,2,MAVAL,GEN,BHEGADE NATHUBHAU BABURAO,M,,,JNP,29181
5133,Maharashtra,1978,243,3,MAVAL,GEN,JADHAV SHASHIKANT BHIMRAO,M,,,IND,3777
6727,Maharashtra,1980,243,1,MAVAL,GEN,GADE PATIL B. S.,M,,,INC,23032
6728,Maharashtra,1980,243,2,MAVAL,GEN,BHEGADE KRISHNARAO DHONDIBA,M,,,INC(U),21500
6729,Maharashtra,1980,243,3,MAVAL,GEN,VISHWANTH BHEGADE,M,,,BJP,13599
6730,Maharashtra,1980,243,4,MAVAL,GEN,RAJ SALVE,M,,,IND,3217
6731,Maharashtra,1980,243,5,MAVAL,GEN,VITHAL DHONDIBA VANJARE,M,,,IND,294
8900,Maharashtra,1985,243,1,MAVAL,GEN,BAFNA MADANLAL HARAKCHAND,M,45,GEN,INC,37028
8901,Maharashtra,1985,243,2,MAVAL,GEN,BHEGDE VISHWANATH RAMBHAU,M,,,BJP,30071
8902,Maharashtra,1985,243,3,MAVAL,GEN,SHETTI UMESH RAMCHANDRA,M,,,IND,4948
8903,Maharashtra,1985,243,4,MAVAL,GEN,JADHAV SHASHIKANT BHIMRAO,M,,,IND,3138
8904,Maharashtra,1985,243,5,MAVAL,GEN,JADHAV MURLIDHAR MARUTI,M,,,IND,1542
8905,Maharashtra,1985,243,6,MAVAL,GEN,GAIKWAD GORAKHNATH SITARAM,M,,,IND,426
8906,Maharashtra,1985,243,7,MAVAL,GEN,JOSHI MAHESH RAJARAM,M,,,IND,373
12532,Maharashtra,1990,243,1,MAVAL,GEN,BAFNA MADANLAL HARAKCHAND,M,50,GEN,INC,45469
12533,Maharashtra,1990,243,2,MAVAL,GEN,BHEGDE VISHWANATH RAMBHAU,M,,,BJP,40004
12534,Maharashtra,1990,243,3,MAVAL,GEN,SATKAR CHANDRAKANT APPAJI,M,,,IND,17881
12535,Maharashtra,1990,243,4,MAVAL,GEN,SHINDE SADASHIV GANPAT,M,,,JD,4323
12536,Maharashtra,1990,243,5,MAVAL,GEN,GAIKWAD TRYAMBAK GANPAT,M,,,IND,1369
12537,Maharashtra,1990,243,6,MAVAL,GEN,MULANI JAHANGIR ABDUL,M,,,IND,250
12538,Maharashtra,1990,243,7,MAVAL,GEN,KADAM PANDURANG GANPAT,M,,,DDP,190
17121,Maharashtra,1995,243,1,MAVAL,GEN,DHORE RUPLEKHA KHANDERAO,F,,,BJP,71452
17122,Maharashtra,1995,243,2,MAVAL,GEN,BAFNA MADANLAL HARAKCHAND,M,55,GEN,INC,50900
17123,Maharashtra,1995,243,3,MAVAL,GEN,MHALASKAR SOPAN BABURAO,M,,,JD,3382
17124,Maharashtra,1995,243,4,MAVAL,GEN,MORE BHARAT DAGADU,M,,,IND,2839
17125,Maharashtra,1995,243,5,MAVAL,GEN,AWALE SAMBHAJI GUNDU,M,,,IND,2377
17126,Maharashtra,1995,243,6,MAVAL,GEN,UNKULE ANIL RAMCHANDRA,M,,,IND,2152
17127,Maharashtra,1995,243,7,MAVAL,GEN,KADAM PANDURANG GANPAT,M,,,DDP,960
17128,Maharashtra,1995,243,8,MAVAL,GEN,ZAREKAR BHAGWANRAO PANDHARI,M,,,IND,417
17129,Maharashtra,1995,243,9,MAVAL,GEN,SALUNKHE RAJENDRA BABURAO,M,,,IND,148
19414,Maharashtra,1999,243,1,MAVAL,GEN,BHEGDE DIGAMBAR BALOBA,M,,,BJP,46970
19415,Maharashtra,1999,243,2,MAVAL,GEN,BHEGADE KRISHNARAO DHONDIBA,M,,,NCP,30725
19416,Maharashtra,1999,243,3,MAVAL,GEN,SATKAR CHANDRAKANT APPASO,M,,,INC,29628
19417,Maharashtra,1999,243,4,MAVAL,GEN,SANDHYATAI NANDKUMAR KALOKHE,F,,,IND,444
19418,Maharashtra,1999,243,5,MAVAL,GEN,PRAKASH GANAPAT KADAM,M,,,IND,329
19419,Maharashtra,1999,243,6,MAVAL,GEN,GADIYA SANJAY PUKHRAJ,M,,,IND,320
19420,Maharashtra,1999,243,7,MAVAL,GEN,MURALIDHAR MARUTI JADHAV,M,,,IND,275
19421,Maharashtra,1999,243,8,MAVAL,GEN,DHUTADMAL SANJAY JAYRAM,M,,,IND,165
19422,Maharashtra,1999,243,9,MAVAL,GEN,TANTARPALE DHARMAPAL YASHWANTRAO,M,,,IND,158
22026,Maharashtra,2004,243,4,MAVAL,GEN,MORE BHARAT DAGDU,M,45,GEN,PWPI,3456
22027,Maharashtra,2004,243,2,MAVAL,GEN,BAFNA MADANLAL HARAKCHAND,M,64,GEN,NCP,46300
22028,Maharashtra,2004,243,6,MAVAL,GEN,TUKARAM APPA RANSINGH,M,30,SC,BSP,2639
22029,Maharashtra,2004,243,7,MAVAL,GEN,BHARATLAL MITHAILAL PARDESHI,M,38,GEN,LJNSP,1563
22030,Maharashtra,2004,243,1,MAVAL,GEN,BHEGDE DIGAMBAR BALOBA,M,56,GEN,BJP,49612
22031,Maharashtra,2004,243,5,MAVAL,GEN,BANSODE TUKARAM VAMANRAO,M,60,SC,IND,3300
22032,Maharashtra,2004,243,3,MAVAL,GEN,DNYANOBA ALIAS MAULI DABHADE,M,60,GEN,IND,40219
24906,Maharashtra,2009,204,1,MAVAL,GEN,BHEGADE SANJAY (BALA) VISHWANATH,M,33,GEN,BJP,83158
24907,Maharashtra,2009,204,2,MAVAL,GEN,BAPU JAYWANTRAO,M,42,GEN,NCP,68840
24908,Maharashtra,2009,204,3,MAVAL,GEN,RAMESH RAMCHANDRA,M,48,SC,RPI(A),15160
24909,Maharashtra,2009,204,4,MAVAL,GEN,RAJU NAMDEV PINJAN,M,37,GEN,MNS,8472
24910,Maharashtra,2009,204,5,MAVAL,GEN,KALOKHE DNYANOBA KISAN,M,51,GEN,BSP,2559
24911,Maharashtra,2009,204,6,MAVAL,GEN,PRAKASHDADA JAIN,M,54,GEN,IND,2100
24912,Maharashtra,2009,204,7,MAVAL,GEN,ADV. NAVNATH KUNDLIK,M,51,SC,BBM,1356
24913,Maharashtra,2009,204,8,MAVAL,GEN,KADU GENU BABURAO,M,60,GEN,IND,1171
24914,Maharashtra,2009,204,9,MAVAL,GEN,UMAKANT RAMESHWAR,M,37,GEN,IND,758
24915,Maharashtra,2014,204,1,MAVAL,GEN,BHEGADE SANJAY (BALA) VISHWANATH,M,38,GEN,BJP,95319
24916,Maharashtra,2014,204,2,MAVAL,GEN,DNYANOBA ALIAS MAULI DABHADE,M,70,GEN,NCP,67318
24917,Maharashtra,2014,204,2,MAVAL,GEN,KIRAN SHANKAR GAIKWAD,M,44,GEN,INC,17624
24918,Maharashtra,2014,204,2,MAVAL,GEN,MACCHINDRA BABANRAO KHARADE,M,43,GEN,SHS,17385
24919,Maharashtra,2014,204,2,MAVAL,GEN,MANGESH DNYANESHWAR WALUNJ,M,29,GEN,MNS,3792
24920,Maharashtra,2014,204,2,MAVAL,GEN,None of the Above,,,,NOTA,2006
24921,Maharashtra,2014,204,2,MAVAL,GEN,BHALERAO PRAMOD EKNATH,M,44,SC,BSP,1955
24922,Maharashtra,2014,204,2,MAVAL,GEN,TANTARPALE GOAPL YASHWANTRAO,M,49,SC,IND,1195
24923,Maharashtra,2014,204,2,MAVAL,GEN,MUKUNADA RAKHMA KEDARI,M,45,ST,IND,1142
24924,Maharashtra,2014,204,2,MAVAL,GEN,SAMBHAJI SHIVRAM WAGHMARE,M,35,GEN,IND,544
