ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
731,Maharashtra,1962,165,1,MEHKAR,GEN,ANNASAHEB DESHMUKH ALIAS SHANKARRAO,M,,,INC,25957
732,Maharashtra,1962,165,2,MEHKAR,GEN,KISAN TUKARAM SANGLE,M,,,IND,18803
733,Maharashtra,1962,165,3,MEHKAR,GEN,RAMKRISHNA ABAJI JADHAO,M,,,PWP,5456
1617,Maharashtra,1967,98,1,MEHKAR,GEN,S. C. LODHE,M,,,INC,25232
1618,Maharashtra,1967,98,2,MEHKAR,GEN,G. V. TALE,M,,,RPI,19895
1619,Maharashtra,1967,98,3,MEHKAR,GEN,B. H. DALIMKAR,M,,,BJS,12753
1620,Maharashtra,1967,98,4,MEHKAR,GEN,P. G. ATHAVALE,M,,,IND,2527
2826,Maharashtra,1972,98,1,MEHKAR,GEN,SITARAM CHINKAJI LODHE,M,,,INC,30022
2827,Maharashtra,1972,98,2,MEHKAR,GEN,TALE YADAORAO VITHOBA,M,,,IND,26548
2828,Maharashtra,1972,98,3,MEHKAR,GEN,KISAN GOVINDA KAKDE,M,,,RPI,3288
2829,Maharashtra,1972,98,4,MEHKAR,GEN,JANUJI GYANUJI GHUMRE,M,,,IND,1116
4206,Maharashtra,1978,106,1,MEHKAR,GEN,SAOJI SUBODH KESHAV,M,,,INC,39163
4207,Maharashtra,1978,106,2,MEHKAR,GEN,BAJAD ANANT TULSHIRAM,M,,,IND,16848
4208,Maharashtra,1978,106,3,MEHKAR,GEN,LODHE SITARAM GHINKAJI,M,,,INC,16280
4209,Maharashtra,1978,106,4,MEHKAR,GEN,SAWALE RAJABHAU DHANAJI,M,,,RPK,1020
4210,Maharashtra,1978,106,5,MEHKAR,GEN,JADHAO RAMKRISHANRAO ABAHI,M,,,PWP,528
5993,Maharashtra,1980,106,1,MEHKAR,GEN,SANGLE KISANRAO TUKARAM,M,,,INC,38481
5994,Maharashtra,1980,106,2,MEHKAR,GEN,KALE ASHRU BALIRAM,M,,,INC(U),22388
5995,Maharashtra,1980,106,3,MEHKAR,GEN,NAMDEO DAULAT SHEWALE,M,,,BJP,4704
7827,Maharashtra,1985,106,1,MEHKAR,GEN,SAOJI SUBODH KESHAV,M,,,IND,31817
7828,Maharashtra,1985,106,2,MEHKAR,GEN,RAHATE RUPRAO AYAJI,M,,,ICS,28177
7829,Maharashtra,1985,106,3,MEHKAR,GEN,SANGLE KISANRAO TUKARAM,M,,,INC,13625
7830,Maharashtra,1985,106,4,MEHKAR,GEN,MORE DIGAMBAR SHANKAR,M,,,IND,6185
7831,Maharashtra,1985,106,5,MEHKAR,GEN,CHAVAN HARIBHAU BAKSHU,M,,,IND,3499
7832,Maharashtra,1985,106,6,MEHKAR,GEN,PAWAR LALSING SITARAM,M,,,IND,463
7833,Maharashtra,1985,106,7,MEHKAR,GEN,MANGLE SHIWAJI KISAN,M,,,IND,392
7834,Maharashtra,1985,106,8,MEHKAR,GEN,PAWAR PRALHAD SAHADU,M,,,IND,374
7835,Maharashtra,1985,106,9,MEHKAR,GEN,SETHI GURCHARANSING HARDAYALSING,M,,,IND,312
7836,Maharashtra,1985,106,10,MEHKAR,GEN,WANKHEDE SHANTABAI W/O TRAMBAK,F,,,IND,191
7837,Maharashtra,1985,106,11,MEHKAR,GEN,WANKHEDE WAMAN SURYABHAN,M,,,IND,102
10273,Maharashtra,1990,106,1,MEHKAR,GEN,SAOJI SUBODH KESHAV,M,,,INC,54219
10274,Maharashtra,1990,106,2,MEHKAR,GEN,JADHAO PRATAPRAO GANPATRAO,M,29,GEN,SHS,44609
10275,Maharashtra,1990,106,3,MEHKAR,GEN,ABDUL HADIKHA A. HAMIKHA,M,,,IND,5983
10276,Maharashtra,1990,106,4,MEHKAR,GEN,GAIKWAD DATTARAYA GOPAL,M,,,IND,3104
10277,Maharashtra,1990,106,5,MEHKAR,GEN,AMBEKAR PANJABRAO DAMODHAR,M,,,IND,445
10278,Maharashtra,1990,106,6,MEHKAR,GEN,SAOJI SHARAD DIGAMBAR,M,,,JD,444
10279,Maharashtra,1990,106,7,MEHKAR,GEN,PATIL SURESH RATAN,M,,,DDP,421
10280,Maharashtra,1990,106,8,MEHKAR,GEN,AWARE PRABHAKAR UMAJI,M,,,ICS(SCS),408
10281,Maharashtra,1990,106,9,MEHKAR,GEN,WANKHEDE WAMAN SURYABHAN,M,,,IND,340
10282,Maharashtra,1990,106,10,MEHKAR,GEN,VIKRAM KISAN PRADHAN,M,,,IND,233
10283,Maharashtra,1990,106,11,MEHKAR,GEN,LALSINGH SITARAM PAWAR,M,,,IND,146
