ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
787,Maharashtra,1962,177,1,MELGHAT,GEN,MAMRAJ JAGANNATH KHANDELWAL,M,,,IND,29403
788,Maharashtra,1962,177,2,MELGHAT,GEN,GIRJABAI W/O SHANHARRAO WATANE,F,,,INC,23661
2875,Maharashtra,1972,110,1,MELGHAT,ST,PATEL RAMU MHATANG,M,,,INC,34542
2876,Maharashtra,1972,110,2,MELGHAT,ST,NARAYAN NANU BEDHE,M,,,IND,17756
4305,Maharashtra,1978,119,1,MELGHAT,ST,PATEL RAMU MHATANG,M,,,INC,34998
4306,Maharashtra,1978,119,2,MELGHAT,ST,SARAGE HIRALAL ONKAR,M,,,JNP,14444
4307,Maharashtra,1978,119,3,MELGHAT,ST,MORTIRAM NANU PATEL,M,,,INC,7849
6071,Maharashtra,1980,119,1,MELGHAT,ST,NARAYAN NANU,M,,,INC,31420
6072,Maharashtra,1980,119,2,MELGHAT,ST,PATEL RAMU MHATANG,M,,,IND,10131
6073,Maharashtra,1980,119,3,MELGHAT,ST,SARAGE HIRALAL ONKAR,M,,,BJP,5174
7945,Maharashtra,1985,119,1,MELGHAT,ST,PATEL RAMU MHATANG,M,,,INC,40441
7946,Maharashtra,1985,119,2,MELGHAT,ST,HIRALAL ONKAR,M,,,BJP,6348
7947,Maharashtra,1985,119,3,MELGHAT,ST,MAUJILAL TUMLA,M,,,IND,1482
7948,Maharashtra,1985,119,4,MELGHAT,ST,BHUJANG RAMJI,M,,,IND,1254
10526,Maharashtra,1990,119,1,MELGHAT,ST,KALE TULSHIRAM RUPNA,M,,,INC,28098
10527,Maharashtra,1990,119,2,MELGHAT,ST,RAMESH RAIKWAR,M,,,SHS,16186
10528,Maharashtra,1990,119,3,MELGHAT,ST,KISAN TANE KASDEKAR,M,,,IND,6826
10529,Maharashtra,1990,119,4,MELGHAT,ST,PATIYA GURUJI,M,,,IND,5761
10530,Maharashtra,1990,119,5,MELGHAT,ST,FULKAI BUDA BHILAVEKAR,F,,,JD,4110
10531,Maharashtra,1990,119,6,MELGHAT,ST,MAMTA TAI NETAM,F,,,BSP,2476
10532,Maharashtra,1990,119,7,MELGHAT,ST,DASHRATH RAJARAM SHILASKAR,M,,,IND,1177
10533,Maharashtra,1990,119,8,MELGHAT,ST,SAWALKAR SONAJI DADU,M,,,ICS(SCS),719
10534,Maharashtra,1990,119,9,MELGHAT,ST,PANJABRAO CHANNUJI ATRAM,M,,,IND,715
10535,Maharashtra,1990,119,10,MELGHAT,ST,BELSARE TIKARAM BUDA,M,,,IND,672
10536,Maharashtra,1990,119,11,MELGHAT,ST,SUNDARLAL RINGUJI DARSHIMBE,M,,,IND,357
10537,Maharashtra,1990,119,12,MELGHAT,ST,SAKOM MANNULAL BABULAL,M,,,IND,342
14665,Maharashtra,1995,119,1,MELGHAT,ST,PATLYA LANGDA MAVASKAR,M,,,BJP,37377
14666,Maharashtra,1995,119,2,MELGHAT,ST,RAJKUMAR DAYARAM PATEL,M,32,ST,BSP,32209
14667,Maharashtra,1995,119,3,MELGHAT,ST,PATEL RAMU MHATANG,M,,,IND,23099
14668,Maharashtra,1995,119,4,MELGHAT,ST,KALE TULSHIRAM RUPNA,M,,,INC,17284
14669,Maharashtra,1995,119,5,MELGHAT,ST,BUDA TEPA ZAREKAR,M,,,JD,6350
14670,Maharashtra,1995,119,6,MELGHAT,ST,SAWARKAR GHANU BABU,M,,,IND,3015
14671,Maharashtra,1995,119,7,MELGHAT,ST,GANESH KHANU MAVASHI,M,,,IND,1867
14672,Maharashtra,1995,119,8,MELGHAT,ST,DHANDE SANU MUKA,M,,,IND,1645
14673,Maharashtra,1995,119,9,MELGHAT,ST,UIKE MAGANSA DAULATSA,M,,,IND,1068
14674,Maharashtra,1995,119,10,MELGHAT,ST,MAVASKAR AMARLAL BHOJANG,M,,,DDP,875
18428,Maharashtra,1999,119,1,MELGHAT,ST,RAJKUMAR DAYARAM PATEL,M,37,ST,BJP,43698
18429,Maharashtra,1999,119,2,MELGHAT,ST,PATEL RAMU MHATANG,M,,,INC,40363
18430,Maharashtra,1999,119,3,MELGHAT,ST,DR. RAMESH RAIKWAR,M,,,NCP,14533
18431,Maharashtra,1999,119,4,MELGHAT,ST,DAYARAM SANU KALE,M,,,IND,7401
18432,Maharashtra,1999,119,5,MELGHAT,ST,ABISINGH MANU BHILAWEKAR,M,,,BSP,441
20694,Maharashtra,2004,119,6,MELGHAT,ST,TULSHIRAM ALIES MAHADEO,M,28,ST,SP,1043
20695,Maharashtra,2004,119,7,MELGHAT,ST,KUSRAM BHAURAO RAMAJI,M,59,ST,GGP,760
20696,Maharashtra,2004,119,4,MELGHAT,ST,MAVASKAR ANIL GANAJI,M,34,ST,IND,4615
20697,Maharashtra,2004,119,5,MELGHAT,ST,NARAYAN RAMCHANDRA GAVANDE,M,60,ST,IND,2074
20698,Maharashtra,2004,119,3,MELGHAT,ST,SURAJSINGH MOHANSINGH KUMARE,M,58,ST,BSP,6006
20699,Maharashtra,2004,119,1,MELGHAT,ST,RAJKUMAR DAYARAM PATEL,M,42,ST,BJP,61354
20700,Maharashtra,2004,119,2,MELGHAT,ST,PATEL RAMU MHATANG,M,65,ST,INC,57582
22846,Maharashtra,2009,41,1,MELGHAT,ST,KEVALRAM TULSIRAM KALE,M,46,ST,INC,63619
22847,Maharashtra,2009,41,2,MELGHAT,ST,RAJKUMAR DAYARAM PATEL,M,47,ST,BJP,62909
22848,Maharashtra,2009,41,3,MELGHAT,ST,DR. RAVIKUMAR RAMKISAN,M,35,ST,IND,5886
22849,Maharashtra,2009,41,4,MELGHAT,ST,MAWASKAR HIRALAL,M,47,ST,JSS,5346
22850,Maharashtra,2009,41,5,MELGHAT,ST,BETHEKAR MUNNA BALAJI,M,31,ST,BSP,2614
22851,Maharashtra,2009,41,6,MELGHAT,ST,MORE PUNAJI SUBHAJI,M,38,ST,IND,1919
22852,Maharashtra,2009,41,7,MELGHAT,ST,MAWASKAR PATLYA LANGDA,M,67,ST,IND,1512
