ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
2140,Maharashtra,1967,206,1,MOHOL,GEN,G. B. BURAGUTE,M,,,INC,19523
2141,Maharashtra,1967,206,2,MOHOL,GEN,D. M. KADE,M,,,IND,16593
2142,Maharashtra,1967,206,3,MOHOL,GEN,NIMBALKAR CHANDRAKANT DATTAJIRAO,M,35,GEN,PWP,9933
2143,Maharashtra,1967,206,4,MOHOL,GEN,H. N. JADHAV,M,,,IND,3706
2144,Maharashtra,1967,206,5,MOHOL,GEN,T. G. BARAKADE,M,,,IND,1055
3361,Maharashtra,1972,206,1,MOHOL,GEN,SHAHAJI RAO PATIL,M,,,INC,34688
3362,Maharashtra,1972,206,2,MOHOL,GEN,NIMBALKAR CHANDRAKANT DATTAJIRAO,M,40,GEN,PWP,29121
5018,Maharashtra,1978,220,1,MOHOL,GEN,PATIL SHAHAJIRAO SHANKARRAO,M,,,INC,26771
5019,Maharashtra,1978,220,2,MOHOL,GEN,NIMBALKAR CHANDRAKANT DATTAJIRAO,M,46,GEN,PWP,21863
5020,Maharashtra,1978,220,3,MOHOL,GEN,KADE DYANOBA MURALIDHAR,M,,,INC,18150
5021,Maharashtra,1978,220,4,MOHOL,GEN,DHOTRE KALURAM RAMAJI,M,,,IND,439
6622,Maharashtra,1980,220,1,MOHOL,GEN,NIMBALKAR CHANDRAKANT DATTAJIRAO,M,48,GEN,PWP,37143
6623,Maharashtra,1980,220,2,MOHOL,GEN,PATIL SAHAJIRAO SHANKARRAO,M,,,INC,36812
8753,Maharashtra,1985,220,1,MOHOL,GEN,SHAHJIROA SHANKARRAO PATIL,M,,,INC,42919
8754,Maharashtra,1985,220,2,MOHOL,GEN,PATIL BABURAO BAJIRAO,M,,,PWP,42752
12311,Maharashtra,1990,220,1,MOHOL,GEN,NIMBALKAR CHANDRAKANT DATTAJIRAO,M,58,GEN,PWP,49505
12312,Maharashtra,1990,220,2,MOHOL,GEN,PATIL SHAHAJIRAO SHANKARRAO,M,,,INC,41098
12313,Maharashtra,1990,220,3,MOHOL,GEN,MOTE MAHADEO MARUTI,M,,,SHS,5829
12314,Maharashtra,1990,220,4,MOHOL,GEN,PATIL SHRIRAM HANDU,M,,,DDP,321
16836,Maharashtra,1995,220,1,MOHOL,GEN,PATIL RAJAN BABURAO,M,35,GEN,INC,54320
16837,Maharashtra,1995,220,2,MOHOL,GEN,NIMBALKAR CHANDRAKANT DATTAJIRAO,M,63,GEN,PWP,38398
16838,Maharashtra,1995,220,3,MOHOL,GEN,GAIKWAD DIPAK CHANDRAKANT,M,,,SHS,18097
16839,Maharashtra,1995,220,4,MOHOL,GEN,PARSUNDE NAGANATH MARUTI,M,,,IND,1182
16840,Maharashtra,1995,220,5,MOHOL,GEN,DHANDE SAMPATRAO DAGDU,M,,,IND,483
16841,Maharashtra,1995,220,6,MOHOL,GEN,PATIL JAGANATH HEMRAJ,M,,,DDP,379
19269,Maharashtra,1999,220,1,MOHOL,GEN,PATIL RAJAN BABURAO,M,39,GEN,NCP,57135
19270,Maharashtra,1999,220,2,MOHOL,GEN,NIMBALKAR CHANDRAKANT DATTAJIRAO,M,67,GEN,SHS,39300
19271,Maharashtra,1999,220,3,MOHOL,GEN,GUND DEVANAND RAOSAHEB,M,,,INC,7436
19272,Maharashtra,1999,220,4,MOHOL,GEN,SASANE SAHEBRAO BAPU,M,,,BSP,531
