ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
1685,Maharashtra,1967,112,1,MORSHI,GEN,K.W. WAMAN,M,,,INC,28209
1686,Maharashtra,1967,112,2,MORSHI,GEN,N.D. NANGLE,M,,,CPI,10137
1687,Maharashtra,1967,112,3,MORSHI,GEN,N.J. DESHMIKH,M,,,IND,9388
1688,Maharashtra,1967,112,4,MORSHI,GEN,P.D. RAMTEKE,M,,,RPI,8660
1689,Maharashtra,1967,112,5,MORSHI,GEN,M.J. KANATE,M,,,IND,973
2880,Maharashtra,1972,112,1,MORSHI,GEN,MAHULKAR MALHAR GANPAT,M,,,INC,45850
2881,Maharashtra,1972,112,2,MORSHI,GEN,ATAMARAM R. YAWALKAR,M,,GEN,IND,7852
2882,Maharashtra,1972,112,3,MORSHI,GEN,NARAYAN PANDUJI NIMBALKAR,M,,,RPI,4877
2883,Maharashtra,1972,112,4,MORSHI,GEN,NAMDEO MAROTI PATILA,M,,,IND,3502
4318,Maharashtra,1978,121,1,MORSHI,GEN,ANDE MANADEORAO SADASHIO,M,,,INC(I) ,48012
4319,Maharashtra,1978,121,2,MORSHI,GEN,GANDHI GIRISH MANIKLALJI,M,,,JNP,9895
4320,Maharashtra,1978,121,3,MORSHI,GEN,DESHMUKH NAGORAO JANRAO,M,,,IND,6868
4321,Maharashtra,1978,121,4,MORSHI,GEN,MALHARRAO GANPATRAO MAHULKAR,M,,,INC,3263
4322,Maharashtra,1978,121,5,MORSHI,GEN,NARESHCHANDRA PANJABRAO THAKARE,M,26,GEN,PWP,2382
4323,Maharashtra,1978,121,6,MORSHI,GEN,BHUJADE BHAURAO SHAMRAO,M,,,IND,917
4324,Maharashtra,1980,121,1,MORSHI,GEN,Gawande Kokilabai Jangannath ,F,,,INC(I) ,26561
4325,Maharashtra,1980,121,2,MORSHI,GEN,HARSHAWARDHAN PRATAPSINHA DESHMUKH,M,29,GEN,INC(U) ,18737
4326,Maharashtra,1980,121,3,MORSHI,GEN,Bhujade Bhaurao Shamrao,M,,,IND  ,5413
4327,Maharashtra,1985,121,1,MORSHI,GEN,MAUKAR PURUSHOTTAM GULAB,M,,,INC,27651
4328,Maharashtra,1985,121,2,MORSHI,GEN,THAKRE DAULATRAO LAXMANRAO,M,,,ICS,25401
4329,Maharashtra,1985,121,3,MORSHI,GEN,JATARKHAU FATTEKHAU,M,,,IND,12896
4330,Maharashtra,1985,121,4,MORSHI,GEN,BHUJADE BHAURAO SHAMRAO,M,,,IND,1416
4331,Maharashtra,1985,121,5,MORSHI,GEN,USHATAI MADHUKAR ATRAM,F,,,IND,804
4332,Maharashtra,1985,121,6,MORSHI,GEN,JAWRE RANGRAO RAMBHAU,M,,,IND,481
4333,Maharashtra,1985,121,7,MORSHI,GEN,KOKATE PRYAGRAO BHIMRAO,M,,,IND,296
4334,Maharashtra,1985,121,8,MORSHI,GEN,BAGDE BALKRISHNA RATIRAM,M,,,RPI,291
4335,Maharashtra,1985,121,9,MORSHI,GEN,GORDE BHAURAO RAMBHAU,M,,,IND,248
4336,Maharashtra,1985,121,10,MORSHI,GEN,SUKHDEO KISANRAO WANKHADE,M,,,IND,195
4337,Maharashtra,1985,121,11,MORSHI,GEN,SHANKAR NATHUJI GHORONADE,M,,,IND,156
4338,Maharashtra,1985,121,12,MORSHI,GEN,TAYDE BALKRUSHNA NARAYAN,M,,,IND,87
4339,Maharashtra,1985,121,13,MORSHI,GEN,SABLE BALASAHEB SAKHARAM,M,,,IND,31
4340,Maharashtra,1990,121,1,MORSHI,GEN,HARSHAWARDHAN PRATAPSINHA DESHMUKH,M,39,GEN,IND,38014
4341,Maharashtra,1990,121,2,MORSHI,GEN,MANKAR PURUSHOTTAM GULABRAO,M,,,INC,26509
4342,Maharashtra,1990,121,3,MORSHI,GEN,ASHOK JESIRAM KHAWALE,M,,,SHS,16216
4343,Maharashtra,1990,121,4,MORSHI,GEN,PANDURANG TEJI MAHAJAN,M,,,IND,5982
4344,Maharashtra,1990,121,5,MORSHI,GEN,YESHWANT KRUSHNARAO SARATKAR,M,,,BSP,2418
4345,Maharashtra,1990,121,6,MORSHI,GEN,YAWALKAR KUMUD KESHAORAO,F,,GEN,JD,1901
4346,Maharashtra,1990,121,7,MORSHI,GEN,DESHMUKH NAGORAO JANRAO,M,,,ICS(SCS),916
4347,Maharashtra,1990,121,8,MORSHI,GEN,JAFARKHA FATTEKHA,M,,,IND,596
4348,Maharashtra,1990,121,9,MORSHI,GEN,SHRIKHANDE SAMPAT SAKHARAM,M,,,IND,153
4349,Maharashtra,1990,121,10,MORSHI,GEN,ARVIND GOVINDRAO MALPE,M,,,IND,139
4350,Maharashtra,1990,121,11,MORSHI,GEN,VINOD SHESHRAOJI PATIL,M,,,IND,98
4351,Maharashtra,1990,121,12,MORSHI,GEN,SABALE BALASAHEB SAKHARAM,M,,,IND,95
4352,Maharashtra,1990,121,13,MORSHI,GEN,SABALE KISHOR PUNALIKRAO,M,,,IND,94
4353,Maharashtra,1990,121,14,MORSHI,GEN,RADHANJALI DILIPKUMAR BELSARE,F,,,IND,52
4354,Maharashtra,1990,121,15,MORSHI,GEN,WANKHADE KRUSHNARAO WAMANRAO,M,,,IND,50
4355,Maharashtra,1995,121,1,MORSHI,GEN,HARSHAWARDHAN PRATAPSINHA DESHMUKH,M,44,GEN,INC,50739
