ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
22555,Maharashtra,2009,20,1,MUKTAINAGAR,GEN,KHADSE EKNATHRAO GANPATRAO,M,58,GEN,BJP,85708
22556,Maharashtra,2009,20,2,MUKTAINAGAR,GEN,AD.RAVINDRA PRALHADRAV,M,54,GEN,NCP,67319
22557,Maharashtra,2009,20,3,MUKTAINAGAR,GEN,DR.JAGDISH TUKARAM PATIL,M,45,GEN,MNS,5786
22558,Maharashtra,2009,20,4,MUKTAINAGAR,GEN,SHAILESH SARDARSING,M,29,GEN,IND,3008
22559,Maharashtra,2009,20,5,MUKTAINAGAR,GEN,PATIL VISHAL BHAGWAN,M,31,GEN,IND,1825
22560,Maharashtra,2009,20,6,MUKTAINAGAR,GEN,NIKAM SANTOSH SUPADU,M,33,SC,BSP,1767
22561,Maharashtra,2009,20,7,MUKTAINAGAR,GEN,SK.ASHIK SK.KARIM,M,41,GEN,HJP,771
22562,Maharashtra,2009,20,8,MUKTAINAGAR,GEN,PUNJAJI GANPAT CHAUDHARI,M,55,GEN,IND,689
22563,Maharashtra,2009,20,9,MUKTAINAGAR,GEN,INGALE SURESH HIRAMAN,M,41,SC,BBM,444
22564,Maharashtra,2009,20,10,MUKTAINAGAR,GEN,DINKAR LODHU GAVAHAL,M,46,GEN,IND,313
22565,Maharashtra,2009,20,11,MUKTAINAGAR,GEN,PRATAP SAKHARAM PATIL,M,41,GEN,JSS,215
22566,Maharashtra,2009,20,12,MUKTAINAGAR,GEN,ASHOK TRYAMBAK INGALE,M,42,GEN,IND,182
22567,Maharashtra,2009,20,13,MUKTAINAGAR,GEN,INGALE RAVINDRA VAMAN,M,59,GEN,IND,157
22568,Maharashtra,2009,20,14,MUKTAINAGAR,GEN,IKARAMUDDIN AMINODDIN,M,50,GEN,IND,147
22569,Maharashtra,2014,20,1,MUKTAINAGAR,GEN,KHADSE EKNATHRAO GANPATRAO,M,63,GEN,BJP,85657
22570,Maharashtra,2014,20,2,MUKTAINAGAR,GEN,PATIL CHANDRAKANT NIMBA,M,41,GEN,SHS,75949
22571,Maharashtra,2014,20,3,MUKTAINAGAR,GEN,ARUN PANDURANG PATIL,M,67,GEN,NCP,6499
22572,Maharashtra,2014,20,4,MUKTAINAGAR,GEN,PATIL YOGENDRASING BHAGWAN,M,43,GEN,INC,4495
22573,Maharashtra,2014,20,5,MUKTAINAGAR,GEN,THAKARE SURESH SHIVRAM,M,51,GEN,BSP,2895
22574,Maharashtra,2014,20,6,MUKTAINAGAR,GEN,None of the Above,,,,NOTA,2264
22575,Maharashtra,2014,20,7,MUKTAINAGAR,GEN,SANGALKAR RAJENDRA DAGADU,M,37,GEN,MNS,1058
22576,Maharashtra,2014,20,8,MUKTAINAGAR,GEN,DHANGAR RAVINDRA DEVIDAS,M,35,GEN,IND,889
22577,Maharashtra,2014,20,9,MUKTAINAGAR,GEN,BAVASKAR RAVINDRA EKNATH,M,48,GEN,IND,835
22578,Maharashtra,2014,20,10,MUKTAINAGAR,GEN,MEDHE HARSHAL DINKAR,M,29,SC,IND,794
22579,Maharashtra,2014,20,11,MUKTAINAGAR,GEN,SHAGARSHA  ROSHPANSHAH,M,47,GEN,IND,462
22580,Maharashtra,2014,20,12,MUKTAINAGAR,GEN,PALVE SURENDRA AVCHIT,M,33,ST,IND,447
22581,Maharashtra,2014,20,13,MUKTAINAGAR,GEN,DINKAR LODHU GAVHAL  (PATIL),M,51,GEN,IND,374
22582,Maharashtra,2014,20,14,MUKTAINAGAR,GEN,INGALE UTTAM KASHIRAM,M,41,SC,HJP,217
22583,Maharashtra,2014,20,15,MUKTAINAGAR,GEN,TAYADE ARUN CHANDRABHAN,M,40,SC,IND,215
22584,Maharashtra,2014,20,16,MUKTAINAGAR,GEN,SAHEBRAO VIKAS WANKHEDE,M,28,SC,BMUP,182
22585,Maharashtra,2014,20,17,MUKTAINAGAR,GEN,ARUN DNYANDEV KANDELKAR,M,41,GEN,IND,148
22586,Maharashtra,2014,20,18,MUKTAINAGAR,GEN,VIVEK BHIMRAO TAYADE,M,32,SC,RPI,147
