ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
24279,Maharashtra,2009,149,1,MUMBRA-KALWA,GEN,AWHAD JITENDRA SATISH,M,46,GEN,NCP,61510
24280,Maharashtra,2009,149,2,MUMBRA-KALWA,GEN,KINE RAJAN NARAYAN,M,41,GEN,SHS,45821
24281,Maharashtra,2009,149,3,MUMBRA-KALWA,GEN,PAWAR PRASHANT,M,33,GEN,MNS,15119
24282,Maharashtra,2009,149,4,MUMBRA-KALWA,GEN,SURME YASIN ABDUL LATIF,M,48,GEN,SP,3429
24283,Maharashtra,2009,149,5,MUMBRA-KALWA,GEN,MHATRE SACHIN JAYRAJ,M,28,GEN,BSP,2756
24284,Maharashtra,2009,149,6,MUMBRA-KALWA,GEN,CHAUDHARY MASHHOOR,M,34,GEN,RKSP,926
24285,Maharashtra,2009,149,7,MUMBRA-KALWA,GEN,SHAIKH JAMIR AKRARAM,M,32,GEN,IND,640
24286,Maharashtra,2009,149,8,MUMBRA-KALWA,GEN,MILIND ASHOK YADAV,M,32,GEN,BBM,498
24287,Maharashtra,2009,149,9,MUMBRA-KALWA,GEN,MHATRE ABHIJIT RAMDAS,M,29,GEN,IND,335
24288,Maharashtra,2009,149,10,MUMBRA-KALWA,GEN,HAKIKULLAH KHAN,M,32,GEN,PECP,290
24289,Maharashtra,2009,149,11,MUMBRA-KALWA,GEN,SHAIKH MOHAMMED AMEEN,M,40,GEN,IUML,220
24290,Maharashtra,2009,149,12,MUMBRA-KALWA,GEN,MOHAMMED YUSUF,M,32,GEN,IND,173
24291,Maharashtra,2009,149,13,MUMBRA-KALWA,GEN,MIRZA RAFAT BEG,M,50,GEN,IND,118
24292,Maharashtra,2009,149,14,MUMBRA-KALWA,GEN,SHARMA RAJKISHOR,F,38,GEN,ANC,108
24293,Maharashtra,2009,149,15,MUMBRA-KALWA,GEN,MOHMMED AHMED MUKHTAR,M,43,GEN,IND,68
24294,Maharashtra,2009,149,16,MUMBRA-KALWA,GEN,OMPRAKASH HIRALAL,M,38,GEN,IND,62
24295,Maharashtra,2014,149,1,MUMBRA-KALWA,GEN,AWHAD JITENDRA SATISH,M,51,GEN,NCP,86533
24296,Maharashtra,2014,149,2,MUMBRA-KALWA,GEN,DASHARATH KASHINATH PATIL,M,68,GEN,SHS,38850
24297,Maharashtra,2014,149,3,MUMBRA-KALWA,GEN,ASHARAF MULANI,M,49,GEN,AIMIM,16374
24298,Maharashtra,2014,149,4,MUMBRA-KALWA,GEN,ASHOK NARAYAN BHOIR,M,51,GEN,BJP,12818
24299,Maharashtra,2014,149,5,MUMBRA-KALWA,GEN,YASIN AYYUB QURAISHI,M,43,GEN,INC,3847
24300,Maharashtra,2014,149,6,MUMBRA-KALWA,GEN,MAHESH SALVI,M,35,GEN,MNS,2887
24301,Maharashtra,2014,149,7,MUMBRA-KALWA,GEN,None of the Above,,,,NOTA,1685
24302,Maharashtra,2014,149,8,MUMBRA-KALWA,GEN,KAMRUDDIN ABDUL GANI KHAN,M,55,GEN,BSP,926
24303,Maharashtra,2014,149,9,MUMBRA-KALWA,GEN,SHARMA RAJKISHOR JAYSHREE,M,42,GEN,IND,263
24304,Maharashtra,2014,149,10,MUMBRA-KALWA,GEN,SHAIKH AHMED AFZAL,M,39,GEN,IND,217
24305,Maharashtra,2014,149,11,MUMBRA-KALWA,GEN,K. M. SAYED,M,25,GEN,IND,203
24306,Maharashtra,2014,149,12,MUMBRA-KALWA,GEN,TIDKIYA DEVENDRA NARAYANDAS,M,36,GEN,BVA,193
24307,Maharashtra,2014,149,13,MUMBRA-KALWA,GEN,UTTAM MAHIPAT KADAM,M,45,SC,IND,124
24308,Maharashtra,2014,149,14,MUMBRA-KALWA,GEN,MOHMMED ALI AHMED ALI SAYYED,M,58,GEN,IND,115
24309,Maharashtra,2014,149,15,MUMBRA-KALWA,GEN,KHAN SHAHEEN LIYAKAT ALI,F,34,GEN,IND,114
24310,Maharashtra,2014,149,16,MUMBRA-KALWA,GEN,MUNIR AHMAD ANSARI,M,40,GEN,PWPI,81
24311,Maharashtra,2014,149,17,MUMBRA-KALWA,GEN,SHASHIKANT DADA RASAL,M,39,SC,RPI,63
24312,Maharashtra,2014,149,18,MUMBRA-KALWA,GEN,MOHAMMAD ASHRAF HAIDER ALI CHAOUDHARI,M,34,GEN,IND,61
