YEAR,AC_NO,NAME,SEX,AGE,PARTY,VOTES
1962,33,SHANTARAM GOPAL GHOLAP,M,34,INC,13855
1962,33,MUKUND KANU PATIL,M,,PWP,8705
1962,33,TULSHIRAM SHIVRAM DHOTRE,M,,IND,4454
1962,33,HARISHCHANDRA GOPAL SHELAR,M,,IND,2886
1962,33,PURUSHOTTAM VINAYAK JAGE,M,,JS,1481
1962,33,ONDRAS MYCHEAL,M,,IND,294
1967,52,SHANTARAM GOPAL GHOLAP,M,39,INC,21001
1967,52,S. B. YADAO,M,,RPI,14972
1967,52,T. S. DHOTRE,M,,IND,5072
1967,52,B. M. DHAKO,M,,BJS,3585
1972,52,SHANTARAM GOPAL GHOLAP,M,44,INC,35791
1972,52,NAMDEV KASHINATH AHER,M,,PWP,20285
1972,52,KHANDERAW NARAYAN GAIKWAD,M,,IND,2487
1972,52,SHRIKRISHNA SHANKAR DIGHE,M,,IND,488
1978,58,SHANTARAM GOPAL GHOLAP,M,50,INC,42242
1978,58,PHARDE DAMODAR LAHU,M,,PWP,24792
1978,58,UGHADE DATTU KONDU,M,,IND,972
1978,58,JHAMMANLAL SAINI,M,,INC,731
1980,58,SHANTARAM GOPAL GHOLAP,M,52,INC,36422
1980,58,KRISHNARAO DHULAP,M,,PWP,22011
1980,58,MORE BHAUSAHEB BALASAHEB,M,,IND,449
1980,58,PAL DEVNARAYAN SHIVSHARAN,M,,IND,361
1985,58,GOTIRAM PADU PAWAR,M,41,INC,35440
1985,58,GHOLAP RAGHUNATH RAMCHANDRA,M,,IND,18352
1985,58,FARDE DAMODAR LAHU,M,,PWP,12116
1985,58,UGHADE DATTU KONDU,M,,RPI,1386
1985,58,RAMESH BHURARAM,M,,IND,622
1985,58,TIWARI MURARI AJODHYAY,M,,IND,282
1985,58,BHOIR DATTATRAYA DAGDU,M,,IND,178
1990,58,GOTIRAM PADU PAWAR,M,46,INC,50083
1990,58,DIGAMBAR NARAYAN VISHE,M,37,BJP,39700
1990,58,BHANGE RAMESH NARAYAN VISHE,M,,CPI,1888
1990,58,PATIL MADHAV BABURAH,M,,PWP,1403
1990,58,DILIP LAHUJI CHANDANE,M,,IND,743
1990,58,MURARI SHARAN TIWARI,M,,DDP,231
1990,58,RAMCHANDRA HARI GAIKWAD,M,,BSP,231
1990,58,S. B. SHINDE,M,,IND,104
1995,58,DIGAMBAR NARAYAN VISHE,M,42,BJP,58941
1995,58,GOTIRAM PADU PAWAR,M,51,INC,51471
1995,58,BHANGE RAMESH NARAYAN,M,,CPI,4383
1995,58,INGLE SHOBHA SHUDDHODHAN,F,,BSP,1406
1995,58,YADAU SHIRJAN RAMKUBER,M,,DDP,1378
1995,58,BAPU YASHWANT PATIL,M,,IND,904
1999,58,GOTIRAM PADU PAWAR,M,55,NCP,48786
1999,58,DIGAMBAR NARAYAN VISHE,M,47,BJP,31035
1999,58,SHANTARAM GOPAL GHOLAP,M,71,INC,20979
1999,58,VILAS ANNA DHANGAR,M,,BSP,464
1999,58,MHADSE NARAYAN DUNDA,M,,ABHS,298
1999,58,DATTATRAYA DAGADU BHOIR,M,,PWPI,220
1999,58,SASANE BABU DAJI,M,,IND,201
2004,58,DIGAMBAR NARAYAN VISHE,M,53,IND,20782
2004,58,SUDHIR RAUT,M,30,PWPI,2110
2004,58,INGLE SHOBHA SHUDDHODHAN,F,39,BSP,4371
2004,58,DESHMUKH RAMAKANT,M,49,IND,2782
2004,58,SALVI RAJARAM RAMA,M,58,BJP,46698
2004,58,GOTIRAM PADU PAWAR,M,60,NCP,63763
2004,58,HANDORE SANJAY SHANKAR,M,34,SVRP,904
2004,58,TELAM DASHRATH NAMA,M,42,IND,1944
2009,139,KATHORE KISAN SHANKAR,M,57,NCP,55830
2009,139,GOTIRAM PADU PAWAR,M,65,IND,49288
2009,139,WAMAN BARKU MHATRE,M,39,MNS,37080
2009,139,DIGAMBAR NARAYAN VISHE,M,57,BJP,25258
2009,139,RAJRATNA ASHOK,M,26,IND,4666
2009,139,SHOBA SHUDHODHAN,F,47,BSP,1837
2009,139,PISEKAR VISHNU,M,57,PWPI,1336
2009,139,ALTAF IMAM SHAIKH,M,43,IND,1266
2009,139,SHIVSHRI SHARAD LAXMAN,M,32,SVRP,1009
2009,139,BRAMHA MURLIDHAR,M,49,BBM,953
2014,139,KISAN SHANKAR KATHORE,M,62,BJP,85543
2014,139,GOTIRAM PADU PAWAR,M,70,NCP,59313
2014,139,WAMAN BARKU MHATRE,M,44,SHS,53496
2014,139,CAPT. ASHISH ANAND DAMLE,M,27,IND,9705
2014,139,ADV. RAJESH ANANT GHOLAP,M,42,INC,3401
2014,139,None of the Above,,,,3394
2014,139,THORAT SHAMRAO BHAGA,M,51,BSP,1781
2014,139,SURESH BABAN JAMDHARE,M,37,IND,1630
2014,139,CHANDANE RAVINDRA LAHUJI,M,39,IND,1384
2014,139,GOTIRAM GANU PAWAR,M,62,IND,1136
2014,139,CHOUDHARI UMESH JAYWANT,M,34,IND,1020
2014,139,SUNIL BAPU DUPTE,M,37,IND,954
2014,139,RAMESH ONKAR TAYADE,M,49,SAOI,896
2014,139,BHOIR SHEKHAR BUDHAJI,M,34,BVA,733
2014,139,WANKHADE MILIND VASUDEO,M,35,BBM,564
2014,139,WAMAN PUNDLIK MHATRE,M,65,IND,439
