ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
754,Maharashtra,1962,170,1,MURTAJAPUR,GEN,KUSUMTAI WAMANRAO KORPE,F,,,INC,30177
755,Maharashtra,1962,170,2,MURTAJAPUR,GEN,PANDURANG GOTURAM ATHAWALE,M,,,REP,9908
756,Maharashtra,1962,170,3,MURTAJAPUR,GEN,HARIRAM DARYAJI,M,,,IND,9006
757,Maharashtra,1962,170,4,MURTAJAPUR,GEN,NAMYA RAGHUNATH,M,,,IND,928
1669,Maharashtra,1967,108,1,MURTAZAPUR,GEN,P.B. TIDAKE,F,,,INC,27593
1670,Maharashtra,1967,108,2,MURTAZAPUR,GEN,S.P. PACHADE,M,,,IND,13774
1671,Maharashtra,1967,108,3,MURTAZAPUR,GEN,S.I. MESHRAM,M,,,RPI,10819
1672,Maharashtra,1967,108,4,MURTAZAPUR,GEN,B.K. INGLE,M,,,IND,429
2868,Maharashtra,1972,108,1,MURTAZAPUR,GEN,PRATIBHADEVI TIDKE,M,,,INC,28373
2869,Maharashtra,1972,108,2,MURTAZAPUR,GEN,BAPURAO BABANJI TAYADE,M,,,RPI,9553
2870,Maharashtra,1972,108,3,MURTAZAPUR,GEN,MOTIRAM SHRIRAM KAMBE,M,,,FBL,9509
2871,Maharashtra,1972,108,4,MURTAZAPUR,GEN,AJIJ MD. AJIM,M,,,SOP,5576
4283,Maharashtra,1978,116,1,MURTIJAPUR,GEN,THAKARE DHYANDEORAO MUKUNDRAO,M,,,INC,30127
4284,Maharashtra,1978,116,2,MURTIJAPUR,GEN,LAHANE MOTIRAMJI UDEBHANJI,M,,,JNP,27621
4285,Maharashtra,1978,116,3,MURTIJAPUR,GEN,DHABEKAR KESHARAO NARAYANRAO,M,,,INC,15154
4286,Maharashtra,1978,116,4,MURTIJAPUR,GEN,MANKAR RAMESHWAR JAGDEORAO,M,,,FBL,747
4287,Maharashtra,1978,116,5,MURTIJAPUR,GEN,GHODE RATIRAM PUNDILKRAO,M,,,IND,339
