ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
1759,Maharashtra,1967,124,1,NAGPUR EAST,GEN,Y. R. DEOGADE,M,,,INC,30108
1760,Maharashtra,1967,124,2,NAGPUR EAST,GEN,R. F. CHOUDHARI,M,,,BJS,14463
1761,Maharashtra,1967,124,3,NAGPUR EAST,GEN,D. D. HEDAU,M,,,IND,13413
1762,Maharashtra,1967,124,4,NAGPUR EAST,GEN,B. K. TAKKAMORE,M,,,IND,2332
1763,Maharashtra,1967,124,5,NAGPUR EAST,GEN,B. T. BHOSALE,M,,,PWP,1431
1764,Maharashtra,1967,124,6,NAGPUR EAST,GEN,B. G. PURANIK,M,,,IND,508
1765,Maharashtra,1967,124,7,NAGPUR EAST,GEN,B. G. SHAHADANI,M,,,IND,443
1766,Maharashtra,1967,124,8,NAGPUR EAST,GEN,W. M. KAKADE,M,,,IND,379
1767,Maharashtra,1967,124,9,NAGPUR EAST,GEN,R. A. JAJULWAR,M,,,IND,357
2954,Maharashtra,1972,124,1,NAGPUR EAST,GEN,NARENDRA DEOGHARE,M,,,INC,26944
2955,Maharashtra,1972,124,2,NAGPUR EAST,GEN,RAM HEDAOO,M,,,FBL,22452
2956,Maharashtra,1972,124,3,NAGPUR EAST,GEN,RAMJIWAN F. CHAUDHARY,M,,,BJS,14069
2957,Maharashtra,1972,124,4,NAGPUR EAST,GEN,RAMRAO WAGHULE,M,,,SOP,2234
2958,Maharashtra,1972,124,5,NAGPUR EAST,GEN,N. R. S. CHHAPPARCHARE,M,,,IND,323
2959,Maharashtra,1972,124,6,NAGPUR EAST,GEN,J. R. NATHUSAO GAHANKARI,M,,,IND,275
2960,Maharashtra,1972,124,7,NAGPUR EAST,GEN,SURYABHAN RAOJI LANJEWAR,M,,,IND,171
2961,Maharashtra,1972,124,8,NAGPUR EAST,GEN,LAXMAN BALAJI CHALPE,M,,,HMS,135
2962,Maharashtra,1972,124,9,NAGPUR EAST,GEN,WAMANRAO B. CHAUDHARY,M,,,IND,119
2963,Maharashtra,1972,124,10,NAGPUR EAST,GEN,KRUSHNARAO G. BADWAIK,M,,,IND,108
2964,Maharashtra,1972,124,11,NAGPUR EAST,GEN,SHAWKARRAD L. NANDANKAR,M,,,IND,107
2965,Maharashtra,1972,124,12,NAGPUR EAST,GEN,KAMALAKAR AMDED PAUNIKAR,M,,,NCO,98
2966,Maharashtra,1972,124,13,NAGPUR EAST,GEN,PUSHPALATA N. KHARBIKAR,M,,,IND,74
2967,Maharashtra,1972,124,14,NAGPUR EAST,GEN,MADHUSUDAN R. KUMBHARE,M,,,IND,66
2968,Maharashtra,1972,124,15,NAGPUR EAST,GEN,BALKRUSHNA BALAJI BELSARE,M,,,IND,63
2969,Maharashtra,1972,124,16,NAGPUR EAST,GEN,RAJERAM TUKARAM WALDE,M,,,IND,61
4420,Maharashtra,1978,134,1,NAGPUR EAST,GEN,PUROHIT BANWARILAL BHAGWANDAS,M,,,INC,56752
4421,Maharashtra,1978,134,2,NAGPUR EAST,GEN,LENDEPRABHAKAR NATTHU,M,,,IND,12023
4422,Maharashtra,1978,134,3,NAGPUR EAST,GEN,PATHAK UMASHANKAR SARWAJIT,M,,,JNP,11117
4423,Maharashtra,1978,134,4,NAGPUR EAST,GEN,NAIK BABANRAO GANPATRAO,M,,,INC,5236
4424,Maharashtra,1978,134,5,NAGPUR EAST,GEN,RATANSINGH LALSINGH ADIWAN,M,,,IND,1252
4425,Maharashtra,1978,134,6,NAGPUR EAST,GEN,CHAWAGHAWE GENDALAL VITHALRAO,M,,,IND,1245
4426,Maharashtra,1978,134,7,NAGPUR EAST,GEN,CHHALLANI MOTILAL JAWAHARMAL,M,,,IND,405
4427,Maharashtra,1978,134,8,NAGPUR EAST,GEN,MAWKAR WASUDEO NARAYAN,M,,,IND,309
4428,Maharashtra,1978,134,9,NAGPUR EAST,GEN,SHENDE KESHAORAO GOVINDRAO,M,,,IND,216
4429,Maharashtra,1978,134,10,NAGPUR EAST,GEN,GAHERWAR RAJENDRA GOVINDRAO,M,,,IND,213
4430,Maharashtra,1978,134,11,NAGPUR EAST,GEN,ABDUL KARIM ABDUL RAHIM,M,,,IND,138
6146,Maharashtra,1980,134,1,NAGPUR EAST,GEN,CHATURVEDI SATISH ZAULAL,M,34,GEN,INC,38625
6147,Maharashtra,1980,134,2,NAGPUR EAST,GEN,DHOBLE BALWANTRO GANPATRAO,M,,,BJP,28629
6148,Maharashtra,1980,134,3,NAGPUR EAST,GEN,AHIRRAO ASHOK DADASAHEB,M,,,INC(U),4892
6149,Maharashtra,1980,134,4,NAGPUR EAST,GEN,BHANUDAS SHAMRAO PAKHIDDE,M,,,IND,1099
6150,Maharashtra,1980,134,5,NAGPUR EAST,GEN,GADEKAR KESHAORAO RAMCHANDRA,M,,,IND,585
6151,Maharashtra,1980,134,6,NAGPUR EAST,GEN,ZADE SUDHAKAR BHAGWATRAO,M,,,IND,351
6152,Maharashtra,1980,134,7,NAGPUR EAST,GEN,AHUJA JETHANAND VIRUMAL,M,,,IND,252
6153,Maharashtra,1980,134,8,NAGPUR EAST,GEN,MIRE SHALIGRAM LAXMANRAO,M,,,IND,174
8084,Maharashtra,1985,134,1,NAGPUR EAST,GEN,AVINASH PANDE,M,,,INC,50350
8085,Maharashtra,1985,134,2,NAGPUR EAST,GEN,CHATURVEDI SATISH ZAULAL,M,39,GEN,IND,34901
8086,Maharashtra,1985,134,3,NAGPUR EAST,GEN,BALWANTRAO DHOBALE,M,,,BJP,24180
8087,Maharashtra,1985,134,4,NAGPUR EAST,GEN,SHIVSHANKAR SURYABHAN BANKAR,M,,,RPI,3347
8088,Maharashtra,1985,134,5,NAGPUR EAST,GEN,PAKHIDDE BHAUDAS SHAMRAO,M,,,IND,347
8089,Maharashtra,1985,134,6,NAGPUR EAST,GEN,SHINDE ASHOK GULABRAO,M,,,LKD,206
8090,Maharashtra,1985,134,7,NAGPUR EAST,GEN,MADHUKAR RAMCHANDRA TANNIWAR,M,,,IND,205
8091,Maharashtra,1985,134,8,NAGPUR EAST,GEN,SHARAD KEWALRAM WALDE,M,,,IND,183
8092,Maharashtra,1985,134,9,NAGPUR EAST,GEN,BOLDHAN KAMLAKAR NARYANRAO,M,,,IND,139
