ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
1752,Maharashtra,1967,123,1,NAGPUR NORTH,SC,P.R. WASNIK,M,,,INC,29404
1753,Maharashtra,1967,123,2,NAGPUR NORTH,SC,D.G. SONGARE,M,,,RPI,25754
1754,Maharashtra,1967,123,3,NAGPUR NORTH,SC,P.H. SHAMBHARKAR,M,,,IND,3905
1755,Maharashtra,1967,123,4,NAGPUR NORTH,SC,N.L. JAMBHURKAR,M,,,IND,3826
1756,Maharashtra,1967,123,5,NAGPUR NORTH,SC,R.R. SONAK,M,,,IND,1725
1757,Maharashtra,1967,123,6,NAGPUR NORTH,SC,P.T. PATEL,M,,,IND,656
1758,Maharashtra,1967,123,7,NAGPUR NORTH,SC,W.D. GHORE,M,,,IND,264
2944,Maharashtra,1972,123,1,NAGPUR NORTH,SC,DAULATRAO HUSANJI GANVIR,M,,,FBL,22993
2945,Maharashtra,1972,123,2,NAGPUR NORTH,SC,GANPAT HIRALAL BHAGAT,M,,,INC,21135
2946,Maharashtra,1972,123,3,NAGPUR NORTH,SC,SURYANKANT J. DONGRE,M,,,RPK,16123
2947,Maharashtra,1972,123,4,NAGPUR NORTH,SC,KISAN HANUJI JAMBHULKAR,M,,,RPI,3546
2948,Maharashtra,1972,123,5,NAGPUR NORTH,SC,MADHUKARRAO S. WASNIK,M,,,IND,2590
2949,Maharashtra,1972,123,6,NAGPUR NORTH,SC,DAMYANTIBAI S. DONGRE,M,,,IND,1463
2950,Maharashtra,1972,123,7,NAGPUR NORTH,SC,BHAIYYASAHEB CHAWARE,M,,,IND,488
2951,Maharashtra,1972,123,8,NAGPUR NORTH,SC,KESHAORAO KANHUJI WASNIK,M,,,IND,487
2952,Maharashtra,1972,123,9,NAGPUR NORTH,SC,MAHANAND H. PANTAONE,M,,,NCO,459
2953,Maharashtra,1972,123,10,NAGPUR NORTH,SC,HIREKHAN JANARDAN,M,,,IND,209
4410,Maharashtra,1978,133,1,NAGPUR NORTH,SC,DONGARE SURYAKANT JOGOBAJI,M,,,RPK,34598
4411,Maharashtra,1978,133,2,NAGPUR NORTH,SC,WASNIK BALKRISHNA RAMCHANDRA,M,,,INC,32121
4412,Maharashtra,1978,133,3,NAGPUR NORTH,SC,GANVIR DAULATRAO HUSAN,M,,,INC,3560
4413,Maharashtra,1978,133,4,NAGPUR NORTH,SC,GABHIYE KASHINATH LATARU,M,,,CPI,2840
4414,Maharashtra,1978,133,5,NAGPUR NORTH,SC,UKE TARACHAND GOMAJI,M,,,IND,756
4415,Maharashtra,1978,133,6,NAGPUR NORTH,SC,LANJEWAR BHIMSHANKAR TUKARAM,M,,,IND,450
4416,Maharashtra,1978,133,7,NAGPUR NORTH,SC,JAMBHULKAR KISAN HANUJI,M,,,IND,189
4417,Maharashtra,1978,133,8,NAGPUR NORTH,SC,VINAYAK JAGANNATH CHANGOLE,M,,,IND,186
4418,Maharashtra,1978,133,9,NAGPUR NORTH,SC,BHANGE MANIK PANCHAM,M,,,IND,130
4419,Maharashtra,1978,133,10,NAGPUR NORTH,SC,BHALERAO WAMANRAO JAGDISH,M,,,IND,115
6143,Maharashtra,1980,133,1,NAGPUR NORTH,SC,DONGRE SURYAKANT JAGOBAJI,M,,,RPK,29397
