ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
4431,Maharashtra,1978,135,1,NAGPUR SOUTH,GEN,VANJARI GOVINDRAO MAROTRAO,M,,,INC,45025
4432,Maharashtra,1978,135,2,NAGPUR SOUTH,GEN,DHEPE RAMANAND DEWAJI,M,,,RPK,27368
4433,Maharashtra,1978,135,3,NAGPUR SOUTH,GEN,AGRAWAL MADANGOPAL JODHRAJ,M,,,INC,2809
4434,Maharashtra,1978,135,4,NAGPUR SOUTH,GEN,CHOUBE UMESHCHANDER DAYASHANKAR,M,,,IND,1681
4435,Maharashtra,1978,135,5,NAGPUR SOUTH,GEN,NIMBALKAR WAMANRAO SAKHARAM,M,,,IND,789
4436,Maharashtra,1978,135,6,NAGPUR SOUTH,GEN,GOTE PUNJABRAO SOMAJI,M,,,IND,512
4437,Maharashtra,1978,135,7,NAGPUR SOUTH,GEN,GIRDE RAMKRISHNA UKANDRAO,M,,,IND,188
4438,Maharashtra,1978,135,8,NAGPUR SOUTH,GEN,KURVE TULSHIRAM CHANDRABHAN,M,,,IND,168
4439,Maharashtra,1978,135,9,NAGPUR SOUTH,GEN,GANGADHAR RAMKRISHNARAOJI TELRANDHE,M,,,IND,144
4440,Maharashtra,1978,135,10,NAGPUR SOUTH,GEN,DIVECHA VITHALDAS PUROSHOTTAM,M,,,IND,131
4441,Maharashtra,1978,135,11,NAGPUR SOUTH,GEN,UIKEY SHRAWAN KASHINATH,M,,,IND,126
4442,Maharashtra,1978,135,12,NAGPUR SOUTH,GEN,MAIRAL MADHUSUDAN RAMACHANDRA,M,,,IND,117
4443,Maharashtra,1978,135,13,NAGPUR SOUTH,GEN,TELWALE VIJAYKUMAR SUBHAKARAN,M,,,IND,86
4444,Maharashtra,1978,135,14,NAGPUR SOUTH,GEN,SAU. KOTANGLE SUMAN W/O GAJANAN,F,,,IND,74
4445,Maharashtra,1978,135,15,NAGPUR SOUTH,GEN,TAMBHARE YADAORAO RAGHOBAJI,M,,,IND,43
6154,Maharashtra,1980,135,1,NAGPUR SOUTH,GEN,BANWARILAL BHAGWANDAS PUROHIT,M,,,INC,31965
6155,Maharashtra,1980,135,2,NAGPUR SOUTH,GEN,DHEPE RAMANAND DEVAJI,M,,,RPK,20064
6156,Maharashtra,1980,135,3,NAGPUR SOUTH,GEN,CHAWHAN PRATAPSINGH RAMKISANSINGH,M,,,INC(U),5768
6157,Maharashtra,1980,135,4,NAGPUR SOUTH,GEN,NIMBALKAR WAMAN SUDAMA,M,,,RPI,602
6158,Maharashtra,1980,135,5,NAGPUR SOUTH,GEN,SINHA ADINATH AJITKUMAR,M,,,IND,308
6159,Maharashtra,1980,135,6,NAGPUR SOUTH,GEN,GAURKHEDE BABURAO GODARUJI,M,,,IND,195
6160,Maharashtra,1980,135,7,NAGPUR SOUTH,GEN,DOMODAR SHIVAJI MORE,M,,,IND,180
6161,Maharashtra,1980,135,8,NAGPUR SOUTH,GEN,JADHAO GANGADHAR MAHADEV,M,,,IND,145
6162,Maharashtra,1980,135,9,NAGPUR SOUTH,GEN,PANDURANG SOMAJI PISE,M,,,IND,122
6163,Maharashtra,1980,135,10,NAGPUR SOUTH,GEN,TALRANDHE GANGADHAR RAMKRISHNA,M,,,IND,120
6164,Maharashtra,1980,135,11,NAGPUR SOUTH,GEN,DIVECHA VITHALDAS PURUSHOTTAM,M,,,IND,106
8096,Maharashtra,1985,135,1,NAGPUR SOUTH,GEN,ASHOK SHANKAR DHAWAD,M,,,INC,40488
8097,Maharashtra,1985,135,2,NAGPUR SOUTH,GEN,RAMTEKE UMAKANT RAMBHAU,M,,,RPI,17837
8098,Maharashtra,1985,135,3,NAGPUR SOUTH,GEN,DUPALLIWAR SHIRISH DAMODHAR,M,,,ICS,16335
8099,Maharashtra,1985,135,4,NAGPUR SOUTH,GEN,AGNE BALASAHEB NARAYANRAO,M,,,IND,1782
8100,Maharashtra,1985,135,5,NAGPUR SOUTH,GEN,PRAMOD FULCHAND PATEL,M,,,IND,185
8101,Maharashtra,1985,135,6,NAGPUR SOUTH,GEN,PATIRAM SHAMRAO KULMATE,M,,,IND,136
8102,Maharashtra,1985,135,7,NAGPUR SOUTH,GEN,KURVE TULSIRAM CHANDRABHAN,M,,,IND,120
8103,Maharashtra,1985,135,8,NAGPUR SOUTH,GEN,MESHRAM DAYANAND SAHADEOJI,M,,,IND,116
8104,Maharashtra,1985,135,9,NAGPUR SOUTH,GEN,GANGADHAR RAMKRISHAN TELRANDHE,M,,,IND,77
8105,Maharashtra,1985,135,10,NAGPUR SOUTH,GEN,SAINANI MADHAV,M,,,IND,64
8106,Maharashtra,1985,135,11,NAGPUR SOUTH,GEN,DHANRAJ MAHADEOJI LAROKAR,M,,,IND,56
8107,Maharashtra,1985,135,12,NAGPUR SOUTH,GEN,SABLE BALASAHEB SAKHARAM,M,,,IND,42
10866,Maharashtra,1990,135,1,NAGPUR SOUTH,GEN,DHAWAD ASHOK SHANKAR,M,,,INC,35682
10867,Maharashtra,1990,135,2,NAGPUR SOUTH,GEN,WADIBHAME ASHOK RAMCHANDER,M,,,BJP,29387
10868,Maharashtra,1990,135,3,NAGPUR SOUTH,GEN,NARAYAN FUKTUJI MESHRAM,M,,,RPK,8989
10869,Maharashtra,1990,135,4,NAGPUR SOUTH,GEN,RAMESH JOTIRAM LOKHANDE,M,,,RPI,5199
10870,Maharashtra,1990,135,5,NAGPUR SOUTH,GEN,ASHOK HARIBHAU SHAMKUWAR,M,,,JD,5118
10871,Maharashtra,1990,135,6,NAGPUR SOUTH,GEN,P. S. CHANGOLE,M,,,BSP,3429
10872,Maharashtra,1990,135,7,NAGPUR SOUTH,GEN,HARIBHAU JAGOBAJI NAIK,M,,,IND,3058
10873,Maharashtra,1990,135,8,NAGPUR SOUTH,GEN,WASUDEO KANHUJI TUMSARE,M,,,IND,2028
10874,Maharashtra,1990,135,9,NAGPUR SOUTH,GEN,S. S. KUBHARE,F,,,IND,550
10875,Maharashtra,1990,135,10,NAGPUR SOUTH,GEN,MAMA SAHEB SARDAR,M,,,IND,492
10876,Maharashtra,1990,135,11,NAGPUR SOUTH,GEN,BADRINATH KALLU PRAJAATI,M,,,IND,385
10877,Maharashtra,1990,135,12,NAGPUR SOUTH,GEN,TAGADE JAYWANTRAO DAULARAO,M,,,IND,288
10878,Maharashtra,1990,135,13,NAGPUR SOUTH,GEN,LAMGHARE NAROTTAM BAPURAO,M,,,ICS(SCS),250
10879,Maharashtra,1990,135,14,NAGPUR SOUTH,GEN,PURAN KISAN MESHRAM,M,,,IND,176
10880,Maharashtra,1990,135,15,NAGPUR SOUTH,GEN,WANKHEDE SUSHILA RAMBAU,F,,,IND,140
10881,Maharashtra,1990,135,16,NAGPUR SOUTH,GEN,THAKUR RATANSING MAHANSING THAKUR,M,,,IND,102
10882,Maharashtra,1990,135,17,NAGPUR SOUTH,GEN,GAJRAJ PANDURANG HATEWAR,M,,,IND,80
10883,Maharashtra,1990,135,18,NAGPUR SOUTH,GEN,WASUDEO BALIRAM TATODE,M,,,IND,74
10884,Maharashtra,1990,135,19,NAGPUR SOUTH,GEN,BABA SANTOSHRAO DWARE,M,,,IND,67
10885,Maharashtra,1990,135,20,NAGPUR SOUTH,GEN,SHIVDAS TULSHIRAMJI KATHANE,M,,,IND,57
10886,Maharashtra,1990,135,21,NAGPUR SOUTH,GEN,GANGADHAR MAHADEO,M,,,HMS,55
10887,Maharashtra,1990,135,22,NAGPUR SOUTH,GEN,RAMRAO SURYWANSHI (KALAR),M,,,IND,51
10888,Maharashtra,1990,135,23,NAGPUR SOUTH,GEN,HIRODE BALKRUSHNA SURYBHAN,M,,,IND,50
10889,Maharashtra,1990,135,24,NAGPUR SOUTH,GEN,THOOL MADAN PRALHAD,M,,,IND,48
10890,Maharashtra,1990,135,25,NAGPUR SOUTH,GEN,YOGESH KURSHNARAO KUMBHALKAR,M,,,IND,42
10891,Maharashtra,1990,135,26,NAGPUR SOUTH,GEN,DAMODHAR GOPALRAO DALAL,M,,,IND,39
10892,Maharashtra,1990,135,27,NAGPUR SOUTH,GEN,DHANRAJ UTTAMRAO GAWANDE,M,,,IND,26
10893,Maharashtra,1990,135,28,NAGPUR SOUTH,GEN,CHOUDHARI SURESH CHUNILAL,M,,,IND,24
10894,Maharashtra,1990,135,29,NAGPUR SOUTH,GEN,MUKESH JOKHU MURAI,M,,,IND,22
10895,Maharashtra,1990,135,30,NAGPUR SOUTH,GEN,HINGHAL RAJANDRKUMAR TILAKRAJ,M,,,IND,7
15120,Maharashtra,1995,135,1,NAGPUR SOUTH,GEN,ASHOK RAMCHANDRA WADIBHASME,M,,,BJP,49151
15121,Maharashtra,1995,135,2,NAGPUR SOUTH,GEN,DHAWAD ASHOK SHANKARRAO,M,,,INC,36248
15122,Maharashtra,1995,135,3,NAGPUR SOUTH,GEN,RAJU JYOTIRAM LOKHANDE,M,31,GEN,BBMS,28478
15123,Maharashtra,1995,135,4,NAGPUR SOUTH,GEN,HIWARKAR PANDURANG MAROTRAO,M,,,BSP,9052
15124,Maharashtra,1995,135,5,NAGPUR SOUTH,GEN,LUTE JAYANTRAO URKUDAJI,M,,,IND,7510
15125,Maharashtra,1995,135,6,NAGPUR SOUTH,GEN,RAUT PURUSHOTTAM BHAURAO,M,,,JD,2077
15126,Maharashtra,1995,135,7,NAGPUR SOUTH,GEN,GAJBE PRALHAD BAKARAM,M,,,RPI(K),782
15127,Maharashtra,1995,135,8,NAGPUR SOUTH,GEN,TELANG SURESH TUKARAM,M,,,IND,674
15128,Maharashtra,1995,135,9,NAGPUR SOUTH,GEN,MOHAN MAROTRAO KAREMORE,M,,,IND,391
15129,Maharashtra,1995,135,10,NAGPUR SOUTH,GEN,PRASHANT BHUPE,M,,,IND,291
15130,Maharashtra,1995,135,11,NAGPUR SOUTH,GEN,BHAI RAM GANAR,M,,,IND,280
15131,Maharashtra,1995,135,12,NAGPUR SOUTH,GEN,SHUKLA SURENDRA HARBHAJAN,M,,,SAP,269
15132,Maharashtra,1995,135,13,NAGPUR SOUTH,GEN,MEGHRAJ BHAIROLAL PATEL,M,,,IND,251
15133,Maharashtra,1995,135,14,NAGPUR SOUTH,GEN,BAND SANJAY GUNWANT,M,,,IND,204
15134,Maharashtra,1995,135,15,NAGPUR SOUTH,GEN,PAIKUJI KAWADUJI INGALE,M,,,IND,201
15135,Maharashtra,1995,135,16,NAGPUR SOUTH,GEN,ISHWAR GANPAT SONTAKKE,M,,,IND,194
15136,Maharashtra,1995,135,17,NAGPUR SOUTH,GEN,ARUN WADIKAR,M,,,IND,193
15137,Maharashtra,1995,135,18,NAGPUR SOUTH,GEN,YEDLE DINESH BABANRAO,M,,,IND,190
15138,Maharashtra,1995,135,19,NAGPUR SOUTH,GEN,RATAN PARASRAM KHOBRAGADE,M,,,IND,186
15139,Maharashtra,1995,135,20,NAGPUR SOUTH,GEN,NIRMALKUMAR NAIDU (MUNNA NAIDU),M,,,IND,167
15140,Maharashtra,1995,135,21,NAGPUR SOUTH,GEN,BHAJAN NATHU MADHAVEDEO,M,,,IND,155
15141,Maharashtra,1995,135,22,NAGPUR SOUTH,GEN,JAGDISH GULABRAO MAROTRAO,M,,,RPI,151
15142,Maharashtra,1995,135,23,NAGPUR SOUTH,GEN,PAGARE MADHUKAR PANDURANG,M,,,IND,148
15143,Maharashtra,1995,135,24,NAGPUR SOUTH,GEN,RAMDULARI PAL,F,,,IND,133
15144,Maharashtra,1995,135,25,NAGPUR SOUTH,GEN,KHANDELWAL SUNIL BRIJMOHAN,M,,,DDP,124
15145,Maharashtra,1995,135,26,NAGPUR SOUTH,GEN,TELRANDHE GANGADHAR RAMKRISHNA,M,,,IND,122
15146,Maharashtra,1995,135,27,NAGPUR SOUTH,GEN,HAJARE PRAVIN CHANDRABHAN,M,,,IND,115
15147,Maharashtra,1995,135,28,NAGPUR SOUTH,GEN,DEVIDAS RAMRAO DESHMUKH,M,,,IND,108
15148,Maharashtra,1995,135,29,NAGPUR SOUTH,GEN,HANDE RAJESH RAMCHANDRAO,M,,,IND,105
15149,Maharashtra,1995,135,30,NAGPUR SOUTH,GEN,SONWANE VINAYAK BHIMRAO,M,,,IND,101
15150,Maharashtra,1995,135,31,NAGPUR SOUTH,GEN,MILIND ANANDRAO KHOBRAGADE,M,,,IND,100
15151,Maharashtra,1995,135,32,NAGPUR SOUTH,GEN,SHELKE TARACHAND NAMDEORAO,M,,,IND,89
15152,Maharashtra,1995,135,33,NAGPUR SOUTH,GEN,WASU NAGENDRA DAS,M,,,IND,84
15153,Maharashtra,1995,135,34,NAGPUR SOUTH,GEN,DILIP ONKAR WANKHADE,M,,,IND,81
15154,Maharashtra,1995,135,35,NAGPUR SOUTH,GEN,KURVE TULSHIRAM CHANDRABHAN,M,,,IND,64
15155,Maharashtra,1995,135,36,NAGPUR SOUTH,GEN,AGRAWAL KAMAL PRALHADRAI,M,,,IND,56
15156,Maharashtra,1995,135,37,NAGPUR SOUTH,GEN,VASANTRAO GHODE,M,,,IND,53
15157,Maharashtra,1995,135,38,NAGPUR SOUTH,GEN,AGRAWALGIRJASHANKAR BADRIPRASAD,M,,,IND,51
15158,Maharashtra,1995,135,39,NAGPUR SOUTH,GEN,VASTALABAI S. GAJBHIYE,F,,,IND,27
18565,Maharashtra,1999,135,1,NAGPUR SOUTH,GEN,MOHAN GOPALRAO MATE,M,31,GEN,BJP,39374
18566,Maharashtra,1999,135,2,NAGPUR SOUTH,GEN,WANJARI GOVINDARAO MAROTRAO,M,,,INC,36679
18567,Maharashtra,1999,135,3,NAGPUR SOUTH,GEN,RAJU JYOTIRAM LOKHANDE,M,35,GEN,BBM,26142
18568,Maharashtra,1999,135,4,NAGPUR SOUTH,GEN,PRAMOD VINAYAKRAO DARNE,M,,,NCP,6563
18569,Maharashtra,1999,135,5,NAGPUR SOUTH,GEN,JOURNLIST UTTAM SHEWDE,M,,,BSP,1368
