ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
23001,Maharashtra,2009,52,1,NAGPUR SOUTH WEST,GEN,DEVENDRA GANGADHAR FADNAVIS,M,39,GEN,BJP,89258
23002,Maharashtra,2009,52,2,NAGPUR SOUTH WEST,GEN,VIKAS PANDURANG THAKRE,M,43,GEN,INC,61483
23003,Maharashtra,2009,52,3,NAGPUR SOUTH WEST,GEN,LOKHANDE RAJU JOTIRAMJI,M,44,SC,BBM,10533
23004,Maharashtra,2009,52,4,NAGPUR SOUTH WEST,GEN,UMAKANT (BABLU) DEOTALE,M,51,GEN,IND,8337
23005,Maharashtra,2009,52,5,NAGPUR SOUTH WEST,GEN,SUNIL CHOKHINATH ZODAPE,M,42,SC,IND,1618
23006,Maharashtra,2009,52,6,NAGPUR SOUTH WEST,GEN,JAIDEEP JOGENDRA KAWADE,M,25,GEN,RPI(A),1438
23007,Maharashtra,2009,52,7,NAGPUR SOUTH WEST,GEN,RANGARI RAJESH SHRAVAN,M,39,GEN,IND,848
23008,Maharashtra,2009,52,8,NAGPUR SOUTH WEST,GEN,CHIMOTE RAMMURTI,M,42,ST,GGP,437
23009,Maharashtra,2009,52,9,NAGPUR SOUTH WEST,GEN,RAJU MAHADEO PENDAM,M,37,ST,JMM,184
23010,Maharashtra,2009,52,9,NAGPUR SOUTH WEST,GEN,BANTI HARIDAS UKE,M,38,SC,IND,184
23011,Maharashtra,2009,52,11,NAGPUR SOUTH WEST,GEN,KAMBLE RAJU SAMPATRAO,M,48,SC,IND,181
23012,Maharashtra,2009,52,12,NAGPUR SOUTH WEST,GEN,BHAIYASAHEB BHAGWAN,M,59,SC,IJP,136
23013,Maharashtra,2009,52,13,NAGPUR SOUTH WEST,GEN,UDDHAO SHAMRAOJI,M,38,SC,IND,117
23014,Maharashtra,2009,52,14,NAGPUR SOUTH WEST,GEN,KHEMRAJ PUNAJI MOON,M,66,SC,IND,112
23015,Maharashtra,2009,52,15,NAGPUR SOUTH WEST,GEN,BALASAHEB ALIAS PRAMOD,M,40,SC,IND,89
23016,Maharashtra,2014,52,1,NAGPUR SOUTH WEST,GEN,DEVENDRA GANGADHAR FADNAVIS,M,44,GEN,BJP,113918
23017,Maharashtra,2014,52,2,NAGPUR SOUTH WEST,GEN,PRAFULLA VINOD GUDADHE (PATIL),M,39,GEN,INC,54976
23018,Maharashtra,2014,52,3,NAGPUR SOUTH WEST,GEN,DR. RAJENDRA SHAMRAO PADOLE,M,41,GEN,BSP,16540
23019,Maharashtra,2014,52,4,NAGPUR SOUTH WEST,GEN,PANJU KISHANCHAND TOTWANI,M,43,GEN,SHS,2767
23020,Maharashtra,2014,52,5,NAGPUR SOUTH WEST,GEN,DILIP PANKULE,M,58,GEN,NCP,1055
23021,Maharashtra,2014,52,6,NAGPUR SOUTH WEST,GEN,None of the Above,,,,NOTA,1014
23022,Maharashtra,2014,52,7,NAGPUR SOUTH WEST,GEN,PAWAN RUPCHAND MESHRAM,M,29,SC,APOI,309
23023,Maharashtra,2014,52,8,NAGPUR SOUTH WEST,GEN,VISHAL AJABRAO WANKHEDE,M,27,SC,BBM,278
23024,Maharashtra,2014,52,9,NAGPUR SOUTH WEST,GEN,RAJU GANESH CHAUVHAN,M,43,SC,IND,269
23025,Maharashtra,2014,52,10,NAGPUR SOUTH WEST,GEN,BHARTI MESHRAM,F,29,GEN,IND,267
23026,Maharashtra,2014,52,11,NAGPUR SOUTH WEST,GEN,RAJKUMAR CHANDRABHAN GUPTA,M,46,GEN,IND,240
23027,Maharashtra,2014,52,12,NAGPUR SOUTH WEST,GEN,KAMBLE SHIVDAS RAMCHANDRA,M,55,SC,ARP,192
23028,Maharashtra,2014,52,13,NAGPUR SOUTH WEST,GEN,PATIL NAGESH MAROTRAO,M,44,SC,IND,181
23029,Maharashtra,2014,52,14,NAGPUR SOUTH WEST,GEN,DINESH DAYARAMJI SONEKAR,M,28,SC,IND,141
23030,Maharashtra,2014,52,15,NAGPUR SOUTH WEST,GEN,ARUN KAWDUJI HADKE,M,48,SC,IND,119
23031,Maharashtra,2014,52,16,NAGPUR SOUTH WEST,GEN,MURARKAR BHUSHAN  SOMESHWAR,M,44,SC,RPIE,84
23032,Maharashtra,2014,52,17,NAGPUR SOUTH WEST,GEN,BASENA DILIP JAGDISH,M,25,GEN,CSM,50
