ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
1775,Maharashtra,1967,126,1,NAGPUR WEST,GEN,S. BALRAJ,F,,,INC,25694
1776,Maharashtra,1967,126,2,NAGPUR WEST,GEN,S. B. SUKLIKAR,M,,,BJS,16793
1777,Maharashtra,1967,126,3,NAGPUR WEST,GEN,G. A. KIRDE,M,,,IND,4229
1778,Maharashtra,1967,126,4,NAGPUR WEST,GEN,V. S. DANDEKAR,M,,,IND,3789
1779,Maharashtra,1967,126,5,NAGPUR WEST,GEN,H. K. AGARWAL,M,,,IND,3460
1780,Maharashtra,1967,126,6,NAGPUR WEST,GEN,V. N. SAWARKAR,M,,,IND,449
1781,Maharashtra,1967,126,7,NAGPUR WEST,GEN,V. MASRAM,F,,,IND,428
1782,Maharashtra,1967,126,8,NAGPUR WEST,GEN,R. K. MOON,M,,,IND,272
1783,Maharashtra,1967,126,9,NAGPUR WEST,GEN,L. S. PUROHIT,M,,,IND,268
1784,Maharashtra,1967,126,10,NAGPUR WEST,GEN,N. L. RAO,M,,,IND,234
1785,Maharashtra,1967,126,11,NAGPUR WEST,GEN,S. S. FOPARE,M,,,IND,172
1786,Maharashtra,1967,126,12,NAGPUR WEST,GEN,S. B. PATIL,M,,,IND,139
1787,Maharashtra,1967,126,13,NAGPUR WEST,GEN,K. K. JAMGADE,M,,,IND,119
1788,Maharashtra,1967,126,14,NAGPUR WEST,GEN,S. I. S. UMAR,M,,,IND,112
1789,Maharashtra,1967,126,15,NAGPUR WEST,GEN,N. T.SAYARE,M,,,IND,82
2982,Maharashtra,1972,126,1,NAGPUR WEST,GEN,SUSHILABAI BALRAJ,M,,,INC,25410
2983,Maharashtra,1972,126,2,NAGPUR WEST,GEN,SUMATI B. SUKLIKAR,M,,,BJS,20896
2984,Maharashtra,1972,126,3,NAGPUR WEST,GEN,MAHADEORAO N. BHORKAR,M,,,IND,13973
2985,Maharashtra,1972,126,4,NAGPUR WEST,GEN,T. C. MUKHARJI,M,,,RPK,2629
