ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
612,Maharashtra,1962,139,1,NANDURBAR,GEN,GAJMAL TULSHIRAM PATIL,M,,,INC,23697
613,Maharashtra,1962,139,2,NANDURBAR,GEN,SHANKARRAO CHINDUJI BEDSE,M,,,IND,10688
614,Maharashtra,1962,139,3,NANDURBAR,GEN,PURSARAM MOHANLAL MAHESHWARI,M,,,JS,7799
615,Maharashtra,1962,139,4,NANDURBAR,GEN,POPATLAL NATHUBHAI VANI,M,,,IND,470
1519,Maharashtra,1967,75,1,NANDURBAR,ST,R. P. VALAVI,M,,,INC,26321
1520,Maharashtra,1967,75,2,NANDURBAR,ST,Z. N. VALVI,M,,,BJS,20211
2739,Maharashtra,1972,75,1,NANDURBAR,ST,RAMESH PANYA VALVI,M,,,INC,33705
2740,Maharashtra,1972,75,2,NANDURBAR,ST,MADHAV BANDU MORE,M,,,BJS,7145
2741,Maharashtra,1972,75,3,NANDURBAR,ST,ZAMTRU NATHU VALVI,M,,,IND,1398
4065,Maharashtra,1978,82,1,NANDURBAR,ST,VALVI RAMESH PANYA,M,,,INC,42526
4066,Maharashtra,1978,82,2,NANDURBAR,ST,NATAWADKAR JAYANT GANPAT,M,,,JNP,30095
5861,Maharashtra,1980,82,1,NANDURBAR,ST,VALVI RAMESH PANYA,M,,,INC,37198
5862,Maharashtra,1980,82,2,NANDURBAR,ST,GAVIT NALINIBAI TUKARAM,F,,,INC(U),16818
7642,Maharashtra,1985,82,1,NANDURBAR,ST,INDRASING DIWANSING VASAVE,M,,,INC,42444
7643,Maharashtra,1985,82,2,NANDURBAR,ST,VALVI PRAVIN JALAMSING,M,,,JNP,13829
7644,Maharashtra,1985,82,3,NANDURBAR,ST,TEJARAM BALIRAM KOKANI,M,,,IND,1145
7645,Maharashtra,1985,82,4,NANDURBAR,ST,KOKANI BARAKU JIWALYA,M,,,IND,651
9962,Maharashtra,1990,82,1,NANDURBAR,ST,VALVI PRATAP KUBAJI,M,,,INC,43342
9963,Maharashtra,1990,82,2,NANDURBAR,ST,GAVIT KRUSHNARAO DAMAJI,M,,,JD,37206
9964,Maharashtra,1990,82,3,NANDURBAR,ST,VILAS RAWA KOKANI,M,,,SHS,6790
9965,Maharashtra,1990,82,4,NANDURBAR,ST,VASAVE NURJI MUDYA,M,,,DDP,589
9966,Maharashtra,1990,82,5,NANDURBAR,ST,ISHI CHAITRAM SHIVRAM,M,,,IND,251
14013,Maharashtra,1995,82,1,NANDURBAR,ST,GAVIT VIJAYKUMAR  KRUSHNARAO,M,40,ST,IND,57694
14014,Maharashtra,1995,82,2,NANDURBAR,ST,VALVI PRATAP RUBJI,M,,,INC,38116
14015,Maharashtra,1995,82,3,NANDURBAR,ST,VALVI RAJENDRASING VIKRAMSING,M,,,SHS,17598
14016,Maharashtra,1995,82,4,NANDURBAR,ST,THAKARE RAYSING CHIPTYA,M,,,IND,6469
14017,Maharashtra,1995,82,5,NANDURBAR,ST,VASAVE JABARSING MIRYA,M,,,DDP,1078
18208,Maharashtra,1999,82,1,NANDURBAR,ST,GAVIT VIJAYKUMAR  KRUSHNARAO,M,44,ST,NCP,61707
18209,Maharashtra,1999,82,2,NANDURBAR,ST,VASAVE INDRASING DIWANSING,M,,,INC,57013
18210,Maharashtra,1999,82,3,NANDURBAR,ST,PADVI AJABSING GANGAJI,M,,,SHS,1625
18211,Maharashtra,1999,82,4,NANDURBAR,ST,GANGURDE VASUDEO NAMDEO,M,,,IND,1552
20348,Maharashtra,2004,82,3,NANDURBAR,ST,VASAVE GULABSING DIWANSING,M,50,ST,IND,28817
20349,Maharashtra,2004,82,2,NANDURBAR,ST,GAIKWAD NAMDEVRAO GHAMAJI,M,55,ST,SHS,33534
