ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
23961,Maharashtra,2009,123,1,NASHIK EAST,GEN,ADV. DHIKALE UTTAMRAO,M,69,GEN,MNS,47924
23962,Maharashtra,2009,123,2,NASHIK EAST,GEN,BALASAHEB MAHADU SANAP,M,48,GEN,BJP,29189
23963,Maharashtra,2009,123,3,NASHIK EAST,GEN,PANGAVHANE RAJARAM,M,51,GEN,INC,20182
23964,Maharashtra,2009,123,4,NASHIK EAST,GEN,PINGALE DEVIDAS ANANDRAO,M,49,GEN,IND,14263
23965,Maharashtra,2009,123,5,NASHIK EAST,GEN,ADHAV DINKAR GOTIRAM,M,52,GEN,IND,8833
23966,Maharashtra,2009,123,6,NASHIK EAST,GEN,GHIYA SUBHASH BABULAL,M,53,GEN,IND,5728
23967,Maharashtra,2009,123,7,NASHIK EAST,GEN,UNHAVANE GANESH,M,41,SC,RPI(A),4609
23968,Maharashtra,2009,123,8,NASHIK EAST,GEN,SATISH ASHOKRAO NIKAM,M,31,GEN,IND,3881
23969,Maharashtra,2009,123,9,NASHIK EAST,GEN,JOHARE EKNATH GAJMAL,M,58,SC,BSP,2023
23970,Maharashtra,2009,123,10,NASHIK EAST,GEN,TELORE KAILAS NIVRUTTI,M,39,SC,IND,817
23971,Maharashtra,2009,123,11,NASHIK EAST,GEN,AVHAD MAHESH ZUNJAR,M,38,GEN,IND,640
23972,Maharashtra,2009,123,12,NASHIK EAST,GEN,BODAKE KASHINATH,M,60,GEN,BBM,361
23973,Maharashtra,2009,123,13,NASHIK EAST,GEN,GAIKWAD RAJENDRA,M,43,SC,IND,337
23974,Maharashtra,2009,123,14,NASHIK EAST,GEN,CHAVHAN KAILAS,M,28,SC,IJP,310
23975,Maharashtra,2009,123,15,NASHIK EAST,GEN,JADHAV SANTOSH SUDAM,M,31,SC,IND,275
23976,Maharashtra,2014,123,1,NASHIK EAST,GEN,BALASAHEB MAHADU SANAP,M,53,GEN,BJP,78941
23977,Maharashtra,2014,123,2,NASHIK EAST,GEN,CHANDRAKANT (RAJU ANNA) PANDURANG LAVTE,M,53,GEN,SHS,32567
23978,Maharashtra,2014,123,3,NASHIK EAST,GEN,NIMSE UDHAV BABURAV,M,43,GEN,INC,19509
23979,Maharashtra,2014,123,4,NASHIK EAST,GEN,PINGALE DEVIDAS ANANDRAO,M,53,GEN,NCP,13005
23980,Maharashtra,2014,123,5,NASHIK EAST,GEN,RAMESH SHANKAR DHONGADE(R. D.),M,50,GEN,MNS,12488
23981,Maharashtra,2014,123,6,NASHIK EAST,GEN,GANGURDE MUKUND HIRAMAN,M,39,SC,BSP,6693
23982,Maharashtra,2014,123,7,NASHIK EAST,GEN,None of the Above,,,,NOTA,1795
23983,Maharashtra,2014,123,8,NASHIK EAST,GEN,ADV. CHANDRAMORE RAJENDRA SHYAMRAO,M,48,SC,RPSN,395
23984,Maharashtra,2014,123,9,NASHIK EAST,GEN,PRAMOD (GANESH) KISAN PELMAHALE,M,27,GEN,IND,273
23985,Maharashtra,2014,123,10,NASHIK EAST,GEN,MOTIRAM (KAILAS)LAXMAN PAGARE,M,39,SC,APOI,273
23986,Maharashtra,2014,123,11,NASHIK EAST,GEN,RADHAKRISHA DHERURAM DHANJAL,M,63,GEN,IND,265
23987,Maharashtra,2014,123,12,NASHIK EAST,GEN,PALLVI UDYARAO GANGURDE,F,29,SC,IND,255
23988,Maharashtra,2014,123,13,NASHIK EAST,GEN,BAGUL VIJAY RAMCHANDRA,M,37,GEN,IND,248
23989,Maharashtra,2014,123,14,NASHIK EAST,GEN,PATIL RAMESHCHANDRA CHANGDEV,M,63,GEN,HEAP,188
23990,Maharashtra,2014,123,15,NASHIK EAST,GEN,PATHAN FAYYAZ KHAN USMAN,M,44,GEN,AWVP,128
23991,Maharashtra,2014,123,16,NASHIK EAST,GEN,KIRAN PANDURANG DARADE,M,30,GEN,IND,125
