ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
621,Maharashtra,1962,141,1,NAWAPUR,ST,DHARMA JAYARAM KOKANI,M,,,INC,6414
622,Maharashtra,1962,141,2,NAWAPUR,ST,SATTARSINGH SONA VASAVE,M,,,IND,5136
623,Maharashtra,1962,141,3,NAWAPUR,ST,KANTHADSING RAOJI VASAVE,M,,,CPI,5026
624,Maharashtra,1962,141,4,NAWAPUR,ST,RUDHA RAJYA GAVIT,M,,,JS,2338
1514,Maharashtra,1967,74,1,NAWAPUR,ST,D. J. KOKANI,M,,,INC,13383
1515,Maharashtra,1967,74,2,NAWAPUR,ST,F. R. VALVI,M,,,BJS,6169
1516,Maharashtra,1967,74,3,NAWAPUR,ST,K. R. VASAVE,M,,,CPI,5440
1517,Maharashtra,1967,74,4,NAWAPUR,ST,B. S. KOKNI,M,,,IND,5194
1518,Maharashtra,1967,74,5,NAWAPUR,ST,T. A. SANE,M,,,IND,1545
2736,Maharashtra,1972,74,1,NAWAPUR,ST,SURUPSING HIRYA NAIK,M,,,INC,32700
2737,Maharashtra,1972,74,2,NAWAPUR,ST,SHRAWAN RAMA GAIKW AD,M,,,IND,4405
2738,Maharashtra,1972,74,3,NAWAPUR,ST,KANTILAL RAOGI VASAVE,M,,,IND,3597
4060,Maharashtra,1978,81,1,NAWAPUR,ST,VASAVE ZINA SAMYA,M,,,INC,24572
4061,Maharashtra,1978,81,2,NAWAPUR,ST,VALVI SURUPSING FULJI,M,,,INC,19116
4062,Maharashtra,1978,81,3,NAWAPUR,ST,VASAVA SATTARSING SONA,M,,,JNP,9669
4063,Maharashtra,1978,81,4,NAWAPUR,ST,CHAURE DHARMA GANGARAM,M,,,CPI,4281
4064,Maharashtra,1978,81,5,NAWAPUR,ST,GAVIT RUDHA RAJYA,M,,,IND,931
5858,Maharashtra,1980,81,1,NAWAPUR,ST,GAVIT MANIKRAO HODLYA,M,,,INC,45357
5859,Maharashtra,1980,81,2,NAWAPUR,ST,KOKANI BRIJLAL SHRAWAN,M,,,BJP,6753
5860,Maharashtra,1980,81,3,NAWAPUR,ST,VASAVE VINAYAKRAO GAJARYA,M,,,JNP,2453
7636,Maharashtra,1985,81,1,NAWAPUR,ST,NAIK SHURUPSING HIRYA,M,,,INC,62580
7637,Maharashtra,1985,81,2,NAWAPUR,ST,VASANT DODHA SURYAVANSHI,M,,,JNP,13565
7638,Maharashtra,1985,81,3,NAWAPUR,ST,GAVIT NOJUBHAI FULSING,F,,,IND,4320
7639,Maharashtra,1985,81,4,NAWAPUR,ST,SWARUPSING FULJI VALAVI,M,,,IND,1213
7640,Maharashtra,1985,81,5,NAWAPUR,ST,MANJI FOJYA VASAVE,M,,,IND,1110
7641,Maharashtra,1985,81,6,NAWAPUR,ST,RANU UKHADYA KOKANI,M,,,IND,735
9956,Maharashtra,1990,81,1,NAWAPUR,ST,NAIK SURUPSING HIRYA,M,,,INC,66510
9957,Maharashtra,1990,81,2,NAWAPUR,ST,THAKARE AMBAR BARIK,M,,,BJP,16728
9958,Maharashtra,1990,81,3,NAWAPUR,ST,GAVIT SOBAJI DEVALYA,M,,,JD,14311
9959,Maharashtra,1990,81,4,NAWAPUR,ST,VASAVE KISHOR UTARYA,M,,,DDP,447
9960,Maharashtra,1990,81,5,NAWAPUR,ST,VASAVE MANGI FOJYA,M,,,IND,359
9961,Maharashtra,1990,81,6,NAWAPUR,ST,PAWAR BABULAL KISAN,M,,,IND,316
14009,Maharashtra,1995,81,1,NAWAPUR,ST,NAIK SURUPSING HIRYA,M,,,INC,69518
14010,Maharashtra,1995,81,2,NAWAPUR,ST,MAVACHI RATANJI MOTYA,M,,,BJP,47711
14011,Maharashtra,1995,81,3,NAWAPUR,ST,PAWAR BABULAL KISAN,M,,,IND,11395
14012,Maharashtra,1995,81,4,NAWAPUR,ST,VASAVE MIRA KISHOR,F,,,DDP,1669
18205,Maharashtra,1999,81,1,NAWAPUR,ST,NAIK SURUPSING HIRYA,M,,,INC,66902
18206,Maharashtra,1999,81,2,NAWAPUR,ST,DILIP SHASHIKUMAR NAIK,M,,,NCP,42397
18207,Maharashtra,1999,81,3,NAWAPUR,ST,MAVACHI RATANJI MOTYA,M,,,BJP,17387
20341,Maharashtra,2004,81,3,NAWAPUR,ST,GAVIT ISHWAR NURAJI,M,36,ST,BSP,9034
20342,Maharashtra,2004,81,1,NAWAPUR,ST,NAIK SURUPSING HIRYA,M,66,ST,INC,121613
20343,Maharashtra,2004,81,6,NAWAPUR,ST,GAWALI DURGABAI HIRU,F,46,ST,IND,1992
20344,Maharashtra,2004,81,4,NAWAPUR,ST,GANGURDE SAVITA RAMAKANT,F,30,ST,IND,5464
20345,Maharashtra,2004,81,2,NAWAPUR,ST,BAGUL ANIL SUKRAM,M,30,ST,BJP,23179
20346,Maharashtra,2004,81,7,NAWAPUR,ST,GAVIT SOBAJI DEOLYA,M,51,ST,SP,1467
20347,Maharashtra,2004,81,5,NAWAPUR,ST,GAVIT RAMSING GENYA,M,56,ST,JD(S),2590
22386,Maharashtra,2009,4,1,NAWAPUR,ST,GAVIT SHARAD KRUSHNARAO,M,46,ST,SP,75719
22387,Maharashtra,2009,4,2,NAWAPUR,ST,NAIK SURUPSING HIRYA,M,71,ST,INC,74024
22388,Maharashtra,2009,4,3,NAWAPUR,ST,DILIP SHASHIKUMAR NAIK,M,56,ST,IND,11853
22389,Maharashtra,2009,4,4,NAWAPUR,ST,ANIL MOHAN VASAVE,M,39,ST,BJP,6166
22390,Maharashtra,2009,4,5,NAWAPUR,ST,VASAVE ARJUNSING,M,44,ST,BBM,3670
22391,Maharashtra,2009,4,6,NAWAPUR,ST,GAVIT SHARAD FATTESING,M,40,ST,IND,1892
22392,Maharashtra,2009,4,7,NAWAPUR,ST,GAVIT ISHWAR NURJI,M,41,ST,BSP,1610
