ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
602,Maharashtra,1962,137,1,NIPHAD,GEN,DATTATRAYE BHIKAJI PATIL,M,,,INC,22312
603,Maharashtra,1962,137,2,NIPHAD,GEN,NARAYAN LAKHUJI SHINDE,M,,,CPI,11952
604,Maharashtra,1962,137,3,NIPHAD,GEN,DEODHAR SITARAM DANGALE,M,,,IND,2225
605,Maharashtra,1962,137,4,NIPHAD,GEN,FAKIRA LAXMAN BHAGARE,M,,,IND,1995
606,Maharashtra,1962,137,5,NIPHAD,GEN,SADASHIV EORAM HOLKAR,M,,,JS,1842
607,Maharashtra,1962,137,6,NIPHAD,GEN,GANPAT GANGARAM KARATE,M,,,IND,430
1478,Maharashtra,1967,64,1,NIPHAD,GEN,D. B. PATIL,M,,,INC,16481
1479,Maharashtra,1967,64,2,NIPHAD,GEN,P. N. KARAD,M,,,SSP,13282
1480,Maharashtra,1967,64,3,NIPHAD,GEN,M. K. BORASTE,M,,,IND,13140
1481,Maharashtra,1967,64,4,NIPHAD,GEN,M. Y. HIRE,M,,,IND,405
2690,Maharashtra,1972,64,1,NIPHAD,GEN,DULAJI SITARAM PATIL,M,,,IND,28322
2691,Maharashtra,1972,64,2,NIPHAD,GEN,VINAYAKRAO P. PATIL,M,,,INC,27755
2692,Maharashtra,1972,64,3,NIPHAD,GEN,PANGAVHINE M. YASHWANT,M,,,IND,387
4002,Maharashtra,1978,70,1,NIPHAD,GEN,PATIL VINAYAKRAO PUDLIKRAO,M,,,INC,51315
4003,Maharashtra,1978,70,2,NIPHAD,GEN,BORASTE MADHAVRAO KASHIRAM,M,,,IND,22786
4004,Maharashtra,1978,70,3,NIPHAD,GEN,KATKADE BALKRISHNA NAMDEO,M,,,INC,792
5808,Maharashtra,1980,70,1,NIPHAD,GEN,MOGAL MALOJIRAO SADASHIV,M,,,INC(U),38612
5809,Maharashtra,1980,70,2,NIPHAD,GEN,BORASTE MADHAVRAO KASHIRAM,M,,,INC,28665
5810,Maharashtra,1980,70,3,NIPHAD,GEN,JOSHI PRAKASH RAGHUNATH,M,,,IND,522
5811,Maharashtra,1980,70,4,NIPHAD,GEN,PAGARE YADAV GANPAT,M,,,IND,460
5812,Maharashtra,1980,70,5,NIPHAD,GEN,PAWAR SITARAM MOTIRAM,M,,,IND,392
5813,Maharashtra,1980,70,6,NIPHAD,GEN,CHAVAN SUKDEO SAKHARAM,M,,,IND,305
5814,Maharashtra,1980,70,7,NIPHAD,GEN,RAJOLE SHIVAJI BHAURAO,M,,,IND,292
5815,Maharashtra,1980,70,8,NIPHAD,GEN,JOSHI PRAKASH VENKATESH,M,,,IND,192
5816,Maharashtra,1980,70,9,NIPHAD,GEN,KARAD NAMDEORAO SADASHIV,M,,,IND,88
7552,Maharashtra,1985,70,1,NIPHAD,GEN,MOGAL MALOJIRAO SADASHIV,M,,,ICS,42674
7553,Maharashtra,1985,70,2,NIPHAD,GEN,BORASTE MANIKRAO MADHAVRAO,M,,,INC,37411
7554,Maharashtra,1985,70,3,NIPHAD,GEN,PAGARE PANDURANG MURLIDHAR,M,,,IND,489
7555,Maharashtra,1985,70,4,NIPHAD,GEN,TAKATE SAMPAT RAMCHANDRA,M,,,IND,368
7556,Maharashtra,1985,70,5,NIPHAD,GEN,DOMADE EKANATH RANNGANATH,M,,,IND,247
7557,Maharashtra,1985,70,6,NIPHAD,GEN,JOSHI PRAKASH VYANKATESH,M,,,IND,134
9834,Maharashtra,1990,70,1,NIPHAD,GEN,MOGAL MALOJIRAO SADASHIV,M,,,INC,45447
9835,Maharashtra,1990,70,2,NIPHAD,GEN,SHINDE GANGADHAR NARAYAN (G. N. ),M,,,SHS,29088
9836,Maharashtra,1990,70,3,NIPHAD,GEN,KADAM RAOSAHEB BHAURAO,M,,,IND,24997
9837,Maharashtra,1990,70,4,NIPHAD,GEN,HANDE VITTHALAO GANAPATRAO,M,,,PWP,4963
9838,Maharashtra,1990,70,5,NIPHAD,GEN,GOHAD BHANUDAS DAGADU,M,,,IND,682
9839,Maharashtra,1990,70,6,NIPHAD,GEN,GITE RAMANATH BHAU,M,,,IND,309
9840,Maharashtra,1990,70,7,NIPHAD,GEN,PARADESHI PRATAP SING BHAGAWANSING,M,,,IND,299
9841,Maharashtra,1990,70,8,NIPHAD,GEN,PATIL KRISHNA CHINDHU,M,,,DDP,219
9842,Maharashtra,1990,70,9,NIPHAD,GEN,NIRABHAVANE SUDHAKAR KONDAJI,M,,,IND,194
9843,Maharashtra,1990,70,10,NIPHAD,GEN,SAUDE BANARASILAL BALADEV,M,,,BSP,185
9844,Maharashtra,1990,70,11,NIPHAD,GEN,GAIKAWAD MOGAL RANGANATH,M,,,IND,161
