ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
1065,Maharashtra,1962,237,1,OSMANABAD,GEN,VISHWASRAO GANPATRAO,M,,,INC,17500
1066,Maharashtra,1962,237,2,OSMANABAD,GEN,NARSINGRAO BALBHIMRAO,M,,,PWP,16490
1067,Maharashtra,1962,237,3,OSMANABAD,GEN,JANARDHANRAO EKNATHRAO,M,,,PSP,2095
2095,Maharashtra,1967,195,1,OSMANABAD,GEN,U. S. PATIL,M,,,PWP,24877
2096,Maharashtra,1967,195,2,OSMANABAD,GEN,K. D. SAMUDRA,M,,,INC,23330
2097,Maharashtra,1967,195,3,OSMANABAD,GEN,S. L. BANSODE,M,,,IND,2650
2098,Maharashtra,1967,195,4,OSMANABAD,GEN,B. S. DESHMUKH,M,,,BJS,958
3321,Maharashtra,1972,195,1,OSMANABAD,GEN,SURVASE GAUTMARAO RAMJI,M,,,INC,34220
3322,Maharashtra,1972,195,2,OSMANABAD,GEN,GHOGRE BALWANT YADAVRAO,M,,,PWP,18436
3323,Maharashtra,1972,195,3,OSMANABAD,GEN,VITHAL RAO RAJE,M,,,IND,1517
4949,Maharashtra,1978,209,1,OSMANABAD,GEN,PADAMSINGH BAJIRAO PATIL,M,,,INC,29949
4950,Maharashtra,1978,209,2,OSMANABAD,GEN,BALBHIMRAO NARSING RAO DESHMUKH,M,,,PWP,20433
4951,Maharashtra,1978,209,3,OSMANABAD,GEN,SHAIKH MAQBOOL AHMED MOHEMMED HANIF,M,,,IND,10673
4952,Maharashtra,1978,209,4,OSMANABAD,GEN,VYANKATRAO AMBADASRAO HAMBIRE,M,,,JNP,8916
4953,Maharashtra,1978,209,5,OSMANABAD,GEN,MOHAMMED MAHBOOB DADAMIVA,M,,,IND,455
6567,Maharashtra,1980,209,1,OSMANABAD,GEN,PATIL PADMASINHA BAJIRAO,M,,,INC(U),40320
6568,Maharashtra,1980,209,2,OSMANABAD,GEN,PATIL NANA SAHEB HARISHCHANDRA,M,,,INC,28321
6569,Maharashtra,1980,209,3,OSMANABAD,GEN,GHURE TRIMBAKRAO SRIDHARRAO,M,,,PWP,6093
8701,Maharashtra,1985,209,1,OSMANABAD,GEN,PADMASINHA BAJIRAO PATIL,M,,,ICS,52197
8702,Maharashtra,1985,209,2,OSMANABAD,GEN,CHAVAN MADHUKARRAO DEORAO,M,,,INC,37729
8703,Maharashtra,1985,209,3,OSMANABAD,GEN,JADHAV VASANTRAO MARUTRAO,M,,,IND,1141
8704,Maharashtra,1985,209,4,OSMANABAD,GEN,DEVIDAS GUNAJI BANSODE,M,,,IND,818
12161,Maharashtra,1990,209,1,OSMANABAD,GEN,PATIL PADMASINHA BAJIRAO,M,,,INC,66884
12162,Maharashtra,1990,209,2,OSMANABAD,GEN,GORE ARVIND JANARDHAN,M,,,JD,34470
12163,Maharashtra,1990,209,3,OSMANABAD,GEN,PATIL SUDHIR KESHAVRAO,M,,,SHS,7190
12164,Maharashtra,1990,209,4,OSMANABAD,GEN,DESHMUKH MANOHAR SHANKARRAO,M,,,IND,284
12165,Maharashtra,1990,209,5,OSMANABAD,GEN,SOLUNKE HIRAMAN SANDU,M,,,DDP,196
16650,Maharashtra,1995,209,1,OSMANABAD,GEN,DR. PATIL PADMASINH BAJIRAO,M,,,INC,62555
16651,Maharashtra,1995,209,2,OSMANABAD,GEN,KALE VASANTRAO SHANKARRAO,M,,,IND,24616
16652,Maharashtra,1995,209,3,OSMANABAD,GEN,GORE ARVIND JANARDHAN,M,,,JD,22022
16653,Maharashtra,1995,209,4,OSMANABAD,GEN,INGLE BHARAT LAXMANRAO,M,,,SHS,16863
16654,Maharashtra,1995,209,5,OSMANABAD,GEN,GARAD NETAJI SHIVAJIRAO,M,,,IND,1623
16655,Maharashtra,1995,209,6,OSMANABAD,GEN,BANSODE DEVIDAS GUNAJI,M,,,RPI,645
16656,Maharashtra,1995,209,7,OSMANABAD,GEN,BANSODE BABASAHEB MARUTI,M,,,IND,581
16657,Maharashtra,1995,209,8,OSMANABAD,GEN,JETITHOR DADASAHEB SHANKARRAO,M,,,IND,481
16658,Maharashtra,1995,209,9,OSMANABAD,GEN,SAYYAD KHALIL SAIF,M,,,IND,461
16659,Maharashtra,1995,209,10,OSMANABAD,GEN,BOCHARE VASANT BHAURAO,M,,,IND,457
16660,Maharashtra,1995,209,11,OSMANABAD,GEN,NIPANIKAR PRABHAKAR SHANKARRAO,M,,,IND,176
16661,Maharashtra,1995,209,12,OSMANABAD,GEN,WAGHMARE GOWARDHAN BHANUDAS,M,,,IND,146
