ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
672,Maharashtra,1962,152,1,PACHORA,GEN,SUPADU BHADU PATIL,M,,,INC,26413
673,Maharashtra,1962,152,2,PACHORA,GEN,WAGH ONKAR NARAYAN,M,,,PSP,10759
674,Maharashtra,1962,152,3,PACHORA,GEN,LAXAMANRAO SHANKARRAO ADHAV,M,,,PWP,3712
1567,Maharashtra,1967,88,1,PACHORA,GEN,S. B. PATIL,M,,,INC,23668
1568,Maharashtra,1967,88,2,PACHORA,GEN,WAGH ONKAR NARAYAN,M,,,SSP,21097
1569,Maharashtra,1967,88,3,PACHORA,GEN,S. T. PATIL,M,,,PSP,4597
2792,Maharashtra,1972,88,1,PACHORA,GEN,KRISHNARAO MAHARU PATIL,M,,,INC,36360
2793,Maharashtra,1972,88,2,PACHORA,GEN,SHARAD TRYAMBAK PATIL,M,,,SOP,13315
2794,Maharashtra,1972,88,3,PACHORA,GEN,NANABHAU JANGALRAO PAWAR,M,,,NCO,1971
2795,Maharashtra,1972,88,4,PACHORA,GEN,ZALTE SHALIK KOUTIK,M,,,BJS,676
4147,Maharashtra,1978,96,1,PACHORA,GEN,WAGH ONKAR NARAYAN,M,,,JNP,43130
4148,Maharashtra,1978,96,2,PACHORA,GEN,PATIL KRISHNARAO MAHARU,M,,,INC,34878
5934,Maharashtra,1980,96,1,PACHORA,GEN,PATIL KRISHNARAO MAHARU,M,,,INC,37601
5935,Maharashtra,1980,96,2,PACHORA,GEN,WAGH ONKAR NARAYAN,M,,,JNP,26470
5936,Maharashtra,1980,96,3,PACHORA,GEN,SHAIKH JOMAIL SHAIKH FAKIRA,M,,,IND,5932
7742,Maharashtra,1985,96,1,PACHORA,GEN,WAGH ONKAR NARAYAN,M,,,JNP,45855
7743,Maharashtra,1985,96,2,PACHORA,GEN,KRISHNARAO MAHARU PATIL,M,,,INC,31965
7744,Maharashtra,1985,96,3,PACHORA,GEN,BAGWAN NISAR IBRAHIM,M,,,IND,3498
7745,Maharashtra,1985,96,4,PACHORA,GEN,PATIL SHARAD SHMRAO,M,,,IND,1201
7746,Maharashtra,1985,96,5,PACHORA,GEN,SURYAWANSHI SUKLAL NAMDEO,M,,,IND,284
10130,Maharashtra,1990,96,1,PACHORA,GEN,PATIL KRISHANARAO MAHARU,M,,,INC,34565
10131,Maharashtra,1990,96,2,PACHORA,GEN,WAGH ONKAR NARAYAN,M,,,JD,34542
10132,Maharashtra,1990,96,3,PACHORA,GEN,ASHOK MAHADEO MISAL,M,,,SHS,25807
10133,Maharashtra,1990,96,4,PACHORA,GEN,PATIL YADAVRAO DAULATRAO,M,,,IND,1687
10134,Maharashtra,1990,96,5,PACHORA,GEN,RAMESH PAULAD PATIL,M,,,IND,500
10135,Maharashtra,1990,96,6,PACHORA,GEN,KARTARSING DIVANSING PATIL,M,,,IND,435
10136,Maharashtra,1990,96,7,PACHORA,GEN,NASIRMIYA SULTALVIYA,M,,,LKD(B),226
10137,Maharashtra,1990,96,8,PACHORA,GEN,GURAV BALU NARAYAN,M,,,IND,208
10138,Maharashtra,1990,96,9,PACHORA,GEN,SALUNKE YUOVRAJ NAMDEO,M,,,DDP,199
14204,Maharashtra,1995,96,1,PACHORA,GEN,WAGH ONKAR NARAYAN,M,,,MVC,30656
14205,Maharashtra,1995,96,2,PACHORA,GEN,DESHMUKH ANIL RAMRAO,M,,,INC,26359
14206,Maharashtra,1995,96,3,PACHORA,GEN,ASHOK MAHADEO MISAL,M,,,SHS,25903
14207,Maharashtra,1995,96,4,PACHORA,GEN,PAWAR KRISHNARAO SHIVARAO,M,,,IND,21320
14208,Maharashtra,1995,96,5,PACHORA,GEN,DESHMUKH KHALIL DADAMIYA,M,,,JD,9335
14209,Maharashtra,1995,96,6,PACHORA,GEN,PATIL RAGHUNATH ONKAR,M,,,BBMS,7643
14210,Maharashtra,1995,96,7,PACHORA,GEN,INGALE VASANT DAMU,M,,,HJP,3554
14211,Maharashtra,1995,96,8,PACHORA,GEN,PATIL SHARAD TRYAMBAK,M,,,IND,2040
14212,Maharashtra,1995,96,9,PACHORA,GEN,PATIL RAVINDRA KASHINATH,M,,,IND,1354
14213,Maharashtra,1995,96,10,PACHORA,GEN,JADHAV DIGAMBAR GURUDAS,M,,,IND,1111
14214,Maharashtra,1995,96,11,PACHORA,GEN,KAHAKAR RASHID SHABBIR,M,,,IND,963
14215,Maharashtra,1995,96,12,PACHORA,GEN,WAGH RAJENDRA CHATRU,M,,,IND,344
14216,Maharashtra,1995,96,13,PACHORA,GEN,AGRAWAL GOPAL NANDLAL,M,,,IND,229
18287,Maharashtra,1999,96,1,PACHORA,GEN,TATYASAHEB R.O. PATIL,M,48,GEN,SHS,46335
18288,Maharashtra,1999,96,2,PACHORA,GEN,WAGH ONKAR NARAYAN,M,,,MVC,29491
18289,Maharashtra,1999,96,3,PACHORA,GEN,PATIL DILEEP MUKUNDRAO,M,,,INC,14453
18290,Maharashtra,1999,96,4,PACHORA,GEN,SHINDE PANDIT PARASHRAM,M,,,NCP,12872
18291,Maharashtra,1999,96,5,PACHORA,GEN,PATIL SARALA KIRAN,F,,,IND,3977
18292,Maharashtra,1999,96,6,PACHORA,GEN,INGALE VASANT DAMU,M,,,HJP,338
18293,Maharashtra,1999,96,7,PACHORA,GEN,KAMBALE DHARMADAS TUKARAM,M,,,IND,334
20461,Maharashtra,2004,96,2,PACHORA,GEN,DILIP ONKAR WAGH,M,38,GEN,NCP,59674
20462,Maharashtra,2004,96,3,PACHORA,GEN,PATIL SAHEBRAO GAJMAL,M,62,GEN,SP,2413
20463,Maharashtra,2004,96,5,PACHORA,GEN,BRAHMANE BHALCHANDRA,M,33,SC,IND,1693
20464,Maharashtra,2004,96,6,PACHORA,GEN,CHITODI SHERSINGH BABULAL,M,45,GEN,IND,1580
20465,Maharashtra,2004,96,1,PACHORA,GEN,TATYASAHEB R.O. PATIL,M,53,GEN,SHS,75862
20466,Maharashtra,2004,96,3,PACHORA,GEN,AHIRE VINOD NAMDEO,M,35,GEN,BSP,2413
20467,Maharashtra,2004,96,7,PACHORA,GEN,BRAMHANE RATAN ZUBA,M,43,GEN,RPI,1284
22538,Maharashtra,2009,18,1,PACHORA,GEN,DILIP ONKAR WAGH,M,44,GEN,NCP,79715
22539,Maharashtra,2009,18,2,PACHORA,GEN,TATYASAHEB R.O. PATIL,M,58,GEN,SHS,73501
22540,Maharashtra,2009,18,3,PACHORA,GEN,SUNIL RAMKRISHNA PATIL,M,36,GEN,IND,2603
22541,Maharashtra,2009,18,4,PACHORA,GEN,MAHAJAN EKNATH GARBAD,M,61,GEN,RPI(A),2270
22542,Maharashtra,2009,18,5,PACHORA,GEN,SHAIKH RASUL USMAN,M,62,GEN,IND,1297
22543,Maharashtra,2009,18,6,PACHORA,GEN,PATIL ABHAY SHARAD,M,37,GEN,IND,1031
22544,Maharashtra,2009,18,7,PACHORA,GEN,VINOD NAMDEO AHIRE,M,39,SC,BSP,915
22545,Maharashtra,2009,18,8,PACHORA,GEN,BASHIRKHAN MEHTABKHAN,M,61,GEN,IND,569
22546,Maharashtra,2009,18,9,PACHORA,GEN,DEVIDAS VITTHALRAO MANE,M,41,GEN,HJP,248
22547,Maharashtra,2009,18,10,PACHORA,GEN,DILIP BAJIRAO WAGH,M,45,GEN,IND,190
22548,Maharashtra,2009,18,11,PACHORA,GEN,SUNIL SARDAR BAVISKAR,M,39,SC,IJP,171
22549,Maharashtra,2009,18,12,PACHORA,GEN,ASHOK KESHAV MAHALE,M,33,SC,IND,160
