ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
163,Maharashtra,1962,36,1,PANVEL,GEN,DINKAR BALU PATIL,M,,,PWP,18856
164,Maharashtra,1962,36,2,PANVEL,GEN,PRATAPSINHA VISHWASRAO CHAVAN,M,,,INC,13772
165,Maharashtra,1962,36,3,PANVEL,GEN,KESHAV HARI GOKHALE,M,,,PSP,4701
166,Maharashtra,1962,36,4,PANVEL,GEN,RAMCHANDRA GOPAL PATWARDHAN,M,,,JS,2125
1234,Maharashtra,1967,19,1,PANVEL,GEN,D. B. PATIL,M,,,PWP,29546
1235,Maharashtra,1967,19,2,PANVEL,GEN,G. N. PATIL,M,,,INC,17375
1236,Maharashtra,1967,19,3,PANVEL,GEN,G. P. CHAVAN,M,,,BJS,2170
2460,Maharashtra,1972,19,1,PANVEL,GEN,DINKAR BALU PATIL,M,,,PWP,32980
2461,Maharashtra,1972,19,2,PANVEL,GEN,GOPAL GOVIND PATIL,M,,,INC,25255
3666,Maharashtra,1978,17,1,PANVEL,GEN,DATTATRAYA NARAYAN PATIL,M,,,PWP,21229
3667,Maharashtra,1978,17,2,PANVEL,GEN,GAJANAN NARAYAN PATIL,M,,,INC,15637
3668,Maharashtra,1978,17,3,PANVEL,GEN,SURESH THAKUR,M,,,JNP,12628
3669,Maharashtra,1978,17,4,PANVEL,GEN,JAIDAS SINA PATIL,M,,,INC,10944
3670,Maharashtra,1978,17,5,PANVEL,GEN,KRISHNA PARSHARAM PATIL,M,,,IND,2859
3671,Maharashtra,1978,17,6,PANVEL,GEN,JADAHAV DATTARAYA AMRUTRAO,M,,,IND,935
3672,Maharashtra,1978,17,7,PANVEL,GEN,KMLAKANT V.THAKUR,M,,,IND,255
5484,Maharashtra,1980,17,1,PANVEL,GEN,D. B. PATIL,M,,,PWP,29819
5485,Maharashtra,1980,17,2,PANVEL,GEN,JAIDAS SINA PATIL,M,,,INC,27802
5486,Maharashtra,1980,17,3,PANVEL,GEN,GAJANAN KATHARI MHATRE,M,,,IND,485
5487,Maharashtra,1980,17,4,PANVEL,GEN,RAMCHANDRA JANU PATIL,M,,,IND,292
5488,Maharashtra,1980,17,5,PANVEL,GEN,GAJANAN NARAYAN PATIL,M,,,IND,263
7049,Maharashtra,1985,17,1,PANVEL,GEN,PATIL DATTATRAY NARAYAN,M,,,PWP,37740
7050,Maharashtra,1985,17,2,PANVEL,GEN,GAJANAN NARAYAN PATIL,M,,,INC,14663
7051,Maharashtra,1985,17,3,PANVEL,GEN,GANPAT RAGHO PATIL,M,,,IND,9982
7052,Maharashtra,1985,17,4,PANVEL,GEN,SUDHAKAR NARAYAN PATIL,M,,,IND,3540
7053,Maharashtra,1985,17,5,PANVEL,GEN,VAHULKAR SHRIRANG DEVRAO,M,,,IND,1145
7054,Maharashtra,1985,17,6,PANVEL,GEN,BALARAM GOMA BHOPI,M,,,IND,865
7055,Maharashtra,1985,17,7,PANVEL,GEN,BHAGWAT VASANT BABURAO,M,,,IND,382
7056,Maharashtra,1985,17,8,PANVEL,GEN,PANDE MADHUSOODAN RAMMOORAT,M,,,IND,275
9269,Maharashtra,1990,17,1,PANVEL,GEN,PATEIL DATTATRAY NARAYAN,M,,,PWP,45693
9270,Maharashtra,1990,17,2,PANVEL,GEN,GANAPAT RAGHO PATIL ALIAS G. R. PATIL,M,,,INC,43007
9271,Maharashtra,1990,17,3,PANVEL,GEN,BABAN KAMALU PATIL,M,,,SHS,25782
