ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
4945,Maharashtra,1978,208,1,PARANDA,GEN,DESHMUKH VASUDEO ANANDRAO,M,,,JNP,22947
4946,Maharashtra,1978,208,2,PARANDA,GEN,PATIL SUBRAO MOHANRAO,M,,,INC,21428
4947,Maharashtra,1978,208,3,PARANDA,GEN,DHAGE VASANTRAO SAHEBRAO,M,,,PWP,17443
4948,Maharashtra,1978,208,4,PARANDA,GEN,BANSODE MARUTI SHANKAR,M,,,IND,4064
6562,Maharashtra,1980,208,1,PARANDA,GEN,CHANDANSINGH BABAN SINGH SADDIWAL,M,,,INC,25950
6563,Maharashtra,1980,208,2,PARANDA,GEN,SHINDE SADASHIV YASHWANTRAO,M,,,INC(U),21539
6564,Maharashtra,1980,208,3,PARANDA,GEN,DESHMUKH VASUDEORAO ANANDRAO,M,,,JNP,20769
6565,Maharashtra,1980,208,4,PARANDA,GEN,NIKALJE ARJUN TRIMBAK,M,,,IND,1336
6566,Maharashtra,1980,208,5,PARANDA,GEN,BABAN PANDURANG RAMBHAU,M,,,IND,777
8696,Maharashtra,1985,208,1,PARANDA,GEN,MOTE MAHARUDRA ANANDRAO,M,,,ICS,39755
8697,Maharashtra,1985,208,2,PARANDA,GEN,SHANKARRAO BHAGWANTRAO TALEKAR,M,,,INC,26737
8698,Maharashtra,1985,208,3,PARANDA,GEN,DESHMUKH VASUDEO ALIAS NANASAHEB,M,,,IND,11303
8699,Maharashtra,1985,208,4,PARANDA,GEN,BHASKARRAO BHAURAO MARKAD,M,,,IND,8967
8700,Maharashtra,1985,208,5,PARANDA,GEN,KAMBLE SUKHDEO NAMDEO,M,,,IND,401
12153,Maharashtra,1990,208,1,PARANDA,GEN,MOTE MAHARUDRA ANANDRAO,M,,,INC,58912
12154,Maharashtra,1990,208,2,PARANDA,GEN,CHEDE PANDITRAO GANPATRAO,M,,,PWP,27941
12155,Maharashtra,1990,208,3,PARANDA,GEN,GAIKWAD KUNDLIK ANNA,M,,,SHS,14322
12156,Maharashtra,1990,208,4,PARANDA,GEN,PATIL HANMANIRAO BABURAO,M,,,IND,2390
12157,Maharashtra,1990,208,5,PARANDA,GEN,DHAWARE POPAT NATHURAM,M,,,IND,613
12158,Maharashtra,1990,208,6,PARANDA,GEN,DATATRYA HANUMANT PATIL (SURYAWANSHI),M,,,IND,392
12159,Maharashtra,1990,208,7,PARANDA,GEN,GOTE LAHU SITRAM,M,,,DDP,372
12160,Maharashtra,1990,208,8,PARANDA,GEN,VISHWANATH BANDA SUPEKAR,M,,,IND,241
16639,Maharashtra,1995,208,1,PARANDA,GEN,PATIL DNYANESHWAR RAOSAHEB,M,,,SHS,39424
16640,Maharashtra,1995,208,2,PARANDA,GEN,THORAT VIJAYSINH AMARSINH,M,,,IND,33682
16641,Maharashtra,1995,208,3,PARANDA,GEN,MOTE MAHARUDRA ANADRAO,M,,,INC,33623
16642,Maharashtra,1995,208,4,PARANDA,GEN,PATIL RANJITSINH SADASHIVRAO,M,,,IND,7150
16643,Maharashtra,1995,208,5,PARANDA,GEN,CHEDE PANDITRAO GANPATRAO,M,,,PWP,3445
16644,Maharashtra,1995,208,6,PARANDA,GEN,VISHWEKAR BASLING SHANTLING,M,,,IND,3185
16645,Maharashtra,1995,208,7,PARANDA,GEN,PATIL HANUMANT BABURAO,M,,,IND,1136
16646,Maharashtra,1995,208,8,PARANDA,GEN,PATIL ISHWAR KISAN,M,,,DDP,999
16647,Maharashtra,1995,208,9,PARANDA,GEN,PATIL MADHUKAR PANDITRAO,M,,,IND,871
16648,Maharashtra,1995,208,10,PARANDA,GEN,SHINDE SOORYBHAN KISANRAO,M,,,BSP,495
16649,Maharashtra,1995,208,11,PARANDA,GEN,BANSODE SANJEEV KUMAR KONDIBA,M,,,IND,308
19179,Maharashtra,1999,208,1,PARANDA,GEN,PATIL DNYANESHWAR,M,,,SHS,26818
19180,Maharashtra,1999,208,2,PARANDA,GEN,GORE TATYASAHEB TULSIRAM,M,,,NCP,18633
19181,Maharashtra,1999,208,3,PARANDA,GEN,PATIL BALASHEB BHAGWANT,M,,,IND,17124
19182,Maharashtra,1999,208,4,PARANDA,GEN,DESHMUKH ANNASAHEB SAMBHAJIRAO,M,,,IND,16851
19183,Maharashtra,1999,208,5,PARANDA,GEN,ANDHARE MAHADEO ABHIMAN,M,,,IND,10018
19184,Maharashtra,1999,208,6,PARANDA,GEN,SUL ROHIDAS DAGDU,M,,,INC,9058
19185,Maharashtra,1999,208,7,PARANDA,GEN,THORAT DHANJIRAO AMARSINH,M,,,IND,8196
19186,Maharashtra,1999,208,8,PARANDA,GEN,GAIKWAD KUNDLIK ANNA,M,,,IND,2650
19187,Maharashtra,1999,208,9,PARANDA,GEN,SHINDE SURESH NAMDEO,M,,,ABHS,2017
19188,Maharashtra,1999,208,10,PARANDA,GEN,SHELKE SUKHDEO KRISHNAJI,M,,,PWPI,1385
19189,Maharashtra,1999,208,11,PARANDA,GEN,BANSODE DAYANAND GORAKH,M,,,BSP,506
19190,Maharashtra,1999,208,12,PARANDA,GEN,KHAIRE KAMALAKAR RAMLING,M,,,IND,368
21749,Maharashtra,2004,208,4,PARANDA,GEN,BHOSLE REVAN VISHWANATH,M,42,GEN,JD(S),3025
21750,Maharashtra,2004,208,6,PARANDA,GEN,KAGADE JAYRAM HARIDAS,M,49,GEN,BSP,1557
21751,Maharashtra,2004,208,3,PARANDA,GEN,PATIL DNYANESHWAR RAOSAHEB,M,37,GEN,SHS,32754
21752,Maharashtra,2004,208,5,PARANDA,GEN,KULKARNI VIJAYKUMAR RAOSAHEB,M,34,GEN,IJP,2075
21753,Maharashtra,2004,208,2,PARANDA,GEN,PATIL BALASAHEB BHAGWANTRAO,M,48,GEN,RSPS,44734
21754,Maharashtra,2004,208,1,PARANDA,GEN,MOTE RAHUL MAHARUDRA,M,28,GEN,NCP,56225
25479,Maharashtra,2009,243,1,PARANDA,GEN,MOTE RAHUL MAHARUDRA,M,33,GEN,NCP,83425
25480,Maharashtra,2009,243,2,PARANDA,GEN,BORKAR SHANKAR,M,52,GEN,SHS,77423
25481,Maharashtra,2009,243,3,PARANDA,GEN,SURESH (BHAU) ALIAS,M,36,GEN,RSPS,8546
25482,Maharashtra,2009,243,4,PARANDA,GEN,BANSODE TANAJI BHIMA,M,33,SC,BBM,1866
25483,Maharashtra,2009,243,5,PARANDA,GEN,RAJGURU TRIMBAKRAO,M,34,GEN,BSP,1718
25484,Maharashtra,2009,243,6,PARANDA,GEN,SARASWATI SURESH,F,40,GEN,IND,1513
25485,Maharashtra,2009,243,7,PARANDA,GEN,KOLGE MANOJ PANDURANG,M,34,GEN,SVRP,971
25486,Maharashtra,2009,243,8,PARANDA,GEN,SHENDGE ANIL NAMDEVRAO,M,31,GEN,IND,804
25487,Maharashtra,2009,243,9,PARANDA,GEN,BHOSLE REVAN,M,46,GEN,IND,652
25488,Maharashtra,2009,243,10,PARANDA,GEN,ADV. BANDU SHEKU POL,M,37,GEN,IND,494
25489,Maharashtra,2009,243,11,PARANDA,GEN,BHIMA AMBADAS INGALE,M,41,SC,RWS,449
25490,Maharashtra,2009,243,12,PARANDA,GEN,BANSODE ANIL RAGHUNATH,M,28,SC,PRCP,411
25491,Maharashtra,2009,243,13,PARANDA,GEN,ABDUL RAHIM MAHAMMAD,M,50,GEN,IND,354
25492,Maharashtra,2009,243,13,PARANDA,GEN,BAPPAJI KONDIBA KALE,M,32,GEN,IND,354
25493,Maharashtra,2009,243,15,PARANDA,GEN,KHAIRE KAMLAKAR RAMLING,M,40,GEN,IND,350
25494,Maharashtra,2009,243,16,PARANDA,GEN,ANURATH BHAGWAN,M,50,GEN,IND,326
25495,Maharashtra,2014,243,1,PARANDA,GEN,MOTE RAHUL MAHARUDRA,M,38,GEN,NCP,78548
25496,Maharashtra,2014,243,2,PARANDA,GEN,PATIL DNYANESHWAR RAOSAHEB,M,47,GEN,SHS,66159
25497,Maharashtra,2014,243,3,PARANDA,GEN,BALASAHEB BHAGWANTRAO PATIL,M,58,GEN,RSPS,37324
25498,Maharashtra,2014,243,4,PARANDA,GEN,CHOUDHARI NURODDIN M. YUNUS M.IDRIS,M,45,GEN,INC,7760
25499,Maharashtra,2014,243,5,PARANDA,GEN,GANESH DATTATRAY SHENDGE,M,27,GEN,MNS,2426
25500,Maharashtra,2014,243,6,PARANDA,GEN,AGWANE SANGEETA BALAJI,F,41,SC,BSP,1256
25501,Maharashtra,2014,243,7,PARANDA,GEN,None of the Above,,,NOTA,NOTA,1151
25502,Maharashtra,2014,243,8,PARANDA,GEN,SHINDE SAMBHAJI NANASAHEB,M,42,GEN,IND,772
25503,Maharashtra,2014,243,9,PARANDA,GEN,RAJGURU TRIMBAKRAO KUKADE,M,39,GEN,HJP,695
25504,Maharashtra,2014,243,10,PARANDA,GEN,ARYANRAJE KISANRAO SHINDE,M,33,GEN,IND,536
25505,Maharashtra,2014,243,11,PARANDA,GEN,ADV. PRABUDHA SAHEBRAO AHIRE (RAJA),M,40,SC,IND,481
