ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
5163,Maharashtra,1978,248,1,PARVATI,SC,SUBHASH SARVAGOD,M,,,JNP,39504
5164,Maharashtra,1978,248,2,PARVATI,SC,MATRE SHANKARRAO GOPALRAO,M,,,INC,21748
5165,Maharashtra,1978,248,3,PARVATI,SC,BUDHIWANT SHALU TUKARAM,F,,,INC,16771
5166,Maharashtra,1978,248,4,PARVATI,SC,MEMJADE TIKAMDAS DADURAM,M,,,IND,1231
5167,Maharashtra,1978,248,5,PARVATI,SC,JADHAV HIRAMAN BABURAO,M,,,IND,1159
5168,Maharashtra,1978,248,6,PARVATI,SC,GAIKWAD SHIVAJI BHAU,M,,,IND,245
5169,Maharashtra,1978,248,7,PARVATI,SC,WATKAR BABURAO PANDURANG,M,,,IND,156
5170,Maharashtra,1978,248,8,PARVATI,SC,KARANDE RAMCHANDRA NARAYAN,M,,,IND,111
6763,Maharashtra,1980,248,1,PARVATI,SC,CHAVAN VASANT CHHOTELAL,M,,,INC,36233
6764,Maharashtra,1980,248,2,PARVATI,SC,GANGURDE VISHWAS KRISHNARAO,M,34,SC,BJP,22880
6765,Maharashtra,1980,248,3,PARVATI,SC,MATRE SHANKARRAO GOPAL,M,,,INC(U),8509
6766,Maharashtra,1980,248,4,PARVATI,SC,BHOSALE B. D.,M,,,RPI,1072
6767,Maharashtra,1980,248,5,PARVATI,SC,DHASAL NAMDEO LAXMAN,M,,,IND,600
6768,Maharashtra,1980,248,6,PARVATI,SC,NETKE RAMBHAU,M,,,JNP(SR),382
8949,Maharashtra,1985,248,1,PARVATI,SC,SHARAD RANPISE,M,,,INC,42836
8950,Maharashtra,1985,248,2,PARVATI,SC,GANGURDE VISHWAS KRISHNARAO,M,39,SC,BJP,34517
8951,Maharashtra,1985,248,3,PARVATI,SC,BAGVE RAMESH ANANDRAO,M,36,SC,IND,7727
8952,Maharashtra,1985,248,4,PARVATI,SC,BUDHIWANT SHALUBAI TUKARAM,F,,,IND,4281
8953,Maharashtra,1985,248,5,PARVATI,SC,SUBHASH WAGHMARE,M,,,IND,2496
8954,Maharashtra,1985,248,6,PARVATI,SC,KARANDE R. N.,M,,,IND,150
12598,Maharashtra,1990,248,1,PARVATI,SC,RANPISE SHARAD NAMDEO,M,,,INC,66865
12599,Maharashtra,1990,248,2,PARVATI,SC,GANGURDE VISHWAS KRISHNARAO,M,44,SC,BJP,56530
12600,Maharashtra,1990,248,3,PARVATI,SC,RAM KAMBLE,M,,,JD,14830
12601,Maharashtra,1990,248,4,PARVATI,SC,KAMBLE SADANAND BHIMRAO,M,,,IND,1009
12602,Maharashtra,1990,248,5,PARVATI,SC,BHOSALE BHIKAJI BAPU,M,,,BSP,668
