ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
167,Maharashtra,1962,37,1,PEN,GEN,LAXMAN SHANKAR MHATRE,M,,,INC,19673
168,Maharashtra,1962,37,2,PEN,GEN,TUKARAM HARI VAJEKAR,M,,,PWP,15326
169,Maharashtra,1962,37,3,PEN,GEN,DIWAKAR BABURAO DERE,M,,,JS,2132
170,Maharashtra,1962,37,4,PEN,GEN,SHANKAR ARJAN MHATRE,M,,,PSP,1985
171,Maharashtra,1962,37,5,PEN,GEN,TRIMBAK SADASHIV DAMALE,M,,,IND,675
1227,Maharashtra,1967,17,1,PEN,GEN,A. P. SHETYE,M,,,PWP,23794
1228,Maharashtra,1967,17,2,PEN,GEN,A. T. PATIL,M,,,INC,23021
1229,Maharashtra,1967,17,3,PEN,GEN,B. N. CHAVAN,M,,,BJS,1950
1230,Maharashtra,1967,17,4,PEN,GEN,T. S. DAMALE,M,,,IND,903
2455,Maharashtra,1972,17,1,PEN,GEN,A. T. PATIL,M,,,IND,41892
2456,Maharashtra,1972,17,2,PEN,GEN,MOHAN MAHADEO PATIL,M,,,INC,21293
3660,Maharashtra,1978,15,1,PEN,GEN,A.T.PATIL,M,,,INC,28478
3661,Maharashtra,1978,15,2,PEN,GEN,MOHAN MAHADEO PATIL,M,,,PWP,25541
3662,Maharashtra,1978,15,3,PEN,GEN,MULCHAND SURAJMAL MODI,M,,,JNP,11285
5478,Maharashtra,1980,15,1,PEN,GEN,PATIL MOHAN MADHAV,M,,,PWP,36996
5479,Maharashtra,1980,15,2,PEN,GEN,GAVAND VITHALRAV,M,,,INC,21651
5480,Maharashtra,1980,15,3,PEN,GEN,OSWAL BABULAL SARDARMAL,M,,,IND,773
5481,Maharashtra,1980,15,4,PEN,GEN,RAVKAR MADHUSUDAN SITARAM,M,,,IND,425
7041,Maharashtra,1985,15,1,PEN,GEN,MOHAN PATIL,M,,,PWP,40347
7042,Maharashtra,1985,15,2,PEN,GEN,NAMDEO YESO KHAIRE,M,,,INC,30513
7043,Maharashtra,1985,15,3,PEN,GEN,S. S. DINGALE,M,,,IND,964
7044,Maharashtra,1985,15,4,PEN,GEN,PRAKASH BHIWAJI MAHADIK,M,,,IND,434
7045,Maharashtra,1985,15,5,PEN,GEN,JAGANNATH BARKU KOTHEKAR,M,,,IND,228
7046,Maharashtra,1985,15,6,PEN,GEN,YADAV LALSA SAHADEO,M,,,IND,226
9260,Maharashtra,1990,15,1,PEN,GEN,PATIL MOHAN MAHADEO,M,,,PWP,51184
9261,Maharashtra,1990,15,2,PEN,GEN,MAHATRE BALAJI DAMAJI,M,,,INC,40904
9262,Maharashtra,1990,15,3,PEN,GEN,DERE DIWAKAR BABURAO,M,,,BJP,7051
9263,Maharashtra,1990,15,4,PEN,GEN,SINGH RAMADHAR GANGAPRASAD,M,,,DDP,206
13061,Maharashtra,1995,15,1,PEN,GEN,MOHAN MAHADEV PATIL,M,,,PWP,43027
13062,Maharashtra,1995,15,2,PEN,GEN,RAVINDRANATH DAGADU PATIL,M,,,INC,42034
13063,Maharashtra,1995,15,3,PEN,GEN,SATISH CHANDANE,M,,,BJP,15100
13064,Maharashtra,1995,15,4,PEN,GEN,VISHNU HARI PATIL,M,,,SJP(M),9434
13065,Maharashtra,1995,15,5,PEN,GEN,A.T. PATIL,M,,,IND,7371
13066,Maharashtra,1995,15,6,PEN,GEN,RAJANIKANT ALIAS RAJU SHAH,M,,,MRC,1009
13067,Maharashtra,1995,15,7,PEN,GEN,BALLAL GOVIND PURANIK,M,,,IND,753
13068,Maharashtra,1995,15,8,PEN,GEN,DANI CHANDRAKANT LAXMIRAM,M,,,IND,402
13069,Maharashtra,1995,15,9,PEN,GEN,KADAV KHANDU RAMCHANDRA,M,,,IND,202
13070,Maharashtra,1995,15,10,PEN,GEN,SOMJI ROSHANALI HADIMAHMAD,M,,,IND,200
13071,Maharashtra,1995,15,11,PEN,GEN,YADAV LALBAHADUR BABURAM,M,,,DDP,153
17747,Maharashtra,1999,15,1,PEN,GEN,MOHAN MAHADEO PATIL,M,,,PWPI,38768
17748,Maharashtra,1999,15,2,PEN,GEN,RAVISHET PATIL,M,,,INC,36155
17749,Maharashtra,1999,15,3,PEN,GEN,VISHNU HARI PATIL,M,,,SHS,35683
19764,Maharashtra,2004,15,5,PEN,GEN,MOHANBHAI D. PATIL,M,32,GEN,IND,4280
19765,Maharashtra,2004,15,6,PEN,GEN,RAVISHETH D. PATIL,M,25,GEN,IND,2692
19766,Maharashtra,2004,15,2,PEN,GEN,BHAI MOHAN MAHADEV PATIL,M,59,GEN,PWPI,41905
19767,Maharashtra,2004,15,4,PEN,GEN,RAVISHETH B. PATIL,M,25,GEN,IND,4932
19768,Maharashtra,2004,15,9,PEN,GEN,KADAM VIJAY HARI,M,49,GEN,IND,1311
19769,Maharashtra,2004,15,12,PEN,GEN,PATIL VISHNU RAGHU,M,34,GEN,IND,534
19770,Maharashtra,2004,15,10,PEN,GEN,MOHAN G. PATIL,M,26,GEN,IND,892
19771,Maharashtra,2004,15,11,PEN,GEN,PURANIK BALLAL GOVIND,M,49,GEN,IND,622
19772,Maharashtra,2004,15,3,PEN,GEN,VISHNU BHAI PATIL,M,45,GEN,SHS,28175
19773,Maharashtra,2004,15,8,PEN,GEN,MOHAN V. PATIL,M,32,GEN,IND,2288
19774,Maharashtra,2004,15,1,PEN,GEN,RAVISHETH PATIL,M,54,GEN,INC,56841
19775,Maharashtra,2004,15,7,PEN,GEN,PRAMOD SITARAM KAMBLE,M,26,GEN,BSP,2543
24776,Maharashtra,2009,191,1,PEN,GEN,DHAIRYASHIL MOHAN PATIL,M,38,GEN,PWPI,60757
24777,Maharashtra,2009,191,2,PEN,GEN,PATIL RAVISHETH DAGADU,M,59,GEN,INC,53141
24778,Maharashtra,2009,191,3,PEN,GEN,TATKARE ANIL DATTATREY,M,56,GEN,IND,49992
24779,Maharashtra,2009,191,4,PEN,GEN,HARISHCHANDRA,M,38,GEN,IND,4642
24780,Maharashtra,2009,191,5,PEN,GEN,RAVINDRA BALIRAM PATIL,M,30,GEN,IND,1452
24781,Maharashtra,2009,191,6,PEN,GEN,PATIL VIJAY KESHAV,M,40,GEN,IND,1451
24782,Maharashtra,2009,191,7,PEN,GEN,RAUT BHIKU SITARAM,M,44,GEN,BSP,1437
24783,Maharashtra,2009,191,8,PEN,GEN,MOHAN RAMCHANDRA PATIL,M,34,GEN,IND,1274
24784,Maharashtra,2009,191,9,PEN,GEN,PATIL RAVINDRA MARUTI,M,38,GEN,IND,1236
24785,Maharashtra,2009,191,10,PEN,GEN,SANDIP PANDURANG PARTE,M,41,GEN,IND,948
24786,Maharashtra,2009,191,11,PEN,GEN,BALLAL GOVIND PURANIK,M,53,GEN,IND,896
24787,Maharashtra,2009,191,12,PEN,GEN,PATIL RAVINDRA,M,41,GEN,IND,499
24788,Maharashtra,2014,191,1,PEN,GEN,DHAIRYASHEEL MOHAN PATIL ,M,43,GEN,PWPI,64616
24789,Maharashtra,2014,191,2,PEN,GEN,RAVISHETH PATIL          ,M,64,GEN,INC ,60496
24790,Maharashtra,2014,191,3,PEN,GEN,KISHOR OTARMAL JAIN      ,M,48,GEN,SHS ,44251
24791,Maharashtra,2014,191,4,PEN,GEN,JAMBHALE SANJAY JANARDAN ,M,46,GEN,NCP ,11387
24792,Maharashtra,2014,191,5,PEN,GEN,GHARAT RAMSHETH MANGALYA ,M,42,GEN,BJP ,9452
24793,Maharashtra,2014,191,6,PEN,GEN,GOVARDHAN POLSANI        ,M,51,GEN,MNS ,3151
24794,Maharashtra,2014,191,7,PEN,GEN,None of the Above        , ,,   ,NOTA,2891
24795,Maharashtra,2014,191,8,PEN,GEN,ANKUSH KISAN TADKAR      ,M,32,GEN,IND ,1937
24796,Maharashtra,2014,191,9,PEN,GEN,PRAVIN GOPINATH SATANE   ,M,35,GEN,BSP ,1176
24797,Maharashtra,2014,191,10,PEN,GEN,RAVINDRA BALIRAM PATIL   ,M,35,GEN,JD(U),1174
24798,Maharashtra,2014,191,11,PEN,GEN,SANDEEPBHAI PARTE        ,M,46,GEN,HJP ,958
24799,Maharashtra,2014,191,12,PEN,GEN,BALLAL GOVIND PURANIK    ,M,59,GEN,IND ,948
