ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
452,Maharashtra,1962,101,1,PHALTAN,GEN,NIMBALKAR MALOJJRAO MUDHOJIRAO NAIK,M,,,INC,33741
453,Maharashtra,1962,101,2,PHALTAN,GEN,HARIBHAU VITHAL NIMBALKAR,M,,,CPI,9209
454,Maharashtra,1962,101,3,PHALTAN,GEN,VISHNU SAYAJI KUNDALKAR,M,,,SWA,2594
2294,Maharashtra,1967,242,1,PHALTAN,GEN,K. R. BHOITE,M,,,INC,24749
2295,Maharashtra,1967,242,2,PHALTAN,GEN,V. M. NAIK NIMBALKAR,M,,,IND,22979
2296,Maharashtra,1967,242,3,PHALTAN,GEN,B. A. JAGTAP,M,,,CPI,1856
2297,Maharashtra,1967,242,4,PHALTAN,GEN,B. A. KHARAT,M,,,IND,1136
2298,Maharashtra,1967,242,5,PHALTAN,GEN,W. V. PAWAR,M,,,IND,943
2299,Maharashtra,1967,242,6,PHALTAN,GEN,R. G. CHAVAN,M,,,IND,775
3496,Maharashtra,1972,242,1,PHALTAN,GEN,KRISHNACHANDRA BHOITE,M,,,INC,36827
3497,Maharashtra,1972,242,2,PHALTAN,GEN,JAGTAP BAJIRAO APPAJI,M,,,CPI,7144
3498,Maharashtra,1972,242,3,PHALTAN,GEN,V. RAMCHANDRA SONAWALE,M,,,BJS,5500
3499,Maharashtra,1972,242,4,PHALTAN,GEN,KIRVE VISHWANATH NANA,M,,,CPM,1046
5229,Maharashtra,1978,258,1,PHALTAN,GEN,VIJAYSINH ALIAS SHIVAJIRAJE MALOJIRAO NAIK,M,,,JNP,32011
5230,Maharashtra,1978,258,2,PHALTAN,GEN,KADAM SURYAJIRAO SHANKARRAO ALIAS CHIMANRAO,M,,,INC,30539
5231,Maharashtra,1978,258,3,PHALTAN,GEN,DAYAGUDE MADHAVRAO BHIKAJI,M,,,INC,7041
5232,Maharashtra,1978,258,4,PHALTAN,GEN,PAILWAN JAGTAP BAJIRAO BHIKAJI,M,,,CPI,2533
5233,Maharashtra,1978,258,5,PHALTAN,GEN,BABAR SAMBHAJI ATMARAM,M,,,IND,1530
6813,Maharashtra,1980,258,1,PHALTAN,GEN,KADAM SURYAJIRAO SHANKARRAO ALIAS CHIMANRAO,M,,,INC(U),46210
6814,Maharashtra,1980,258,2,PHALTAN,GEN,NAIK NIMBALKAR HINDURAO NILKANTHRAO,M,,,INC,22908
6815,Maharashtra,1980,258,3,PHALTAN,GEN,SARAK RAKHAMAJI ANNA,M,,,BJP,2550
9028,Maharashtra,1985,258,1,PHALTAN,GEN,KADAM SURYAJIRAO SHANKARRAO ALAIS CHIMANRAO,M,,,IND,46763
9029,Maharashtra,1985,258,2,PHALTAN,GEN,BHOSALE RAJARAM SAKHARAM ALIAS RAJA BHONSALE,M,,,ICS,35992
9030,Maharashtra,1985,258,3,PHALTAN,GEN,MORE BABASAHEB RAGHUNATH,M,,,INC,6595
9031,Maharashtra,1985,258,4,PHALTAN,GEN,KAZI HAJI AHMED SALIM,M,,,IND,558
9032,Maharashtra,1985,258,5,PHALTAN,GEN,SARAK RAKHAMAJI ANNA,M,,,IND,85
12703,Maharashtra,1990,258,1,PHALTAN,GEN,KADAM SURYAJIRAO ALIAS CHIMANRAO SHANKARRAO,M,,,INC,54620
12704,Maharashtra,1990,258,2,PHALTAN,GEN,SHINDE SUBHASHRAO TUKARAM,M,,,IND,24915
12705,Maharashtra,1990,258,3,PHALTAN,GEN,BORAWAKE VIJAYRAO KONDIRAM,M,,,BJP,24518
12706,Maharashtra,1990,258,4,PHALTAN,GEN,SUBHASHCHANDRA KOLAPE,M,,,JD,4470
12707,Maharashtra,1990,258,5,PHALTAN,GEN,METKARI DASTAGIR KADARBHAI,M,,,IND,2401
12708,Maharashtra,1990,258,6,PHALTAN,GEN,MARODA KUNDAN BABU,M,,,IND,417
12709,Maharashtra,1990,258,7,PHALTAN,GEN,CHAUHAN SURESH BIHARI,M,,,DDP,331
12710,Maharashtra,1990,258,8,PHALTAN,GEN,SHINDE NAMDEO PADU,M,,,IND,135
17360,Maharashtra,1995,258,1,PHALTAN,GEN,NAIK NIMBALKAR RAMRAJE PRATAPSINGH,M,46,GEN,IND,84816
17361,Maharashtra,1995,258,2,PHALTAN,GEN,KADAM SURYAJIRAO ALIAS CHIMANRAO SHANKARRAO,M,,,INC,42367
17362,Maharashtra,1995,258,3,PHALTAN,GEN,TRIPUTE VISHNU RAMCHANDRA,M,,,BJP,3352
17363,Maharashtra,1995,258,4,PHALTAN,GEN,JAGATAP BAJIRAO APPSAHEB,M,,,CPI,1345
17364,Maharashtra,1995,258,5,PHALTAN,GEN,KALE SAMPAT BABASAHEB,M,,,IND,457
17365,Maharashtra,1995,258,6,PHALTAN,GEN,MOHITE SUBHASH APPASAHEB,M,,,JD,328
19521,Maharashtra,1999,258,1,PHALTAN,GEN,NAIK NIMBALKAR RAMRAJE PRATAPSINGH,M,51,GEN,NCP,63960
19522,Maharashtra,1999,258,2,PHALTAN,GEN,KADAM SURYAJIRAO ALIAS CHIMANRAO SHANKARRAO,M,,,INC,32180
19523,Maharashtra,1999,258,3,PHALTAN,GEN,ANANDRAO SHANKARRAO SHELKEPATIL,M,,,SHS,23395
22154,Maharashtra,2004,258,3,PHALTAN,GEN,DR.SHENDE UTTAMRAO RAJARAM,M,51,GEN,RSPS,4994
22155,Maharashtra,2004,258,1,PHALTAN,GEN,NAIK NIMBALKAR RAMRAJE PRATAPSINGH,M,56,GEN,NCP,82996
22156,Maharashtra,2004,258,5,PHALTAN,GEN,SHINDE SACHIN HANUMANTRAO,M,26,GEN,IND,2191
22157,Maharashtra,2004,258,2,PHALTAN,GEN,NAIK NIMBALKAR RANJATSINH,M,27,GEN,SHS,42051
22158,Maharashtra,2004,258,4,PHALTAN,GEN,ARVIND SAMBHAJI SUL,M,45,GEN,LRP,2315
25602,Maharashtra,2009,255,1,PHALTAN,SC,CHAVAN DIPAK PRALHAD,M,38,SC,NCP,71506
25603,Maharashtra,2009,255,2,PHALTAN,SC,BABURAO JYOTIRAM MANE,M,57,SC,SHS,31592
25604,Maharashtra,2009,255,3,PHALTAN,SC,KAKADE POPATRAO MARUTI,M,59,SC,IND,24672
25605,Maharashtra,2009,255,4,PHALTAN,SC,AADHAV CHANDRAKANT,M,58,SC,RSPS,7695
25606,Maharashtra,2009,255,5,PHALTAN,SC,AMOL GULAB AAVALE,M,38,SC,RPI(A),2281
25607,Maharashtra,2009,255,6,PHALTAN,SC,LAXMAN BAPU MANE,M,60,SC,IND,1718
25608,Maharashtra,2009,255,7,PHALTAN,SC,NAMDEV BHIVA KHUDE,M,67,SC,IND,1465
25609,Maharashtra,2009,255,8,PHALTAN,SC,KAMBLE SUNDAR KUNDLIK,M,65,SC,BSP,1363
25610,Maharashtra,2009,255,9,PHALTAN,SC,MORE VINOD DADA,M,32,SC,IND,1134
25611,Maharashtra,2009,255,10,PHALTAN,SC,AHIWALE RAHUL SUGANDH,M,37,SC,IND,1089
25612,Maharashtra,2009,255,11,PHALTAN,SC,VISHVAS GOPINATH,M,62,SC,IND,1014
25613,Maharashtra,2009,255,12,PHALTAN,SC,PRAMOD JANARDHAN,M,38,SC,IND,979
25614,Maharashtra,2009,255,13,PHALTAN,SC,DATTATRAYA BABA EDAVE,M,41,SC,IND,976
25615,Maharashtra,2009,255,14,PHALTAN,SC,SALVI CHANDRAKANT,M,65,SC,IND,928
25616,Maharashtra,2009,255,15,PHALTAN,SC,KAKADE BALKRISHNA KISAN,M,44,SC,IND,807
