ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
24929,Maharashtra,2009,206,1,PIMPRI,SC,ANNA DADU BANSODE,M,40,SC,NCP,61061
24930,Maharashtra,2009,206,2,PIMPRI,SC,AMAR SHANKAR SABLE,M,46,SC,BJP,51534
24931,Maharashtra,2009,206,3,PIMPRI,SC,SONKAMBLE CHANDRAKANTA LAXMAN,F,39,SC,RPI(A),11146
24932,Maharashtra,2009,206,4,PIMPRI,SC,KAMBLE MANAO SHRIPATI,M,52,SC,JD(S),8247
24933,Maharashtra,2009,206,5,PIMPRI,SC,RAJENDRA KUNDLIK,M,43,SC,BSP,4088
24934,Maharashtra,2009,206,6,PIMPRI,SC,HARSHVARDHAN MADHUKAR,M,29,SC,IND,3430
24935,Maharashtra,2009,206,7,PIMPRI,SC,SANJAY NARAYAN JAGTAP,M,43,SC,IND,1155
24936,Maharashtra,2009,206,8,PIMPRI,SC,GAJARMAL VISHWAS,M,35,SC,IND,999
24937,Maharashtra,2009,206,9,PIMPRI,SC,ER. DEVENDRA SAHADEO,M,41,SC,BBM,803
24938,Maharashtra,2009,206,10,PIMPRI,SC,SHAM ABHIMANYU GHODKE,M,25,SC,IND,696
24939,Maharashtra,2009,206,11,PIMPRI,SC,SHYAMLA MACHINDRA,F,56,SC,IND,606
24940,Maharashtra,2009,206,12,PIMPRI,SC,BHALERAO RAJU SUDAM,M,37,SC,IND,583
24941,Maharashtra,2009,206,13,PIMPRI,SC,ADV. B. K. KAMBLE,M,44,SC,IND,492
24942,Maharashtra,2009,206,14,PIMPRI,SC,VANITA SANDEEP SHELAR,F,39,SC,PRCP,440
24943,Maharashtra,2009,206,15,PIMPRI,SC,K. K. KAMBALE,M,39,SC,IND,436
24944,Maharashtra,2009,206,16,PIMPRI,SC,GAIKWAD TARABAI,F,37,SC,IND,390
24945,Maharashtra,2009,206,17,PIMPRI,SC,GAIKWAD BABASO SHRIPATI,M,36,SC,IND,355
24946,Maharashtra,2014,206,1,PIMPRI,SC,ADV. CHABUKSWAR GAUTAM SUKHDEO,M,55,SC,SHS,51096
24947,Maharashtra,2014,206,2,PIMPRI,SC,ANNA DADU BANSODE,M,46,SC,NCP,48761
24948,Maharashtra,2014,206,3,PIMPRI,SC,SONKAMBLE CHANDRAKANTA LAXMAN,F,44,SC,RPI(A),47288
24949,Maharashtra,2014,206,4,PIMPRI,SC,MANOJ VISHNU KAMBLE,M,32,SC,INC,11022
24950,Maharashtra,2014,206,5,PIMPRI,SC,ANITA DATTATRAYA SONAWANE,F,35,SC,MNS,5169
24951,Maharashtra,2014,206,6,PIMPRI,SC,None of the Above,,,,NOTA,4435
24952,Maharashtra,2014,206,7,PIMPRI,SC,ADV. KSHITIJ TEXAS GAIKWAD,M,29,SC,BSP,3075
24953,Maharashtra,2014,206,8,PIMPRI,SC,CHANDRAKANT AMBADAS MANE,M,54,SC,IND,823
24954,Maharashtra,2014,206,9,PIMPRI,SC,DATTATRAYA PRALHAD KUCHEKAR,M,42,SC,IND,779
24955,Maharashtra,2014,206,10,PIMPRI,SC,SUNIT RAJENDRA CHAJCHIDAK,F,46,SC,RBSP,482
24956,Maharashtra,2014,206,11,PIMPRI,SC,CHOUDHARY ZAFAR KHURSHID,M,54,SC,IND,463
24957,Maharashtra,2014,206,12,PIMPRI,SC,SURESH MADHUKAR LONDHE,M,44,SC,IND,428
24958,Maharashtra,2014,206,13,PIMPRI,SC,GHODKE SHAM ABHIMANYU,M,30,SC,IND,382
24959,Maharashtra,2014,206,14,PIMPRI,SC,KAMBLE MANGAL BHIKARAM,F,37,SC,RP(K),364
24960,Maharashtra,2014,206,15,PIMPRI,SC,MEENATAI YADAV KHILARE,F,45,SC,IND,357
24961,Maharashtra,2014,206,16,PIMPRI,SC,GOVIND GANGARAM HERODE,M,66,SC,BMUP,348
24962,Maharashtra,2014,206,17,PIMPRI,SC,PRATIK SHANKARRAO ZUMBARE,M,45,SC,IND,274
24963,Maharashtra,2014,206,18,PIMPRI,SC,BALASHAHEB RAMESH GAIKWAD,M,26,SC,IND,258
24964,Maharashtra,2014,206,19,PIMPRI,SC,ASHA RAJU RANDIVE,F,44,SC,IND,245
24965,Maharashtra,2014,206,20,PIMPRI,SC,ADV. ADSUL MOHAN TUKARAM,M,47,SC,IND,224
24966,Maharashtra,2014,206,21,PIMPRI,SC,KHUDE SHANTARAM GANESH,M,33,SC,IND,172
24967,Maharashtra,2014,206,22,PIMPRI,SC,N. D. MORE,M,60,SC,IND,169
24968,Maharashtra,2014,206,23,PIMPRI,SC,RAJU SUDAM BHALERAO,M,42,SC,IND,156
24969,Maharashtra,2014,206,24,PIMPRI,SC,GAWAI SURENDRA SUDAMRAO,M,30,SC,IND,132
