ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
281,Maharashtra,1962,59,1,PURANDHAR,GEN,DAYANESHWAR RAGHUNATH KHALRE,M,,,INC,13911
282,Maharashtra,1962,59,2,PURANDHAR,GEN,VITHAL SAULOBA DESHMUKH,M,,,IND,8361
283,Maharashtra,1962,59,3,PURANDHAR,GEN,LAXMAN GANP[AT PAWAR,M,,,PSP,6648
284,Maharashtra,1962,59,4,PURANDHAR,GEN,DHAGOBA SAWLARAM BHUJBAL,M,,,IND,3371
285,Maharashtra,1962,59,5,PURANDHAR,GEN,RAGHUNATH ANANDRAO PAWAR,M,,,PWP,1951
286,Maharashtra,1962,59,6,PURANDHAR,GEN,GOVIND GYANBA KOLTE,M,,,JS,653
2287,Maharashtra,1967,240,1,PURANDHAR,GEN,D. R. KHAIRE,M,,,INC,26841
2288,Maharashtra,1967,240,2,PURANDHAR,GEN,V. S. DESHMUKH,M,,,SSP,17805
2289,Maharashtra,1967,240,3,PURANDHAR,GEN,K. P. KADAM,M,,,PSP,3593
3489,Maharashtra,1972,240,1,PURANDHAR,GEN,JADHAVRAO JYOTIYAJIRAO,M,,,SOP,29586
3490,Maharashtra,1972,240,2,PURANDHAR,GEN,DNYANESHWAR R. KHAIRE,M,,,INC,21367
3491,Maharashtra,1972,240,3,PURANDHAR,GEN,VITHAL K. TAKAWALE,M,,,IND,715
3492,Maharashtra,1972,240,4,PURANDHAR,GEN,DHENDE GOVIND SHANKER,M,,,SWA,235
5217,Maharashtra,1978,256,1,PURANDHAR,GEN,DADA JADHAVRAO,M,,,JNP,35053
5218,Maharashtra,1978,256,2,PURANDHAR,GEN,USRAL SHANKARRAO DASHRATHRAO,M,,,INC,32267
5219,Maharashtra,1978,256,3,PURANDHAR,GEN,CHAUDHARY KHANDERAO DAULATRAO,M,,,PWP,5530
5220,Maharashtra,1978,256,4,PURANDHAR,GEN,EKNATH BAPUJI RANPISE,M,,,IND,1354
5221,Maharashtra,1978,256,5,PURANDHAR,GEN,JAGTAP BHIKOBA NARAYAN,M,,,INC,773
5222,Maharashtra,1978,256,6,PURANDHAR,GEN,VITHAL KRISHNARAO TAKAWALE,M,,,IND,107
6805,Maharashtra,1980,256,1,PURANDHAR,GEN,KUNJIR SAMBHAJIRAO RAMCHANDRA,M,,,INC(U),23901
6806,Maharashtra,1980,256,2,PURANDHAR,GEN,DADA JADHAVRAO,M,,,JNP,23175
6807,Maharashtra,1980,256,3,PURANDHAR,GEN,RAUT MADHUKARRAO BABURAO,M,,,INC,16948
6808,Maharashtra,1980,256,4,PURANDHAR,GEN,VITHAL KRISHNARAO TAKAWALE GURUJI,M,,,IND,386
9018,Maharashtra,1985,256,1,PURANDHAR,GEN,DADA JADHAVRAO,M,,,JNP,46712
9019,Maharashtra,1985,256,2,PURANDHAR,GEN,SASTE HARISHANDRA SOPANRAO,M,,,INC,27916
9020,Maharashtra,1985,256,3,PURANDHAR,GEN,SALUNKHE VILASRAO BALWANT,M,,,IND,3714
9021,Maharashtra,1985,256,4,PURANDHAR,GEN,BADEKAR BHUJANG WAMAN,M,,,IND,1403
9022,Maharashtra,1985,256,5,PURANDHAR,GEN,DHAVALE DAULAT VISHNU,M,,,IND,800
9023,Maharashtra,1985,256,6,PURANDHAR,GEN,JAI JAGAT TAKWALE GURUJI,M,,,IND,241
9024,Maharashtra,1985,256,7,PURANDHAR,GEN,KALASKAR CHANDRAKANT JANARADAN,M,,,IND,121
12684,Maharashtra,1990,256,1,PURANDHAR,GEN,SURSINH JOTYAJIRAO ALIAS DADA JADHAVRAO,M,,,JD,56421
12685,Maharashtra,1990,256,2,PURANDHAR,GEN,KOLATE VIJAY VINAYAK,M,,,INC,52621
12686,Maharashtra,1990,256,3,PURANDHAR,GEN,JAGTAP MADHAVRAO SHAMRAO,M,,,SHS,2928
12687,Maharashtra,1990,256,4,PURANDHAR,GEN,APPA ALIAS HARISHCHANDRA SORANRAO SASTE,M,,,IND,1728
12688,Maharashtra,1990,256,5,PURANDHAR,GEN,VARMA RANJIT GURUPRASAD,M,,,DDP,218
12689,Maharashtra,1990,256,6,PURANDHAR,GEN,TAKAWALE VITTHAL KRISHNARAO,M,,,IND,165
12690,Maharashtra,1990,256,7,PURANDHAR,GEN,DHUMAL NANDKUMAR BABAN,M,,,IND,162
12691,Maharashtra,1990,256,8,PURANDHAR,GEN,VIRKAR JAGANNATH RAMCHANDRA,M,,,IND,40
