ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
950,Maharashtra,1962,209,1,RAJURA,GEN,VITHALRAO LAXMANRAO DHOTE,M,,,INC,22818
951,Maharashtra,1962,209,2,RAJURA,GEN,YADAORAO RAMCHANDRARAO DHOTE,M,,,IND,22745
952,Maharashtra,1962,209,3,RAJURA,GEN,BUDHAJI PITHUJI RANGARI,M,,,IND,5362
953,Maharashtra,1962,209,4,RAJURA,GEN,KASHINATH ZINTRAJI ITANKAR,M,,,IND,423
954,Maharashtra,1962,209,5,RAJURA,GEN,DONGERRAO SINGATRAO KUMARE,M,,,IND,277
955,Maharashtra,1962,209,6,RAJURA,GEN,BALKRISHNA BALIRAM BELSARE,M,,,IND,257
1871,Maharashtra,1967,143,1,RAJURA,GEN,S. B. JIWTODE GURUJI,M,,,IND,21435
1872,Maharashtra,1967,143,2,RAJURA,GEN,VITHALRAO LAXMANRAO DHOTE,M,,,INC,17521
1873,Maharashtra,1967,143,3,RAJURA,GEN,K. MAHBUBKHAN,M,,,RPI,3532
1874,Maharashtra,1967,143,4,RAJURA,GEN,D. D. JIWTODE,M,,,IND,1375
1875,Maharashtra,1967,143,5,RAJURA,GEN,A. M. SEDAM,M,,,IND,224
3071,Maharashtra,1972,143,1,RAJURA,GEN,VITHALRAO LAXMANRAO DHOTE,M,,,INC,27079
3072,Maharashtra,1972,143,2,RAJURA,GEN,MUSALE DEORAO JANARDHAN,M,,,IND,19735
3073,Maharashtra,1972,143,3,RAJURA,GEN,UNHAO ARJUN MALKHEDE,M,,,RPI,6213
4580,Maharashtra,1978,154,1,RAJURA,GEN,MUSALE BABURAO JANARDHAN,M,,,JNP,30786
4581,Maharashtra,1978,154,2,RAJURA,GEN,MAMULKAR PRABHAKARRAO BAPURAO,M,,,IND,24873
4582,Maharashtra,1978,154,3,RAJURA,GEN,JITODE SHRIHARI BALIRAM,M,,,IND,7879
4583,Maharashtra,1978,154,4,RAJURA,GEN,MALKHEDE UDHAO ARJUNA,M,,,IND,3627
4584,Maharashtra,1978,154,5,RAJURA,GEN,GARPELLIWAR KISANRAO NATHUJI,M,,,IND,2458
4585,Maharashtra,1978,154,6,RAJURA,GEN,ALONE SADASIO SAKARAM,M,,,IND,968
4586,Maharashtra,1978,154,7,RAJURA,GEN,SIDAM KAWARU PANDURANG,M,,,IND,824
6259,Maharashtra,1980,154,1,RAJURA,GEN,MAMULKAR PRABHAKARRAO BAPURAO,M,,,INC,36235
6260,Maharashtra,1980,154,2,RAJURA,GEN,DHOTE PRABHAKAR MAROTRAO,M,,,BJP,22001
6261,Maharashtra,1980,154,3,RAJURA,GEN,MALKHEDE UDHAO ARJUNA,M,,,RPI,3522
6262,Maharashtra,1980,154,4,RAJURA,GEN,SIDAM JANGU MARU,M,,,IND,550
6263,Maharashtra,1980,154,5,RAJURA,GEN,PATIL DOMAJI VITHU,M,,,IND,424
8254,Maharashtra,1985,154,1,RAJURA,GEN,MAMULKAR PRABHAKARRAO BAPURAO,M,,,INC,39356
8255,Maharashtra,1985,154,2,RAJURA,GEN,BABASAHEB SONBAJI WASADE,M,,,ICS,21446
8256,Maharashtra,1985,154,3,RAJURA,GEN,BAVNE MAROTI PUNDLIK,M,,,IND,5535
8257,Maharashtra,1985,154,4,RAJURA,GEN,MUSALE DAORAO JANARDHAN,M,,,IND,5358
8258,Maharashtra,1985,154,5,RAJURA,GEN,CHAUDHARI SHRIDHARRAO SAMBSHIO,M,,,IND,1625
8259,Maharashtra,1985,154,6,RAJURA,GEN,PECHAL NIRMALA PURANKUMAR,F,,,IND,1480
8260,Maharashtra,1985,154,7,RAJURA,GEN,MESHRAM CHARANDAS FAKRU,M,,,IND,1156
8261,Maharashtra,1985,154,8,RAJURA,GEN,BERAD SURBHAN RAGHOBJI,M,,,IND,596
8262,Maharashtra,1985,154,9,RAJURA,GEN,GUNDAWAR PRABHAKAR VITHALRAO,M,,,IND,558
8263,Maharashtra,1985,154,10,RAJURA,GEN,MALKHEDE UDDORAO ARJUN,M,,,IND,368
11252,Maharashtra,1990,154,1,RAJURA,GEN,CHATAP WAMANRAO SADASHIORAO,M,38,GEN,JD,47949
11253,Maharashtra,1990,154,2,RAJURA,GEN,MAMULKAR PRABHAKAR BAPURAO,M,,,INC,37476
11254,Maharashtra,1990,154,3,RAJURA,GEN,CHANDEL CHANDANSING SADHUSING,M,,,BJP,10139
11255,Maharashtra,1990,154,4,RAJURA,GEN,MOHAMAD ISAQ MOHAMAD YAKUB,M,,,RPI,8177
11256,Maharashtra,1990,154,5,RAJURA,GEN,DEWALKAR RAMRAO UDHAO,M,,,IND,443
11257,Maharashtra,1990,154,6,RAJURA,GEN,KHOBRAGADE SHAMRAO VISHNU,M,,,IND,419
11258,Maharashtra,1990,154,7,RAJURA,GEN,NAMWAD MADHAORAO VITHALRAO,M,,,BSP,382
11259,Maharashtra,1990,154,8,RAJURA,GEN,ABDUL RAJAK HUSIAN KHAN,M,,,IND,158
11260,Maharashtra,1990,154,9,RAJURA,GEN,MOHAMMAD HASSAN SEIKH HUSSAIN,M,,,DMM,123
11261,Maharashtra,1990,154,10,RAJURA,GEN,SIDAM BABURAO KARNUJI,M,,,IND,79
15565,Maharashtra,1995,154,1,RAJURA,GEN,CHATAP WAMANRAO SADASHIORAO,M,43,GEN,IND,67690
15566,Maharashtra,1995,154,2,RAJURA,GEN,MAMULKAR PRABHAKAR BAPURAO,M,,,INC,48645
15567,Maharashtra,1995,154,3,RAJURA,GEN,HEMANT WAIRAGADE,M,,,SHS,19110
15568,Maharashtra,1995,154,4,RAJURA,GEN,PAWAR TUKARAM KHEMA,M,,,BBMS,14994
15569,Maharashtra,1995,154,5,RAJURA,GEN,DHOTE ARUN RAMCHANDRARAO,M,,,IND,4585
15570,Maharashtra,1995,154,6,RAJURA,GEN,GEDAM PRABHAKAR GANPAT,M,,,BSP,2893
15571,Maharashtra,1995,154,7,RAJURA,GEN,NAMWAD MADHAORAO VITTHALRAO,M,,,JD,1417
15572,Maharashtra,1995,154,8,RAJURA,GEN,BHATARKAR PRAKASH PUNDLIKRAO,M,,,IND,786
15573,Maharashtra,1995,154,9,RAJURA,GEN,AWATADE CHHAGAN DAMODHAR,M,,,IND,676
15574,Maharashtra,1995,154,10,RAJURA,GEN,UMARE VIMAL SABALDAS,F,,,IND,490
15575,Maharashtra,1995,154,11,RAJURA,GEN,KHOBRAGADE SHAMRAO VISHNU,M,,,IND,376
15576,Maharashtra,1995,154,12,RAJURA,GEN,BUTLE VIJAY ALIAS VIJU SADASHIV,M,,,IND,364
15577,Maharashtra,1995,154,13,RAJURA,GEN,JENEKAR DILIP UDDHAORAO,M,,,IND,344
15578,Maharashtra,1995,154,14,RAJURA,GEN,SHEDMAKE PUSHPATAI PRALHAD,F,,,SJP(M),321
15579,Maharashtra,1995,154,15,RAJURA,GEN,RAGIT ISHWAR KRUSHNAJI,M,,,IND,211
15580,Maharashtra,1995,154,16,RAJURA,GEN,MESHRAM CHARANDAS FAKARU,M,,,IND,206
15581,Maharashtra,1995,154,17,RAJURA,GEN,DESHMUKH SANJAY NARAYANRAO,M,,,IND,204
15582,Maharashtra,1995,154,18,RAJURA,GEN,ABDUL RAJJAK KHAN ABDUL HUSSAIN KHAN,M,,,IND,76
18726,Maharashtra,1999,154,1,RAJURA,GEN,NIMKAR SUDARSHAN BHAGWANRAO,M,,,INC,50654
18727,Maharashtra,1999,154,2,RAJURA,GEN,CHATAP WAMANRAO SADASHIORAO,M,47,GEN,STBP,43171
18728,Maharashtra,1999,154,3,RAJURA,GEN,HEMANT WAIRAGADE,M,,,SHS,34238
18729,Maharashtra,1999,154,4,RAJURA,GEN,VILAS NARAYANRAO BONGIRWAR,M,,,GGP,4360
18730,Maharashtra,1999,154,5,RAJURA,GEN,PATHADE SIDDHARTH ASTIK,M,,,IND,2325
18731,Maharashtra,1999,154,6,RAJURA,GEN,SHEDMAKE NAMDEO MANIKRAO,M,,,IND,737
21091,Maharashtra,2004,154,13,RAJURA,GEN,GOKHARE SATISH JANARDHAN,M,32,GEN,SVRP,1180
21092,Maharashtra,2004,154,6,RAJURA,GEN,PAWAR TUKARAM KHEMA,M,47,GEN,BBM,3460
21093,Maharashtra,2004,154,9,RAJURA,GEN,DR.KHOBRAGADE SHYAMRAO,M,62,SC,IND,2387
21094,Maharashtra,2004,154,12,RAJURA,GEN,MUKUNDRAO GOVINDA TEKAM,M,47,ST,GGP,1675
21095,Maharashtra,2004,154,15,RAJURA,GEN,RAMDAS TUKARAMJI CHAUDHARI,M,53,GEN,SP,687
21096,Maharashtra,2004,154,11,RAJURA,GEN,MURLIDHAR KESHAVRAO ALAM,M,45,ST,JD(S),1736
21097,Maharashtra,2004,154,7,RAJURA,GEN,AMPALE DHONDIRAM KHANDUJI,M,30,GEN,ARP,2667
21098,Maharashtra,2004,154,5,RAJURA,GEN,NAWALE ARUN NARAYANRAO,M,47,GEN,IND,4464
21099,Maharashtra,2004,154,8,RAJURA,GEN,PHULSANGE GOVARDHAN ATMARAM,M,57,ST,IND,2472
21100,Maharashtra,2004,154,2,RAJURA,GEN,NIMKAR SUDARSHAN BHAGWANRAO,M,46,GEN,INC,57155
21101,Maharashtra,2004,154,1,RAJURA,GEN,CHATAP WAMANRAO SADASHIORAO,M,52,GEN,STBP,66216
21102,Maharashtra,2004,154,4,RAJURA,GEN,SATVA KERBA THORAT,M,59,SC,IND,4569
21103,Maharashtra,2004,154,3,RAJURA,GEN,DHOTE ARUN RAMCHANDRARAO,M,44,GEN,BSP,24230
21104,Maharashtra,2004,154,10,RAJURA,GEN,CHAUDHARI BABURAO BHAUJI,M,59,GEN,IND,1978
21105,Maharashtra,2004,154,14,RAJURA,GEN,KATKAR SATYAPAL RAGHOGI,M,37,SC,IND,943
23258,Maharashtra,2009,70,1,RAJURA,GEN,DHOTE SUBHASH RAMCHANDRRAO,M,59,GEN,INC,61476
23259,Maharashtra,2009,70,2,RAJURA,GEN,ADV. SANJAY YADAORAO,M,49,GEN,STBP,45389
23260,Maharashtra,2009,70,3,RAJURA,GEN,NIMJE ARUN KESHAO,M,46,GEN,IND,17756
23261,Maharashtra,2009,70,4,RAJURA,GEN,PROF. DR. LOHE SANJAYRAO,M,46,GEN,BSP,12533
