ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
831,Maharashtra,1962,186,1,RAMTEK,GEN,PATHAN MOHAMMAD ABDULLAKHAN,M,,,INC,11840
832,Maharashtra,1962,186,2,RAMTEK,GEN,VISHNU MAHADEO DHOBLE,M,,,IND,8283
833,Maharashtra,1962,186,3,RAMTEK,GEN,CHAITRAM PITHUJI GAJBHIYE,M,,,REP,6606
834,Maharashtra,1962,186,4,RAMTEK,GEN,SADASHIV RAGHUNATH PANDE,M,,,JS,3471
835,Maharashtra,1962,186,5,RAMTEK,GEN,DIPCHAND MANIKCHAND GORE,M,,,IND,2059
836,Maharashtra,1962,186,6,RAMTEK,GEN,CHAITU NARU UHIKA,M,,,IND,1910
1804,Maharashtra,1967,130,1,RAMTEK,GEN,G. R. MAHAJAN,M,,,INC,16905
1805,Maharashtra,1967,130,2,RAMTEK,GEN,M. M. BORKAR,M,,,RPI,7068
1806,Maharashtra,1967,130,3,RAMTEK,GEN,P. J. HAZARE,M,,,IND,6294
1807,Maharashtra,1967,130,4,RAMTEK,GEN,G. D. AMBAGADE,M,,,BJS,3700
1808,Maharashtra,1967,130,5,RAMTEK,GEN,N. T. SHAIREYA,M,,,IND,2391
1809,Maharashtra,1967,130,6,RAMTEK,GEN,S. U. DEOTALE,M,,,IND,1462
3007,Maharashtra,1972,130,1,RAMTEK,GEN,GUNDERAO FAKIRAJI MAHAJAN,M,,,INC,17424
3008,Maharashtra,1972,130,2,RAMTEK,GEN,PANDURANG JAIRAMJI HAJARE,M,,,FBL,13470
3009,Maharashtra,1972,130,3,RAMTEK,GEN,BAWANKULE WIVALU BUDHA,M,,,RPK,6932
3010,Maharashtra,1972,130,4,RAMTEK,GEN,S. VISHWANATH SELOKAR,M,,,BJS,3761
3011,Maharashtra,1972,130,5,RAMTEK,GEN,NARAYAN MOTIRAM GEDAM,M,,,RPI,1856
3012,Maharashtra,1972,130,6,RAMTEK,GEN,VISHWANATH BHOYAR,M,,,IND,1542
3013,Maharashtra,1972,130,7,RAMTEK,GEN,VASANTRAO BHAGWAN DHARMIK,M,,,NCO,1432
3014,Maharashtra,1972,130,8,RAMTEK,GEN,LAXMAN BHAGADKAR,M,,,IND,351
4486,Maharashtra,1978,141,1,RAMTEK,GEN,MAHAJAN GUNDERAO FAKIRAJI,M,,,INC,28535
4487,Maharashtra,1978,141,2,RAMTEK,GEN,HAJARE PANDURANG JAIRAMJI,M,,,JNP,23350
4488,Maharashtra,1978,141,3,RAMTEK,GEN,DESHMUKH ANANDRAO RAMJI,M,,,INC,10254
4489,Maharashtra,1978,141,4,RAMTEK,GEN,TEKAM WASUDEO ZITU,M,,,IND,6201
4490,Maharashtra,1978,141,5,RAMTEK,GEN,ISABHAL ISMAIL,M,,,CPI,4088
4491,Maharashtra,1978,141,6,RAMTEK,GEN,JAMBHULHAR KISAN HANUJI,M,,,IND,1010
6197,Maharashtra,1980,141,1,RAMTEK,GEN,KIMMATKAR MADHUKAR GHANASHYAMRAO,M,,,INC,28140
6198,Maharashtra,1980,141,2,RAMTEK,GEN,HAJARE PANDURANG JAIRAMJI,M,,,JNP,23621
6199,Maharashtra,1980,141,3,RAMTEK,GEN,MOHANLAL POKHARDAS SAPRA,M,,,IND,2563
6200,Maharashtra,1980,141,4,RAMTEK,GEN,MASRAM VINODINI INDRARAJSINH,F,,,INC(U),2448
8155,Maharashtra,1985,141,1,RAMTEK,GEN,HAJARE PANDURANG JAIRAMJI,M,,,JNP,41445
8156,Maharashtra,1985,141,2,RAMTEK,GEN,KIMMATKAR MADHUKAR GHANSHAMRAO,M,,,INC,36157
8157,Maharashtra,1985,141,3,RAMTEK,GEN,GAJBHIYA CHAITRAM PITHUJI,M,,,RPK,3543
8158,Maharashtra,1985,141,4,RAMTEK,GEN,MADHUKAR ZADBAJI KUMBRE,M,,,IND,1754
8159,Maharashtra,1985,141,5,RAMTEK,GEN,KANNU NARAYAN SHINGUMARE,M,,,IND,1027
8160,Maharashtra,1985,141,6,RAMTEK,GEN,MADHUKAR WANWASJI MESHRAM,M,,,IND,726
8161,Maharashtra,1985,141,7,RAMTEK,GEN,SHANKAR D. MARSKOLE,M,,,IND,378
8162,Maharashtra,1985,141,8,RAMTEK,GEN,SAYED KAMAL PASHA,M,,,IND,311
8163,Maharashtra,1985,141,9,RAMTEK,GEN,GHOM BALKRUSHNA RAMKRUSHNA,M,,,IND,283
11018,Maharashtra,1990,141,1,RAMTEK,GEN,PANDURANG JAIRAMJI HAJARE,M,,,JD,43482
11019,Maharashtra,1990,141,2,RAMTEK,GEN,KIMMATKAR MADHUKAR GHANSHYAMRAO,M,,,INC,34525
