ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
696,Maharashtra,1962,158,1,RAVER,GEN,MAHUKAR DHANAJI CHAUDHARI,M,,,INC,28848
697,Maharashtra,1962,158,2,RAVER,GEN,GAJANANRAO RAGHUNATHRAO GARUD,M,,,PSP,18169
698,Maharashtra,1962,158,3,RAVER,GEN,YADAV MUKUND TAVDE,M,,,JS,1289
1584,Maharashtra,1967,92,1,RAVER,GEN,M. D. CHAUDHARI,M,,,INC,39335
1585,Maharashtra,1967,92,2,RAVER,GEN,K. G. PATIL,M,,,BJS,7325
1586,Maharashtra,1967,92,3,RAVER,GEN,K. M. PATIL,M,,,PSP,5529
1587,Maharashtra,1967,92,4,RAVER,GEN,G. K. CHAUDHARI,M,,,SWA,1481
2803,Maharashtra,1972,92,1,RAVER,GEN,M. R. DHANAJI CHAUDHARI,M,,,INC,49967
2804,Maharashtra,1972,92,2,RAVER,GEN,BHIKA NATHU PATIL,M,,,BJS,3748
4174,Maharashtra,1978,100,1,RAVER,GEN,CHOUDHARI M.D.,M,,,INC,26961
4175,Maharashtra,1978,100,2,RAVER,GEN,SARODE GUNWANT RAMBHAU,M,,,JNP,17287
4176,Maharashtra,1978,100,3,RAVER,GEN,SK. ABDUL NABI SK. HAMID,M,,,INC,13419
4177,Maharashtra,1978,100,4,RAVER,GEN,MAHAJAN VASANT LAXMAN,M,,,IND,12929
4178,Maharashtra,1978,100,5,RAVER,GEN,PATIL PANDURNG EKNATH,M,,,PWP,3626
4179,Maharashtra,1978,100,6,RAVER,GEN,TADAVI NILAN KUMAR IMAM,M,,,IND,275
5955,Maharashtra,1980,100,1,RAVER,GEN,PATIL RAMKRISHAN RAGHUNATH,M,,,INC,26545
5956,Maharashtra,1980,100,2,RAVER,GEN,PATIL RAMKRISHNA SITARAM,M,,,INC(U),18932
5957,Maharashtra,1980,100,3,RAVER,GEN,GUNVANT RAMBHAN SARODE,M,,,BJP,14699
5958,Maharashtra,1980,100,4,RAVER,GEN,BHALERAO MADHAV ONKAR,M,,,IND,297
5959,Maharashtra,1980,100,5,RAVER,GEN,IQBALKHAN RAHOMANKHAN,M,,,IND,153
7777,Maharashtra,1985,100,1,RAVER,GEN,GUNWANT RAMBHAU SARODE,M,,,BJP,27074
7778,Maharashtra,1985,100,2,RAVER,GEN,MIRABAI DAGEKHAN TADAVI,F,,,INC,22463
7779,Maharashtra,1985,100,3,RAVER,GEN,SUMAN CHUDAMAN PATIL,F,,,IND,9946
7780,Maharashtra,1985,100,4,RAVER,GEN,KONGHE CHUDAMAN DALPAT,M,,,IND,4999
7781,Maharashtra,1985,100,5,RAVER,GEN,SITARAM SHARWAN PHALAK,M,,,IND,774
7782,Maharashtra,1985,100,6,RAVER,GEN,GAJANAN YADAVRAO NAIK,M,,,IND,417
7783,Maharashtra,1985,100,7,RAVER,GEN,GULABRAO CHUDAMN PATIL,M,,,IND,402
7784,Maharashtra,1985,100,8,RAVER,GEN,BELASKAR TULSHIRAM SHIVRAM,M,,,IND,375
7785,Maharashtra,1985,100,9,RAVER,GEN,CHAUDHARI SURYAKANT HARISHCHANDRA,M,,,IND,298
10173,Maharashtra,1990,100,1,RAVER,GEN,MADHUKARRAO DHANAJI,M,,,INC,42116
10174,Maharashtra,1990,100,2,RAVER,GEN,GUNWANT RAMBHAN SARODE,M,,,BJP,36837
10175,Maharashtra,1990,100,3,RAVER,GEN,PATIL L. K.,M,,,ICS(SCS),25225
10176,Maharashtra,1990,100,4,RAVER,GEN,PATIL RAJARAM UKHARDU,M,,,DDP,470
10177,Maharashtra,1990,100,5,RAVER,GEN,GHETE ARUN NATTHU,M,,,IND,427
10178,Maharashtra,1990,100,6,RAVER,GEN,TADAVI AKBAR BABUBHAI,M,,,BSP,256
10179,Maharashtra,1990,100,7,RAVER,GEN,BODAWADE SUMAN MURLIDHAR,F,,,IND,191
10180,Maharashtra,1990,100,8,RAVER,GEN,MEDHE BHAGWAT PANDURANG,M,,,IND,93
10181,Maharashtra,1990,100,9,RAVER,GEN,KHANAPURKAR MADHU,M,,,IND,74
10182,Maharashtra,1990,100,10,RAVER,GEN,TADAVI SULEMANKHAN KASAMKHAN,M,,,IND,58
10183,Maharashtra,1990,100,11,RAVER,GEN,RATHOD NABABAI LAKHA,F,,,IND,52
10184,Maharashtra,1990,100,12,RAVER,GEN,TADAVI ITBAR SUJAT,M,,,IND,46
14262,Maharashtra,1995,100,1,RAVER,GEN,ARUN PANDURANG PATIL,M,49,GEN,BJP,55897
14263,Maharashtra,1995,100,2,RAVER,GEN,CHAUDHARI MADHUKARRAO DHANAJI,M,,,INC,50714
14264,Maharashtra,1995,100,3,RAVER,GEN,AD. TADVI YAKUB SAYABU,M,,,BSP,12039
