ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
22721,Maharashtra,2009,33,1,RISOD,GEN,ZANAK SUBHASHRAO,M,50,GEN,INC,51234
22722,Maharashtra,2009,33,2,RISOD,GEN,ANANTRAO VITTHALRAO,M,60,GEN,IND,48194
22723,Maharashtra,2009,33,3,RISOD,GEN,JADHAV VIJAY TULSIRAM,M,49,GEN,BJP,36940
22724,Maharashtra,2009,33,4,RISOD,GEN,KAYANDE LAXMANRAO,M,63,GEN,BBM,6977
22725,Maharashtra,2009,33,5,RISOD,GEN,BHARAT UDDHAVRAO PATIL,M,34,GEN,MNS,5153
22726,Maharashtra,2009,33,6,RISOD,GEN,ADV. SANJAY SHIORAM,M,41,GEN,IND,3407
22727,Maharashtra,2009,33,7,RISOD,GEN,WANKHEDE AVINASH,M,33,GEN,BSP,2496
22728,Maharashtra,2009,33,8,RISOD,GEN,MEDSHIKAR MUKUNDRAO,M,67,GEN,JSS,1761
22729,Maharashtra,2009,33,9,RISOD,GEN,SURVE PRABHAKAR ARJUNA,M,70,GEN,IND,816
22730,Maharashtra,2009,33,10,RISOD,GEN,KHANDARE KANTA ALIAS,F,38,GEN,IND,748
22731,Maharashtra,2009,33,11,RISOD,GEN,QURESHI MOHAMAD WASIM,M,28,GEN,IND,592
22732,Maharashtra,2009,33,12,RISOD,GEN,BISMILLABEE ALIAS AMMAJI,F,71,GEN,IND,539
22733,Maharashtra,2009,33,13,RISOD,GEN,DEEPAK SHRIRAM TIRAKE,M,33,GEN,IND,494
22734,Maharashtra,2014,33,1,RISOD,GEN,AMEET SUBHASHRAO ZANAK,M,28,GEN,INC,70939
22735,Maharashtra,2014,33,2,RISOD,GEN,JADHAV VIJAY TULSIRAM,M,53,GEN,BJP,54131
22736,Maharashtra,2014,33,3,RISOD,GEN,SANAP VISHWANATH AASHRUJI,M,44,GEN,SHS,18425
22737,Maharashtra,2014,33,4,RISOD,GEN,KALAPAD RAMKRISHNA SAKHARAMJI,M,50,GEN,BBM,15348
22738,Maharashtra,2014,33,5,RISOD,GEN,RAJU PATIL RAJE,M,38,GEN,MNS,12396
22739,Maharashtra,2014,33,6,RISOD,GEN,BABARAO SAHEBRAO PATIL (KHADSE),M,62,GEN,NCP,5811
22740,Maharashtra,2014,33,7,RISOD,GEN,None of the Above,,,,NOTA,2374
22741,Maharashtra,2014,33,8,RISOD,GEN,DEVADHE PATIL SUBHASH UTTAMRAO,M,54,GEN,BSP,1452
22742,Maharashtra,2014,33,9,RISOD,GEN,RAMCHANDRA TUKARAM WANKHEDE,M,40,GEN,IND,904
22743,Maharashtra,2014,33,10,RISOD,GEN,BHAGIRATH PANDURANG BHONDANE,M,30,SC,IND,678
22744,Maharashtra,2014,33,11,RISOD,GEN,RAMESH PANDURANG AMBHORE,M,49,SC,IND,563
22745,Maharashtra,2014,33,12,RISOD,GEN,NOOR ALI MEHBOOB ALI SHAHA,M,50,GEN,RKCGP,496
22746,Maharashtra,2014,33,13,RISOD,GEN,BHERANE GANESH KISAN,M,40,GEN,IND,268
22747,Maharashtra,2014,33,14,RISOD,GEN,TAYADE SADANAND GAJANAN,M,27,GEN,IND,261
22748,Maharashtra,2014,33,15,RISOD,GEN,KAMBLE SANJAY NARAYAN,M,49,SC,IND,253
22749,Maharashtra,2014,33,16,RISOD,GEN,BABAR SANTOSH SHAMRAO,M,40,GEN,IND,233
22750,Maharashtra,2014,33,17,RISOD,GEN,MURLIDHAR MORE,M,71,GEN,RPI,181
