ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
914,Maharashtra,1962,200,1,SAKOLI,GEN,ADKUJI SONUJI PAULSAGADE,M,,,INC,18535
915,Maharashtra,1962,200,2,SAKOLI,GEN,SHAMRAO PAGA KAPGATE,M,,,JS,14324
916,Maharashtra,1962,200,3,SAKOLI,GEN,BHANUDAS SEGO BANSOD,M,,,REP,13748
917,Maharashtra,1962,200,4,SAKOLI,GEN,BAJIRAO JAIRAM UIKE,M,,,IND,3638
918,Maharashtra,1962,200,5,SAKOLI,GEN,PATIRAM TULSIRAM KAMANE,M,,,IND,1094
919,Maharashtra,1962,200,6,SAKOLI,GEN,RAIBHAN LAXMAN DAHIWALE,M,,,IND,984
920,Maharashtra,1962,200,7,SAKOLI,GEN,KEWALRAM SONAJI FUNDE,M,,,IND,542
921,Maharashtra,1962,200,8,SAKOLI,GEN,RAJARAMBAPU GOVINDABAPU LAKHANIKAR,M,,,IND,294
1845,Maharashtra,1967,137,1,SAKOLI,GEN,S. P. KAPGATE,M,,,BJS,20904
1846,Maharashtra,1967,137,2,SAKOLI,GEN,A. G. SAMRTI,M,,,INC,16980
1847,Maharashtra,1967,137,3,SAKOLI,GEN,S. MORAMTEK,M,,,RPI,13414
1848,Maharashtra,1967,137,4,SAKOLI,GEN,B. J. UIKEY,M,,,IND,3015
3041,Maharashtra,1972,137,1,SAKOLI,GEN,MARTAND RAMAJI KAPGATE,M,,,INC,34326
3042,Maharashtra,1972,137,2,SAKOLI,GEN,SHYAMRAO PAGAJI KAPGATE,M,,,BJS,21245
3043,Maharashtra,1972,137,3,SAKOLI,GEN,RAJARAM BHIWAJI DAMLE,M,,,RPK,11350
3044,Maharashtra,1972,137,4,SAKOLI,GEN,MESHRAM SUKHDAS MANIRAM,M,,,RPI,1550
4548,Maharashtra,1978,149,1,SAKOLI,GEN,BEDARKAR MADUKAR TULSHIRAMJI,M,,,INC,39908
4549,Maharashtra,1978,149,2,SAKOLI,GEN,KAPGATE SHAMRAO PAGAJI,M,,,JNP,36093
4550,Maharashtra,1978,149,3,SAKOLI,GEN,KAPAGATE MARTANDRAO RAMJI,M,,,INC,7489
4551,Maharashtra,1978,149,4,SAKOLI,GEN,GARPADE BARASRAM NATTHU,M,,,IND,1690
4552,Maharashtra,1978,149,5,SAKOLI,GEN,SHENDRE SHAUTRAM RAJARAM,M,,,IND,979
4553,Maharashtra,1978,149,6,SAKOLI,GEN,NANDGAVALI ADEENATH CHAITRAM,M,,,IND,730
4554,Maharashtra,1978,149,7,SAKOLI,GEN,WALAKE GAJIRAM SAKHARAM,M,,,IND,337
4555,Maharashtra,1978,149,8,SAKOLI,GEN,NEWARE KANHOO BAJIRAO,M,,,IND,277
4556,Maharashtra,1978,149,9,SAKOLI,GEN,AGRAWAL KACHARULAL BANARASILAL,M,,,IND,218
4557,Maharashtra,1978,149,10,SAKOLI,GEN,FARANDE BABURAO GENUJI,M,,,IND,123
4558,Maharashtra,1978,149,11,SAKOLI,GEN,NANDESWAR NARAYAN GOMA,M,,,IND,61
6241,Maharashtra,1980,149,1,SAKOLI,GEN,KATAKWAR JAYANT KRUSHNAMURARI,M,,,INC,30953
6242,Maharashtra,1980,149,2,SAKOLI,GEN,NIMBEKAR GOVIND SHIWAJI,M,,,BJP,26976
6243,Maharashtra,1980,149,3,SAKOLI,GEN,WAGHAYE KASHINATH ZIBAL,M,,,IND,11176
6244,Maharashtra,1980,149,4,SAKOLI,GEN,RAMTEKE KEWALRAM DONU,M,,,RPK,6657
6245,Maharashtra,1980,149,5,SAKOLI,GEN,LONARKAR RAMCHANDRA TUKARAMJI,M,,,IND,325
8229,Maharashtra,1985,149,1,SAKOLI,GEN,KATAKWAR JAYANT KRUSHANMURARI,M,,,INC,29743
8230,Maharashtra,1985,149,2,SAKOLI,GEN,NIMBEKAR GOVINDRAO SHIVAJI,M,,,IND,22362
8231,Maharashtra,1985,149,3,SAKOLI,GEN,KHEDIKAR MANOHARRAO NARAYANRAO,M,,,BJP,14787
8232,Maharashtra,1985,149,4,SAKOLI,GEN,CHODICHOR MANOHAR RAGHOJI,M,,,RPI,14242
8233,Maharashtra,1985,149,5,SAKOLI,GEN,VIJAY RAJENDRAPRASAD SHARMA,M,,,IND,573
8234,Maharashtra,1985,149,6,SAKOLI,GEN,LONARKAR RAMCHANDRA TUKARAM,M,,,IND,515
8235,Maharashtra,1985,149,7,SAKOLI,GEN,HATNAGAR NILKANTH ALIAS NILKANT GANPATRAO,M,,,IND,96
11179,Maharashtra,1990,149,1,SAKOLI,GEN,HEMKRUSHNA SHAMRAOJI KAPGATE,M,,,BJP,39372
11180,Maharashtra,1990,149,2,SAKOLI,GEN,BADOLE JANARDHAN KISAN,M,,,IND,18646
11181,Maharashtra,1990,149,3,SAKOLI,GEN,KATAKWAR JAYANT KRUSHNAMURARI,M,,,INC,16533
11182,Maharashtra,1990,149,4,SAKOLI,GEN,UDARAM RUSHI RAKHADE,M,,,IND,11540
11183,Maharashtra,1990,149,5,SAKOLI,GEN,KHANDATE SOMA SHIVRAM,M,,,IND,6576
11184,Maharashtra,1990,149,6,SAKOLI,GEN,KANCHAN VASANTRAO KOTWAL,M,,,SHS,4947
