ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
616,Maharashtra,1962,140,1,SAKRI,ST,GOKUL RUPLA GAVIT,M,,,INC,20032
617,Maharashtra,1962,140,2,SAKRI,ST,HIRAMAN BHAVADU PAWAR,M,,,CPI,11390
618,Maharashtra,1962,140,3,SAKRI,ST,BHATU LAKHA PAWAR,M,,,IND,4913
619,Maharashtra,1962,140,4,SAKRI,ST,DAVAL ZELYA PAWAR,M,,,PSP,1619
620,Maharashtra,1962,140,5,SAKRI,ST,TULYA MALYA BHAVARE,M,,,IND,589
1510,Maharashtra,1967,73,1,SAKRI,GEN,U. R. NANDRE,M,,,CPI,27742
1511,Maharashtra,1967,73,2,SAKRI,GEN,K. S. DEVRE,M,,,INC,22282
1512,Maharashtra,1967,73,3,SAKRI,GEN,B. D. RAJPUT,M,,,IND,1975
1513,Maharashtra,1967,73,4,SAKRI,GEN,A. B. NILAY,M,,,IND,1783
2733,Maharashtra,1972,73,1,SAKRI,GEN,GOJARBAI RAMRAO BHAMRE,M,,,INC,33173
2734,Maharashtra,1972,73,2,SAKRI,GEN,JAGANNATH T. DESALE,M,,,CPI,20201
2735,Maharashtra,1972,73,3,SAKRI,GEN,KARADE DADARAO RAMJI,M,,,IND,1648
4055,Maharashtra,1978,80,1,SAKRI,ST,MALUSARE SUKRAM BHURYA,M,,,INC,19569
4056,Maharashtra,1978,80,2,SAKRI,ST,CHOUDHARI GOVINDRAO SHIVRAM,M,,,INC,18540
4057,Maharashtra,1978,80,3,SAKRI,ST,CHAURE SONU BAPU,M,,,IND,12350
4058,Maharashtra,1978,80,4,SAKRI,ST,BAGUL DONGAR KANNAYYA,M,,,CPM,5654
4059,Maharashtra,1978,80,5,SAKRI,ST,BHAVRE GOVINDA ELAJI,M,,,CPI,2737
5853,Maharashtra,1980,80,1,SAKRI,ST,MALUSARE SUKRAM BHURYA,M,,,INC,21807
5854,Maharashtra,1980,80,2,SAKRI,ST,KOLI BABURAO RANGRAO,M,,,BJP,18768
5855,Maharashtra,1980,80,3,SAKRI,ST,CHAURE BAPU HARI,M,,,IND,7117
5856,Maharashtra,1980,80,4,SAKRI,ST,BAGUL DONGAR KANAIYA,M,,,IND,1969
5857,Maharashtra,1980,80,5,SAKRI,ST,THAKUR BALCHANDRA PUNJU,M,,,JNP(SC),813
7631,Maharashtra,1985,80,1,SAKRI,ST,CHAUDHARI GOVINDRAO SHIVRAM,M,43,ST,BJP,49359
7632,Maharashtra,1985,80,2,SAKRI,ST,MALUSARE SUKRAM BHURYA,M,,,INC,25799
7633,Maharashtra,1985,80,3,SAKRI,ST,KOKANI TEJARAM BALIRAM,M,,,IND,497
7634,Maharashtra,1985,80,4,SAKRI,ST,MALCHE PRABHUJI HIRAJI,M,,,IND,427
7635,Maharashtra,1985,80,5,SAKRI,ST,WAGH TANKA PANDU,M,,,IND,381
9947,Maharashtra,1990,80,1,SAKRI,ST,CHAUDHARI GOVINDRAO SHIVRAM,M,48,ST,BJP,29402
9948,Maharashtra,1990,80,2,SAKRI,ST,CHAURE BAPU HARI,M,,,INC,29289
9949,Maharashtra,1990,80,3,SAKRI,ST,BAGUL DONGAR KANHAIYA,M,,,JD,10102
9950,Maharashtra,1990,80,4,SAKRI,ST,SURYAVANSHI VASANT,M,,,IND,7603
9951,Maharashtra,1990,80,5,SAKRI,ST,MALUSARE SUKRAM BHURYA,M,,,IND,4401
9952,Maharashtra,1990,80,6,SAKRI,ST,GAVIT KAMALABAI GOVINDRAO,F,,,IND,553
9953,Maharashtra,1990,80,7,SAKRI,ST,PAWAR BHIVA BHATU,M,,,IND,435
9954,Maharashtra,1990,80,8,SAKRI,ST,BHIL RAMDAS JANGLU,M,,,DDP,392
9955,Maharashtra,1990,80,9,SAKRI,ST,GAIKWAD KHUSHAL TANAJI,M,,,IND,75
14000,Maharashtra,1995,80,1,SAKRI,ST,CHAUDHARI GOVINDRAO SHIVRAM,M,53,ST,BJP,48182
14001,Maharashtra,1995,80,2,SAKRI,ST,BHOYE RESHMA MOTIRAM,M,,,INC,38578
14002,Maharashtra,1995,80,3,SAKRI,ST,GANGURDE SHANTARAM CHINDHU,M,,,IND,12154
14003,Maharashtra,1995,80,4,SAKRI,ST,BAGUL DONGAR KANHAIYA,M,,,BSP,7428
14004,Maharashtra,1995,80,5,SAKRI,ST,MALCHE BHIKA SAKHARAM,M,,,IND,2471
14005,Maharashtra,1995,80,6,SAKRI,ST,MALUSARE SURESH SUKRAM,M,,,IND,1981
14006,Maharashtra,1995,80,7,SAKRI,ST,AMBAR BARIK THAKARE,M,,,IND,1539
