ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
498,Maharashtra,1962,111,1,SANGOLA,GEN,GANPATRAO ANNASAHEB DESHMUKH,M,41,,PWP,17800
499,Maharashtra,1962,111,2,SANGOLA,GEN,KESHAVRAO SHRIPATRAO RAUT,M,,,INC,15743
500,Maharashtra,1962,111,3,SANGOLA,GEN,SHIVAJI TIPANNA BANSODE,M,,,IND,1692
2155,Maharashtra,1967,210,1,SANGOLA,GEN,GANPATRAO ANNASAHEB DESHMUKH,M,46,,PWP,26843
2156,Maharashtra,1967,210,2,SANGOLA,GEN,B. B. SALUNKHE,M,,,INC,26175
3378,Maharashtra,1972,210,1,SANGOLA,GEN,S. BAPUSAHEB PATIL,M,,,INC,33448
3379,Maharashtra,1972,210,2,SANGOLA,GEN,GANAPATRAO DESMUKH,M,,,PWP,31793
3380,Maharashtra,1972,210,3,SANGOLA,GEN,PARAPSA KHADTARE,M,,,IND,416
5039,Maharashtra,1978,224,1,SANGOLE,GEN,GANPATRAO ANNASAHEB DESHMUKH,M,51,,PWP,47625
5040,Maharashtra,1978,224,2,SANGOLE,GEN,GHADAGE BAJIRAO DADASAHEB,M,,,INC,26067
5041,Maharashtra,1978,224,3,SANGOLE,GEN,PATIL ISHWARRAO BALASAHEB,M,,,INC,898
5042,Maharashtra,1978,224,4,SANGOLE,GEN,BHADRE SHIVAPPA KALLAPPA,M,,,IND,189
6637,Maharashtra,1980,224,1,SANGOLE,GEN,GANPATRAO ANNASAHEB DESHMUKH,M,53,,PWP,48262
6638,Maharashtra,1980,224,2,SANGOLE,GEN,P. A. BHAMBURE,M,,,INC,35739
8772,Maharashtra,1985,224,1,SANGOLE,GEN,GANPATRAO ANNASAHEB DESHMUKH,M,58,,PWP,54816
8773,Maharashtra,1985,224,2,SANGOLE,GEN,BHAMBYRE PANDURANG ABASAHEB,M,,,INC,45923
12345,Maharashtra,1990,224,1,SANGOLE,GEN,GANPATRAO ANNASAHEB DESHMUKH,M,63,,PWP,72341
12346,Maharashtra,1990,224,2,SANGOLE,GEN,PATIL SHAHAJIBAPU RAJARAM,M,32,GEN,INC,56023
12347,Maharashtra,1990,224,3,SANGOLE,GEN,KOLEKAR BHANUDAS EKNATH,M,,,BJP,1563
12348,Maharashtra,1990,224,4,SANGOLE,GEN,KOLI PANDIT TRYAMBAK,M,,,DDP,264
12349,Maharashtra,1990,224,5,SANGOLE,GEN,KAMBLE DNYANDEO GANPATRAO,M,,,IND,244
12350,Maharashtra,1990,224,6,SANGOLE,GEN,PATIL DASHRATH KASHINATH,M,,,IND,141
16865,Maharashtra,1995,224,1,SANGOLE,GEN,PATIL SHAHAJIBAPU RAJARAM,M,37,GEN,INC,73910
16866,Maharashtra,1995,224,2,SANGOLE,GEN,GANPATRAO ANNASAHEB DESHMUKH,M,68,,PWP,73718
16867,Maharashtra,1995,224,3,SANGOLE,GEN,DR. GANPATRAO MISAL,M,,,BJP,2675
16868,Maharashtra,1995,224,4,SANGOLE,GEN,GEND SADASHIV NAMU,M,,,IND,764
16869,Maharashtra,1995,224,5,SANGOLE,GEN,GAIKAWAD SAYAJI RAOSAHEB,M,,,IND,674
16870,Maharashtra,1995,224,6,SANGOLE,GEN,GADHIRE RAJARATNA JANARDAN,M,,,IND,621
16871,Maharashtra,1995,224,7,SANGOLE,GEN,NIMBALKAR MADHUKAR SHANKAR,M,,,IND,327
16872,Maharashtra,1995,224,8,SANGOLE,GEN,PATIL RAVINDRA GAMBHIR,M,,,DDP,272
16873,Maharashtra,1995,224,9,SANGOLE,GEN,JOSHI NAGESH PANDURANG,M,,,IND,105
16874,Maharashtra,1995,224,10,SANGOLE,GEN,MASKE CHANDRAKANT SHANKARRAO,M,,,IND,89
19286,Maharashtra,1999,224,1,SANGOLE,GEN,GANPATRAO ANNASAHEB DESHMUKH,M,72,,PWPI,93819
19287,Maharashtra,1999,224,2,SANGOLE,GEN,PATIL SHAHAJIBAPU RAJARAM,M,42,GEN,IND,53485
19288,Maharashtra,1999,224,3,SANGOLE,GEN,SHANKAR DATTU LINGE,M,,,BJP,4145
19289,Maharashtra,1999,224,4,SANGOLE,GEN,SHENDE AMAR SHIVAJIRAO,M,,,INC,3156
19290,Maharashtra,1999,224,5,SANGOLE,GEN,GEND SADASHIV NAMU,M,,,IND,574
21888,Maharashtra,2004,224,3,SANGOLE,GEN,GAIKWAD SHIVAJIRAO KRISHNARAO,M,54,GEN,BJP,3768
21889,Maharashtra,2004,224,1,SANGOLE,GEN,GANPATRAO ANNASAHEB DESHMUKH,M,77,GEN,PWPI,100000
21890,Maharashtra,2004,224,6,SANGOLE,GEN,TANAJI SOPAN HOWAL,M,41,GEN,BSP,1277
21891,Maharashtra,2004,224,2,SANGOLE,GEN,PATIL SHAHAJIBAPU RAJARAM,M,47,GEN,INC,79404
21892,Maharashtra,2004,224,4,SANGOLE,GEN,SHANKARRAO DATTUJI LINGE,M,47,GEN,IND,3410
21893,Maharashtra,2004,224,5,SANGOLE,GEN,NAVALE SOMNATH KRISHNA,M,25,GEN,IND,2118
25587,Maharashtra,2009,253,1,SANGOLE,GEN,GANPATRAO ANNASAHEB DESHMUKH,M,82,GEN,PWPI,86548
25588,Maharashtra,2009,253,2,SANGOLE,GEN,PATIL SHAHAJIBAPU RAJARAM,M,52,GEN,INC,76744
25589,Maharashtra,2009,253,3,SANGOLE,GEN,DESHMUKH SHRIKANT APPSAHEB,M,40,GEN,JSS,13997
25590,Maharashtra,2009,253,4,SANGOLE,GEN,ADV. MACHHINDRA AAPPASO,M,47,GEN,IND,2506
25591,Maharashtra,2009,253,5,SANGOLE,GEN,DETHE NAVANATH,M,30,GEN,BSP,2078
25592,Maharashtra,2009,253,6,SANGOLE,GEN,WALAKE JALINDAR,M,33,GEN,SHS,1651
25593,Maharashtra,2014,253,1,SANGOLE,GEN,GANPATRAO ANNASAHEB DESHMUKH,M,87,GEN,PWPI,94374
25594,Maharashtra,2014,253,2,SANGOLE,GEN,PATIL SHAHAJIBAPU RAJARAM,M,58,GEN,SHS,69150
25595,Maharashtra,2014,253,3,SANGOLE,GEN,DESHMUKH SHRIKANT APPSAHEB,M,46,GEN,BJP,14074
25596,Maharashtra,2014,253,4,SANGOLE,GEN,ALDAR SAMBHAJI RAMCHANDRA,M,47,GEN,IND,7444
25597,Maharashtra,2014,253,5,SANGOLE,GEN,JAGDISH LALASO BABAR,M,36,GEN,INC,3457
25598,Maharashtra,2014,253,6,SANGOLE,GEN,BANSODE MILIND REVAN,M,37,SC,BSP,2323
25599,Maharashtra,2014,253,7,SANGOLE,GEN,KAMRUDDIN AFTABSHAHA KAZI,M,52,GEN,BMUP,1317
25600,Maharashtra,2014,253,8,SANGOLE,GEN,TUKARAM KESHAV SHENDAGE,M,25,GEN,HIPPA,909
25601,Maharashtra,2014,253,9,SANGOLE,GEN,NAMDEV ANNA LAVATE,M,59,GEN,IND,902
25602,Maharashtra,2014,253,10,SANGOLE,GEN,MOHAN VISHNU RAUT,M,31,GEN,IND,872
25603,Maharashtra,2014,253,11,SANGOLE,GEN,MADANE NAVANATH BIRA,M,28,GEN,IND,684
25604,Maharashtra,2014,253,12,SANGOLE,GEN,None of the Above,,,,NOTA,666
25605,Maharashtra,2014,253,13,SANGOLE,GEN,PARMESHWAR PANDURANG GEJAGE,M,30,SC,IND,597
25606,Maharashtra,2014,253,14,SANGOLE,GEN,LAXMAN SOPAN HAKE,M,36,GEN,IND,527
25607,Maharashtra,2014,253,15,SANGOLE,GEN,MACHINDRA APPASO PATIL,M,51,GEN,IND,475
25608,Maharashtra,2014,253,16,SANGOLE,GEN,SACHIN ABASO GHADAGE,M,31,GEN,IND,315
