ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
826,Maharashtra,1962,185,1,SAONER,GEN,NARENDERA MAHIPATI TIDKE,M,,,INC,21413
827,Maharashtra,1962,185,2,SAONER,GEN,RAMJI CHIMNAJI NAIK,M,,,IND,9771
828,Maharashtra,1962,185,3,SAONER,GEN,FATESINGH HANSRAJSING THAKUR,M,,,CPI,5983
829,Maharashtra,1962,185,4,SAONER,GEN,RANCHHODDAS ASARAM GANDHI,M,,,JS,3425
830,Maharashtra,1962,185,5,SAONER,GEN,TEJRAO NAGORAO KEDAR,M,,,IND,747
1799,Maharashtra,1967,129,1,SAONER,GEN,N. M. TIDKE,M,,,INC,29859
1800,Maharashtra,1967,129,2,SAONER,GEN,S. Z. DESHBHRATAR,M,,,RPI,9086
1801,Maharashtra,1967,129,3,SAONER,GEN,K. B. DHOTE,M,,,BJS,7538
1802,Maharashtra,1967,129,4,SAONER,GEN,R. C. NAIK,M,,,IND,3882
1803,Maharashtra,1967,129,5,SAONER,GEN,M. L. DANAO,M,,,IND,1023
3003,Maharashtra,1972,129,1,SAONER,GEN,NARENDRA MAHIPATI TIDKE,M,,,INC,29784
3004,Maharashtra,1972,129,2,SAONER,GEN,JAMBUWANTRAO DHOTE,M,,,FBL,25018
3005,Maharashtra,1972,129,3,SAONER,GEN,MOOL JANARDAN MAHADEORAO,M,,,RPI,2113
3006,Maharashtra,1972,129,4,SAONER,GEN,DAYARAM SHRAWAN NIKOSE,M,,,RPK,1678
4482,Maharashtra,1978,140,1,SAVNER,GEN,NAIK RAMJI CHIMAN,M,,,INC,37028
4483,Maharashtra,1978,140,2,SAVNER,GEN,PHATE SHANKERAO RAMCHANDRARAO,M,,,JNP,24034
4484,Maharashtra,1978,140,3,SAVNER,GEN,KEDAR CHATRAPALJI ANANDRAO,M,,,INC,13078
4485,Maharashtra,1978,140,4,SAVNER,GEN,WANJARKAR SHAMRAO PAMAJI,M,,,IND,293
6192,Maharashtra,1980,140,1,SAVNER,GEN,NAIK RAMJI CHIMAN,M,,,INC,28932
6193,Maharashtra,1980,140,2,SAVNER,GEN,INGOKE VITHALRAO KISAN,M,,,INC(U),22181
6194,Maharashtra,1980,140,3,SAVNER,GEN,LODHI GAJENDRA UMASHANKAR,M,,,RPI,2602
6195,Maharashtra,1980,140,4,SAVNER,GEN,LAMBGHARE NAROTTAM BAPURAO,M,,,IND,1161
6196,Maharashtra,1980,140,5,SAVNER,GEN,BAGDE SHESHRAO TOHLUJI,M,,,IND,629
8144,Maharashtra,1985,140,1,SAVNER,GEN,DESHMUKH RANJEET ARVINDBABU,M,,,INC,34728
8145,Maharashtra,1985,140,2,SAVNER,GEN,DADARAO MAHADEORAO MANGELE,M,,,BJP,25539
8146,Maharashtra,1985,140,3,SAVNER,GEN,DHOLE GANPATI TULHSIRAM,M,,,RPK,2451
8147,Maharashtra,1985,140,4,SAVNER,GEN,AWALE DHANRAJ KAWADU,M,,,IND,1667
8148,Maharashtra,1985,140,5,SAVNER,GEN,CHAKRAWARTI REWARAM GOWARDHAN,M,,,IND,631
8149,Maharashtra,1985,140,6,SAVNER,GEN,DHOTE SHRIKANT MADHUKARRAO,M,,,IND,620
8150,Maharashtra,1985,140,7,SAVNER,GEN,NAROTTAM BAPURAO LAMBHARE,M,,,IND,495
8151,Maharashtra,1985,140,8,SAVNER,GEN,HARIBHAU ALIAS HARISH SANTOSHRAO NIMBALKAR,M,,,IND,469
8152,Maharashtra,1985,140,9,SAVNER,GEN,JADHAV NARENDRA GOWINDRAO,M,,,IND,402
8153,Maharashtra,1985,140,10,SAVNER,GEN,RAUT PURUSHOTTAM BHAURAO,M,,,LKD,188
8154,Maharashtra,1985,140,11,SAVNER,GEN,RAM NARAYAN MAHAJAN,M,,,IND,142
10994,Maharashtra,1990,140,1,SAVNER,GEN,RANJEET ARVINDBABU DESHMUKH,M,,,INC,36410
10995,Maharashtra,1990,140,2,SAVNER,GEN,MANGLE DADARAO MAHADEORAO,M,,,BJP,31873
10996,Maharashtra,1990,140,3,SAVNER,GEN,S. Q. JAMA ABDUL QUDDUS,M,,,IND,8020
10997,Maharashtra,1990,140,4,SAVNER,GEN,MOWADE KRUSHNARAO BABURAOJI,M,,,IND,6513
10998,Maharashtra,1990,140,5,SAVNER,GEN,KEKATPURE SURESH NILKANTH,M,,,BSP,5129
10999,Maharashtra,1990,140,6,SAVNER,GEN,NARAYAN ANANTRAMJJI KEDAR,M,,,PWP,4703
11000,Maharashtra,1990,140,7,SAVNER,GEN,AOLE ANIL KAWADUJI,M,,,BRP,2333
11001,Maharashtra,1990,140,8,SAVNER,GEN,CHOLE DHANRAJ LAXMANRAO,M,,,IND,1018
11002,Maharashtra,1990,140,9,SAVNER,GEN,KHANJE RAMBHAU GANPATI,M,,,IND,835
11003,Maharashtra,1990,140,10,SAVNER,GEN,GOMKALE TANAJI SHLORAM,M,,,IND,651
11004,Maharashtra,1990,140,11,SAVNER,GEN,DARDEMAL RAMBHAU NATHUJI,M,,,IND,616
11005,Maharashtra,1990,140,12,SAVNER,GEN,KEDAR ARUN TEJRAO,M,,,ICS(SCS),583
11006,Maharashtra,1990,140,13,SAVNER,GEN,GAJBHIYE CHITRAREKHA RAMDASH,F,,,IND,519
11007,Maharashtra,1990,140,14,SAVNER,GEN,LOHALE SHAKUNTALA BALKRUSHNA,F,,,IND,466
11008,Maharashtra,1990,140,15,SAVNER,GEN,MAHAJAN RAM NARAYANRAO,M,,,IND,445
11009,Maharashtra,1990,140,16,SAVNER,GEN,CHIKANKAR MORESHWAR LAXMAN,M,,,IND,423
11010,Maharashtra,1990,140,17,SAVNER,GEN,VASANTA MAROTI MESHRAM,M,,,IND,218
11011,Maharashtra,1990,140,18,SAVNER,GEN,ANTURKAR SHANTARAM KRISHNANARAO,M,,,IND,199
11012,Maharashtra,1990,140,19,SAVNER,GEN,WASUDEO MAROTRAO ATRAM,M,,,IND,104
