ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
1523,Maharashtra,1967,77,1,SHAHADA,ST,S. B. PAWAR,M,,,INC,19533
1524,Maharashtra,1967,77,2,SHAHADA,ST,J. P. PAWARA,M,,,BJS,16343
1525,Maharashtra,1967,77,3,SHAHADA,ST,G. P. NAKASARE,M,,,IND,1020
2745,Maharashtra,1972,77,1,SHAHADA,ST,CHANURASING D. BHANDARI,M,,,INC,15171
2746,Maharashtra,1972,77,2,SHAHADA,ST,GUMAN HARI PATALE,M,,,BJS,8001
2747,Maharashtra,1972,77,3,SHAHADA,ST,BUNDIBAI SARDAR CHAVAN,M,,,RPI,888
4078,Maharashtra,1978,85,1,SHAHADA,GEN,RAWAL JAYDEVSINH JAYSINH,M,,,INC,33554
4079,Maharashtra,1978,85,2,SHAHADA,GEN,PATIL PURUSHOTTAM KALU,M,,,JNP,31208
4080,Maharashtra,1978,85,3,SHAHADA,GEN,BORSE GULABRAO RAJARAM,M,,,PWP,7206
4081,Maharashtra,1978,85,4,SHAHADA,GEN,PATIL SAKHARAM SADASHIV,M,,,INC,3166
4082,Maharashtra,1978,85,5,SHAHADA,GEN,ISHI MOTIRAM NARAYAN,M,,,IND,904
4083,Maharashtra,1978,85,6,SHAHADA,GEN,PATIL MANILAL MANGALU,M,,,IND,382
4084,Maharashtra,1978,85,7,SHAHADA,GEN,KAGALKAR SURESH BHASKAR,M,,,IND,194
5872,Maharashtra,1980,85,1,SHAHADA,GEN,ANNASAHEB P. K. PATIL,M,,,JNP,32102
5873,Maharashtra,1980,85,2,SHAHADA,GEN,CHAUDHARI PRALHAD ALIAS MOHANBHAI BHAIDAS,M,,,INC,25998
5874,Maharashtra,1980,85,3,SHAHADA,GEN,DESHMUKH HEMANT BHASKAR,M,,,INC(U),16922
5875,Maharashtra,1980,85,4,SHAHADA,GEN,RAMRAJE NIRGUN VAJIR,M,,,RPI,591
7656,Maharashtra,1985,85,1,SHAHADA,GEN,ANNASAHEB P. K. PATIL,M,,,JNP,52271
7657,Maharashtra,1985,85,2,SHAHADA,GEN,DADASAHEB RAWAL JAYASINH DAULATSINH,M,,,INC,40474
7658,Maharashtra,1985,85,3,SHAHADA,GEN,VANJARI MANGILAL SEWA,M,,,IND,462
7659,Maharashtra,1985,85,4,SHAHADA,GEN,JAYASWAL RAMLAL MOHANLAL,M,,,IND,374
7660,Maharashtra,1985,85,5,SHAHADA,GEN,NAGARALE DAYARAM BABU,M,,,IND,284
7661,Maharashtra,1985,85,6,SHAHADA,GEN,RAKODA BHIMRAO SADASHIV,M,,,IND,206
7662,Maharashtra,1985,85,7,SHAHADA,GEN,AGARWAL ANIL GIRDHARILAL,M,,,IND,194
9977,Maharashtra,1990,85,1,SHAHADA,GEN,DESHMUKH HEMANT BHASKAR,M,,,INC,57601
9978,Maharashtra,1990,85,2,SHAHADA,GEN,ANNA SAHEB P. K. PATIL,M,,,JD,52406
9979,Maharashtra,1990,85,3,SHAHADA,GEN,SISODIYA PUNDLIKSING NATHUSINH,M,,,BJP,2412
9980,Maharashtra,1990,85,4,SHAHADA,GEN,PATIL ICHHARAM GONGARAM,M,,,IND,1689
9981,Maharashtra,1990,85,5,SHAHADA,GEN,KHAIRNAR CHUDAMAN PUNJU,M,,,IND,298
9982,Maharashtra,1990,85,6,SHAHADA,GEN,NAIK SHRAVAN HARJI,M,,,DDP,258
9983,Maharashtra,1990,85,7,SHAHADA,GEN,PATHAN MIRKHA SARDARKHA,M,,,IND,90
14038,Maharashtra,1995,85,1,SHAHADA,GEN,ANNASAHEB P.K. PATIL,M,,,INC,66305
14039,Maharashtra,1995,85,2,SHAHADA,GEN,DESHAMUKH HEMANT BHASKAR,M,,,IND,46094
14040,Maharashtra,1995,85,3,SHAHADA,GEN,BAGAL SAYAJIRAO GANAPATRAO,M,,,BJP,11047
14041,Maharashtra,1995,85,4,SHAHADA,GEN,PATIL JIVAN RAMAJI,M,,,CPM,1524
14042,Maharashtra,1995,85,5,SHAHADA,GEN,PATEL PRAKASH MADAN,M,,,IND,821
14043,Maharashtra,1995,85,6,SHAHADA,GEN,JADHAV MADHUKAR GOMAJI,M,,,BBMS,688
14044,Maharashtra,1995,85,7,SHAHADA,GEN,BHIL ANKUSH RAJARAM,M,,,IND,603
14045,Maharashtra,1995,85,8,SHAHADA,GEN,SHAHA RASIKLAL FUNDILAL,M,,,IND,553
14046,Maharashtra,1995,85,9,SHAHADA,GEN,NAGARALE DEVIDAS HEMAJI,M,,,IND,298
14047,Maharashtra,1995,85,9,SHAHADA,GEN,KHAIRNAR CHUDAMAN PUNJU,M,,,IND,298
14048,Maharashtra,1995,85,11,SHAHADA,GEN,GOLRAJE CHAGAN JAIRAM,M,,,IND,251
14049,Maharashtra,1995,85,12,SHAHADA,GEN,CHITTE SUNIL INDAS,M,,,IND,204
14050,Maharashtra,1995,85,13,SHAHADA,GEN,PATIL KANHAIYALAL BHUTA,M,,,IND,173
14051,Maharashtra,1995,85,14,SHAHADA,GEN,SHIMPI DAGADU BHATU,M,,,DDP,157
14052,Maharashtra,1995,85,15,SHAHADA,GEN,THAKUR KAMAL NIMBA,F,,,IND,149
14053,Maharashtra,1995,85,16,SHAHADA,GEN,MAHALE HITENDRA RAGHUNATH,M,,,IND,84
18221,Maharashtra,1999,85,1,SHAHADA,GEN,DR. DESHMUKH HEMANT BHASKAR,M,,,NCP,46323
18222,Maharashtra,1999,85,2,SHAHADA,GEN,ANNASAHEB P.K. PATIL,M,,,INC,42303
18223,Maharashtra,1999,85,3,SHAHADA,GEN,RAJPUT SANGRAMSIHA HASARSIHA,M,,,BJP,15569
18224,Maharashtra,1999,85,4,SHAHADA,GEN,PATIL ISHWAR MADAN,M,,,CPM,2306
18225,Maharashtra,1999,85,5,SHAHADA,GEN,KOLI PRAKASH VISHWAS,M,,,IND,1181
