ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
414,Maharashtra,1962,92,1,SHIRALA,GEN,VASANTRAO ANANDRAO NAIK,M,,,INC,35864
415,Maharashtra,1962,92,2,SHIRALA,GEN,TASHWANT CHANDRU PATIL,M,,,PWP,11919
416,Maharashtra,1962,92,3,SHIRALA,GEN,LAXMANRAO KESHAVRAO DESHMUKH,M,,,IND,4963
2329,Maharashtra,1967,252,1,SHIRALA,GEN,VASANTRAO ANANDRAO NAIK,M,,,INC,37304
2330,Maharashtra,1967,252,2,SHIRALA,GEN,Y. C. PATIL,M,,,PWP,10164
2331,Maharashtra,1967,252,3,SHIRALA,GEN,S. N. PATIL,M,,,IND,6191
2332,Maharashtra,1967,252,4,SHIRALA,GEN,V. B. DALAVI,M,,,IND,1882
2333,Maharashtra,1967,252,5,SHIRALA,GEN,S. G. GOSAVI,M,,,IND,580
2334,Maharashtra,1967,252,6,SHIRALA,GEN,V. S. POTE,M,,,BJS,257
3532,Maharashtra,1972,252,1,SHIRALA,GEN,BHAGAWANRAO PATIL,M,,,INC,44567
3533,Maharashtra,1972,252,2,SHIRALA,GEN,PATIL YESHWANT CHANDROJI,M,,,PWP,17228
3534,Maharashtra,1972,252,3,SHIRALA,GEN,BANSORE RANGARAO BHIVA,M,,,RPI,3341
5299,Maharashtra,1978,268,1,SHIRALA,GEN,DESHMUKH SHIVAJIRAO BAPUSAHEB,M,,,IND,42871
5300,Maharashtra,1978,268,2,SHIRALA,GEN,PATIL RAJARAM YASHWANT,M,,,INC,28076
5301,Maharashtra,1978,268,3,SHIRALA,GEN,PATIL NARAYAN TUKARAM,M,,,JNP,6951
5302,Maharashtra,1978,268,4,SHIRALA,GEN,PATIL HAMBIRRAO KRISHNA,M,,,PWP,2866
5303,Maharashtra,1978,268,5,SHIRALA,GEN,JADHAV KASHINATH ALIA RAJ DADU,M,,,INC,1591
5304,Maharashtra,1978,268,6,SHIRALA,GEN,DALAVI VITHAL BHAU,M,,,IND,1178
6856,Maharashtra,1980,268,1,SHIRALA,GEN,DESHMUKH SHIVAJIRAO BAPUSAHAB,M,,,INC,54379
6857,Maharashtra,1980,268,2,SHIRALA,GEN,NAIK FATTESING ANANDRAO,M,,,INC(U),28032
6858,Maharashtra,1980,268,3,SHIRALA,GEN,PAWAR PRAKASH BHIDU,M,,,IND,619
9072,Maharashtra,1985,268,1,SHIRALA,GEN,DESHMUKH SHIVAJIRAO BAPUSAHEB,M,,,INC,59271
9073,Maharashtra,1985,268,2,SHIRALA,GEN,CHAVAN NARAYAN PANDURANG,M,,,ICS,34114
12788,Maharashtra,1990,268,1,SHIRALA,GEN,DESHMUKH SHIVJIRAO BAPUSAHEB,M,,,INC,56404
12789,Maharashtra,1990,268,2,SHIRALA,GEN,NAIK FATTESING ANANDRAO,M,,,IND,32938
12790,Maharashtra,1990,268,3,SHIRALA,GEN,NAIK SHOBHABTAI DILIPRAO,F,,,SHS,18783
12791,Maharashtra,1990,268,4,SHIRALA,GEN,PATIL SHIVAJIRAO DATTARTRAYA,M,,,IND,2001
12792,Maharashtra,1990,268,5,SHIRALA,GEN,PATANKAR INDUMATI BABUJI,F,,,CPI,1561
12793,Maharashtra,1990,268,6,SHIRALA,GEN,D. S. ALIAS DATTA PATIL,M,,,IND,373
12794,Maharashtra,1990,268,7,SHIRALA,GEN,KALE GANAPATI DADU,M,,,IND,249
