ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
629,Maharashtra,1962,143,1,SHIRPUR,GEN,VYANKATRAO TANAJI DHOBI,M,,,INC,24753
630,Maharashtra,1962,143,2,SHIRPUR,GEN,PRAHLADRAO MADHAVRAO PATIL,M,,,JS,10916
631,Maharashtra,1962,143,3,SHIRPUR,GEN,VITHAL ANA MAHAR,M,,,REP,2291
632,Maharashtra,1962,143,4,SHIRPUR,GEN,ONKARGIR KALUGIR BUWA,M,,,IND,1580
633,Maharashtra,1962,143,5,SHIRPUR,GEN,TARASING SINGA THAKARE,M,,,IND,727
1526,Maharashtra,1967,78,1,SHIRPUR,GEN,S. G. PATIL,M,,,INC,27118
1527,Maharashtra,1967,78,2,SHIRPUR,GEN,P. M. PATIL,M,,,BJS,21177
1528,Maharashtra,1967,78,3,SHIRPUR,GEN,P. L. LALINGKAR,M,,,RPI,2061
2748,Maharashtra,1972,78,1,SHIRPUR,GEN,SHIVAJIRAO GIRDHAR PATIL,M,,,INC,37616
2749,Maharashtra,1972,78,2,SHIRPUR,GEN,PRALHADRAO M. PATIL,M,,,BJS,17251
2750,Maharashtra,1972,78,3,SHIRPUR,GEN,SHAMRAO BABAJI CHAVAN,M,,,RPI,1369
2751,Maharashtra,1972,78,4,SHIRPUR,GEN,JAGDEO SUKLAL RAGHO,M,,,IND,713
2752,Maharashtra,1972,78,5,SHIRPUR,GEN,BHOJESING G. RAJPUT,M,,,IND,242
4085,Maharashtra,1978,86,1,SHIRPUR,GEN,PRALHADRAO MADHAVRAO PATIL,M,,,JNP,38674
4086,Maharashtra,1978,86,2,SHIRPUR,GEN,VYANKATRAO TAJANI RANDHIR,M,,,INC,27224
4087,Maharashtra,1978,86,3,SHIRPUR,GEN,SHANKAR PANDU MALI,M,,,INC,3640
4088,Maharashtra,1978,86,4,SHIRPUR,GEN,RAJARAM DEOCHAND BORASA,M,,,IND,1534
5876,Maharashtra,1980,86,1,SHIRPUR,GEN,RAJPUT INDRASING CHANDRASING,M,,,INC,38691
5877,Maharashtra,1980,86,2,SHIRPUR,GEN,PATIL SHIVAJIRAO GIRDHAR,M,,,INC(U),24261
5878,Maharashtra,1980,86,3,SHIRPUR,GEN,PATIL PRALHADRAO MADHAVRAO,M,,,BJP,11324
5879,Maharashtra,1980,86,4,SHIRPUR,GEN,PAWARA SAHEBRAO RALYA,M,,,IND,551
5880,Maharashtra,1980,86,5,SHIRPUR,GEN,SITARAM VISHRAM MALI,M,,,IND,439
5881,Maharashtra,1980,86,6,SHIRPUR,GEN,KUWAR PANDIT DEWA,M,,,IND,240
7663,Maharashtra,1985,86,1,SHIRPUR,GEN,PATIL SAMBHAJI HIRAMAN,M,,,JNP,48727
7664,Maharashtra,1985,86,2,SHIRPUR,GEN,INDRASING CHANDRASING RAJPUT,M,,,INC,30099
7665,Maharashtra,1985,86,3,SHIRPUR,GEN,RAVINDRA LIMAJI PATIL,M,,,IND,375
7666,Maharashtra,1985,86,4,SHIRPUR,GEN,SHARMA DURGADATT RAMPRATAP,M,,,IND,245
9984,Maharashtra,1990,86,1,SHIRPUR,GEN,AMARISHBHAI RASIKALAL PATEL,M,,,INC,60344
9985,Maharashtra,1990,86,2,SHIRPUR,GEN,VISHWASRAO PATIL,M,,,BJP,27226
9986,Maharashtra,1990,86,3,SHIRPUR,GEN,BHIMRAO MHASK,M,,,IND,7118
9987,Maharashtra,1990,86,4,SHIRPUR,GEN,JAMADAR LAHUSING SHANKARSING,M,,,JD,6047
9988,Maharashtra,1990,86,5,SHIRPUR,GEN,PATEL CHHAGANBHAI SHANKARBHAI,M,,,DDP,622
9989,Maharashtra,1990,86,6,SHIRPUR,GEN,BHIL MAGAN DONGAR,M,,,IND,285
9990,Maharashtra,1990,86,7,SHIRPUR,GEN,KAMBALE PRABHAKAR DASHRATH,M,,,IND,271
9991,Maharashtra,1990,86,8,SHIRPUR,GEN,FAPLA MITYA PAWARA,M,,,LKD(B),258
9992,Maharashtra,1990,86,9,SHIRPUR,GEN,GAVALE BABURAO DAULAT,M,,,RPI,237
9993,Maharashtra,1990,86,10,SHIRPUR,GEN,HARISCHANDRA DEVIDAS DHAKAD,M,,,IND,129
9994,Maharashtra,1990,86,11,SHIRPUR,GEN,PATIL CHHAGAN MAHADU,M,,,IND,56
14054,Maharashtra,1995,86,1,SHIRPUR,GEN,PATEL AMARISHBHAI RASIKLAL,M,43,GEN,INC,90005
14055,Maharashtra,1995,86,2,SHIRPUR,GEN,JAMADAR NARANDRASING DARBARSING,M,,,IND,26852
14056,Maharashtra,1995,86,3,SHIRPUR,GEN,PATIL RAMESHRAO MUKUNDRAO,M,,,BJP,7527
14057,Maharashtra,1995,86,4,SHIRPUR,GEN,ADV. PARDESHI MADAN PUNAMCHAND,M,,,CPI,3648
14058,Maharashtra,1995,86,5,SHIRPUR,GEN,GIRASE DARBARSING DHARMA,M,,,IND,1048
14059,Maharashtra,1995,86,6,SHIRPUR,GEN,CHAUDHARI BHALCHANDRA RANCHHOD,M,,,IND,706
14060,Maharashtra,1995,86,7,SHIRPUR,GEN,SHARMA DURGADATTA RAMPRATAP,M,,,IND,539
14061,Maharashtra,1995,86,8,SHIRPUR,GEN,PATIL HILAL BABURAO,M,,,DDP,357
14062,Maharashtra,1995,86,9,SHIRPUR,GEN,DABHADE KISHOR GOVINDRAO,M,,,IND,258
14063,Maharashtra,1995,86,10,SHIRPUR,GEN,SHAMALE RATILAL GANJYA,M,,,IND,253
14064,Maharashtra,1995,86,11,SHIRPUR,GEN,JAMADAR VALLABH SARDAR,M,,,IND,203
18229,Maharashtra,1999,86,1,SHIRPUR,GEN,PATEL AMARISHBHAI RASIKLAL,M,47,GEN,INC,71053
18230,Maharashtra,1999,86,2,SHIRPUR,GEN,PATIL SHIVAJIRAO GIRDHAR,M,,,NCP,41182
18231,Maharashtra,1999,86,3,SHIRPUR,GEN,LOHAR DILIP JAYRAM,M,,,BJP,12547
18232,Maharashtra,1999,86,4,SHIRPUR,GEN,DABHADE KISHOR GOVINDRAO,M,,,IND,143
18233,Maharashtra,1999,86,5,SHIRPUR,GEN,BARI ARUN SONU,M,,,IND,137
20378,Maharashtra,2004,86,3,SHIRPUR,GEN,SARDAR PRATAP UTTAMRAO,M,36,SC,BSP,5700
20379,Maharashtra,2004,86,4,SHIRPUR,GEN,ADV. MADAN PUNAMCHAND,M,49,GEN,CPI,3646
20380,Maharashtra,2004,86,2,SHIRPUR,GEN,CHAUDHARI BABAN RAWAJI,M,39,GEN,BJP,44279
20381,Maharashtra,2004,86,1,SHIRPUR,GEN,PATEL AMARISHBHAI RASIKLAL,M,52,GEN,INC,104535
22437,Maharashtra,2009,9,1,SHIRPUR,ST,KASHIRAM VECHAN PAWARA,M,43,ST,INC,92088
22438,Maharashtra,2009,9,2,SHIRPUR,ST,PAWARA RANJITSINH,M,46,ST,BJP,52275
22439,Maharashtra,2009,9,3,SHIRPUR,ST,BHIL BHIKA SUKA,M,46,ST,IND,2935
22440,Maharashtra,2009,9,4,SHIRPUR,ST,ADVOCATE PAWARA I.K.,M,57,ST,BSP,2683
22441,Maharashtra,2009,9,5,SHIRPUR,ST,RAMCHANDRA THOTU,M,51,ST,CPI,2675
22442,Maharashtra,2009,9,6,SHIRPUR,ST,DEORE DIGAMBAR DAULAT,M,63,ST,IND,924
22443,Maharashtra,2009,9,7,SHIRPUR,ST,CHAVAN MANOJ RAMDAS,M,52,ST,IND,846
22444,Maharashtra,2009,9,8,SHIRPUR,ST,BALSING GANA BHIL,M,53,ST,IND,845
22445,Maharashtra,2009,9,9,SHIRPUR,ST,THAKUR RAMKRISHNA,M,38,ST,IND,621
22446,Maharashtra,2014,9,1,SHIRPUR,ST,KASHIRAM VECHAN PAWARA,M,48,ST,INC,98114
22447,Maharashtra,2014,9,2,SHIRPUR,ST,DR. JITENDRA YUVRAJ THAKUR,M,39,ST,BJP,72913
