ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
5195,Maharashtra,1978,252,1,SHIRUR,GEN,DAUNDKAR BABURAO BHAUSAHEB,M,,,JNP,32727
5196,Maharashtra,1978,252,2,SHIRUR,GEN,PALANDE SURYAKANT GULABRAO,M,,,INC,25299
6788,Maharashtra,1980,252,1,SHIRUR,GEN,PALANDE SURYAKANT GULABRAO,M,,,INC(U),38648
6789,Maharashtra,1980,252,2,SHIRUR,GEN,DHARIWAL RASIKLAL MANIKCHAND,M,,,INC,14897
6790,Maharashtra,1980,252,3,SHIRUR,GEN,DAUNDKAR BABURAO BHAUSAHEB,M,,,BJP,2353
6791,Maharashtra,1980,252,4,SHIRUR,GEN,MORE SHAMKANT DAMODHAR,M,,,JNP(SR),502
8989,Maharashtra,1985,252,1,SHIRUR,GEN,BAPUSAHEB THITE,M,,,ICS,36994
8990,Maharashtra,1985,252,2,SHIRUR,GEN,DHARIWAL RASIKLAL MANIKCHAND,M,,,INC,32880
8991,Maharashtra,1985,252,3,SHIRUR,GEN,GAIKWA RAJENDRA NATHU,M,,,IND,790
8992,Maharashtra,1985,252,4,SHIRUR,GEN,BARMECHA SANTOSH KISANBHAU,M,,,IND,554
8993,Maharashtra,1985,252,5,SHIRUR,GEN,KHAN ABDUL AJID,M,,,IND,96
8994,Maharashtra,1985,252,6,SHIRUR,GEN,SATPUTE SHRIKANT DNYANOBA,M,,,IND,75
12654,Maharashtra,1990,252,1,SHIRUR,GEN,N. N. ALIAS BAPUSAHEB THITE,M,,,INC,36499
12655,Maharashtra,1990,252,2,SHIRUR,GEN,KAKADE SAMBHAJI SAHEBRAO,M,,,JD,26759
12656,Maharashtra,1990,252,3,SHIRUR,GEN,SAMBHAJI VITHOBA BHUJBAL,M,,,BJP,23499
12657,Maharashtra,1990,252,4,SHIRUR,GEN,SURYAKANT GULABRAO PALANDE (KAKA),M,,,IND,5610
12658,Maharashtra,1990,252,5,SHIRUR,GEN,SHYAMLAL ALAGURAM KEVAT,M,,,DDP,752
12659,Maharashtra,1990,252,6,SHIRUR,GEN,VBAPUSAHEB ANAJI SARAWADE,M,,,IND,482
12660,Maharashtra,1990,252,7,SHIRUR,GEN,GAVHANE SAHEBRAO GENUJI,M,,,IND,300
12661,Maharashtra,1990,252,8,SHIRUR,GEN,PHADKE LAXMAN SONABA,M,,,IND,139
17304,Maharashtra,1995,252,1,SHIRUR,GEN,GAWADE POPATRAO HARIBA,M,,,INC,36897
17305,Maharashtra,1995,252,2,SHIRUR,GEN,PACHARNE BABURAO KASHINATH,M,,,IND,36219
17306,Maharashtra,1995,252,3,SHIRUR,GEN,PALANDE JAYASHREETAI ASHOKRAO,F,,,BJP,20231
17307,Maharashtra,1995,252,4,SHIRUR,GEN,KHAIRE BALASAHEB PRABHAKAR,M,,,JD,18540
17308,Maharashtra,1995,252,5,SHIRUR,GEN,MAJOR RAMKRISHNA GADGIL (RETD),M,,,IND,2925
17309,Maharashtra,1995,252,6,SHIRUR,GEN,KADAM GAUTAM NAMDEO,M,,,IND,1573
17310,Maharashtra,1995,252,7,SHIRUR,GEN,SURESH KISANRAO NARKE,M,,,BSP,1298
