ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
184,Maharashtra,1962,41,1,SHRIWARDHAN,GEN,ABDUL RAHIM A. GAFOOR ANTULAY,M,,,INC,16684
185,Maharashtra,1962,41,2,SHRIWARDHAN,GEN,DIGAMBAR VINAYAK PUROHIT,M,,,PSP,7475
186,Maharashtra,1962,41,3,SHRIWARDHAN,GEN,YUSUF ABDALLA HAFIZ,M,,,PWP,3556
187,Maharashtra,1962,41,4,SHRIWARDHAN,GEN,GOPAL NARAYAN SAWANT,M,,,JS,1304
1220,Maharashtra,1967,15,1,SHRIWARDHAN,GEN,ANTULAYA. RAHIMAN,M,,,INC,25450
1221,Maharashtra,1967,15,2,SHRIWARDHAN,GEN,M. L. DANDEKAR,M,,,PWP,23056
1222,Maharashtra,1967,15,3,SHRIWARDHAN,GEN,G. S. KARKAR,M,,,BJS,6700
2452,Maharashtra,1972,15,1,SHRIWARDHAN,GEN,A. R. ANTULE,M,,,INC,47290
2453,Maharashtra,1972,15,2,SHRIWARDHAN,GEN,ANNA THOSAR,M,,,BJS,8808
3650,Maharashtra,1978,13,1,SHRIWARDHAN,GEN,UKAYE A. SHAKUR A. KARIM,M,,,JNP,31001
3651,Maharashtra,1978,13,2,SHRIWARDHAN,GEN,RAUT RAVINDRA NARAYAN,M,,,INC,26607
3652,Maharashtra,1978,13,3,SHRIWARDHAN,GEN,SWANT GANPAT PANDURANG,M,,,INC,4915
3653,Maharashtra,1978,13,4,SHRIWARDHAN,GEN,GAIKWAD SHANKAR BHIMAJI,M,,,IND,1195
5470,Maharashtra,1980,13,1,SHRIWARDHAN,GEN,RAUT RAVINDRA NARAYAN,M,,,INC,36157
5471,Maharashtra,1980,13,2,SHRIWARDHAN,GEN,DANDEKAR MADHUKAR LAXMAN,M,,,JNP,20829
5472,Maharashtra,1980,13,3,SHRIWARDHAN,GEN,THOSAR GANESH GOVIND,M,,,BJP,1008
7032,Maharashtra,1985,13,1,SHRIWARDHAN,GEN,A. R. ANTULAY,M,,,IND,46465
7033,Maharashtra,1985,13,2,SHRIWARDHAN,GEN,KATKAR GANPAT SAKHARAM,M,,,JNP,14984
7034,Maharashtra,1985,13,3,SHRIWARDHAN,GEN,BHAI DANDEKAR,M,,,INC,11341
7035,Maharashtra,1985,13,4,SHRIWARDHAN,GEN,SIDHALA KALIYA PRAJAPATI,M,,,IND,153
9249,Maharashtra,1990,13,1,SHRIWARDHAN,GEN,RAUT RAVINDRA NARAYAN,M,,,INC,41032
9250,Maharashtra,1990,13,2,SHRIWARDHAN,GEN,PANDURANG BANDHUJI SAWANT,M,,,SHS,34882
9251,Maharashtra,1990,13,3,SHRIWARDHAN,GEN,JALGAONKAR ALI AKBAR A. RAHIMAN,M,,,JD,12819
9252,Maharashtra,1990,13,4,SHRIWARDHAN,GEN,DHADVE PANDURANG GOPAL,M,,,IND,837
9253,Maharashtra,1990,13,5,SHRIWARDHAN,GEN,GUPTE SHRINIWAS BHASKAR ALIAS BABA GUPATE,M,,,IND,388
9254,Maharashtra,1990,13,6,SHRIWARDHAN,GEN,RAMAYYA MATNU,M,,,DDP,192
13045,Maharashtra,1995,13,1,SHRIWARDHAN,GEN,SAWANT SHYAM TUKARAM,M,41,GEN,SHS,48349
13046,Maharashtra,1995,13,2,SHRIWARDHAN,GEN,RAWOOT RAVINDRA NARAYAN,M,,,INC,30658
13047,Maharashtra,1995,13,3,SHRIWARDHAN,GEN,UNDRE REHANA A. RAHIM,F,,,PWP,20000
13048,Maharashtra,1995,13,4,SHRIWARDHAN,GEN,DHOPAT SURESH BHIKU,M,,,IND,5216
13049,Maharashtra,1995,13,5,SHRIWARDHAN,GEN,MENDADKAR RAMCHANDRA KANU,M,,,BBMS,4706
13050,Maharashtra,1995,13,6,SHRIWARDHAN,GEN,DANDEKAR SUDHAKAR MADHUKAR,M,,,IND,2135
13051,Maharashtra,1995,13,7,SHRIWARDHAN,GEN,RAUT RAVINDRA SHANTARAM,M,,,IND,1048
13052,Maharashtra,1995,13,8,SHRIWARDHAN,GEN,KOLTHARKAR DHAIRYASHEEL B.,M,,,IND,550
13053,Maharashtra,1995,13,9,SHRIWARDHAN,GEN,YELVE SADANAND KRISHNAJI,M,,,IND,462
13054,Maharashtra,1995,13,10,SHRIWARDHAN,GEN,KAWARE LIYAKAT A. RAHIMAN,M,,,IND,456
13055,Maharashtra,1995,13,11,SHRIWARDHAN,GEN,WAGHMARE DNYANDEO KASHINATH,M,,,BSP,372
13056,Maharashtra,1995,13,12,SHRIWARDHAN,GEN,MISHRA LAXMIKANT RAMESHWAR PRASAD,M,,,DDP,184
17735,Maharashtra,1999,13,1,SHRIWARDHAN,GEN,SAWANT SHYAM TUKARAM,M,46,GEN,SHS,34695
17736,Maharashtra,1999,13,2,SHRIWARDHAN,GEN,TAWSALKAR SANTOSH MANOHAR,M,,,INC,25324
17737,Maharashtra,1999,13,3,SHRIWARDHAN,GEN,KAUCHALI ALI ABDULLA,M,,,PWPI,19687
17738,Maharashtra,1999,13,4,SHRIWARDHAN,GEN,PESHIMAM GULAM MOHAMAD MUSHIR,M,,,NCP,16834
19752,Maharashtra,2004,13,3,SHRIWARDHAN,GEN,GIDI KRISHNA BALOJI,M,70,GEN,PWPI,18856
19753,Maharashtra,2004,13,5,SHRIWARDHAN,GEN,JOSHI BHIMRAO KASHINATH,M,42,GEN,BSP,1581
19754,Maharashtra,2004,13,2,SHRIWARDHAN,GEN,ANTULAY MUSHTAQ ATAULLAH,M,51,GEN,INC,45873
19755,Maharashtra,2004,13,6,SHRIWARDHAN,GEN,KHATIB IRSHAD HUSSAIN,M,54,GEN,IND,1253
19756,Maharashtra,2004,13,4,SHRIWARDHAN,GEN,SHAM SAWANT,M,65,GEN,IND,2929
19757,Maharashtra,2004,13,1,SHRIWARDHAN,GEN,SAWANT SHYAM TUKARAM,M,51,GEN,SHS,52998
24798,Maharashtra,2009,193,1,SHRIWARDHAN,GEN,TATKARE SUNIL DATTATREY,M,54,GEN,NCP,66141
24799,Maharashtra,2009,193,2,SHRIWARDHAN,GEN,TUKARAM SURVE,M,59,GEN,SHS,55270
24800,Maharashtra,2009,193,3,SHRIWARDHAN,GEN,GULAM PESHAIMAM,M,62,GEN,IND,7210
24801,Maharashtra,2009,193,4,SHRIWARDHAN,GEN,FAISAL POPERE,M,31,GEN,IND,3882
24802,Maharashtra,2009,193,5,SHRIWARDHAN,GEN,UBHARE FARID FARUK,M,28,GEN,BSP,2273
24803,Maharashtra,2009,193,6,SHRIWARDHAN,GEN,KAWADE SHRIPAL BALAJI,M,51,GEN,RPI(A),1497
24804,Maharashtra,2009,193,7,SHRIWARDHAN,GEN,ABHIJEET DIPAK SABLE,M,27,GEN,IND,1433
24805,Maharashtra,2009,193,8,SHRIWARDHAN,GEN,DR. SINGH NARENDRA,M,59,GEN,BBM,937
24806,Maharashtra,2014,193,1,SHRIWARDHAN,GEN,AVDHOOT ANIL TATKARE,M,35,GEN,NCP,61038
24807,Maharashtra,2014,193,2,SHRIWARDHAN,GEN,RAVINDRA RAMJI MUNDE,M,51,GEN,SHS,60961
24808,Maharashtra,2014,193,3,SHRIWARDHAN,GEN,KRUSHNA PANDURANG KOBNAK,M,55,GEN,BJP,11295
24809,Maharashtra,2014,193,4,SHRIWARDHAN,GEN,ASLAM IBRAHIM RAUT,M,49,GEN,PWPI,5585
