ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
639,Maharashtra,1962,145,1,SINDKHEDA,GEN,NARAYANRAO SAHADEORAO PATIL,M,,,INC,33584
640,Maharashtra,1962,145,2,SINDKHEDA,GEN,BABURAO NABAJI DESAI,M,,,PSP,6045
641,Maharashtra,1962,145,3,SINDKHEDA,GEN,PADAMSING NATUSING GIRASE,M,,,JS,5956
642,Maharashtra,1962,145,4,SINDKHEDA,GEN,PUNAJI LINGAJI LALINGKER,M,,,REP,2700
643,Maharashtra,1962,145,5,SINDKHEDA,GEN,PIRA NANDA MAHAR,M,,,IND,1129
1529,Maharashtra,1967,79,1,SINDKHEDA,GEN,NARAYANRAO SAHADEORAO PATIL,M,,,INC,29407
1530,Maharashtra,1967,79,2,SINDKHEDA,GEN,R. C. PATIL,M,,,PSP,13246
1531,Maharashtra,1967,79,3,SINDKHEDA,GEN,Z. D. KOLI,M,,,IND,2224
2753,Maharashtra,1972,79,1,SINDKHEDA,GEN,LILABAI UTTAMRAO PATIL,M,,,INC,28788
2754,Maharashtra,1972,79,2,SINDKHEDA,GEN,RAGHUNATH CHINDHA PATIL,M,,,SOP,14693
2755,Maharashtra,1972,79,3,SINDKHEDA,GEN,DAULATRAO RUPALA ISI,M,,,IND,3659
2756,Maharashtra,1972,79,4,SINDKHEDA,GEN,SAVALE GAJMAL,M,,,RPI,1485
2757,Maharashtra,1972,79,5,SINDKHEDA,GEN,RAMRAJE NIRGUN VAJIR,M,,,IND,884
4089,Maharashtra,1978,87,1,SINDKHEDA,GEN,SHISODE MADHUKARRAO DIPCHAND,M,,,IND,20034
4090,Maharashtra,1978,87,2,SINDKHEDA,GEN,RAJPUT MANGALSING NIMJI ALIAS THANSING JIBHAU,M,,,JNP,17956
4091,Maharashtra,1978,87,3,SINDKHEDA,GEN,PATIL SHIVAJIRAO GIRIDHAR,M,,,INC,17752
4092,Maharashtra,1978,87,4,SINDKHEDA,GEN,DEVARE DHANRAJ MOTIRAM,M,,,INC,10958
4093,Maharashtra,1978,87,5,SINDKHEDA,GEN,BHIL BHAGABAI NAVASHA,F,,,IND,1109
4094,Maharashtra,1978,87,6,SINDKHEDA,GEN,DANGORE NARAYAN NANGA,M,,,IND,218
5882,Maharashtra,1980,87,1,SINDKHEDA,GEN,PATIL RANGRAO MADHAVRAO,M,,,INC,21320
5883,Maharashtra,1980,87,2,SINDKHEDA,GEN,SHISODE MADHUKARRAO DIPCHAND,M,,,JNP,18592
5884,Maharashtra,1980,87,3,SINDKHEDA,GEN,MALI HIMMATRAO BHATU,M,,,IND,11887
5885,Maharashtra,1980,87,4,SINDKHEDA,GEN,PATIL NAVAL CHAITRAM,M,,,INC(U),8722
5886,Maharashtra,1980,87,5,SINDKHEDA,GEN,DESHALE JAYANTWANTRAO ATMARAM,M,,,JNP(SC),212
7667,Maharashtra,1985,87,1,SINDKHEDA,GEN,RAJAPUT MANGALSING NIMAJI ALIAS THANSING JIBHAU,M,,,IND,21708
