ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
4199,Maharashtra,1978,105,1,SINDKHEDRAJA,GEN,KHARAT JAYAWANTRAO KALUJI,M,,,INC,27632
4200,Maharashtra,1978,105,2,SINDKHEDRAJA,GEN,SHINGANE BHASKARRAO SAMPATRAO,M,,,PWP,20112
4201,Maharashtra,1978,105,3,SINDKHEDRAJA,GEN,SANGALE WAMANRAO KISANRAO,M,,,IND,14923
4202,Maharashtra,1978,105,4,SINDKHEDRAJA,GEN,DESHMUKH APPASAHEB NARAYANRAO,M,,,IND,9228
4203,Maharashtra,1978,105,5,SINDKHEDRAJA,GEN,CHAVAN JAGARAO RAOJI,M,,,INC,5527
4204,Maharashtra,1978,105,6,SINDKHEDRAJA,GEN,KARIMKHAN MOHAMMADKHAN,M,,,JNP,2857
4205,Maharashtra,1978,105,7,SINDKHEDRAJA,GEN,MEWADE CHAMPALAL GANPATSA,M,,,IND,291
7820,Maharashtra,1985,105,1,SINDKHEDRAJA,GEN,KAYANDE TOTARAM TUKARAM,M,,,ICS,44513
7821,Maharashtra,1985,105,2,SINDKHEDRAJA,GEN,SHINGANE BHASKARRAO SAMPATRAO,M,,,INC,37935
7822,Maharashtra,1985,105,3,SINDKHEDRAJA,GEN,JADHAO GANGADHAR NAGORAO,M,,,IND,6828
7823,Maharashtra,1985,105,4,SINDKHEDRAJA,GEN,GAWAI DEORAO BHIWAJI,M,,,IND,1831
7824,Maharashtra,1985,105,5,SINDKHEDRAJA,GEN,BONDRE BHAGWANAPPA THAMAAPPA,M,,,IND,590
7825,Maharashtra,1985,105,6,SINDKHEDRAJA,GEN,AMBUSKAR DIGAMBAR TATARAM,M,,,IND,468
7826,Maharashtra,1985,105,7,SINDKHEDRAJA,GEN,TAMBEKAR BHUGANGRAO YESHWANTRAO,M,,,IND,402
10244,Maharashtra,1990,105,1,SINDKHEDRAJA,GEN,KAYANDE TOTARAM TUKARAM,M,,,IND,29949
10245,Maharashtra,1990,105,2,SINDKHEDRAJA,GEN,JADHAO WAMANRAO RAMCHANDRA,M,,,JD,25489
10246,Maharashtra,1990,105,3,SINDKHEDRAJA,GEN,MAGAR VASANTRAO RAJARAM,M,,,SHS,18834
10247,Maharashtra,1990,105,4,SINDKHEDRAJA,GEN,KHANDEBHARAD TUKARAM NARAYAN,M,,,INC,17152
10248,Maharashtra,1990,105,5,SINDKHEDRAJA,GEN,RATHOD THAWARAJI RAGHOJI,M,,,BRP,12914
10249,Maharashtra,1990,105,6,SINDKHEDRAJA,GEN,KASTURE VIJAY KUMAR SAMPATRAO,M,,,IND,1007
10250,Maharashtra,1990,105,7,SINDKHEDRAJA,GEN,SHUKLA RAMESHWAR SAKHARAM,M,,,MMS,550
10251,Maharashtra,1990,105,8,SINDKHEDRAJA,GEN,MAGAR SAKHARAM SITARAM,M,,,ICS(SCS),533
10252,Maharashtra,1990,105,9,SINDKHEDRAJA,GEN,TULSIRAM DATTUJI KHANDEBHARAD,M,,,IND,393
10253,Maharashtra,1990,105,10,SINDKHEDRAJA,GEN,KALE NATHA SONAJI,M,,,IND,303
10254,Maharashtra,1990,105,11,SINDKHEDRAJA,GEN,JHHAO LAXMAN DHARMAJI,M,,,DMM,284
10255,Maharashtra,1990,105,12,SINDKHEDRAJA,GEN,GAWAI KUNDLIK KACHRU,M,,,IND,203
10256,Maharashtra,1990,105,13,SINDKHEDRAJA,GEN,JAHABHAYE PRAHLADRAO GOVINDRAO,M,,,IND,169
10257,Maharashtra,1990,105,14,SINDKHEDRAJA,GEN,SYED MOHIN SYED BASHIR,M,,,IND,161
10258,Maharashtra,1990,105,15,SINDKHEDRAJA,GEN,PATIL SURESH RATAN,M,,,DDP,128
10259,Maharashtra,1990,105,16,SINDKHEDRAJA,GEN,LAHANE SUKDEO BALAJI,M,,,HJP,119
10260,Maharashtra,1990,105,17,SINDKHEDRAJA,GEN,UTTAN SIKLAL JADHAR,M,,,IND,111
10261,Maharashtra,1990,105,18,SINDKHEDRAJA,GEN,MORE TRIMBAK DYNAOJO,M,,,IND,110
