ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
608,Maharashtra,1962,138,1,SINNAR,GEN,SHANKAR BALAJI WAJE,M,,,INC,20027
609,Maharashtra,1962,138,2,SINNAR,GEN,GANGADHAR WAMANRAO CHAVANKE,M,,,CPI,16967
610,Maharashtra,1962,138,3,SINNAR,GEN,DHARMA BHAVANJI AVHA,M,,,PSP,3841
611,Maharashtra,1962,138,4,SINNAR,GEN,DATTATRAYA NATHU HANDE,M,,,IND,1009
1472,Maharashtra,1967,63,1,SINNAR,GEN,R. V. WAJE,F,,,INC,12901
1473,Maharashtra,1967,63,2,SINNAR,GEN,A. G. DURVE,M,,,IND,12750
1474,Maharashtra,1967,63,3,SINNAR,GEN,L. T. HARAK,M,,,IND,10898
1475,Maharashtra,1967,63,4,SINNAR,GEN,P. B. KATHALE,M,,,PWP,3249
1476,Maharashtra,1967,63,5,SINNAR,GEN,R. N. RAJEBHONSALE,M,,,IND,1121
1477,Maharashtra,1967,63,6,SINNAR,GEN,W. P. BHAT,M,,,IND,745
2685,Maharashtra,1972,63,1,SINNAR,GEN,RAMKRISHNA NARAYAN NAIK,M,,,INC,31628
2686,Maharashtra,1972,63,2,SINNAR,GEN,WAJE SHANKARRAO BALAJI,M,,,IND,25967
2687,Maharashtra,1972,63,3,SINNAR,GEN,AVAD MAHADEO BALA,M,,,BJS,1040
2688,Maharashtra,1972,63,4,SINNAR,GEN,GANGA SAKHARAM ROOPAWATE,M,,,RPI,685
2689,Maharashtra,1972,63,5,SINNAR,GEN,MAHASUJI AVAD ZUNJAR,M,,,IND,271
3997,Maharashtra,1978,69,1,SINNAR,GEN,GADAKH SURYABHAN SUKHDEO,M,,,IND,36255
3998,Maharashtra,1978,69,2,SINNAR,GEN,AVHAD NIVRUTTI MAHADU,M,,,INC,23205
3999,Maharashtra,1978,69,3,SINNAR,GEN,SANGLE SUDAM BHAGUJI,M,,,JNP,6847
4000,Maharashtra,1978,69,4,SINNAR,GEN,BHALERAO KALESHWAR BHIWAJI,M,,,IND,2006
4001,Maharashtra,1978,69,5,SINNAR,GEN,AVADH ZUNZAR MHASUJI,M,,,IND,854
5802,Maharashtra,1980,69,1,SINNAR,GEN,GADAK SURYABHAN SUKDEO,M,,,INC(U),46639
5803,Maharashtra,1980,69,2,SINNAR,GEN,WAJE ASHOK VITHAL,M,,,INC,16699
5804,Maharashtra,1980,69,3,SINNAR,GEN,BHADANGE SHANKAR DAMODAR,M,,,IND,280
5805,Maharashtra,1980,69,4,SINNAR,GEN,AVAD ZUNJAR MHASUJI,M,,,RPK,272
5806,Maharashtra,1980,69,5,SINNAR,GEN,RAHATAL LAXMAN KENUJI,M,,,IND,246
5807,Maharashtra,1980,69,6,SINNAR,GEN,HEMADE VASANTI ARUN,F,,,JNP(SC),241
7544,Maharashtra,1985,69,1,SINNAR,GEN,DIGHOLE TUKARAM SAKHARAM,M,43,GEN,ICS,35810
7545,Maharashtra,1985,69,2,SINNAR,GEN,GADHAK SURYABHAN SUKDEO,M,,,IND,21241
7546,Maharashtra,1985,69,3,SINNAR,GEN,DAWARE NIVRUTTI BAJUNATH,M,,,INC,15626
7547,Maharashtra,1985,69,4,SINNAR,GEN,PRABHAKAR FAKIRA KOKATE,M,,,IND,437
7548,Maharashtra,1985,69,5,SINNAR,GEN,JADHAV POPAT SHANKAR,M,,,IND,334
