ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
477,Maharashtra,1962,107,1,SHOLAPUR CITY NORTH,GEN,YANKAPA RAMAYA MADUR,M,,,CPI,23025
478,Maharashtra,1962,107,2,SHOLAPUR CITY NORTH,GEN,KESHAVLAL VIRCHAND SHAH,M,,,INC,20301
479,Maharashtra,1962,107,3,SHOLAPUR CITY NORTH,GEN,HANMANTRAYA IRAPPA RACHETI,M,,,JS,6822
480,Maharashtra,1962,107,4,SHOLAPUR CITY NORTH,GEN,SIDRAM MALLAYYA KANTIKAR,M,,,IND,1241
481,Maharashtra,1962,107,5,SHOLAPUR CITY NORTH,GEN,SIDRAMAPPA MARUTI FULARI,M,,,IND,546
3350,Maharashtra,1972,203,1,SHOLAPUR CITY NORTH,GEN,BET RAMKRISHNA VENKATESH,M,,,INC,25364
3351,Maharashtra,1972,203,2,SHOLAPUR CITY NORTH,GEN,MADUR VENKAPPA RAMAYYA,M,,,CPI,21301
3352,Maharashtra,1972,203,3,SHOLAPUR CITY NORTH,GEN,REVANSIDHA BHOGADE,M,,,BJS,5473
3353,Maharashtra,1972,203,4,SHOLAPUR CITY NORTH,GEN,ADAM RARSAYA NARAYAN,M,,,CPM,1170
4993,Maharashtra,1978,217,1,SOLAPUR CITY NORTH,GEN,ADAM NARSAYYA NARAYAN,M,,,CPM,20372
4994,Maharashtra,1978,217,2,SOLAPUR CITY NORTH,GEN,DIKONDA VITHALRAO SAYANNA,M,,,INC,17123
4995,Maharashtra,1978,217,3,SOLAPUR CITY NORTH,GEN,BALI GANESH RACHAPPA,M,,,IND,14354
4996,Maharashtra,1978,217,4,SOLAPUR CITY NORTH,GEN,BHOGADE VISHVANATH SIDRAMAPPA,M,,,INC,9281
4997,Maharashtra,1978,217,5,SOLAPUR CITY NORTH,GEN,RAMPURE ABDAL AJIT NABILAL,M,,,IND,2598
4998,Maharashtra,1978,217,6,SOLAPUR CITY NORTH,GEN,PATIL VISHNUPANT RAMRAO,M,,,HMS,874
4999,Maharashtra,1978,217,7,SOLAPUR CITY NORTH,GEN,OHOL GANPAT BHAGWAN,M,,,IND,406
5000,Maharashtra,1978,217,8,SOLAPUR CITY NORTH,GEN,SALAR A. GANI MOHAMADSAB,M,,,IND,115
6600,Maharashtra,1980,217,1,SOLAPUR CITY NORTH,GEN,CHAKOTE BABURAO CHANNAPPA,M,,,INC(U),25870
6601,Maharashtra,1980,217,2,SOLAPUR CITY NORTH,GEN,DIKONDA VITHAL SAYANNA,M,,,INC,25769
6602,Maharashtra,1980,217,3,SOLAPUR CITY NORTH,GEN,IQBAL RAYALLIWALA,M,,,BJP,3933
6603,Maharashtra,1980,217,4,SOLAPUR CITY NORTH,GEN,ADAM NARSAYYA NARAYAN,M,,,IND,3647
6604,Maharashtra,1980,217,5,SOLAPUR CITY NORTH,GEN,INDAPURE CHINTAMANI DATTATRAYA,M,,,CPI,2073
6605,Maharashtra,1980,217,6,SOLAPUR CITY NORTH,GEN,GENTYAL NARASAPPA BHIMAYYA,M,,,JNP,1958
6606,Maharashtra,1980,217,7,SOLAPUR CITY NORTH,GEN,PATIL VISHNUPANTH RAMRAO,M,,,IND,916
6607,Maharashtra,1980,217,8,SOLAPUR CITY NORTH,GEN,DASARY TULJARAM TIPPANNA,M,,,IND,101
6608,Maharashtra,1980,217,9,SOLAPUR CITY NORTH,GEN,RALERRASKAR RAVINDRA RAMKRISHANA,M,,,IND,44
8744,Maharashtra,1985,217,1,SOLAPUR CITY NORTH,GEN,CHAKOTE BABURAO CHANNAPPA,M,,,INC,38370
8745,Maharashtra,1985,217,2,SOLAPUR CITY NORTH,GEN,RALERASKAR RAVINDRA RAMKRISHNA,M,,,BJP,23302
8746,Maharashtra,1985,217,3,SOLAPUR CITY NORTH,GEN,PARAKIPANDALA NARSAYYA LACHHAMAYA,M,,,IND,4652
12260,Maharashtra,1990,217,1,SOLAPUR CITY NORTH,GEN,LINGRAJ BALCERAYYA VALLYAL,M,,,BJP,42059
12261,Maharashtra,1990,217,2,SOLAPUR CITY NORTH,GEN,CHAKOTE BABURAO CHANNAPPA,M,,,INC,32128
12262,Maharashtra,1990,217,3,SOLAPUR CITY NORTH,GEN,KANNA UMESH VISHWAMBAR,M,,,JD,1995
12263,Maharashtra,1990,217,4,SOLAPUR CITY NORTH,GEN,TIWADI BALAPRASAD PURANMAL,M,,,IND,369
12264,Maharashtra,1990,217,5,SOLAPUR CITY NORTH,GEN,SARVADE SURESH KHANDU,M,,,ICS(SCS),281
12265,Maharashtra,1990,217,6,SOLAPUR CITY NORTH,GEN,SAKHARAM BABU LAD,M,,,IND,258
12266,Maharashtra,1990,217,7,SOLAPUR CITY NORTH,GEN,GHAM RAJENDRA VISHWAMBHAR,M,,,IND,101
12267,Maharashtra,1990,217,8,SOLAPUR CITY NORTH,GEN,KONDE SIDDHARAM VIRBHADRA,M,,,IND,99
12268,Maharashtra,1990,217,9,SOLAPUR CITY NORTH,GEN,RAMPURE A. KARIM CHANSAHEB,M,,,IND,50
12269,Maharashtra,1990,217,10,SOLAPUR CITY NORTH,GEN,MANIYAR JAHANGIR HUSENSAHEB,M,,,IND,47
12270,Maharashtra,1990,217,11,SOLAPUR CITY NORTH,GEN,SONTAKKE VITTHAL KERABA,M,,,DDP,39
