ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
398,Maharashtra,1962,88,1,TASGAON,GEN,DHONDIRAM YESHWANT PATIL,M,,,INC,33089
399,Maharashtra,1962,88,2,TASGAON,GEN,GANPATI DADA LAD,M,,,PWP,18932
400,Maharashtra,1962,88,3,TASGAON,GEN,GANAPATI NAYAKU KOLI,M,,,PSP,999
401,Maharashtra,1962,88,4,TASGAON,GEN,SHANKAR PANDURANG SANKPAL,M,,,JS,342
2342,Maharashtra,1967,255,1,TASGAON,GEN,B. G. PATIL,M,,,INC,38595
2343,Maharashtra,1967,255,2,TASGAON,GEN,G. D. LAD,M,,,PWP,29177
2344,Maharashtra,1967,255,3,TASGAON,GEN,H. N. PATIL,M,,,BJS,1104
2345,Maharashtra,1967,255,4,TASGAON,GEN,M. A. SHINDE,M,,,IND,713
2346,Maharashtra,1967,255,5,TASGAON,GEN,T. A. PATIL,M,,,IND,85
3540,Maharashtra,1972,255,1,TASGAON,GEN,PATIL BABASAHEB GOPALRAO,M,,,INC,52725
3541,Maharashtra,1972,255,2,TASGAON,GEN,MANE DESHMUKH J. S. MAHADEO,M,,,PWP,17524
3542,Maharashtra,1972,255,3,TASGAON,GEN,PATIL VASANT HINDURAO,M,,,IND,4147
5328,Maharashtra,1978,273,1,TASGAON,GEN,PATIL DINKARRAO KRISHNAJI,M,,,INC,45178
5329,Maharashtra,1978,273,2,TASGAON,GEN,JADHAV VASUDEV DAJI,M,,,JNP,14471
5330,Maharashtra,1978,273,3,TASGAON,GEN,PAWAR DATTATRAYA GANAPATI,M,,,PWP,11370
5331,Maharashtra,1978,273,4,TASGAON,GEN,KHADE SHIKRU BABAJI,M,,,INC,1595
6881,Maharashtra,1980,273,1,TASGAON,GEN,PATIL DINKARRAO KRISHNAJI,M,,,IND,25206
6882,Maharashtra,1980,273,2,TASGAON,GEN,KOLI GANAPATRAO NAYAKU,M,,,INC,23678
6883,Maharashtra,1980,273,3,TASGAON,GEN,MANE DESHMUKH JAYSINGRAO MADHAVRAO,M,,,PWP,9656
6884,Maharashtra,1980,273,4,TASGAON,GEN,PATIL BHIMRAO PARWATA,M,,,INC(U),8926
6885,Maharashtra,1980,273,5,TASGAON,GEN,PATIL SHIVAJIRAO PANDURANG,M,,,IND,2324
