ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
4324,Maharashtra,1978,122,1,TEOSA,GEN,THAKUR CHANDRAKANT RAMCHANDRA,M,,,IND,41455
4325,Maharashtra,1978,122,2,TEOSA,GEN,MANGLE NATTHUJI DEWAJI,M,,,CPI,14965
4326,Maharashtra,1978,122,3,TEOSA,GEN,CHORE AJABRAO TANABAJI,M,,,JNP,5127
4327,Maharashtra,1978,122,4,TEOSA,GEN,BHOLE UTTAM MOHANAJI,M,,,INC,4075
4328,Maharashtra,1978,122,5,TEOSA,GEN,THAKARE KRUSHNA BHADUJI,M,,,IND,3366
4329,Maharashtra,1978,122,6,TEOSA,GEN,CHOUDHARI SOU. USHA PRAKASH,F,,,IND,174
4330,Maharashtra,1978,122,7,TEOSA,GEN,SHEKH MEHABUB DAULA SHEKH RASUL,M,,,IND,114
6082,Maharashtra,1980,122,1,TEOSA,GEN,THAKUR CHANDRAKANT RAMCHANDRA,M,,,INC,24480
6083,Maharashtra,1980,122,2,TEOSA,GEN,TASARE SHARAD MOTIRAM,M,,,INC(U),15778
6084,Maharashtra,1980,122,3,TEOSA,GEN,MANGLE NATTHUJI DEWAJI,M,,,CPI,9710
6085,Maharashtra,1980,122,4,TEOSA,GEN,THAKRE KRISHNA LAXMAN,M,,,RPK,2452
6086,Maharashtra,1980,122,5,TEOSA,GEN,WANKHADE KRISHNA LAXMAN,M,,,IND,807
6087,Maharashtra,1980,122,6,TEOSA,GEN,HEDUA KRISHNARAO RANGRAO,M,,,IND,73
7972,Maharashtra,1985,122,1,TEOSA,GEN,TASARE SHARAD MOTIRAM,M,,,ICS,31425
7973,Maharashtra,1985,122,2,TEOSA,GEN,DESHMUKH VISHWAS KRUSHNARAO,M,,,INC,25508
7974,Maharashtra,1985,122,3,TEOSA,GEN,CHAVAN ARUN SHALIKRAM,M,,,IND,9549
7975,Maharashtra,1985,122,4,TEOSA,GEN,TAYDE CHIRKUT GENDAJI,M,,,RPI,1180
7976,Maharashtra,1985,122,5,TEOSA,GEN,SUBHASH DEVIDAS SHRIKHANDE,M,,,IND,606
7977,Maharashtra,1985,122,6,TEOSA,GEN,WADHONKAR SUBHASH WAMAN,M,,,IND,264
10578,Maharashtra,1990,122,1,TEOSA,GEN,MANGALE NATTU DEWAJI,M,,,CPI,24459
10579,Maharashtra,1990,122,2,TEOSA,GEN,TASRE SHARAD MOTIRAM,M,,,INC,23154
10580,Maharashtra,1990,122,3,TEOSA,GEN,WANKHADE DENISH WAIKUNTHARAO,M,,,SHS,11934
10581,Maharashtra,1990,122,4,TEOSA,GEN,MESHRAM GOPICHAND SURYABHAN,M,,,RPK,7224
10582,Maharashtra,1990,122,5,TEOSA,GEN,THAKUR SANJAY RAMCHANDRA,M,,,IND,3890
10583,Maharashtra,1990,122,6,TEOSA,GEN,INGALE VIJAYBHAU MAROTRAO,M,,,PWP,3861
10584,Maharashtra,1990,122,7,TEOSA,GEN,SATARE SHESHRAO CHINDHUJI,M,,,BSP,2249
10585,Maharashtra,1990,122,8,TEOSA,GEN,WANKHADE SAHEBRAO NILKANTH,M,,,ICS(SCS),1905
10586,Maharashtra,1990,122,9,TEOSA,GEN,KALMEGH WASUDEO MOTIRAM,M,,,IND,634
10587,Maharashtra,1990,122,10,TEOSA,GEN,RAJENDRA PRALHAD KADU,M,,,MMS,539
10588,Maharashtra,1990,122,11,TEOSA,GEN,KHADSE MAHADEO DOMAJI,M,,,IND,468
10589,Maharashtra,1990,122,12,TEOSA,GEN,CHANDRASHEKHAR SHANKARRAO CHAUDHARI,M,,,DDP,386
10590,Maharashtra,1990,122,13,TEOSA,GEN,MARASKOLE RAMBHAU TUKARAMJI,M,,,IND,357
10591,Maharashtra,1990,122,14,TEOSA,GEN,ARUN YADARAO THORAT,M,,,IND,337
10592,Maharashtra,1990,122,15,TEOSA,GEN,NARAYAN SITARAM PATIL,M,,,IND,243
10593,Maharashtra,1990,122,16,TEOSA,GEN,CHAVAN ARUN SHALIGRAM,M,,,IND,160
10594,Maharashtra,1990,122,17,TEOSA,GEN,NARAYAN KASHIRAO DANDALE,M,,,IND,136
10595,Maharashtra,1990,122,18,TEOSA,GEN,ARUNKUMAR KESHAORAO WITONDE,M,,,IND,120
10596,Maharashtra,1990,122,19,TEOSA,GEN,HEDAU KRUSHNARAO RANGRAO,M,,,HJP,114
10597,Maharashtra,1990,122,20,TEOSA,GEN,VITTHALRAO MITHUJI CHAUDHARI,M,,,IND,93
10598,Maharashtra,1990,122,21,TEOSA,GEN,POTDUKHE SURESH VINAYAK,M,,,IND,80
14737,Maharashtra,1995,122,1,TEOSA,GEN,TASARE SHARAD MOTIRAM,M,,,INC,27062
14738,Maharashtra,1995,122,2,TEOSA,GEN,MANGALE NANASAHEB GANPAT,M,,,CPI,17481
14739,Maharashtra,1995,122,3,TEOSA,GEN,THAKUR CHANDRAKANT ALIAS BHYYASAHEB,M,,,IND,15762
14740,Maharashtra,1995,122,4,TEOSA,GEN,KOLHE SANJAY SHIVLING,M,,,IND,11524
14741,Maharashtra,1995,122,5,TEOSA,GEN,TATTE SAHEBRAO RAMCHANDRA,M,49,GEN,BJP,10967
14742,Maharashtra,1995,122,6,TEOSA,GEN,INGLE VIJAY MAROTRAO,M,,,PWP,10334
14743,Maharashtra,1995,122,7,TEOSA,GEN,DINESH WAIKUNTHARAO WANKHADE,M,,,IND,4897
14744,Maharashtra,1995,122,8,TEOSA,GEN,LOKHANDE ARVIND DEORAOJI,M,,,IND,2823
14745,Maharashtra,1995,122,9,TEOSA,GEN,MOHOD SANJAY SHESHRAO,M,,,RPI,1931
14746,Maharashtra,1995,122,10,TEOSA,GEN,SAHEBRAO CHAMPATRAO IONATE,M,,,IND,1588
14747,Maharashtra,1995,122,11,TEOSA,GEN,CHAUDHARY CHANDRASHEKHAR SHANKAR,M,,,DDP,847
14748,Maharashtra,1995,122,12,TEOSA,GEN,KHADSE MAHADEO DOMAJI,M,,,IND,647
14749,Maharashtra,1995,122,13,TEOSA,GEN,RAMESHWAR PANDURANG GOBRE,M,,,IND,494
14750,Maharashtra,1995,122,14,TEOSA,GEN,ABDUL HAMID SHEKH GANI MANSURI,M,,,IND,398
14751,Maharashtra,1995,122,15,TEOSA,GEN,SUKHADEORAO BUTARI VAIDYA,M,,,IND,331
14752,Maharashtra,1995,122,16,TEOSA,GEN,GADE JANRAO RAJARAM,M,,,IND,320
14753,Maharashtra,1995,122,17,TEOSA,GEN,KISANGOPAL BHIKAMCHANDRA TAWARI,M,,,IND,316
14754,Maharashtra,1995,122,18,TEOSA,GEN,DESHMUKH RAMDAS RAMRAO,M,,,IND,302
14755,Maharashtra,1995,122,19,TEOSA,GEN,PANDE SUKHDEO NAMDEORAO,M,,,IND,276
14756,Maharashtra,1995,122,20,TEOSA,GEN,MESHRAM GOPICHAND SURYABHANJI,M,,,RPI(K),187
14757,Maharashtra,1995,122,21,TEOSA,GEN,ADV. MESHRAM LALCHAND BANDUJI,M,,,IND,151
14758,Maharashtra,1995,122,22,TEOSA,GEN,CHANDRAKANT KESHAO NIMBHORKAR,M,,,ICS,133
14759,Maharashtra,1995,122,23,TEOSA,GEN,BAKERAO BAJIRAO GORDE,M,,,IND,124
14760,Maharashtra,1995,122,24,TEOSA,GEN,SHRIKHANDE SUBHASHBHAU DEVIDAS,M,,,IND,108
14761,Maharashtra,1995,122,25,TEOSA,GEN,PRAMILATAI KAMLAKARRAO KAWALE,F,,,IND,97
14762,Maharashtra,1995,122,26,TEOSA,GEN,YASHWANT ALIAS KAKASAHEB RAGHOJI BHOGE,M,,,IND,71
18444,Maharashtra,1999,122,1,TEOSA,GEN,TATTE SAHEBRAO RAMCHANDRA,M,53,GEN,BJP,35282
18445,Maharashtra,1999,122,2,TEOSA,GEN,THAKUR CHANDRAKANT ALIAS BHYYASAHEB,M,,,INC,34157
18446,Maharashtra,1999,122,3,TEOSA,GEN,TASARE SHARAD MOTIRAM,M,,,NCP,16661
18447,Maharashtra,1999,122,4,TEOSA,GEN,ASHOK SHIODATTA SONARKAR,M,,,CPI,3816
18448,Maharashtra,1999,122,5,TEOSA,GEN,VIJAYA SINGH BHABOOT SINGH THAKUR,M,,,CPM,1393
18449,Maharashtra,1999,122,6,TEOSA,GEN,GOHATRE TULSHIDAS VYANKATRAO,M,,,IND,808
18450,Maharashtra,1999,122,7,TEOSA,GEN,IVANATE SAHEBRAO CHAMPATRAO,M,,,ABHS,163
20721,Maharashtra,2004,122,10,TEOSA,GEN,ATHAWALEY SANJAY HIRAMANJI,M,41,SC,BBM,1245
20722,Maharashtra,2004,122,1,TEOSA,GEN,TATTE SAHEBRAO RAMCHANDRA,M,58,GEN,BJP,38894
20723,Maharashtra,2004,122,2,TEOSA,GEN,ADV. YASHOMATI THAKUR,F,30,GEN,INC,31956
20724,Maharashtra,2004,122,3,TEOSA,GEN,MANGALE SANJAY NANASAHEB,M,39,GEN,CPI,13246
20725,Maharashtra,2004,122,4,TEOSA,GEN,PROF.ANAND J. TAYADE,M,45,SC,BSP,7405
20726,Maharashtra,2004,122,6,TEOSA,GEN,GANGADHAR GADE,M,55,SC,IND,5179
20727,Maharashtra,2004,122,8,TEOSA,GEN,WANKHADE OMPRAKASH ALIES,M,29,GEN,IND,1364
20728,Maharashtra,2004,122,5,TEOSA,GEN,ASHOK HARIBHAU RODE,M,52,GEN,IND,5645
20729,Maharashtra,2004,122,12,TEOSA,GEN,SAU. SHOBHATAI S. KURSANGE,F,38,ST,GGP,561
20730,Maharashtra,2004,122,14,TEOSA,GEN,TATTE PRAVIN SURESH,M,31,GEN,RLD,457
20731,Maharashtra,2004,122,7,TEOSA,GEN,BALASAHEB ASHADEVI,M,37,GEN,RSNP,4809
20732,Maharashtra,2004,122,11,TEOSA,GEN,MOHAN PUND,M,33,GEN,IND,577
