ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
3894,Maharashtra,1978,53,1,THANE,GEN,KOLI GAJANAN MOTIRAM,M,,,JNP,49123
3895,Maharashtra,1978,53,2,THANE,GEN,SATISH PRADHAN,M,,,SHS,20231
3896,Maharashtra,1978,53,3,THANE,GEN,AMARSINGH BACHANSINGH THAKUR,M,,,INC,13203
3897,Maharashtra,1978,53,4,THANE,GEN,RAGANEKAR VIMAL KHANDERAO,F,,,INC,5195
3898,Maharashtra,1978,53,5,THANE,GEN,BHADKAMAR PANDHARINATH KRISHNA,M,,,IND,1381
3899,Maharashtra,1978,53,6,THANE,GEN,MAURYA HARDEO PRASAD,M,,,IND,243
3900,Maharashtra,1978,53,7,THANE,GEN,JOSHI MADHAV DATTATRAYA,M,,,IND,211
3901,Maharashtra,1978,53,8,THANE,GEN,PATIL PRAMOD VASUDEO,M,,,IND,180
5712,Maharashtra,1980,53,1,THANE,GEN,KOLI KANTI KISAN,M,,,INC,32186
5713,Maharashtra,1980,53,2,THANE,GEN,KOLI GAJANAN MOTIRAM,M,,,BJP,20690
5714,Maharashtra,1980,53,3,THANE,GEN,VADHAWAKAR S. M.,M,,,JNP,8967
5715,Maharashtra,1980,53,4,THANE,GEN,CHAVAN HARISHCHANDRA LAXAMAN,M,,,INC(U),3009
5716,Maharashtra,1980,53,5,THANE,GEN,YADAV GIRADHARI BADARI,M,,,JNP(SC),1394
5717,Maharashtra,1980,53,6,THANE,GEN,PAGARE PARBHAKAR N.,M,,,IND,938
5718,Maharashtra,1980,53,7,THANE,GEN,DWIVEDI UDAYVIR,M,,,IND,232
5719,Maharashtra,1980,53,8,THANE,GEN,GAIKAWAD GANGADHAR DHARMAJI,M,,,IND,149
5720,Maharashtra,1980,53,9,THANE,GEN,DR. HARDEOPRASAD MOURYA,M,,,IND,53
7396,Maharashtra,1985,53,1,THANE,GEN,KANTI KOLI,M,,,INC,40890
7397,Maharashtra,1985,53,2,THANE,GEN,SATISH PRADHAN,M,,,IND,29772
7398,Maharashtra,1985,53,3,THANE,GEN,GHARPURE P. V.,M,,,BJP,23120
7399,Maharashtra,1985,53,4,THANE,GEN,ASHOK PRADHAN,M,,,IND,3180
7400,Maharashtra,1985,53,5,THANE,GEN,NATHURAM ADSULE,M,,,IND,2179
7401,Maharashtra,1985,53,6,THANE,GEN,RAVABA CHIKANE,M,,,CPI,1430
7402,Maharashtra,1985,53,7,THANE,GEN,P. M. RANA,M,,,IND,1277
7403,Maharashtra,1985,53,8,THANE,GEN,SHUKLA KAMALNATH RAMAI,M,,,IND,572
7404,Maharashtra,1985,53,9,THANE,GEN,JAGANNATH RAMSAMUJ TIWARI,M,,,IND,297
7405,Maharashtra,1985,53,10,THANE,GEN,RAVINDRA CHALKE,M,,,IND,248
7406,Maharashtra,1985,53,11,THANE,GEN,MANOHAR ABAJI YEVALE,M,,,IND,231
7407,Maharashtra,1985,53,12,THANE,GEN,PAL DEONARAYAN SIVASARAN,M,,,IND,220
7408,Maharashtra,1985,53,13,THANE,GEN,MAHADEV SHEREKAR,M,,,IND,80
9662,Maharashtra,1990,53,1,THANE,GEN,M. D. JOSHI,M,,,SHS,94236
9663,Maharashtra,1990,53,2,THANE,GEN,KOLI KANTI KISAN,M,,,INC,53237
9664,Maharashtra,1990,53,3,THANE,GEN,SURYAKANT VADHAVKAR,M,,,JD,12052
9665,Maharashtra,1990,53,4,THANE,GEN,PAL DEVNARAYAN SHIVASARAN,M,,,DDP,340
9666,Maharashtra,1990,53,5,THANE,GEN,CHAITANYA SONAWANE,M,,,IND,278
9667,Maharashtra,1990,53,6,THANE,GEN,PANDEY INDRAJI T HARIHAR,M,,,IND,262
9668,Maharashtra,1990,53,7,THANE,GEN,SAYAD AMIRALI NAJEERALI,M,,,IND,178
9669,Maharashtra,1990,53,8,THANE,GEN,KHAN SAFIN AHMAD NEWAIJSHL ALI,M,,,IND,120
9670,Maharashtra,1990,53,9,THANE,GEN,THAKUR SAVITREDEVI LALAN SINGH,F,,,IND,116
9671,Maharashtra,1990,53,10,THANE,GEN,KASHINATH BHANJI BHAGAT,M,,,IND,114
9672,Maharashtra,1990,53,11,THANE,GEN,GOPAL KRISHNA SHRINIVAS NANAK ALIAS GOPI NAYAK,M,,,IND,93
9673,Maharashtra,1990,53,12,THANE,GEN,SATYANARAYAN R. TIWARI,M,,,IND,60
13642,Maharashtra,1995,53,1,THANE,GEN,JOSHI MORESHWAR DAMODAR,M,,,SHS,122595
13643,Maharashtra,1995,53,2,THANE,GEN,BHOIR MALATI RAMESH,F,,,INC,58492
13644,Maharashtra,1995,53,3,THANE,GEN,BEDEKAR VIJAY VASUDEO,M,,,IND,7164
13645,Maharashtra,1995,53,4,THANE,GEN,SINGH RAMASHRAY RAMKARAN,M,,,JD,4844
13646,Maharashtra,1995,53,5,THANE,GEN,CHAVHAN HARISHCHANDRA LAXAMAN,M,,,IND,4382
13647,Maharashtra,1995,53,6,THANE,GEN,TIPU SULTAN,M,,,BSP,3718
13648,Maharashtra,1995,53,7,THANE,GEN,VAITI JANARDAN YESHAWANT,M,,,IND,2752
13649,Maharashtra,1995,53,8,THANE,GEN,SHARMA RAMDHAVAN CHANDRU,M,,,SP,2302
13650,Maharashtra,1995,53,9,THANE,GEN,INGALE PRAMOD PRALHAD,M,,,IND,2008
13651,Maharashtra,1995,53,10,THANE,GEN,MISHRA PARASNATH RAMLAKHAN,M,,,DDP,804
13652,Maharashtra,1995,53,11,THANE,GEN,SALAH UDDIN SIDDIQUI,M,,,IND,671
13653,Maharashtra,1995,53,12,THANE,GEN,GUPTA RISHIKANT HORILAL,M,,,IND,460
13654,Maharashtra,1995,53,13,THANE,GEN,KARIYA PRADIP DEVJI,M,,,IND,444
13655,Maharashtra,1995,53,14,THANE,GEN,PANDEY INDRAJIT HARIHAR,M,,,IND,307
13656,Maharashtra,1995,53,15,THANE,GEN,TIVARI SATYANARAYAN REMNEVA,M,,,IND,235
13657,Maharashtra,1995,53,16,THANE,GEN,HUSEN MEHABOOB ALI JAKIR,M,,,IND,171
18031,Maharashtra,1999,53,1,THANE,GEN,M.D.JOSHI,M,,,SHS,67429
18032,Maharashtra,1999,53,2,THANE,GEN,SUBHASH KANADE,M,,,INC,56950
18033,Maharashtra,1999,53,3,THANE,GEN,ASHOK RAJARAM RAUL,M,,,NCP,21901
18034,Maharashtra,1999,53,4,THANE,GEN,LAD KAMLAKAR SHANKAR,M,,,BSP,728
18035,Maharashtra,1999,53,5,THANE,GEN,GUPTA RISHIKANT HORILAL,M,,,RJD,295
18036,Maharashtra,1999,53,6,THANE,GEN,KIRAN PRAJAPATI,M,,,IND,167
18037,Maharashtra,1999,53,7,THANE,GEN,PRAVIN SITARAM TARALKAR ALIAS KAKASETH TARALKAR,M,,,IND,145
20132,Maharashtra,2004,53,8,THANE,GEN,RAMNARAYAN NARESH PASWAN,M,45,GEN,LJNSP,477
20133,Maharashtra,2004,53,5,THANE,GEN,ADV. GAIKWAD RAJAY YASHWANT,M,43,GEN,RPI(A),1222
20134,Maharashtra,2004,53,9,THANE,GEN,JITENDRAKUMAR(BHAUSAHEB),M,33,SC,IND,325
20135,Maharashtra,2004,53,2,THANE,GEN,MANOJ TUKARAM SHINDE,M,37,GEN,INC,93981
20136,Maharashtra,2004,53,3,THANE,GEN,MUZUMDAR NILESH SHANTARAM,M,41,GEN,BSP,2851
20137,Maharashtra,2004,53,7,THANE,GEN,PRAMOD DATTATRAY TALEKAR,M,57,GEN,IND,823
20138,Maharashtra,2004,53,6,THANE,GEN,GHATE VIJAY DNYANOBA,M,35,GEN,BBM,1099
20139,Maharashtra,2004,53,4,THANE,GEN,MOHD. YOSUF AHMED SAYYAD,M,47,GEN,IND,1708
20140,Maharashtra,2004,53,1,THANE,GEN,EKNATH SHINDE,M,40,GEN,SHS,131159
24269,Maharashtra,2009,148,1,THANE,GEN,RAJAN VICHARE,M,48,GEN,SHS,51010
24270,Maharashtra,2009,148,2,THANE,GEN,RAJAN RAJE,M,52,GEN,MNS,48569
24271,Maharashtra,2009,148,3,THANE,GEN,KANADE SUBHASH,M,59,GEN,INC,36288
24272,Maharashtra,2009,148,4,THANE,GEN,DEVRAM BHOIR,M,58,GEN,IND,17244
24273,Maharashtra,2009,148,5,THANE,GEN,SHEKH TABREJ,M,28,GEN,RKSP,2071
24274,Maharashtra,2009,148,6,THANE,GEN,SHINDE TUSAHR MAROTRAO,M,38,GEN,BSP,1019
