ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
890,Maharashtra,1962,196,1,TIRORA,GEN,SHGALIGRAM RAMRATAN DIXIT,M,,,INC,18425
891,Maharashtra,1962,196,2,TIRORA,GEN,NARAYAN HARI KJUMBHARE,M,,,REP,15564
892,Maharashtra,1962,196,3,TIRORA,GEN,MITARAM HARI TEMBHAREY,M,,,IND,12596
893,Maharashtra,1962,196,4,TIRORA,GEN,ADHINATH GULAB GHARDE,M,,,IND,902
1822,Maharashtra,1967,133,1,TIRORA,GEN,B. L. PATEL,M,,,INC,26121
1823,Maharashtra,1967,133,2,TIRORA,GEN,G. J. GAHARWAR,M,,,SSP,16754
1824,Maharashtra,1967,133,3,TIRORA,GEN,H. D. MESHRAM,M,,,RPI,13215
1825,Maharashtra,1967,133,4,TIRORA,GEN,C. D. BAIS,M,,,BJS,1509
1826,Maharashtra,1967,133,5,TIRORA,GEN,M. V. ADMANE,M,,,IND,1052
1827,Maharashtra,1967,133,6,TIRORA,GEN,C. K. BODELE,M,,,IND,970
3024,Maharashtra,1972,133,1,TIRORA,GEN,SHALIGRAM RAMRATAN DIXIT,M,,,INC,26851
3025,Maharashtra,1972,133,2,TIRORA,GEN,CHAITLAL RAMJI BHAGAT,M,,,IND,24903
3026,Maharashtra,1972,133,3,TIRORA,GEN,SADANAND M. RAMTEKE,M,,,RPI,10235
3027,Maharashtra,1972,133,4,TIRORA,GEN,GANPATLIMBAJI YEDMACHE,M,,,IND,1337
3028,Maharashtra,1972,133,5,TIRORA,GEN,K. M. RAHANGDALE,M,,,FBL,1086
3029,Maharashtra,1972,133,6,TIRORA,GEN,BHAYALAL SITARAM SHENDE,M,,,IND,572
4518,Maharashtra,1978,145,1,TIRORA,SC,WASNIK LAXMINARAYAN GANPAT,M,,,INC,40768
4519,Maharashtra,1978,145,2,TIRORA,SC,MESHRAM NAGORAO SHRAWAN,M,,,RPK,27005
4520,Maharashtra,1978,145,3,TIRORA,SC,LAROKAR GULABRAO GOMAJI,M,,,IND,2818
4521,Maharashtra,1978,145,4,TIRORA,SC,CHOURE BHAUDAS ZOLUJI,M,,,IND,2056
4522,Maharashtra,1978,145,5,TIRORA,SC,MOHANKAR DILIP PUSARAM,M,,,IND,1989
4523,Maharashtra,1978,145,6,TIRORA,SC,NAGDAVANE PANCHAM CHAMRU,M,,,IND,1661
4524,Maharashtra,1978,145,7,TIRORA,SC,BHAUTIK DADUBHAU ARJUN,M,,,IND,1488
4525,Maharashtra,1978,145,8,TIRORA,SC,DHOK GOVINDA KASHINATH,M,,,IND,1400
4526,Maharashtra,1978,145,9,TIRORA,SC,BHASHKAR MORADHWAJ FAKIRCHAND,M,,,IND,754
4527,Maharashtra,1978,145,10,TIRORA,SC,GONDANE RAGHUNATH SITARAM,M,,,IND,333
6219,Maharashtra,1980,145,1,TIRORA,SC,DONGARE SUKHADEO VITHOBAJI,M,,,INC,33641
6220,Maharashtra,1980,145,2,TIRORA,SC,WASNIK LAXMINARAYAN GANPAT,M,,,INC(U),17498
6221,Maharashtra,1980,145,3,TIRORA,SC,DOMNGARE MANIKRAO RAGHUNATH,M,,,RPK,6704
6222,Maharashtra,1980,145,4,TIRORA,SC,LAOKAR INDRARAO RAOJI,M,,,BJP,4437
6223,Maharashtra,1980,145,5,TIRORA,SC,MESHRAM HARIBHAU HANSARAM,M,,,IND,647
6224,Maharashtra,1980,145,6,TIRORA,SC,RAMTEKE NANDLAL ABHIMAN,M,,,IND,592
