ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
1062,Maharashtra,1962,236,1,TULJAPUR,GEN,SAHEBRAO DADARAO,M,,,INC,20095
1063,Maharashtra,1962,236,2,TULJAPUR,GEN,DEVIDAS NAGOBA,M,,,PWP,15404
1064,Maharashtra,1962,236,3,TULJAPUR,GEN,KRISHNATHRAO AMBADASRAO,M,,,PSP,1819
2110,Maharashtra,1967,199,1,TULJAPUR,GEN,S. S. PATIL,M,,,INC,20001
2111,Maharashtra,1967,199,2,TULJAPUR,GEN,P. S. SHINDE,M,,,IND,17870
2112,Maharashtra,1967,199,3,TULJAPUR,GEN,M. B. KHAPLE,M,,,PWP,7587
2113,Maharashtra,1967,199,4,TULJAPUR,GEN,D. S. DESHMUKH,M,,,SWA,4865
3335,Maharashtra,1972,199,1,TULJAPUR,GEN,SHIVAJIRAO PATIL,M,,,INC,33077
3336,Maharashtra,1972,199,2,TULJAPUR,GEN,M. A. K. MOHAMMED ISAKHAN,M,,,PWP,12499
3337,Maharashtra,1972,199,3,TULJAPUR,GEN,SHINDE RAMCHANDRA GENUJI,M,,,IND,1772
4970,Maharashtra,1978,213,1,TULJAPUR,GEN,KHAPALE MANIKRAO BHIMRAO,M,,,PWP,28438
4971,Maharashtra,1978,213,2,TULJAPUR,GEN,PATIL SHIVAJIRAO SHAHAJIRAO ( BABHALGAONKAR ),M,,,INC,18072
4972,Maharashtra,1978,213,3,TULJAPUR,GEN,ALURE SIDRAMAPPA NAGAPPA,M,,,IND,11999
4973,Maharashtra,1978,213,4,TULJAPUR,GEN,SHRIGIRI LAXMAN NAGANATH,M,,,IND,875
4974,Maharashtra,1978,213,5,TULJAPUR,GEN,BIRAJDAR SIDRAM SHIVAPPA,M,,,IND,534
6582,Maharashtra,1980,213,1,TULJAPUR,GEN,ALURE SIDRAMAPPA NAGAPPA,M,,,INC,34121
6583,Maharashtra,1980,213,2,TULJAPUR,GEN,KHAPALE MANIKRAO BHIMRAO,M,,,PWP,19542
6584,Maharashtra,1980,213,3,TULJAPUR,GEN,HANGARGEKAR SAHEBRAO DADARAO,M,,,INC(U),5678
6585,Maharashtra,1980,213,4,TULJAPUR,GEN,KHATIB SYED TANVIR SYED ALI,M,,,IND,1687
6586,Maharashtra,1980,213,5,TULJAPUR,GEN,JAGADALE SUDHIR AMBADADSRAO,M,,,BJP,1159
8724,Maharashtra,1985,213,1,TULJAPUR,GEN,KHAPLE MANIKRAO BHIMRAO,M,,,PWP,42553
8725,Maharashtra,1985,213,2,TULJAPUR,GEN,ALURE SIDRAMAPPA NAGAPPA,M,,,INC,31323
8726,Maharashtra,1985,213,3,TULJAPUR,GEN,SONKAMBLE SADASHIV CHOKHAJI,M,,,IND,624
8727,Maharashtra,1985,213,4,TULJAPUR,GEN,BALCHANDRA BIRU VAIDYA,M,,,IND,588
12207,Maharashtra,1990,213,1,TULJAPUR,GEN,CHAVAN MADHUKARRAO DEORAO      ,M,53,GEN,INC,47474
12208,Maharashtra,1990,213,2,TULJAPUR,GEN,KHAPLE MANIKRAO BHIMRAO,M,,,PWP,32108
12209,Maharashtra,1990,213,3,TULJAPUR,GEN,KADAM ANANTRAO SHAHAJIRAO,M,,,SHS,6938
12210,Maharashtra,1990,213,4,TULJAPUR,GEN,AMRUTRAO ANNASAHEB DAGDOBA,M,,,IND,1486
12211,Maharashtra,1990,213,5,TULJAPUR,GEN,SURYAKANT GOROBA DANDE,M,,,IND,1235
12212,Maharashtra,1990,213,6,TULJAPUR,GEN,DAGDU REKHA CHAVAN,M,,,IND,354
12213,Maharashtra,1990,213,7,TULJAPUR,GEN,MAINODDIN SHAMSHODDIN INAMDAR,M,,,IND,333
12214,Maharashtra,1990,213,8,TULJAPUR,GEN,SHENDE SHIVAJI BABURAO,M,,,IND,201
12215,Maharashtra,1990,213,9,TULJAPUR,GEN,SIDRAM SHIVAPPA BIRAJDAR,M,,,IND,159
12216,Maharashtra,1990,213,10,TULJAPUR,GEN,SOLUNKE HIRAMAN SANDU,M,,,DDP,110
12217,Maharashtra,1990,213,11,TULJAPUR,GEN,DEVIDAS GANGADHAR JOSHI,M,,,IND,103
16701,Maharashtra,1995,213,1,TULJAPUR,GEN,KHAPLE MANIKRAO BHIMRAO,M,,,PWP,62437
16702,Maharashtra,1995,213,2,TULJAPUR,GEN,CHAVAN MADHUKARRAO DEORAO      ,M,58,GEN,INC,35924
16703,Maharashtra,1995,213,3,TULJAPUR,GEN,KADAM SUDHIR KISANRAO,M,,,SHS,7707
16704,Maharashtra,1995,213,4,TULJAPUR,GEN,NAROTE MAHADEO GENA,M,,,BBMS,1440
16705,Maharashtra,1995,213,5,TULJAPUR,GEN,KHIRSAGAR AMRUTA GANAPATI,M,,,IND,338
16706,Maharashtra,1995,213,6,TULJAPUR,GEN,MASKE DILEEP KHANDU,M,,,IND,234
16707,Maharashtra,1995,213,7,TULJAPUR,GEN,INAMDAR MAINODDIN SHAMSHODDIN,M,,,IND,217
16708,Maharashtra,1995,213,8,TULJAPUR,GEN,AJIT BABURAO HANGARGEKAR,M,,,SJP(M),177
16709,Maharashtra,1995,213,9,TULJAPUR,GEN,VASUDEO ANANTRAO KULKARNI,M,,,IND,164
16710,Maharashtra,1995,213,10,TULJAPUR,GEN,JETITHOR MOHAN RANBA,M,,,IND,154
16711,Maharashtra,1995,213,11,TULJAPUR,GEN,CHAVAN SHANKAR VASANT,M,,,IND,58
19225,Maharashtra,1999,213,1,TULJAPUR,GEN,CHAVAN MADHUKARRAO DEORAO      ,M,62,GEN,INC,30151
19226,Maharashtra,1999,213,2,TULJAPUR,GEN,BORGAONKAR NARENDRA BABURAO,M,,,NCP,26364
19227,Maharashtra,1999,213,3,TULJAPUR,GEN,DEVANAND SAHEBRAO ROCHKARI     ,M,39,GEN,IND,16079
19228,Maharashtra,1999,213,4,TULJAPUR,GEN,VADNE SHAMAL KEDARI,F,,,SHS,10773
19229,Maharashtra,1999,213,5,TULJAPUR,GEN,KHAPLE MANIKRAO BHIMRAO,M,,,PWPI,8033
19230,Maharashtra,1999,213,6,TULJAPUR,GEN,PAILWAN RAJESH PRATAPRAO,M,,,IND,1856
19231,Maharashtra,1999,213,7,TULJAPUR,GEN,MALLKUNAIK MALKU LIMBAJI,M,,,IND,847
19232,Maharashtra,1999,213,8,TULJAPUR,GEN,KADAM SHIVAJI DEVAPPA,M,,,IND,640
19233,Maharashtra,1999,213,9,TULJAPUR,GEN,PATIL DHAIRYASHIL RAOSAHEB,M,,,IND,310
21796,Maharashtra,2004,213,1,TULJAPUR,GEN,CHAVAN MADHUKARRAO DEORAO      ,M,67,GEN,INC,40958
21797,Maharashtra,2004,213,7,TULJAPUR,GEN,SHINDE KAKASAHEB SHANKAR,M,47,GEN,PWPI,1292
21798,Maharashtra,2004,213,2,TULJAPUR,GEN,DEVANAND SAHEBRAO ROCHKARI     ,M,44,GEN,SP,37513
21799,Maharashtra,2004,213,4,TULJAPUR,GEN,KHARADE SIDRAMAPPA,M,42,GEN,JSS,3574
21800,Maharashtra,2004,213,6,TULJAPUR,GEN,HANGARGEKAR SUHAS MOHANRAO,M,35,GEN,BSP,2039
21801,Maharashtra,2004,213,3,TULJAPUR,GEN,BORGAONKAR NARENDRA BABURAO,M,63,GEN,SHS,28879
21802,Maharashtra,2004,213,5,TULJAPUR,GEN,ROKADE MILIND SOMNATH,M,29,SC,IND,2438
25438,Maharashtra,2009,241,1,TULJAPUR,GEN,CHAVAN MADHUKARRAO DEORAO      ,M,71,GEN,INC,65802
25439,Maharashtra,2009,241,2,TULJAPUR,GEN,DESHMUKH SUBHASH,M,51,GEN,BJP,49469
25440,Maharashtra,2009,241,3,TULJAPUR,GEN,DEVANAND SAHEBRAO ROCHKARI     ,M,48,GEN,PWPI,45942
25441,Maharashtra,2009,241,4,TULJAPUR,GEN,GORE ARVIND JANARDHAN,M,68,GEN,IND,15665
25442,Maharashtra,2009,241,5,TULJAPUR,GEN,SALGAR ARJUN SIDRAM,M,30,GEN,IND,4999
25443,Maharashtra,2009,241,6,TULJAPUR,GEN,PATHAN MAINODDIN,M,40,GEN,IND,2530
25444,Maharashtra,2009,241,7,TULJAPUR,GEN,PRAKASH CHANGDEV,M,34,GEN,IND,2095
25445,Maharashtra,2009,241,8,TULJAPUR,GEN,VINAYKUMAR DINKAR,M,35,GEN,IND,1386
25446,Maharashtra,2009,241,9,TULJAPUR,GEN,BAL MACHINDRA SAWANT,M,31,SC,BSP,1358
25447,Maharashtra,2009,241,10,TULJAPUR,GEN,GIRWALKAR NAGESH,M,42,GEN,IND,1105
25448,Maharashtra,2009,241,11,TULJAPUR,GEN,MANU SOPANRAO RAMANNA,M,66,GEN,STBP,1061
25449,Maharashtra,2009,241,12,TULJAPUR,GEN,SHAIKH SARIF KASHIMLAL,M,42,GEN,IND,812
25450,Maharashtra,2009,241,13,TULJAPUR,GEN,HAFIZ KAUSAR PASHA,M,26,GEN,IUML,735
25451,Maharashtra,2009,241,14,TULJAPUR,GEN,CHAVAN JAYSHREE ANIL,F,43,GEN,SVRP,648
25452,Maharashtra,2009,241,15,TULJAPUR,GEN,SHAIKH BABA FAIZODDIN,M,29,GEN,NELU,634
25453,Maharashtra,2009,241,16,TULJAPUR,GEN,ARVIND BASWANAPPA MULE,M,45,GEN,IND,595
25454,Maharashtra,2009,241,17,TULJAPUR,GEN,KAMBALE HEMANT,M,46,GEN,IND,429
25455,Maharashtra,2009,241,18,TULJAPUR,GEN,KORE GAURISHANKAR,M,44,GEN,IND,399
25456,Maharashtra,2009,241,19,TULJAPUR,GEN,KHATIB TANVEER ALI SAYYAD,M,52,GEN,IND,370
25457,Maharashtra,2009,241,20,TULJAPUR,GEN,CHAVAN BABU VITHOBA,M,40,GEN,HJP,359
25458,Maharashtra,2014,241,1,TULJAPUR,GEN,CHAVAN MADHUKARRAO DEORAO      ,M,77,GEN,INC,70701
25459,Maharashtra,2014,241,2,TULJAPUR,GEN,GORE JEEVANRAO VISHWANATHRAO   ,M,60,GEN,NCP,41091
25460,Maharashtra,2014,241,3,TULJAPUR,GEN,NIMBALKAR SANJAY PRAKASH       ,M,52,GEN,BJP,36380
25461,Maharashtra,2014,241,4,TULJAPUR,GEN,DEVANAND SAHEBRAO ROCHKARI     ,M,53,GEN,MNS,35895
25462,Maharashtra,2014,241,5,TULJAPUR,GEN,PATIL SUDHIR KESHAVRAO         ,M,53,GEN,SHS,24991
25463,Maharashtra,2014,241,6,TULJAPUR,GEN,DORNALIKAR PREMANAND BALWANTRAO,M,42,SC,BSP ,2405
25464,Maharashtra,2014,241,7,TULJAPUR,GEN,None of the Above              ,NOTA,NOTA,  ,  1314,
25465,Maharashtra,2014,241,8,TULJAPUR,GEN,ADV. RAMESHWAR DHONDIBA SHETE  ,M,48,GEN,IND,1051
25466,Maharashtra,2014,241,9,TULJAPUR,GEN,KASBE SATISH SHRIPATI          ,M,42,SC,MVA,893
25467,Maharashtra,2014,241,10,TULJAPUR,GEN,CHANDANE PINTU PANDURANG       ,M,42,SC,IND,769
25468,Maharashtra,2014,241,11,TULJAPUR,GEN,SUBRABAI SHIVAJI RATHOD        ,F,55,GEN,IND,629
25469,Maharashtra,2014,241,12,TULJAPUR,GEN,RENUKE SANJAY SURESH           ,M,43,GEN,IND,471
25470,Maharashtra,2014,241,13,TULJAPUR,GEN,KIRAN JADHAV                   ,M,59,GEN,IND,433
25471,Maharashtra,2014,241,14,TULJAPUR,GEN,RAHUL NAGNATH JAWAN            ,M,26,GEN,HJP,385
