ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
882,Maharashtra,1962,195,1,TUMSAR,GEN,RAM BAKARAMJI LANJEWAR,M,,,INC,15453
883,Maharashtra,1962,195,2,TUMSAR,GEN,KESJAPRAP LOSAMRAP KAWALE,M,,,PWP,11040
884,Maharashtra,1962,195,3,TUMSAR,GEN,DHANPAL TURSIRAM BISNE,M,,,IND,9020
885,Maharashtra,1962,195,4,TUMSAR,GEN,DEOCHAND BAJIRAO,M,,,IND,2010
886,Maharashtra,1962,195,5,TUMSAR,GEN,ZINGAR NATHU CHAUDHARI,M,,,IND,1782
887,Maharashtra,1962,195,6,TUMSAR,GEN,SAMBHUJI FANDUJI MESHRAM,M,,,IND,1611
888,Maharashtra,1962,195,7,TUMSAR,GEN,KESHAO MOHAN PUROHIT,M,,,SOC,1230
889,Maharashtra,1962,195,8,TUMSAR,GEN,SUDARSHAN GOVINDRAO TIBUDE,M,,,IND,984
1810,Maharashtra,1967,131,1,TUMSAR,GEN,K. A. PARADHEY,M,,,INC,29171
1811,Maharashtra,1967,131,2,TUMSAR,GEN,D. P. REWATKAR,M,,,RPI,14561
1812,Maharashtra,1967,131,3,TUMSAR,GEN,N. S. KAREMORE,M,,,SSP,12630
1813,Maharashtra,1967,131,4,TUMSAR,GEN,M. Y. KAPASE,M,,,BJS,3398
1814,Maharashtra,1967,131,5,TUMSAR,GEN,S. F. MESHARAM,M,,,IND,1410
3015,Maharashtra,1972,131,1,TUMSAR,GEN,KESHAORAO PARDHI,M,,,INC,27334
3016,Maharashtra,1972,131,2,TUMSAR,GEN,SHAMRAO R. THAKRE,M,,,RPI,25931
3017,Maharashtra,1972,131,3,TUMSAR,GEN,YADAO MADHAORAO GAIDHANE,M,,,IND,6168
3018,Maharashtra,1972,131,4,TUMSAR,GEN,LOKCHAND BIPTUJI KATHANE,M,,,RPK,3168
3019,Maharashtra,1972,131,5,TUMSAR,GEN,LANJEWAR RAGHUNATH FAGYA,M,,,IND,104
4492,Maharashtra,1978,142,1,TUMSAR,GEN,KAREMORE SUBHASCHANDRA NARAYANRAO,M,,,INC,33490
4493,Maharashtra,1978,142,2,TUMSAR,GEN,PATEL ISHWARDAYAL MAHIPALJI,M,,,JNP,15982
4494,Maharashtra,1978,142,3,TUMSAR,GEN,THAKRE SHAMRAO RAMCHANDRARAO,M,,,INC,12910
4495,Maharashtra,1978,142,4,TUMSAR,GEN,SAYARE NAMDEORAO TAMBAJI,M,,,IND,4028
4496,Maharashtra,1978,142,5,TUMSAR,GEN,MALAWAR RADHESHAM URKUDAJI,M,,,CPI,2751
4497,Maharashtra,1978,142,6,TUMSAR,GEN,MARSKOLE GOPICHAND RATIRAM,M,,,IND,2002
4498,Maharashtra,1978,142,7,TUMSAR,GEN,KARAMORE KISAN SITARAMJI,M,,,IND,1929
4499,Maharashtra,1978,142,8,TUMSAR,GEN,GAIDHANE YADAORAO MADHAORAO,M,,,IND,1553
