ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
1047,Maharashtra,1962,231,1,UDGIR,SC,VITHALRAO BAPURAO,M,,,INC,21494
1048,Maharashtra,1962,231,2,UDGIR,SC,KISAN SAKHARAM,M,,,REP,7616
1049,Maharashtra,1962,231,3,UDGIR,SC,LAXMAN DHONDIBA ARKADE,M,,,PSP,1669
2080,Maharashtra,1967,191,1,UDGIR,SC,P. S. SARWADE,M,,,INC,15419
2081,Maharashtra,1967,191,2,UDGIR,SC,V. B. KHADIWALE,M,,,IND,9920
2082,Maharashtra,1967,191,3,UDGIR,SC,G. K. MAHALINGE,M,,,RPI,6090
2083,Maharashtra,1967,191,4,UDGIR,SC,P. S. WAGHMARE,M,,,IND,1293
2084,Maharashtra,1967,191,5,UDGIR,SC,N. S. GAWLE,M,,,IND,718
3305,Maharashtra,1972,191,1,UDGIR,SC,VITHALRAO KHADIWALE,M,,,RPI,22058
3306,Maharashtra,1972,191,2,UDGIR,SC,GHOGE BHIMRAO MANIKRAO,M,,,INC,21815
3307,Maharashtra,1972,191,3,UDGIR,SC,GAIKWAD GOPALRAO SHETIBA,M,,,BJS,2200
3308,Maharashtra,1972,191,4,UDGIR,SC,KAMBLE SOPAN KISHAN,M,,,IND,371
4915,Maharashtra,1978,204,1,UDGIR,GEN,JADHAV BALASAHEB KISHANRAO,M,,,INC,24455
4916,Maharashtra,1978,204,2,UDGIR,GEN,PATWARI MANOHAR DIGAMBARRAO,M,,,PWP,19482
4917,Maharashtra,1978,204,3,UDGIR,GEN,KALDATE SHRIDHAR NARAYANRAO,M,,,JNP,17294
4918,Maharashtra,1978,204,4,UDGIR,GEN,MANJUR AHMEDKHAN HUSSAIN KHAN,M,,,IND,8714
6541,Maharashtra,1980,204,1,UDGIR,GEN,JADHAV BALASAHEB KISHANRAO,M,,,INC(U),33243
6542,Maharashtra,1980,204,2,UDGIR,GEN,PATWARI MANOHARRAO DIGAMBERRAO,M,,,JNP,16647
6543,Maharashtra,1980,204,3,UDGIR,GEN,PATIL PANDHIRINATH GYANOBA,M,,,INC,11873
6544,Maharashtra,1980,204,4,UDGIR,GEN,RATHOD RAJARAM THAWARA,M,,,RPK,10456
6545,Maharashtra,1980,204,5,UDGIR,GEN,BORALKAR A. AJIJ MALAKJI,M,,,BJP,1739
8663,Maharashtra,1985,204,1,UDGIR,GEN,JADHAV BALASAHEB KISHANRAO,M,,,INC,46231
8664,Maharashtra,1985,204,2,UDGIR,GEN,PATWARI MANOHARRAO DIGAMBERRAO,M,,,IND,39066
8665,Maharashtra,1985,204,3,UDGIR,GEN,SHINDE TULSHIRAM DAULATRAO,M,,,ICS,1442
8666,Maharashtra,1985,204,4,UDGIR,GEN,KAMBLE BALIRAM BHAGWANRAO,M,,,IND,361
8667,Maharashtra,1985,204,5,UDGIR,GEN,HASHMI S. MAJAHARULLA S. KHAIRAT ALI,M,,,IND,154
12083,Maharashtra,1990,204,1,UDGIR,GEN,PATIL NARAYANRAO BAJIRAO,M,,,JD,39246
12084,Maharashtra,1990,204,2,UDGIR,GEN,BASWARAJ MALSETTI PATIL,M,,,INC,38844
12085,Maharashtra,1990,204,3,UDGIR,GEN,PATIL RAMCHANDRA VITHALRAO (TALEGAONKAR),M,,,IND,12974
12086,Maharashtra,1990,204,4,UDGIR,GEN,VISHWANATH SHANKARRAO ANHULGE,M,,,BJP,6628
12087,Maharashtra,1990,204,5,UDGIR,GEN,PATIL NARSING SUBHANRAO,M,,,IND,1755
12088,Maharashtra,1990,204,6,UDGIR,GEN,JADHAV PRABHAKAR SHANKARRAO,M,,,IND,1048
12089,Maharashtra,1990,204,7,UDGIR,GEN,MOTIRAM NAGOBA DAWALE,M,,,IND,962
12090,Maharashtra,1990,204,8,UDGIR,GEN,PAWAR SANJAY TUKARAM,M,,,IND,820
12091,Maharashtra,1990,204,9,UDGIR,GEN,DHONDIBA MADHAVRAO LAVHE,M,,,BSP,575
12092,Maharashtra,1990,204,10,UDGIR,GEN,MOHMED ISSA SAIKH ISMAIL SAHEB (JAGIRDAR),M,,,DMM,556
12093,Maharashtra,1990,204,11,UDGIR,GEN,SADANANDE SHIVAJI RAJARAM,M,,,IND,521
12094,Maharashtra,1990,204,12,UDGIR,GEN,PATIL JAGANNATH HEMRAJ,M,,,DDP,511
12095,Maharashtra,1990,204,13,UDGIR,GEN,GAIKWAD SHIVAJI SAYAJIRAO,M,,,IND,192
12096,Maharashtra,1990,204,14,UDGIR,GEN,PREMDAS SAKHARAM WAGHMARE,M,,,IND,190
12097,Maharashtra,1990,204,15,UDGIR,GEN,RATHOD NAMDEORAO AMBAJI,M,,,IND,150
12098,Maharashtra,1990,204,16,UDGIR,GEN,PINCHANI A. KARIM IBRAHIM SAHEB,M,,,IND,63
16574,Maharashtra,1995,204,1,UDGIR,GEN,PROF. PATWARI MANOHAR DIGAMBERRAO,M,,,INC,34333
16575,Maharashtra,1995,204,2,UDGIR,GEN,KENDRE GOVIND DNYANOBA,M,,,JD,30996
16576,Maharashtra,1995,204,3,UDGIR,GEN,DR. YERME PRAKASH TULSHIRAM,M,,,BJP,24040
16577,Maharashtra,1995,204,4,UDGIR,GEN,PATIL RAMCHANDRA VITHALRAO,M,,,IND,19983
16578,Maharashtra,1995,204,5,UDGIR,GEN,JAHAGIRDAR KALIMODDIN RIJAWANODDIN,M,,,BSP,11433
16579,Maharashtra,1995,204,6,UDGIR,GEN,BAIS BHAGWANSINGH GANESHSINGH,M,,,IND,5106
16580,Maharashtra,1995,204,7,UDGIR,GEN,MAJGE RAJKUMAR ANNARAO,M,,,IND,2284
16581,Maharashtra,1995,204,8,UDGIR,GEN,WATTAMWAR SHYAM HANMANTH,M,,,IND,1278
16582,Maharashtra,1995,204,9,UDGIR,GEN,DR. KONE MADHAV SANGRAMAPPA,M,,,SJP(M),954
16583,Maharashtra,1995,204,10,UDGIR,GEN,CHILLARGE PRABHU BANDAPPA,M,,,IND,768
16584,Maharashtra,1995,204,11,UDGIR,GEN,CHAUDHARI RAMESH TUKARAM,M,,,DDP,421
16585,Maharashtra,1995,204,12,UDGIR,GEN,VIRKAPALE VAIJINATH KASHINATH,M,,,IND,262
16586,Maharashtra,1995,204,13,UDGIR,GEN,SUTAR NARSINGRAO MAREAPPA,M,,,RPI,259
16587,Maharashtra,1995,204,14,UDGIR,GEN,GIRI KAILAS SHIVGIR,M,,,IND,245
19134,Maharashtra,1999,204,1,UDGIR,GEN,KENDRE GOVIND DNYANOBA,M,,,BJP,50394
19135,Maharashtra,1999,204,2,UDGIR,GEN,JADHAV BALASAHEB KISHANRAO,M,,,NCP,37604
19136,Maharashtra,1999,204,3,UDGIR,GEN,PROF. PATWARI MANOHAR DIGAMBARRAO,M,,,INC,30072
19137,Maharashtra,1999,204,4,UDGIR,GEN,WAGHMARE SANGRAM GANPAT,M,,,IND,887
19138,Maharashtra,1999,204,5,UDGIR,GEN,PHULARI BALAJI VITHAL,M,,,IND,228
19139,Maharashtra,1999,204,6,UDGIR,GEN,NARSING PIRAJI SHENDAGE,M,,,ABHS,225
19140,Maharashtra,1999,204,7,UDGIR,GEN,RAMESH SIDAPPA ATHANE,M,,,IND,171
19141,Maharashtra,1999,204,8,UDGIR,GEN,SHIVAJI SHANKARRAO VAJIRE,M,,,IND,55
21686,Maharashtra,2004,204,3,UDGIR,GEN,PROF.PATWARI MANOHAR,M,49,GEN,SP,26341
21687,Maharashtra,2004,204,4,UDGIR,GEN,ADV.KHATEEB HISAMODDIN,M,49,GEN,BSP,7209
21688,Maharashtra,2004,204,14,UDGIR,GEN,KAMBLE BANSILAL RAMCHANDRA,M,47,SC,IND,243
21689,Maharashtra,2004,204,2,UDGIR,GEN,KENDRE GOVIND DNYANOBA,M,48,GEN,BJP,54488
21690,Maharashtra,2004,204,8,UDGIR,GEN,MANE GANPATRAO KESHEVRAO,M,60,GEN,IND,924
21691,Maharashtra,2004,204,6,UDGIR,GEN,SANGAVE NIURTI SAMBHAJI,M,28,SC,IND,1617
21692,Maharashtra,2004,204,10,UDGIR,GEN,ER. BAGDURE VINYAK VISHWANATH,M,42,GEN,SVRP,636
21693,Maharashtra,2004,204,11,UDGIR,GEN,DHUMALE SHIVAJI DATTAJIRAO,M,44,GEN,PWPI,458
21694,Maharashtra,2004,204,13,UDGIR,GEN,PATIL TRAYBANK NAGORAO,M,60,GEN,IND,442
21695,Maharashtra,2004,204,7,UDGIR,GEN,CHOUDHA RAMESHWAR SURESHRAO,M,30,GEN,AIFB(S),1113
21696,Maharashtra,2004,204,5,UDGIR,GEN,RACHURE RANGRAO GOVINDRAO,M,49,GEN,JD(U),3682
21697,Maharashtra,2004,204,1,UDGIR,GEN,BHOSALE CHANDRASHEKHAR,M,42,GEN,NCP,57605
21698,Maharashtra,2004,204,9,UDGIR,GEN,BIRADAR SUDARSHAN,M,38,GEN,IND,728
21699,Maharashtra,2004,204,15,UDGIR,GEN,ATTHANE RAMESH SHIDDAPPA,M,50,GEN,IND,241
21700,Maharashtra,2004,204,16,UDGIR,GEN,SUDHAKAR KISHANRAO KAMBLE,M,35,SC,PRCP,180
21701,Maharashtra,2004,204,12,UDGIR,GEN,DASTGIR JABBAR SHAIKH,M,45,GEN,IND,450
25381,Maharashtra,2009,237,1,UDGIR,SC,SUDHAKAR SANGRAM BHALERAO,M,42,SC,BJP,73840
25382,Maharashtra,2009,237,2,UDGIR,SC,KAAMANT MACHHINDRA,M,50,SC,NCP,56563
25383,Maharashtra,2009,237,3,UDGIR,SC,ADV. BHALERAO GAUTAM,M,42,SC,RPI(A),16286
25384,Maharashtra,2009,237,4,UDGIR,SC,GAIKWAD MADHAV CHIMAJI,M,55,SC,BSP,1246
25385,Maharashtra,2009,237,5,UDGIR,SC,RAMKISHAN SAMBHAJI,M,65,SC,IND,1232
25386,Maharashtra,2009,237,6,UDGIR,SC,GAIKWAD MAHADEV NIVRATI,M,45,SC,LJP,1030
25387,Maharashtra,2009,237,7,UDGIR,SC,MORE BALAJI RAMRAO,M,40,SC,IND,995
25388,Maharashtra,2009,237,8,UDGIR,SC,NAMDEV LAXMANRAO TIKATE,M,56,SC,JSS,933
25389,Maharashtra,2009,237,9,UDGIR,SC,VENKAT VAIJNATH TURE,M,31,SC,IND,797
25390,Maharashtra,2009,237,10,UDGIR,SC,JOTILIRANG BANDEPPA,M,40,SC,IND,735
25391,Maharashtra,2009,237,11,UDGIR,SC,MAGAR GOROBA SAMBHAJI,M,28,SC,IND,729
25392,Maharashtra,2009,237,12,UDGIR,SC,DHRUVA DASHARATH BANDE,M,46,SC,IND,679
25393,Maharashtra,2009,237,13,UDGIR,SC,USHA BALBHIM MASURE,F,29,SC,IND,459
25394,Maharashtra,2009,237,14,UDGIR,SC,BANSODE SHESHERAO,M,45,SC,IND,394
25395,Maharashtra,2009,237,15,UDGIR,SC,KOTAMBE MADHUKAR,M,57,SC,IND,369
25396,Maharashtra,2009,237,16,UDGIR,SC,MORE DNYANOBA MAROBA,M,48,SC,PRCP,365
25397,Maharashtra,2009,237,17,UDGIR,SC,JADHAV RAMDAS VITHALRAO,M,58,SC,SVRP,363
25398,Maharashtra,2009,237,18,UDGIR,SC,SHOBHA SUSHEEL MOTIRAM,F,44,SC,IND,341
25399,Maharashtra,2009,237,19,UDGIR,SC,VIJAYKUMAR TUKARAM,M,28,SC,IND,230
25400,Maharashtra,2009,237,20,UDGIR,SC,GOKARNA BABANRAO,M,36,SC,IND,191
25401,Maharashtra,2014,237,1,UDGIR,SC,SUDHAKAR SANGRAM BHALERAO,M,45,SC,BJP,66686
25402,Maharashtra,2014,237,2,UDGIR,SC,SANJAY BABURAO BANSODE,M,41,SC,NCP ,41792
25403,Maharashtra,2014,237,3,UDGIR,SC,PROF. RAMKISHAN BHIMRAO SONKAMBLE,M,53,SC,INC,37837
25404,Maharashtra,2014,237,4,UDGIR,SC,ADAVALE RAMCHANDRA MADHAVRAO,M,57,SC,SHS ,15418
25405,Maharashtra,2014,237,5,UDGIR,SC,GAIKWAD MADANKUMAR RAJENDRA,M,36,SC,IND,1958
25406,Maharashtra,2014,237,6,UDGIR,SC,SANGAVE NIVRUTTI SAMBHAJI,M,40,SC,SP ,1465
25407,Maharashtra,2014,237,7,UDGIR,SC,None of the Above, ,,  ,NOTA,955
25408,Maharashtra,2014,237,8,UDGIR,SC,SHILPA KONDIBA SHINDE,F,30,SC,IND,783
25409,Maharashtra,2014,237,9,UDGIR,SC,ADV. KOKNE SHIVAJI LAXMAN,M,47,SC,MNS ,698
25410,Maharashtra,2014,237,10,UDGIR,SC,LAXMI RAMJI GILCHE,F,41,SC,BMUP,632
25411,Maharashtra,2014,237,11,UDGIR,SC,AAMBEGAVE DILIP NAGORAO,M,41,SC,BSP,577
