ROW#,ST_NAME,YEAR,AC_NO,#,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
157,Maharashtra,1962,35,1,ULHASNAGAR,GEN,PARCHARAM KEWALRAM AILANI (ALIAS VIDYARTHI),M,,,SOC,17635
158,Maharashtra,1962,35,2,ULHASNAGAR,GEN,NEWANDRAM VISHINDAS GURBANI,M,,,INC,14425
159,Maharashtra,1962,35,3,ULHASNAGAR,GEN,PRAHLAD HIRANAND ADWANI,M,,,JS,7680
160,Maharashtra,1962,35,4,ULHASNAGAR,GEN,RANSI VELJI SIROKHA,M,,,REP,2966
161,Maharashtra,1962,35,5,ULHASNAGAR,GEN,SHIVAJI VITHAL KHARATE,M,,,IND,881
162,Maharashtra,1962,35,6,ULHASNAGAR,GEN,VASDEO BALCHAND KHANCHANDANI,M,,,PSP,673
1423,Maharashtra,1967,51,1,ULHASNAGAR,GEN,S. C. ISRAI,M,,,INC,24713
1424,Maharashtra,1967,51,2,ULHASNAGAR,GEN,P. K. AILANI,M,,,IND,11281
1425,Maharashtra,1967,51,3,ULHASNAGAR,GEN,P. H. ADWANI,M,,,BJS,10725
1426,Maharashtra,1967,51,4,ULHASNAGAR,GEN,D. N. SANTANI,M,,,SSP,2555
1427,Maharashtra,1967,51,5,ULHASNAGAR,GEN,R. V. RANE,M,,,IND,1445
1428,Maharashtra,1967,51,6,ULHASNAGAR,GEN,R. S. KHATHURANI,M,,,IND,244
2634,Maharashtra,1972,51,1,ULHASNAGAR,GEN,SANMUKH CHUHARMAL ISRANI,M,,,INC,26735
2635,Maharashtra,1972,51,2,ULHASNAGAR,GEN,PRALHAD HIRANAND ADVANI,M,,,BJS,20803
2636,Maharashtra,1972,51,3,ULHASNAGAR,GEN,PARCHAMAL KEVALRAM ALLANI,M,,,FBL,7713
2637,Maharashtra,1972,51,4,ULHASNAGAR,GEN,P. C. BALKRISHNAN,M,,,CPM,3924
2638,Maharashtra,1972,51,5,ULHASNAGAR,GEN,VITHAL BUDHAJI SASANE,M,,,RPI,2324
2639,Maharashtra,1972,51,6,ULHASNAGAR,GEN,RANSI WEIJI,M,,,RPK,525
